gene_ID	count
ECB_00001	12
ECB_00002	128
ECB_00003	83
ECB_00004	59
ECB_00005	11
ECB_00006	1
ECB_00007	1
ECB_00008	133
ECB_00009	24
ECB_00010	0
ECB_00011	1
ECB_00012	0
ECB_00013	0
ECB_00014	142
ECB_00015	12
ECB_00016	2
ECB_00017	1
ECB_00018	21
ECB_00019	0
ECB_00020	0
ECB_00021	0
ECB_00022	0
ECB_00023	1
ECB_00024	3
ECB_00025	0
ECB_00026	1
ECB_00027	39
ECB_00028	0
ECB_00029	26
ECB_00030	101
ECB_00031	35
ECB_00032	2
ECB_00033	14
ECB_00034	6
ECB_00035	6
ECB_00036	12
ECB_00037	165
ECB_00038	2
ECB_00039	0
ECB_00040	0
ECB_00041	0
ECB_00042	0
ECB_00043	5
ECB_00044	2
ECB_00045	1
ECB_00046	0
ECB_00047	1
ECB_00048	0
ECB_00049	0
ECB_00050	0
ECB_00051	3
ECB_00052	3
ECB_00053	2
ECB_00054	3
ECB_00055	7
ECB_00056	18
ECB_00057	55
ECB_00058	56
ECB_00059	5
ECB_00060	3
ECB_00061	8
ECB_00062	5
ECB_00063	0
ECB_00064	4
ECB_00065	2
ECB_00066	7
ECB_00067	15
ECB_00068	0
ECB_00069	1
ECB_00070	1
ECB_00071	5
ECB_00072	12
ECB_00073	194
ECB_00074	96
ECB_00075	44
ECB_00076	20
ECB_00077	149
ECB_00078	1
ECB_00079	26
ECB_00080	16
ECB_00081	50
ECB_00082	23
ECB_00083	47
ECB_00084	26
ECB_00085	405
ECB_00086	43
ECB_00087	14
ECB_00088	24
ECB_00089	46
ECB_00090	16
ECB_00091	29
ECB_00092	66
ECB_00093	71
ECB_00094	26
ECB_00095	127
ECB_00096	238
ECB_00097	1043
ECB_00098	8
ECB_00099	398
ECB_00100	3
ECB_00101	2
ECB_00102	3
ECB_00103	0
ECB_00104	6
ECB_00105	1
ECB_00106	7
ECB_00107	0
ECB_00108	12
ECB_00109	11
ECB_00110	15
ECB_00111	36
ECB_00112	12
ECB_00113	1116
ECB_00114	453
ECB_00115	404
ECB_00116	1
ECB_00117	305
ECB_00118	60
ECB_00119	7
ECB_00120	15
ECB_00121	5
ECB_00122	104
ECB_00123	32
ECB_00124	36
ECB_00125	17
ECB_00126	10
ECB_00127	8
ECB_00128	17
ECB_00129	2
ECB_00130	22
ECB_00131	3
ECB_00132	21
ECB_00133	12
ECB_00134	5
ECB_00135	0
ECB_00136	0
ECB_00137	0
ECB_00138	1
ECB_00139	0
ECB_00140	0
ECB_00141	0
ECB_00142	12
ECB_00143	0
ECB_00144	124
ECB_00145	96
ECB_00146	1
ECB_00147	4
ECB_00148	29
ECB_00149	100
ECB_00150	0
ECB_00151	7
ECB_00152	13
ECB_00153	48
ECB_00154	6
ECB_00155	83
ECB_00156	2
ECB_00157	0
ECB_00158	79
ECB_00159	10
ECB_00160	43
ECB_00161	25
ECB_00162	109
ECB_00163	3
ECB_00164	63
ECB_00165	13
ECB_00166	41
ECB_00167	259
ECB_00168	121
ECB_00169	12
ECB_00170	157
ECB_00171	5
ECB_00172	14
ECB_00173	10
ECB_00174	37
ECB_00175	156
ECB_00176	692
ECB_00177	110
