gene_ID	count
ECB_00001	25
ECB_00002	178
ECB_00003	105
ECB_00004	195
ECB_00005	28
ECB_00006	10
ECB_00007	0
ECB_00008	418
ECB_00009	24
ECB_00010	10
ECB_00011	0
ECB_00012	0
ECB_00013	0
ECB_00014	500
ECB_00015	34
ECB_00016	7
ECB_00017	1
ECB_00018	41
ECB_00019	11
ECB_00020	0
ECB_00021	0
ECB_00022	0
ECB_00023	1
ECB_00024	3
ECB_00025	0
ECB_00026	1
ECB_00027	178
ECB_00028	2
ECB_00029	45
ECB_00030	296
ECB_00031	70
ECB_00032	7
ECB_00033	46
ECB_00034	27
ECB_00035	44
ECB_00036	55
ECB_00037	564
ECB_00038	5
ECB_00039	0
ECB_00040	1
ECB_00041	1
ECB_00042	1
ECB_00043	4
ECB_00044	2
ECB_00045	4
ECB_00046	0
ECB_00047	0
ECB_00048	1
ECB_00049	0
ECB_00050	7
ECB_00051	13
ECB_00052	25
ECB_00053	5
ECB_00054	3
ECB_00055	15
ECB_00056	37
ECB_00057	168
ECB_00058	202
ECB_00059	19
ECB_00060	3
ECB_00061	15
ECB_00062	14
ECB_00063	0
ECB_00064	4
ECB_00065	2
ECB_00066	18
ECB_00067	47
ECB_00068	3
ECB_00069	2
ECB_00070	0
ECB_00071	5
ECB_00072	24
ECB_00073	179
ECB_00074	132
ECB_00075	103
ECB_00076	201
ECB_00077	254
ECB_00078	0
ECB_00079	180
ECB_00080	74
ECB_00081	155
ECB_00082	83
ECB_00083	123
ECB_00084	63
ECB_00085	1132
ECB_00086	109
ECB_00087	41
ECB_00088	49
ECB_00089	75
ECB_00090	18
ECB_00091	36
ECB_00092	57
ECB_00093	94
ECB_00094	52
ECB_00095	247
ECB_00096	474
ECB_00097	1781
ECB_00098	29
ECB_00099	601
ECB_00100	2
ECB_00101	14
ECB_00102	10
ECB_00103	7
ECB_00104	97
ECB_00105	0
ECB_00106	5
ECB_00107	0
ECB_00108	23
ECB_00109	15
ECB_00110	37
ECB_00111	252
ECB_00112	12
ECB_00113	1792
ECB_00114	666
ECB_00115	1206
ECB_00116	3
ECB_00117	1660
ECB_00118	32
ECB_00119	19
ECB_00120	20
ECB_00121	36
ECB_00122	76
ECB_00123	159
ECB_00124	80
ECB_00125	128
ECB_00126	27
ECB_00127	84
ECB_00128	33
ECB_00129	18
ECB_00130	111
ECB_00131	4
ECB_00132	42
ECB_00133	27
ECB_00134	9
ECB_00135	0
ECB_00136	0
ECB_00137	0
ECB_00138	0
ECB_00139	0
ECB_00140	1
ECB_00141	2
ECB_00142	23
ECB_00143	0
ECB_00144	368
ECB_00145	212
ECB_00146	5
ECB_00147	11
ECB_00148	66
ECB_00149	50
ECB_00150	3
ECB_00151	8
ECB_00152	7
ECB_00153	299
ECB_00154	26
ECB_00155	146
ECB_00156	3
ECB_00157	1
ECB_00158	153
ECB_00159	38
ECB_00160	200
ECB_00161	52
ECB_00162	339
ECB_00163	3
ECB_00164	195
ECB_00165	57
ECB_00166	79
ECB_00167	494
ECB_00168	370
ECB_00169	14
ECB_00170	435
ECB_00171	18
ECB_00172	41
ECB_00173	35
ECB_00174	102
ECB_00175	452
ECB_00176	1208
ECB_00177	287
ECB_00178	103
ECB_00179	55
ECB_00180	24
ECB_00181	7
ECB_00182	123
ECB_00183	81
ECB_00184	7
ECB_00185	13
ECB_00186	8
ECB_00187	72
ECB_00188	110
ECB_00189	17
ECB_00190	2
ECB_00191	11
ECB_00192	0
ECB_00193	96
ECB_00194	8
ECB_00195	12
ECB_00196	315
ECB_00197	14
ECB_00198	11
ECB_00199	19
ECB_00200	14
ECB_00201	14
ECB_00202	51
ECB_00203	15
ECB_00204	28
ECB_00205	12
ECB_00206	17
ECB_00207	7
ECB_00208	7
ECB_00209	0
ECB_00210	1
ECB_00211	2
ECB_00212	1
ECB_00213	0
ECB_00214	25
ECB_00215	34
ECB_00216	1524
ECB_00217	124
ECB_00218	32
ECB_00219	9
ECB_00220	7
ECB_00221	15
ECB_00222	0
ECB_00223	1
ECB_00224	2
ECB_00225	0
ECB_00226	11
ECB_00227	5
ECB_00228	0
ECB_00229	0
ECB_00230	0
ECB_00231	0
ECB_00232	115
ECB_00233	4
ECB_00234	25
ECB_00235	378
ECB_00236	1
ECB_00237	1
ECB_00238	1
ECB_00239	18
ECB_00240	45
ECB_00241	1
ECB_00242	0
ECB_00243	6
ECB_00244	1
ECB_00245	2
ECB_00246	80
ECB_00247	4
ECB_00248	2
ECB_00249	4
ECB_00250	1
ECB_00251	0
ECB_00252	3
ECB_00253	0
ECB_00254	5
ECB_00255	9
ECB_00256	34
ECB_00257	3
ECB_00258	0
ECB_00259	0
ECB_00260	3
ECB_00261	0
ECB_00262	4
ECB_00263	4
ECB_00264	1
ECB_00265	7
ECB_00266	0
ECB_00267	33
ECB_00268	37
ECB_00269	7
ECB_00270	28
ECB_00271	1
ECB_00272	4
ECB_00273	0
ECB_00274	2
ECB_00275	0
ECB_00276	0
ECB_00277	1
ECB_00278	3
ECB_00279	9
ECB_00280	10
ECB_00281	2
ECB_00282	2
ECB_00283	14
ECB_00284	16
ECB_00285	52
ECB_00286	0
ECB_00287	1
ECB_00288	1
ECB_00289	0
ECB_00290	1
ECB_00291	21
ECB_00292	1
ECB_00293	0
ECB_00294	2
ECB_00295	1
ECB_00296	0
ECB_00297	0
ECB_00298	2
ECB_00299	41
ECB_00300	342
ECB_00301	1
ECB_00302	3
ECB_00303	2
ECB_00304	1
ECB_00305	2
ECB_00306	15
ECB_00307	1
ECB_00308	9
ECB_00309	9
ECB_00310	11
ECB_00311	3
ECB_00312	15
ECB_00313	0
ECB_00314	0
ECB_00315	19
ECB_00316	7
ECB_00317	18
ECB_00318	33
ECB_00319	152
ECB_00320	0
ECB_00321	4
ECB_00322	1
ECB_00323	39
ECB_00324	12
ECB_00325	19
ECB_00326	7
ECB_00327	149
ECB_00328	29
ECB_00329	11
ECB_00330	0
ECB_00331	8
ECB_00332	7
ECB_00333	39
ECB_00334	10
ECB_00335	41
ECB_00336	42
ECB_00337	3
ECB_00338	99
ECB_00339	3
ECB_00340	2
ECB_00341	1
ECB_00342	2
ECB_00343	23
ECB_00344	7
ECB_00345	15
ECB_00346	11
ECB_00347	10
ECB_00348	3
ECB_00349	25
ECB_00350	10
ECB_00351	139
ECB_00352	3
ECB_00353	13
ECB_00354	34
ECB_00355	55
ECB_00356	143
ECB_00357	48
ECB_00358	18
ECB_00359	80
ECB_00360	1
ECB_00361	43
ECB_00362	24
ECB_00363	7
ECB_00364	23
ECB_00365	9
ECB_00366	49
ECB_00367	106
ECB_00368	49
ECB_00369	18
ECB_00370	6
ECB_00371	17
ECB_00372	30
ECB_00373	30
ECB_00374	54
ECB_00375	3
ECB_00376	0
ECB_00377	2
ECB_00378	2
ECB_00379	295
ECB_00380	181
ECB_00381	265
ECB_00382	738
ECB_00383	383
ECB_00384	18
ECB_00385	11
ECB_00386	400
ECB_00387	457
ECB_00388	159
ECB_00389	432
ECB_00390	12
ECB_00391	12
ECB_00392	1095
ECB_00393	95
ECB_00394	6
ECB_00395	4
ECB_00396	85
ECB_00397	116
ECB_00398	32
ECB_00399	10
ECB_00400	15
ECB_00401	21
ECB_00402	243
ECB_00403	1904
ECB_00404	18
ECB_00405	2
ECB_00406	2
ECB_00407	3
ECB_00408	16
ECB_00409	4
ECB_00410	4
ECB_00411	2
ECB_00412	34
ECB_00413	223
ECB_00414	100
ECB_00415	0
ECB_00416	22
ECB_00417	7
ECB_00418	15
ECB_00419	1
ECB_00420	5
ECB_00421	67
ECB_00422	24
ECB_00423	57
ECB_00424	199
ECB_00425	80
ECB_00426	8
ECB_00427	6
ECB_00428	8
ECB_00429	11
ECB_00430	3
ECB_00431	70
ECB_00432	2
ECB_00433	27
ECB_00434	21
ECB_00435	132
ECB_00436	0
ECB_00437	1
ECB_00438	36
ECB_00439	9
ECB_00440	22
ECB_00441	4
ECB_00442	4
ECB_00443	43
ECB_00444	26
ECB_00445	15
ECB_00446	8
ECB_00447	11
ECB_00448	8
ECB_00449	5
ECB_00450	2
ECB_00451	0
ECB_00452	0
ECB_00453	2
ECB_00454	3
ECB_00455	0
ECB_00456	113
ECB_00457	1
ECB_00458	0
ECB_00459	0
ECB_00460	0
ECB_00461	0
ECB_00462	0
ECB_00463	0
ECB_00464	1
ECB_00465	5
ECB_00466	7
ECB_00467	0
ECB_00468	0
ECB_00469	0
ECB_00470	1
ECB_00471	1
ECB_00472	10
ECB_00473	0
ECB_00474	9
ECB_00475	316
ECB_00476	66
ECB_00477	1
ECB_00478	23
ECB_00479	19
ECB_00480	0
ECB_00481	0
ECB_00482	2
ECB_00483	0
ECB_00484	2
ECB_00485	0
ECB_00486	28
ECB_00487	0
ECB_00488	0
ECB_00489	0
ECB_00490	0
ECB_00491	1
ECB_00492	0
ECB_00493	1
ECB_00494	1
ECB_00495	2
ECB_00496	4
ECB_00497	0
ECB_00498	0
ECB_00499	0
ECB_00500	0
ECB_00501	0
ECB_00502	0
ECB_00503	48
ECB_00504	2
ECB_00505	0
ECB_00506	1
ECB_00507	1
ECB_00508	0
ECB_00509	40
ECB_00510	0
ECB_00511	1
ECB_00512	12
ECB_00513	1
ECB_00514	0
ECB_00515	0
ECB_00516	0
ECB_00517	1
ECB_00518	0
ECB_00519	113
ECB_00520	1
ECB_00521	1
ECB_00522	2
ECB_00523	4
ECB_00524	0
ECB_00525	2
ECB_00526	0
ECB_00527	0
ECB_00528	0
ECB_00529	0
ECB_00530	0
ECB_00531	0
ECB_00532	18
ECB_00533	107
ECB_00534	44
ECB_00535	96
ECB_00536	142
ECB_00537	30
ECB_00538	8
ECB_00539	46
ECB_00540	8
ECB_00541	3
ECB_00542	6
ECB_00543	3
ECB_00544	6
ECB_00545	1
ECB_00546	0
ECB_00547	0
ECB_00548	11
ECB_00549	8
ECB_00550	33
ECB_00551	3
ECB_00552	0
ECB_00553	8
ECB_00554	0
ECB_00555	9
ECB_00556	5
ECB_00557	1
ECB_00558	2
ECB_00559	1
ECB_00560	0
ECB_00561	8
ECB_00562	13
ECB_00563	25
ECB_00564	19
ECB_00565	1839
ECB_00566	12
ECB_00567	11
ECB_00568	10
ECB_00569	1
ECB_00570	0
ECB_00571	2
ECB_00572	0
ECB_00573	10
ECB_00574	380
ECB_00575	73
ECB_00576	101
ECB_00577	6
ECB_00578	20
ECB_00579	16
ECB_00580	3
ECB_00581	0
ECB_00582	0
ECB_00583	6
ECB_00584	0
ECB_00585	0
ECB_00586	0
ECB_00587	1
ECB_00588	0
ECB_00589	5
ECB_00590	0
ECB_00591	2
ECB_00592	2
ECB_00593	19
ECB_00594	8
ECB_00595	18
ECB_00596	765
ECB_00597	140
ECB_00598	0
ECB_00599	2
ECB_00600	4
ECB_00601	56
ECB_00602	42
ECB_00603	20
ECB_00604	9
ECB_00605	4
ECB_00606	11
ECB_00607	8
ECB_00608	4
ECB_00609	13
ECB_00610	48
ECB_00611	138
ECB_00612	272
ECB_00613	2
ECB_00614	0
ECB_00615	3
ECB_00616	2
ECB_00617	46
ECB_00618	260
ECB_00619	2
ECB_00620	6
ECB_00621	180
ECB_00622	152
ECB_00623	2631
ECB_00624	6
ECB_00625	7
ECB_00626	29
ECB_00627	10
ECB_00628	20
ECB_00629	25
ECB_00630	33
ECB_00631	369
ECB_00632	78
ECB_00633	88
ECB_00634	237
ECB_00635	116
ECB_00636	832
ECB_00637	114
ECB_00638	44
ECB_00639	5
ECB_00640	103
ECB_00641	129
ECB_00642	6
ECB_00643	3
ECB_00644	57
ECB_00645	223
ECB_00646	0
ECB_00647	1
ECB_00648	3
ECB_00649	0
ECB_00650	0
ECB_00651	2
ECB_00652	10
ECB_00653	0
ECB_00654	3
ECB_00655	0
ECB_00656	0
ECB_00657	21
ECB_00658	1
ECB_00659	0
ECB_00660	4
ECB_00661	2
ECB_00662	2
ECB_00663	0
ECB_00664	0
ECB_00665	0
ECB_00666	0
ECB_00667	2
ECB_00668	3
ECB_00669	8
ECB_00670	118
ECB_00671	41
ECB_00672	77
ECB_00673	16
ECB_00674	5
ECB_00675	1
ECB_00676	1
ECB_00677	0
ECB_00678	0
ECB_00679	1
ECB_00680	1582
ECB_00681	96
ECB_00682	75
ECB_00683	1441
ECB_00684	1546
ECB_00685	1720
ECB_00686	1216
ECB_00687	414
ECB_00688	346
ECB_00689	3
ECB_00690	1
ECB_00691	5
ECB_00692	236
ECB_00693	241
ECB_00694	77
ECB_00695	65
ECB_00696	12
ECB_00697	8
ECB_00698	43
ECB_00699	33
ECB_00700	224
ECB_00701	282
ECB_00702	53
ECB_00703	15
ECB_00704	32
ECB_00705	11
ECB_00706	4
ECB_00707	138
ECB_00708	1262
ECB_00709	51
ECB_00710	66
ECB_00711	20
ECB_00712	63
ECB_00713	30
ECB_00714	5
ECB_00715	72
ECB_00716	7
ECB_00717	3
ECB_00718	7
ECB_00719	3
ECB_00720	83
ECB_00721	0
ECB_00722	0
ECB_00723	0
ECB_00724	5
ECB_00725	6
ECB_00726	8
ECB_00727	0
ECB_00728	0
ECB_00729	0
ECB_00730	0
ECB_00731	1
ECB_00732	1
ECB_00733	0
ECB_00734	2
ECB_00735	0
ECB_00736	1
ECB_00737	1
ECB_00738	0
ECB_00739	4
ECB_00740	4
ECB_00741	1
ECB_00742	1
ECB_00743	0
ECB_00744	3
ECB_00745	0
ECB_00746	149
ECB_00747	10
ECB_00748	15
ECB_00749	21
ECB_00750	6
ECB_00751	4
ECB_00752	24
ECB_00753	216
ECB_00754	2
ECB_00755	2
ECB_00756	7
ECB_00757	4
ECB_00758	401
ECB_00759	9
ECB_00760	6
ECB_00761	26
ECB_00762	23
ECB_00763	76
ECB_00764	2
ECB_00765	4
ECB_00766	59
ECB_00767	111
ECB_00768	112
ECB_00769	13
ECB_00770	1
ECB_00771	0
ECB_00772	1
ECB_00773	2
ECB_00774	0
ECB_00775	4
ECB_00776	122
ECB_00777	83
ECB_00778	1746
ECB_00779	137
ECB_00780	1
ECB_00781	346
ECB_00782	3
ECB_00783	0
ECB_00784	14
ECB_00785	19
ECB_00786	11
ECB_00787	27
ECB_00788	6
ECB_00789	9
ECB_00790	4
ECB_00791	0
ECB_00792	2
ECB_00793	27
ECB_00794	35
ECB_00795	42
ECB_00796	34
ECB_00797	89
ECB_00798	12
ECB_00799	5
ECB_00800	1
ECB_00801	3
ECB_00802	2
ECB_00803	329
ECB_00804	4
ECB_00805	106
ECB_00806	132
ECB_00807	15
ECB_00808	17
ECB_00809	2
ECB_00810	2
ECB_00811	6
ECB_00812	4
ECB_00813	6
ECB_00814	28
ECB_00815	17
ECB_00816	8
ECB_00817	30
ECB_00818	2
ECB_00819	5
ECB_00820	0
ECB_00821	1
ECB_00822	1
ECB_00823	0
ECB_00824	3
ECB_00825	5
ECB_00826	15
ECB_00827	18
ECB_00828	30
ECB_00829	0
ECB_00830	29
ECB_00831	54
ECB_00832	19
ECB_00833	6
ECB_00834	93
ECB_00835	6
ECB_00836	13
ECB_00837	10
ECB_00838	36
ECB_00839	7
ECB_00840	12
ECB_00841	16
ECB_00842	16
ECB_00843	48
ECB_00844	35
ECB_00845	43
ECB_00846	13
ECB_00847	3
ECB_00848	2
ECB_00849	0
ECB_00850	1
ECB_00851	9
ECB_00852	4
ECB_00853	2
ECB_00854	11
ECB_00855	15
ECB_00856	7
ECB_00857	16
ECB_00858	17
ECB_00859	182
ECB_00860	27
ECB_00861	24
ECB_00862	289
ECB_00863	3
ECB_00864	0
ECB_00865	216
ECB_00866	4
ECB_00867	3
ECB_00868	37
ECB_00869	14
ECB_00870	6
ECB_00871	12
ECB_00872	22
ECB_00873	5
ECB_00874	22
ECB_00875	72
ECB_00876	40
ECB_00877	1
ECB_00878	1
ECB_00879	2
ECB_00880	5
ECB_00881	23
ECB_00882	65
ECB_00883	16
ECB_00884	13
ECB_00885	308
ECB_00886	172
ECB_00887	1200
ECB_00888	17
ECB_00889	9
ECB_00890	37
ECB_00891	14
ECB_00892	59
ECB_00893	900
ECB_00894	115
ECB_00895	65
ECB_00896	24
ECB_00897	117
ECB_00898	8
ECB_00899	19
ECB_00900	36
ECB_00901	5
ECB_00902	5
ECB_00903	4
ECB_00904	10
ECB_00905	1
ECB_00906	45
ECB_00907	1219
ECB_00908	16
ECB_00909	6
ECB_00910	9
ECB_00911	207
ECB_00912	68
ECB_00913	1
ECB_00914	4
ECB_00915	947
ECB_00916	237
ECB_00917	7
ECB_00918	65
ECB_00919	18
ECB_00920	1
ECB_00921	13
ECB_00922	42
ECB_00923	31
ECB_00924	3
ECB_00925	17
ECB_00926	29
ECB_00927	15
ECB_00928	232
ECB_00929	297
ECB_00930	86
ECB_00931	81
ECB_00932	588
ECB_00933	32671
ECB_00934	130
ECB_00935	19
ECB_00936	507
ECB_00937	8
ECB_00938	3
ECB_00939	0
ECB_00940	0
ECB_00941	1
ECB_00942	1
ECB_00943	0
ECB_00944	2
ECB_00945	1
ECB_00946	1
ECB_00947	1
ECB_00948	2
ECB_00949	2
ECB_00950	5
ECB_00951	34
ECB_00952	20
ECB_00953	29
ECB_00954	12
ECB_00955	24
ECB_00956	12
ECB_00957	1055
ECB_00958	48
ECB_00959	28
ECB_00960	55
ECB_00961	6889
ECB_00962	61
ECB_00963	16
ECB_00964	10
ECB_00965	1
ECB_00966	37
ECB_00967	165
ECB_00968	1
ECB_00969	24
ECB_00970	45
ECB_00971	32
ECB_00972	9
ECB_00973	7
ECB_00974	149
ECB_00975	1
