gene_ID	count
ECB_00001	11
ECB_00002	51
ECB_00003	45
ECB_00004	37
ECB_00005	14
ECB_00006	1
ECB_00007	1
ECB_00008	131
ECB_00009	15
ECB_00010	1
ECB_00011	2
ECB_00012	0
ECB_00013	0
ECB_00014	122
ECB_00015	6
ECB_00016	1
ECB_00017	2
ECB_00018	17
ECB_00019	2
ECB_00020	0
ECB_00021	0
ECB_00022	0
ECB_00023	0
ECB_00024	1
ECB_00025	0
ECB_00026	1
ECB_00027	45
ECB_00028	0
ECB_00029	10
ECB_00030	34
ECB_00031	16
ECB_00032	1
ECB_00033	6
ECB_00034	1
ECB_00035	14
ECB_00036	7
ECB_00037	33
ECB_00038	1
ECB_00039	1
ECB_00040	0
ECB_00041	0
ECB_00042	0
ECB_00043	9
ECB_00044	2
ECB_00045	0
ECB_00046	0
ECB_00047	0
ECB_00048	0
ECB_00049	2
ECB_00050	1
ECB_00051	4
ECB_00052	5
ECB_00053	5
ECB_00054	0
ECB_00055	4
ECB_00056	12
ECB_00057	25
ECB_00058	53
ECB_00059	8
ECB_00060	9
ECB_00061	6
ECB_00062	7
ECB_00063	0
ECB_00064	0
ECB_00065	1
ECB_00066	9
ECB_00067	23
ECB_00068	0
ECB_00069	0
ECB_00070	0
ECB_00071	5
ECB_00072	11
ECB_00073	144
ECB_00074	38
ECB_00075	9
ECB_00076	4
ECB_00077	60
ECB_00078	0
ECB_00079	19
ECB_00080	4
ECB_00081	45
ECB_00082	37
ECB_00083	38
ECB_00084	15
ECB_00085	511
ECB_00086	17
ECB_00087	6
ECB_00088	12
ECB_00089	19
ECB_00090	2
ECB_00091	12
ECB_00092	9
ECB_00093	37
ECB_00094	17
ECB_00095	88
ECB_00096	118
ECB_00097	1103
ECB_00098	19
ECB_00099	242
ECB_00100	3
ECB_00101	3
ECB_00102	2
ECB_00103	5
ECB_00104	14
ECB_00105	0
ECB_00106	3
ECB_00107	0
ECB_00108	11
ECB_00109	25
ECB_00110	14
ECB_00111	26
ECB_00112	11
ECB_00113	615
ECB_00114	213
ECB_00115	224
ECB_00116	1
ECB_00117	148
ECB_00118	86
ECB_00119	3
ECB_00120	7
ECB_00121	15
ECB_00122	11
ECB_00123	78
ECB_00124	21
ECB_00125	28
ECB_00126	10
ECB_00127	18
ECB_00128	26
ECB_00129	5
ECB_00130	47
ECB_00131	4
ECB_00132	6
ECB_00133	15
ECB_00134	7
ECB_00135	1
ECB_00136	0
ECB_00137	0
ECB_00138	0
ECB_00139	0
ECB_00140	0
ECB_00141	0
ECB_00142	2
ECB_00143	0
ECB_00144	116
ECB_00145	134
ECB_00146	1
ECB_00147	4
ECB_00148	14
ECB_00149	104
ECB_00150	0
ECB_00151	6
ECB_00152	7
ECB_00153	73
ECB_00154	13
ECB_00155	103
ECB_00156	2
ECB_00157	0
ECB_00158	101
ECB_00159	6
ECB_00160	20
ECB_00161	46
ECB_00162	164
ECB_00163	3
ECB_00164	38
ECB_00165	6
ECB_00166	46
ECB_00167	149
ECB_00168	39
ECB_00169	7
ECB_00170	152
ECB_00171	12
ECB_00172	11
ECB_00173	12
ECB_00174	14
ECB_00175	77
ECB_00176	431
ECB_00177	88
ECB_00178	61
ECB_00179	23
ECB_00180	5
ECB_00181	4
ECB_00182	22
ECB_00183	27
ECB_00184	4
ECB_00185	5
ECB_00186	0
ECB_00187	46
ECB_00188	66
ECB_00189	6
ECB_00190	5
ECB_00191	13
ECB_00192	3
ECB_00193	33
ECB_00194	4
ECB_00195	10
ECB_00196	103
ECB_00197	7
ECB_00198	3
ECB_00199	15
ECB_00200	6
ECB_00201	16
ECB_00202	33
ECB_00203	8
ECB_00204	12
ECB_00205	4
ECB_00206	25
ECB_00207	6
ECB_00208	5
ECB_00209	0
ECB_00210	0
ECB_00211	0
ECB_00212	0
ECB_00213	0
ECB_00214	17
ECB_00215	16
ECB_00216	3235
ECB_00217	44
ECB_00218	4
ECB_00219	1
ECB_00220	8
ECB_00221	37
ECB_00222	0
ECB_00223	0
ECB_00224	0
ECB_00225	0
ECB_00226	16
ECB_00227	1
ECB_00228	0
ECB_00229	0
ECB_00230	0
ECB_00231	0
ECB_00232	36
ECB_00233	2
ECB_00234	16
ECB_00235	278
ECB_00236	1
ECB_00237	2
ECB_00238	1
ECB_00239	5
ECB_00240	7
ECB_00241	2
ECB_00242	1
ECB_00243	0
ECB_00244	0
ECB_00245	0
ECB_00246	37
ECB_00247	2
ECB_00248	3
ECB_00249	0
ECB_00250	1
ECB_00251	0
ECB_00252	0
ECB_00253	3
ECB_00254	3
ECB_00255	1
ECB_00256	12
ECB_00257	0
ECB_00258	0
ECB_00259	0
ECB_00260	0
ECB_00261	0
ECB_00262	0
ECB_00263	1
ECB_00264	0
ECB_00265	7
ECB_00266	0
ECB_00267	8
ECB_00268	22
ECB_00269	26
ECB_00270	54
ECB_00271	2
ECB_00272	3
ECB_00273	0
ECB_00274	2
ECB_00275	0
ECB_00276	2
ECB_00277	0
ECB_00278	0
ECB_00279	8
ECB_00280	4
ECB_00281	0
ECB_00282	0
ECB_00283	19
ECB_00284	10
ECB_00285	7
ECB_00286	0
ECB_00287	0
ECB_00288	0
ECB_00289	0
ECB_00290	2
ECB_00291	2
ECB_00292	3
