gene_ID	count
ECB_00001	25
ECB_00002	138
ECB_00003	44
ECB_00004	101
ECB_00005	11
ECB_00006	2
ECB_00007	0
ECB_00008	90
ECB_00009	7
ECB_00010	3
ECB_00011	0
ECB_00012	0
ECB_00013	0
ECB_00014	56
ECB_00015	6
ECB_00016	3
ECB_00017	1
ECB_00018	4
ECB_00019	3
ECB_00020	0
ECB_00021	0
ECB_00022	0
ECB_00023	0
ECB_00024	1
ECB_00025	0
ECB_00026	4
ECB_00027	118
ECB_00028	0
ECB_00029	13
ECB_00030	88
ECB_00031	41
ECB_00032	3
ECB_00033	14
ECB_00034	1
ECB_00035	7
ECB_00036	19
ECB_00037	123
ECB_00038	1
ECB_00039	0
ECB_00040	0
ECB_00041	0
ECB_00042	0
ECB_00043	3
ECB_00044	0
ECB_00045	0
ECB_00046	0
ECB_00047	0
ECB_00048	0
ECB_00049	0
ECB_00050	0
ECB_00051	0
ECB_00052	4
ECB_00053	4
ECB_00054	3
ECB_00055	10
ECB_00056	20
ECB_00057	91
ECB_00058	73
ECB_00059	6
ECB_00060	4
ECB_00061	6
ECB_00062	7
ECB_00063	1
ECB_00064	0
ECB_00065	2
ECB_00066	2
ECB_00067	18
ECB_00068	0
ECB_00069	0
ECB_00070	1
ECB_00071	4
ECB_00072	9
ECB_00073	55
ECB_00074	71
ECB_00075	58
ECB_00076	41
ECB_00077	65
ECB_00078	2
ECB_00079	31
ECB_00080	26
ECB_00081	27
ECB_00082	17
ECB_00083	16
ECB_00084	7
ECB_00085	78
ECB_00086	19
ECB_00087	12
ECB_00088	16
ECB_00089	24
ECB_00090	14
ECB_00091	8
ECB_00092	50
ECB_00093	29
ECB_00094	16
ECB_00095	137
ECB_00096	147
ECB_00097	460
ECB_00098	17
ECB_00099	300
ECB_00100	9
ECB_00101	2
ECB_00102	5
ECB_00103	1
ECB_00104	9
ECB_00105	0
ECB_00106	3
ECB_00107	0
ECB_00108	5
ECB_00109	5
ECB_00110	7
ECB_00111	109
ECB_00112	6
ECB_00113	717
ECB_00114	230
ECB_00115	256
ECB_00116	0
ECB_00117	491
ECB_00118	5
ECB_00119	21
ECB_00120	14
ECB_00121	11
ECB_00122	20
ECB_00123	165
ECB_00124	36
ECB_00125	41
ECB_00126	9
ECB_00127	17
ECB_00128	4
ECB_00129	8
ECB_00130	24
ECB_00131	6
ECB_00132	16
ECB_00133	8
ECB_00134	2
ECB_00135	0
ECB_00136	1
ECB_00137	0
ECB_00138	0
ECB_00139	0
ECB_00140	0
ECB_00141	0
ECB_00142	11
ECB_00143	0
ECB_00144	48
ECB_00145	15
ECB_00146	1
ECB_00147	2
ECB_00148	24
ECB_00149	9
ECB_00150	2
ECB_00151	1
ECB_00152	9
ECB_00153	31
ECB_00154	7
ECB_00155	61
ECB_00156	0
ECB_00157	6
ECB_00158	25
ECB_00159	6
ECB_00160	22
ECB_00161	9
ECB_00162	24
ECB_00163	0
ECB_00164	48
ECB_00165	6
ECB_00166	26
ECB_00167	604
ECB_00168	366
ECB_00169	11
ECB_00170	145
ECB_00171	8
ECB_00172	24
ECB_00173	9
ECB_00174	60
ECB_00175	270
ECB_00176	325
ECB_00177	257
ECB_00178	48
ECB_00179	29
ECB_00180	13
ECB_00181	7
ECB_00182	64
ECB_00183	69
ECB_00184	1
ECB_00185	4
ECB_00186	2
ECB_00187	10
ECB_00188	6
ECB_00189	7
ECB_00190	0
ECB_00191	3
ECB_00192	1
ECB_00193	37
ECB_00194	2
ECB_00195	10
ECB_00196	66
ECB_00197	8
ECB_00198	2
ECB_00199	9
ECB_00200	4
ECB_00201	5
ECB_00202	16
ECB_00203	1
ECB_00204	25
ECB_00205	0
ECB_00206	15
ECB_00207	3
ECB_00208	7
ECB_00209	0
ECB_00210	0
ECB_00211	1
ECB_00212	0
ECB_00213	0
ECB_00214	14
ECB_00215	3
ECB_00216	172
ECB_00217	16
ECB_00218	4
ECB_00219	1
ECB_00220	4
ECB_00221	2
ECB_00222	0
ECB_00223	1
ECB_00224	1
ECB_00225	0
ECB_00226	2
ECB_00227	0
ECB_00228	0
ECB_00229	0
ECB_00230	0
ECB_00231	0
ECB_00232	52
ECB_00233	2
ECB_00234	7
ECB_00235	93
ECB_00236	1
ECB_00237	1
ECB_00238	0
ECB_00239	8
ECB_00240	10
ECB_00241	0
ECB_00242	6
ECB_00243	1
ECB_00244	0
ECB_00245	0
ECB_00246	23
ECB_00247	2
ECB_00248	1
ECB_00249	1
ECB_00250	1
ECB_00251	0
ECB_00252	2
ECB_00253	1
ECB_00254	0
ECB_00255	0
ECB_00256	4
ECB_00257	0
ECB_00258	0
ECB_00259	0
ECB_00260	0
ECB_00261	0
ECB_00262	1
ECB_00263	2
ECB_00264	1
ECB_00265	2
ECB_00266	0
ECB_00267	18
ECB_00268	26
ECB_00269	14
ECB_00270	31
ECB_00271	1
ECB_00272	10
ECB_00273	0
ECB_00274	1
ECB_00275	0
ECB_00276	0
ECB_00277	0
ECB_00278	0
ECB_00279	4
ECB_00280	3
ECB_00281	0
ECB_00282	0
ECB_00283	1
ECB_00284	2
ECB_00285	1
ECB_00286	0
ECB_00287	0
ECB_00288	0
