,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
3509,YP_003046743.1,0.428651442487932,-0.196944695696316,1.05253706202608,-0.187114262102283,0.851571046107086,NA,glvBC,ECB_03566,,-1,protein,Sta,carbonSource,glucoselactate
3510,YP_003046744.1,0.806675612654388,-0.184238623736081,1.08587852056814,-0.169667803761038,0.865271395777636,NA,yidE,ECB_03568,b3685,-1,protein,Sta,carbonSource,glucoselactate
3511,YP_003046745.1,1.1782395689157,0.138346334893676,1.08538956168853,0.127462378280524,0.898574448043288,0.951482524153184,ibpB,ECB_03569,b3686,1,protein,Sta,carbonSource,glucoselactate
3512,YP_003046746.1,26.9020580328095,0.655840049379271,0.475059016972727,1.38054436595805,0.167419099365128,0.432004189593525,ibpA,ECB_03570,b3687,1,protein,Sta,carbonSource,glucoselactate
3513,YP_003046747.1,6.55253975714371,2.10187449149004,0.687168339845686,3.05874757262834,0.00222264344436174,0.0382468377819188,yidQ,ECB_03571,b3688,1,protein,Sta,carbonSource,glucoselactate
3514,YP_003046748.1,15.1126529270062,0.443964751383115,0.543064024155861,0.817518251320762,0.413632323466373,0.658943164926995,yidR,ECB_03572,b3689,1,protein,Sta,carbonSource,glucoselactate
3515,YP_003046749.1,0.606795356679978,-0.832017735042132,1.0184566560108,-0.816939758930017,0.413962855114303,NA,yidS,ECB_03573,b3690,-1,protein,Sta,carbonSource,glucoselactate
3516,YP_003046750.1,0.102861589185509,-0.420858167341788,0.858181153904708,-0.490407142392828,0.623845823548899,NA,dgoT,ECB_03574,b3691,-1,protein,Sta,carbonSource,glucoselactate
3517,YP_003046751.1,2.39532592408179,0.565905557778296,0.944001386352537,0.599475346074289,0.548855945716369,0.760096301294602,dgoD,ECB_03575,b4478,1,protein,Sta,carbonSource,glucoselactate
3518,YP_003046752.1,0.113125743225429,-0.419760760414888,0.857504343426503,-0.489514442268088,0.62447753236315,NA,dgoA,ECB_03576,b4477,-1,protein,Sta,carbonSource,glucoselactate
3519,YP_003046753.1,0.61888086895774,1.15062268146274,1.09537556314932,1.05043669054893,0.29351738406485,NA,dgoK,ECB_03577,b3693,1,protein,Sta,carbonSource,glucoselactate
3520,YP_003046754.1,5.74162735494933,0.833751109831923,0.567888883953544,1.46815888352576,0.142061069929466,0.403649384903034,dgoR,ECB_03578,b4479,1,protein,Sta,carbonSource,glucoselactate
3521,YP_003046755.1,0.241929403122304,-0.563088214733604,0.933139140199375,-0.603434354509332,0.546219773727202,NA,yidX,ECB_03579,b3696,-1,protein,Sta,carbonSource,glucoselactate
3522,YP_003046756.1,30.6101023052764,-0.764159489711193,0.550091233574933,-1.38915045917942,0.164787002625007,0.429196177015744,yidA,ECB_03580,b3697,-1,protein,Sta,carbonSource,glucoselactate
3523,YP_003046757.1,5.60885184504167,1.05297033662629,0.75732305188277,1.39038463705615,0.164412109071594,0.429172897175271,yidB,ECB_03581,b3698,1,protein,Sta,carbonSource,glucoselactate
3524,YP_003046758.1,123.5195733802,0.337979849513003,0.421497600357356,0.801854741821676,0.422636988558204,0.662882960219421,gyrB,ECB_03582,b3699,1,protein,Sta,carbonSource,glucoselactate
3525,YP_003046759.1,0.923670670149022,-1.72955929115953,1.0954337230231,-1.57888081661976,0.114363396906578,0.371845951995197,recF,ECB_03583,b3700,-1,protein,Sta,carbonSource,glucoselactate
3526,YP_003046760.1,16.8510023899338,1.04998298178553,0.472453944676877,2.22240282595934,0.0262560945346376,0.182317600251753,dnaN,ECB_03584,b3701,1,protein,Sta,carbonSource,glucoselactate
3527,YP_003046761.1,24.3309892082305,0.817227480884172,0.439402317472821,1.85986156282555,0.0629051146836943,0.285848241724434,dnaA,ECB_03585,b3702,1,protein,Sta,carbonSource,glucoselactate
3528,YP_003046762.1,4.15384875762597,0.989430466062852,0.823802297524373,1.2010532976616,0.229730527499231,0.497109311371089,rpmH,ECB_03586,b3703,1,protein,Sta,carbonSource,glucoselactate
3529,YP_003046763.1,5.03673802243578,0.664310610921265,0.651503604770558,1.0196576136447,0.307890870589728,0.565878239477924,rnpA,ECB_03587,b3704,1,protein,Sta,carbonSource,glucoselactate
3530,YP_003046764.1,0.0257153972963773,-0.186114260689109,0.851383399832473,-0.218602172330035,0.826959960454125,NA,yidD,ECB_03588,b4557,-1,protein,Sta,carbonSource,glucoselactate
3531,YP_003046765.1,94.7509249199484,0.0576848420411914,0.529208048578061,0.109002200923032,0.91320074465461,0.957756572247008,yidC,ECB_03589,b3705,1,protein,Sta,carbonSource,glucoselactate
3532,YP_003046766.1,22.5165511457355,0.348394233140248,0.472220336164061,0.737778969813803,0.460648774834702,0.689360788557632,trmE,ECB_03590,b3706,1,protein,Sta,carbonSource,glucoselactate
3533,YP_003046767.1,0,NA,NA,NA,NA,NA,tnaL,ECB_03591,b3707,NA,protein,Sta,carbonSource,glucoselactate
3534,YP_003046768.1,6.16071090998315,3.56243278316647,0.941912343452676,3.78212771913362,0.000155493540629502,0.00492794913379651,tnaA,ECB_03592,b3708,1,protein,Sta,carbonSource,glucoselactate
3535,YP_003046769.1,0.5499178972308,-0.943866125252657,1.04237688079272,-0.905494109323354,0.365203679205695,NA,tnaB,ECB_03593,b3709,-1,protein,Sta,carbonSource,glucoselactate
3536,YP_003046770.1,0.0514307945927546,-0.287108419319708,0.851964242662358,-0.336995856096618,0.73612002394315,NA,yidY,ECB_03594,b3710,-1,protein,Sta,carbonSource,glucoselactate
3537,YP_003046771.1,0.839973193162091,-1.35828465175705,1.08664265988188,-1.24998281579033,0.211305824761488,NA,yidZ,ECB_03595,b3711,-1,protein,Sta,carbonSource,glucoselactate
3538,YP_003046772.1,1.55344144121064,-2.09636003476139,1.08906691398361,-1.92491389449459,0.0542401313442567,0.266034929926592,yieE,ECB_03596,b3712,-1,protein,Sta,carbonSource,glucoselactate
3539,YP_003046773.1,7.93293814031932,1.42221476110057,0.821863985451056,1.73047461170844,0.0835455134150687,0.321188972258242,yieF,ECB_03597,b3713,1,protein,Sta,carbonSource,glucoselactate
3540,YP_003046774.1,0.397487852937625,-0.907737714974289,1.03692675523896,-0.875411604906561,0.381349987691908,NA,yieG,ECB_03598,b3714,-1,protein,Sta,carbonSource,glucoselactate
3541,YP_003046775.1,3.89938314435123,0.815470961032625,0.791536274771566,1.03023826831937,0.302898169593383,0.560033115358895,yieH,ECB_03599,b3715,1,protein,Sta,carbonSource,glucoselactate
3542,YP_003046776.1,0.432246695749091,-0.956824675337708,1.04595000469228,-0.914790067446112,0.360301850140666,NA,yieI,ECB_03600,b3716,-1,protein,Sta,carbonSource,glucoselactate
3543,YP_003046777.1,0.20053608915448,-0.493601405373369,0.899203220519576,-0.54893198123574,0.583052129575053,NA,yieJ,ECB_03601,b3717,-1,protein,Sta,carbonSource,glucoselactate
3544,YP_003046778.1,2.89107500663774,2.5598820709713,0.925032065768087,2.76734414481701,0.00565150608966364,0.0698526152682425,yieK,ECB_03602,b3718,1,protein,Sta,carbonSource,glucoselactate
3545,YP_003046779.1,0.920086330268412,-0.375807845025842,1.08197993789858,-0.347333468821736,0.728340809571578,0.871892727002877,yieL,ECB_03603,b3719,-1,protein,Sta,carbonSource,glucoselactate
3546,YP_003046780.1,1.39748919483389,-0.337588093590503,1.09505680577147,-0.308283635891081,0.757866516747992,0.885371469471189,yieC,ECB_03604,b3720,-1,protein,Sta,carbonSource,glucoselactate
3547,YP_003046781.1,1.17790751849948,-0.4604753038635,1.09317776826499,-0.42122637070669,0.67358978972431,0.835062166599045,bglB,ECB_03605,b3721,-1,protein,Sta,carbonSource,glucoselactate
3548,YP_003046782.1,0.512146031510466,-0.917100225631643,1.03739954893455,-0.884037617496118,0.376675906493379,NA,bglF,ECB_03606,b3722,-1,protein,Sta,carbonSource,glucoselactate
3549,YP_003046783.1,0.606908693387472,-0.999464904661504,1.05113238686921,-0.950845885015875,0.341682615819382,NA,bglG,ECB_03607,b3723,-1,protein,Sta,carbonSource,glucoselactate
3550,YP_003046784.1,25.0763151093188,0.650495892241213,0.515540456156061,1.26177467640735,0.207029876923119,0.469520968581606,phoU,ECB_03608,b3724,1,protein,Sta,carbonSource,glucoselactate
3551,YP_003046785.1,7.73824246021267,0.558524450580454,0.621120323973591,0.899221018895851,0.36853494676631,0.623558102947514,pstB,ECB_03609,b3725,1,protein,Sta,carbonSource,glucoselactate
3552,YP_003046786.1,0.180007781074641,-0.490242547326016,0.897481839150771,-0.546242303677031,0.584899390418642,NA,pstA,ECB_03610,b3726,-1,protein,Sta,carbonSource,glucoselactate
3553,YP_003046787.1,0.277682281043612,-0.534802576378918,0.91905616358445,-0.581904129006775,0.560631259147553,NA,pstC,ECB_03611,b3727,-1,protein,Sta,carbonSource,glucoselactate
3554,YP_003046788.1,34.6223013350195,1.02178691427325,0.436438445678518,2.34119364228948,0.0192221943849316,0.150371090251743,pstS,ECB_03612,b3728,1,protein,Sta,carbonSource,glucoselactate
3555,YP_003046789.1,171.808741209291,0.286438778904966,0.497419441032408,0.57584958543328,0.564716854333035,0.771613794353462,glmS,ECB_03613,b3729,1,protein,Sta,carbonSource,glucoselactate
3556,YP_003046790.1,66.6979536019314,0.377884264420647,0.470875626462682,0.802513961615287,0.422255715510652,0.662749355947594,glmU,ECB_03614,b3730,1,protein,Sta,carbonSource,glucoselactate
3557,YP_003046791.1,47.7237137428762,0.196437620967193,0.592381299877725,0.331606721899797,0.740186243195877,0.877600016700151,atpC,ECB_03615,b3731,1,protein,Sta,carbonSource,glucoselactate
3558,YP_003046792.1,449.729140041645,0.308133585080077,0.449224318962798,0.68592365122066,0.492761254925191,0.716111594459185,atpD,ECB_03616,b3732,1,protein,Sta,carbonSource,glucoselactate
3559,YP_003046793.1,134.582675601859,0.474870589531238,0.487718095115953,0.973657927164543,0.330226413889838,0.586858156100416,atpG,ECB_03617,b3733,1,protein,Sta,carbonSource,glucoselactate
3560,YP_003046794.1,332.714334227549,0.616358691090666,0.426861506019995,1.4439313041776,0.14875829993545,0.412716630123941,atpA,ECB_03618,b3734,1,protein,Sta,carbonSource,glucoselactate
3561,YP_003046795.1,63.0070771005301,0.080643426405771,0.474178567155525,0.170069741636638,0.86495528949983,0.939029194397707,atpH,ECB_03619,b3735,1,protein,Sta,carbonSource,glucoselactate
3562,YP_003046796.1,223.301437031143,0.794090225532529,0.474840903947476,1.67232902416588,0.0944594593698781,0.34117909228172,atpF,ECB_03620,b3736,1,protein,Sta,carbonSource,glucoselactate
3563,YP_003046797.1,11.5632925108447,-0.328029671088903,0.679725611779378,-0.482591306557054,0.629385953003155,0.810020723750234,atpE,ECB_03621,b3737,-1,protein,Sta,carbonSource,glucoselactate
3564,YP_003046798.1,3.82232475788716,0.94487375464019,0.983880412726958,0.960354269093888,0.336876945628264,0.591869089973752,atpB,ECB_03622,b3738,1,protein,Sta,carbonSource,glucoselactate
3565,YP_003046799.1,0.230790766920572,-0.543478551395244,0.924324721888731,-0.587973618497101,0.556550000665319,NA,atpI,ECB_03623,b3739,-1,protein,Sta,carbonSource,glucoselactate
3566,YP_003046800.1,13.6063807834359,0.0738470321299614,0.475287814749175,0.155373291379105,0.876527038838397,0.944018612444259,gidA,ECB_03625,b3741,1,protein,Sta,carbonSource,glucoselactate
3567,YP_003046801.1,7.02538467765054,1.03163305843892,0.58113185827081,1.77521339392509,0.0758626589968329,0.307951404222481,mioC,ECB_03626,b3742,1,protein,Sta,carbonSource,glucoselactate
3568,YP_003046802.1,2.02886603741127,0.153544404267467,0.964135927348459,0.159255972018117,0.873467207214684,0.94305577949418,asnC,ECB_03627,b3743,1,protein,Sta,carbonSource,glucoselactate
