id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,vs
ECB_01339,1.9505096914632,-1.83996358888027,0.567335884763207,-3.24316447856675,0.00118209948186759,0.0135664123250528,trkG,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01340,0.0344827586206897,0.231324844254621,0.635441780270335,0.364037826024296,0.715829763402095,NA,ynaK,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01341,0.365537838430794,0.793364632509647,0.786900803173866,1.00821428737868,0.313351600400554,NA,ECB_01341,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01342,1.00821181269178,-0.360035907058055,0.608433228350333,-0.59174267656984,0.554022914144305,NA,ECB_01342,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01343,0.195072658201849,0.148859924201021,0.813537869880713,0.182978481656727,0.854814902709147,NA,ECB_01343,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01344,0.228459333608379,1.06195347320277,0.811885814030513,1.30800841060496,0.190870456589621,NA,ECB_01344,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01345,0.592897818954233,0.442252340168256,0.718047624210874,0.615909481845701,0.537954263208383,NA,pinR,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01346,0.107741916179117,-0.389748318429828,0.775301169677231,-0.50270570156896,0.615171200482844,NA,ynaE,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01347,66.4643276967389,-0.271239815110185,0.409136053274579,-0.662957500174523,0.507357773701819,0.64478510512547,ynaF,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01348,0.537213000559669,-0.364155706454778,0.763257742629246,-0.477107123997649,0.633285842032181,NA,ompN,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01349,50.9662513618775,-1.52939222803383,0.426185567853334,-3.58855940555958,0.00033251023283352,0.00657863933857933,ydbK,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01350,1.13408346161356,-0.8000080946611,0.667865270387353,-1.19785850549933,0.230972106104585,NA,ydbJ,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01351,1.97654594813571,-0.651432678969375,0.551772459151298,-1.18061832946749,0.237754378768108,0.38824679416068,hslJ,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01352,27.8981683360064,-1.33156273686485,0.378407061876626,-3.51886333796536,0.000433399900290809,0.00689559948195316,ldhA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01353,2.38197729535446,-0.383058978947219,0.49663960377444,-0.771301716649229,0.440528115091389,0.5848147783374,ydbH,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01354,0.328759074184091,-0.600686994051307,0.80324237940098,-0.747827815682822,0.454564021979188,NA,ynbE,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01355,0.124081209153656,-0.123320328409368,0.76583772370157,-0.161026709174519,0.872072364265084,NA,ydbL,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01356,2.14146371475166,-0.815776975547849,0.616863325924331,-1.3224598403957,0.186015073752347,0.332506606907264,feaR,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01357,3.46389403114185,-1.63666948852957,0.53116155693246,-3.08130260401673,0.00206097078940447,0.0197192884753214,feaB,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01358,0.500531920796073,-1.2919414950225,0.738111535015612,-1.75033370125448,0.0800607488395793,NA,tynA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01359,0.667900084242942,-0.52136268176269,0.732517105945275,-0.711741306149975,0.476624984193837,NA,insE-2,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01360,0.098881686091827,-0.910536458412591,0.776722486416067,-1.1722802858637,0.241084543867056,NA,insF-2,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01361,0.422442590704893,-0.729449269077989,0.740218078940362,-0.985451841600803,0.324402175748494,NA,ydbC,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01362,0.837061738367022,-1.88748833442567,0.729711727940471,-2.58662189759907,0.00969218813408028,NA,ydbD,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01363,0,NA,NA,NA,NA,NA,ynbA,NA,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01364,0.0215627818842407,-0.155172124311975,0.635829178342971,-0.244046875477417,0.807194515857603,NA,ynbB,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01365,1.16311367251211,-1.33752104666491,0.632515867631854,-2.11460473185061,0.0344636500346854,NA,ynbC,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01366,0.441325741496688,-0.250138140267045,0.766347790977863,-0.326402898542799,0.744119544795854,NA,ynbD,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01367,4.19809828470247,-2.05611074107711,0.577473061483586,-3.56053100692654,0.000370105602908704,0.0066438132563493,acpD,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01368,6.81560748773698,-0.831357159900517,0.46073443688573,-1.80441723766072,0.0711659227752669,0.173384466983994,hrpA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01369,0.830069275935053,-0.684530315781069,0.688164653050956,-0.99471879694231,0.319873049722976,NA,ydcF,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01370,18.5617790643091,-1.50985110292,0.379704218672516,-3.97638748444405,6.99700813591625e-05,0.00277651766789357,aldA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01371,0.328688457638268,-0.120462960642811,0.795841356101233,-0.151365545054042,0.8796873673269,NA,gapC,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01372,0,NA,NA,NA,NA,NA,insA-12,NA,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01373,0.331138268048778,0.166370517213385,0.799112798659354,0.208194034049384,0.835077466672866,NA,insB-12,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_01374,1.7955720900985,-1.20565727683109,0.633400105283558,-1.90346870291621,0.0569794137318693,0.151356367204197,cybB,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
