,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
654,YP_003043885.1,0.428551551179386,-0.690918894273186,1.37167211637355,-0.503705576592057,0.614468289012314,NA,ybgA,ECB_00667,b0707,-1,protein,Sta,carbonSource,glucoseglycerol
655,YP_003043886.1,1.36676756399677,-1.43038885212132,1.19439171988657,-1.19758771624536,0.231077560562507,0.449758365949924,phrB,ECB_00668,b0708,-1,protein,Sta,carbonSource,glucoseglycerol
656,YP_003043887.1,0.0730831479852705,-0.492515393667592,1.29841743478432,-0.379319763023211,0.70445042556564,NA,ybgH,ECB_00669,b0709,-1,protein,Sta,carbonSource,glucoseglycerol
657,YP_003043888.1,40.9534944023913,-0.835064869801373,0.566667226935136,-1.47364243088115,0.140577890639544,0.356394090318199,ybgI,ECB_00670,b0710,-1,protein,Sta,carbonSource,glucoseglycerol
658,YP_003043889.1,4.82315600630962,-1.56728104874029,0.903056725053234,-1.73552890450808,0.0826471663742227,0.294007011008257,ybgJ,ECB_00671,b0711,-1,protein,Sta,carbonSource,glucoseglycerol
659,YP_003043890.1,9.52812402508532,-1.37295881868787,0.663120560563723,-2.07045128795389,0.03841010320717,0.204721890289762,ybgK,ECB_00672,b0712,-1,protein,Sta,carbonSource,glucoseglycerol
660,YP_003043891.1,4.94568574438835,-1.13787362936626,0.891072163050599,-1.27697135714657,0.201612359701896,0.417217441987556,ybgL,ECB_00673,b0713,-1,protein,Sta,carbonSource,glucoseglycerol
661,YP_003043892.1,0.709464631649393,-0.657021702094077,1.28134023520679,-0.512761313538276,0.608118294369439,NA,nei,ECB_00674,b0714,-1,protein,Sta,carbonSource,glucoseglycerol
662,YP_003043893.1,0.0730831479852705,-0.492515393667592,1.29841743478432,-0.379319763023211,0.70445042556564,NA,abrB,ECB_00675,b0715,-1,protein,Sta,carbonSource,glucoseglycerol
663,YP_003043894.1,0.339850680467015,-1.58325250333986,1.37776436991834,-1.14914606438378,0.250495756612595,NA,ybgO,ECB_00676,b0716,-1,protein,Sta,carbonSource,glucoseglycerol
664,YP_003043895.1,0.197283845939225,-0.951980348781469,1.31359500236327,-0.724713741350091,0.468627663264868,NA,ybgP,ECB_00677,b0717,-1,protein,Sta,carbonSource,glucoseglycerol
665,YP_003043896.1,0.549772207202806,-0.835769210641327,1.35957235225896,-0.614729484056274,0.538733385035183,NA,ybgQ,ECB_00678,b0718,-1,protein,Sta,carbonSource,glucoseglycerol
666,YP_003043897.1,0.528816061071877,1.01344117226954,1.36435200417641,0.742800369088994,0.457602551994493,NA,ybgD,ECB_00679,b0719,1,protein,Sta,carbonSource,glucoseglycerol
667,YP_003043898.1,122.269278195678,-0.175701735009019,0.528560414640448,-0.332415614454479,0.739575449647365,0.85298454655296,gltA,ECB_00680,b0720,-1,protein,Sta,carbonSource,glucoseglycerol
668,YP_003043899.1,1.9112237005935,0.405444597056133,1.0574082701631,0.383432405908452,0.701399179522777,0.835312550175897,sdhC,ECB_00681,b0721,1,protein,Sta,carbonSource,glucoseglycerol
669,YP_003043900.1,0.234157327130026,-1.14023206825783,1.351777582274,-0.843505679639768,0.398945690627649,NA,sdhD,ECB_00682,b0722,-1,protein,Sta,carbonSource,glucoseglycerol
670,YP_003043901.1,131.508010008188,0.0904475678085488,0.600680780843175,0.150575098609926,0.880310905824682,0.930717256260451,sdhA,ECB_00683,b0723,1,protein,Sta,carbonSource,glucoseglycerol
671,YP_003043902.1,62.6344192240991,0.354912359400196,0.523155343218501,0.678407214990372,0.497513535718399,0.690045601519551,sdhB,ECB_00684,b0724,1,protein,Sta,carbonSource,glucoseglycerol
672,YP_003043903.1,206.451512133653,0.295727252831175,0.543865294622565,0.543750917286247,0.586612888858457,0.756778199725071,sucA,ECB_00685,b0726,1,protein,Sta,carbonSource,glucoseglycerol
673,YP_003043904.1,105.806362885899,0.414110763446859,0.558663239226219,0.741252930871963,0.458540095260572,0.656854450553083,sucB,ECB_00686,b0727,1,protein,Sta,carbonSource,glucoseglycerol
674,YP_003043905.1,112.039190832791,0.601914618343761,0.535397697170791,1.12423834006845,0.260911928464441,0.478762970775922,sucC,ECB_00687,b0728,1,protein,Sta,carbonSource,glucoseglycerol
675,YP_003043906.1,104.966087540141,0.268585818247591,0.602101331454244,0.446080757866589,0.655538911757059,0.806059854764172,sucD,ECB_00688,b0729,1,protein,Sta,carbonSource,glucoseglycerol
676,YP_003043907.1,1.0623440811828,0.761066503682734,1.21290513405141,0.627474055733096,0.530348537464838,0.719187393755597,farR,ECB_00689,b0730,1,protein,Sta,carbonSource,glucoseglycerol
677,YP_003043908.1,0.339761926522704,-1.4863929996033,1.37311647909876,-1.08249592968171,0.279032223052783,NA,hrsA,ECB_00690,b0731,-1,protein,Sta,carbonSource,glucoseglycerol
678,YP_003043909.1,1.71882237790384,-0.753208503323007,1.19763946357342,-0.628910891993859,0.529407394894437,0.718853901931513,ybgG,ECB_00691,b0732,-1,protein,Sta,carbonSource,glucoseglycerol
