id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,vs
ECB_00001,18.8594075841344,-1.20253321041178,0.545000306464538,-2.20648171413464,0.0273502891804599,0.0967817234734046,thrL,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00002,9.9929037853346,-0.66006615409124,0.516405962740329,-1.27819235585231,0.201181610767873,0.345953571814326,thrA,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00003,4.63402120068861,-0.538206532577026,0.595020170798649,-0.904518130628469,0.365720724954067,0.521211532092889,thrB,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00004,2.68060968167464,-0.467190082756545,0.808686249078608,-0.577714884219741,0.563456628515857,0.699793960179429,thrC,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00005,0.64543061542994,-0.181693783554757,1.09185167624775,-0.166408851593437,0.867835208513009,NA,yaaX,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00006,0.808943784809489,-0.744172069870437,1.07029116432187,-0.695298713730803,0.486868120192657,NA,yaaA,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00007,0.41973480463311,0.762712861311171,1.15290173374428,0.661559297715777,0.508253700078505,NA,yaaJ,1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00008,49.7275637815623,-2.06098712844716,0.57787975241305,-3.56646364549218,0.000361830978336152,0.00604380388390302,talB,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00009,7.69398561298072,-1.56365992449135,0.626461573408916,-2.49601889543301,0.0125595911078763,0.0587327643693322,mogA,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00010,3.05997059924505,-0.483858125342138,0.750951168921915,-0.64432701534612,0.519363400885363,0.660429202029065,yaaH,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00011,0.530448543459681,-0.787290968734589,1.20932689621932,-0.651015842941947,0.515036259929439,NA,yaaW,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00012,0,NA,NA,NA,NA,NA,htgA,NA,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00013,0.131733609058595,-0.629607497731996,1.19998392132004,-0.524679944910759,0.599805701212494,NA,yaaI,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00014,67.0299612757599,-1.60722579635283,0.615506570746583,-2.61122443323933,0.00902186643364069,0.0479301852849213,dnaK,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00015,3.15690866555363,-1.42813258754577,0.855005624479055,-1.67031952382292,0.0948561623815202,0.208429761487153,dnaJ,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00016,1.59489338390487,0.0225555450847107,0.900675436601429,0.0250429224203348,0.980020727191964,NA,insL-1,1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00017,1.24543433539549,-0.807514748935913,0.92385042540256,-0.874075203877343,0.382077300093628,NA,mokC,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00018,36.2680050853986,-0.0406736622643109,0.529974809175001,-0.0767464067351176,0.938825286144148,0.966279184851235,nhaA,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00019,2.0200412748206,1.09978607977807,0.791837846680311,1.38890315029623,0.164862202458155,0.30202524541086,nhaR,1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00020,0.302352511998378,0.930330771739011,1.23153051817322,0.755426485994848,0.449993126254222,NA,ECB_00020,1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00021,0.053663553150859,0.951879422901749,1.13183862539599,0.841002773313837,0.400346380760957,NA,ECB_00021,1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00022,0.102600721360269,-0.43543904360612,1.18090886323855,-0.368732132649055,0.712327395462597,NA,ECB_00022,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00023,0.0618600416663976,-0.304114888936698,1.13386917797822,-0.268209855989701,0.788537788867844,NA,insA-1,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00024,0.695847035750008,1.15405410745819,0.970144575637361,1.18956920075547,0.234215757214777,NA,insB-1,1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00025,0.05,-0.122181151089697,1.13224844043841,-0.107910195965814,0.914066929142713,NA,ECB_00025,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00026,0.19704006540654,0.110304708176284,1.26316602791969,0.0873239983804386,0.930413978931938,NA,ECB_00026,1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00027,21.1631351683566,-0.684090225033298,0.689115740491413,-0.992707298407476,0.320852617173955,0.478511204036501,rpsT,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00028,0.14340002423999,1.30233359550801,1.25537056914584,1.03740969201956,0.299544963328315,NA,yaaY,1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00029,3.58532565279898,-0.238953359068008,0.740823394255446,-0.322551043772267,0.747035274840878,0.838168023417048,ribF,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00030,10.0991744569926,-0.571846841218727,0.578611719835808,-0.988308431396791,0.323001617409139,0.479755981848842,ileS,-1,mrna,Sta,Na_mM_Levels,baseNahighNa
ECB_00031,1.46456517522867,0.417870354090528,0.917712008129911,0.455339311667124,0.64886514859593,NA,lspA,1,mrna,Sta,Na_mM_Levels,baseNahighNa
