"","X","Category","KEGG_Path","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_KEGG_Path","KEGG_Path_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",1,"KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",4,2.46913580246914,0.00181253994511786,75,6,1571,13.9644444444444,0.0883721339089382,0.0883721339089382,0.0173972488334381,"Biosynthesis of siderophore group nonribosomal peptides","gene_02","945184","entF",5.17536396092998e-05,-4.32378647993106,-1,-4.28605910274731,4.28605910274731,-1,0,4,"Biosynthesis of siderophore group nonribosomal peptides
 padj:0.01740 N( -4/ +0/ 6)","Biosynthesis of siderophore group nonribosomal peptides","protein","Sta","carbonSource","glucose","glycerol","kegg"
"2",1,"KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",4,2.46913580246914,0.00181253994511786,75,6,1571,13.9644444444444,0.0883721339089382,0.0883721339089382,0.0173972488334381,"Biosynthesis of siderophore group nonribosomal peptides","gene_01","947426","entE",2.27758298709481e-05,-4.7849630148813,-1,-4.64252578990678,4.64252578990678,-2,0,4,"Biosynthesis of siderophore group nonribosomal peptides
 padj:0.01740 N( -4/ +0/ 6)","Biosynthesis of siderophore group nonribosomal peptides","protein","Sta","carbonSource","glucose","glycerol","kegg"
"3",1,"KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",4,2.46913580246914,0.00181253994511786,75,6,1571,13.9644444444444,0.0883721339089382,0.0883721339089382,0.0173972488334381,"Biosynthesis of siderophore group nonribosomal peptides","gene_03","945511","entC",4.96567168162677e-06,-5.47467346963142,-1,-5.304021998348,5.304021998348,-3,0,4,"Biosynthesis of siderophore group nonribosomal peptides
 padj:0.01740 N( -4/ +0/ 6)","Biosynthesis of siderophore group nonribosomal peptides","protein","Sta","carbonSource","glucose","glycerol","kegg"
"4",1,"KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",4,2.46913580246914,0.00181253994511786,75,6,1571,13.9644444444444,0.0883721339089382,0.0883721339089382,0.0173972488334381,"Biosynthesis of siderophore group nonribosomal peptides","gene_04","946178","entB",1.38138688812238e-08,-6.00839898717594,-1,-7.85968467055596,7.85968467055596,-4,0,4,"Biosynthesis of siderophore group nonribosomal peptides
 padj:0.01740 N( -4/ +0/ 6)","Biosynthesis of siderophore group nonribosomal peptides","protein","Sta","carbonSource","glucose","glycerol","kegg"
