"","ID","MF_Name","padj_gene","log2","signChange","score_gene","FDR_GoMF","numGenesInCat","abs_score","rank","numSigP","numSigN","MF_Name_long","MF_Name_short","pick_data","growthPhase","test_for","vs","df_category"
"1","aphA","GO:0000287~magnesium ion binding",0.0203716646962699,2.40732810841199,1,1.6909734806285,0.00957541923799454,147,1.6909734806285,1,1,17,"magnesium ion binding
 padj:0.00958 N( -17/ +1/ 147)","magnesium ion binding","mrna","Sta","Na_mM_Levels","baseNahighNa","MF"
"2","xylA","GO:0000287~magnesium ion binding",0.0486800442400293,-1.50167088224229,-1,-1.31264903575849,0.00957541923799454,147,1.31264903575849,-1,1,17,"magnesium ion binding
 padj:0.00958 N( -17/ +1/ 147)","magnesium ion binding","mrna","Sta","Na_mM_Levels","baseNahighNa","MF"
"3","copA","GO:0000287~magnesium ion binding",0.0407000834706362,-1.41705239247461,-1,-1.39040470009174,0.00957541923799454,147,1.39040470009174,-2,1,17,"magnesium ion binding
 padj:0.00958 N( -17/ +1/ 147)","magnesium ion binding","mrna","Sta","Na_mM_Levels","baseNahighNa","MF"
"4","ppsA","GO:0000287~magnesium ion binding",0.0332224535587494,-1.43649490237619,-1,-1.47856829699969,0.00957541923799454,147,1.47856829699969,-3,1,17,"magnesium ion binding
 padj:0.00958 N( -17/ +1/ 147)","magnesium ion binding","mrna","Sta","Na_mM_Levels","baseNahighNa","MF"
"5","glpF","GO:0000287~magnesium ion binding",0.0304888212985013,-1.65625165436202,-1,-1.51585936518699,0.00957541923799454,147,1.51585936518699,-4,1,17,"magnesium ion binding
 padj:0.00958 N( -17/ +1/ 147)","magnesium ion binding","mrna","Sta","Na_mM_Levels","baseNahighNa","MF"
"6","glcB","GO:0000287~magnesium ion binding",0.0289316023359727,-2.13784788331115,-1,-1.53862751289884,0.00957541923799454,147,1.53862751289884,-5,1,17,"magnesium ion binding
 padj:0.00958 N( -17/ +1/ 147)","magnesium ion binding","mrna","Sta","Na_mM_Levels","baseNahighNa","MF"
"7","poxB","GO:0000287~magnesium ion binding",0.0271567659225975,-1.80551041127253,-1,-1.56612195109255,0.00957541923799454,147,1.56612195109255,-6,1,17,"magnesium ion binding
 padj:0.00958 N( -17/ +1/ 147)","magnesium ion binding","mrna","Sta","Na_mM_Levels","baseNahighNa","MF"
"8","ptsI","GO:0000287~magnesium ion binding",0.024528390134127,-1.87795591925112,-1,-1.61033095480252,0.00957541923799454,147,1.61033095480252,-7,1,17,"magnesium ion binding
 padj:0.00958 N( -17/ +1/ 147)","magnesium ion binding","mrna","Sta","Na_mM_Levels","baseNahighNa","MF"
"9","ppx","GO:0000287~magnesium ion binding",0.0196728259583454,-2.28281746498115,-1,-1.70613325014869,0.00957541923799454,147,1.70613325014869,-8,1,17,"magnesium ion binding
 padj:0.00958 N( -17/ +1/ 147)","magnesium ion binding","mrna","Sta","Na_mM_Levels","baseNahighNa","MF"
"10","gshB","GO:0000287~magnesium ion binding",0.0186758800765124,-2.74007764024168,-1,-1.7287189234688,0.00957541923799454,147,1.7287189234688,-9,1,17,"magnesium ion binding
 padj:0.00958 N( -17/ +1/ 147)","magnesium ion binding","mrna","Sta","Na_mM_Levels","baseNahighNa","MF"
