"","ID","MF_Name","padj_gene","signChange","score_gene","FDR_GoMF","numGenesInCat","abs_score","rank","numSigP","numSigN","MF_Name_long","MF_Name_short","pick_data","growthPhase","test_for","vs","df_category"
"1","mgtA","GO:0000287~magnesium ion binding",0.000703906503578136,1,3.15248502221677,0.000296960090904963,147,3.15248502221677,1,1,22,"magnesium ion binding
 padj:0.00030 N( -22/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"2","gcl","GO:0000287~magnesium ion binding",0.0476148703777578,-1,-1.32225739361468,0.000296960090904963,147,1.32225739361468,-1,1,22,"magnesium ion binding
 padj:0.00030 N( -22/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"3","dos","GO:0000287~magnesium ion binding",0.0398905663726499,-1,-1.39912979746378,0.000296960090904963,147,1.39912979746378,-2,1,22,"magnesium ion binding
 padj:0.00030 N( -22/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"4","icdA","GO:0000287~magnesium ion binding",0.0367719007598638,-1,-1.43448392062924,0.000296960090904963,147,1.43448392062924,-3,1,22,"magnesium ion binding
 padj:0.00030 N( -22/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"5","ptsI","GO:0000287~magnesium ion binding",0.0365582450380916,-1,-1.43701466054669,0.000296960090904963,147,1.43701466054669,-4,1,22,"magnesium ion binding
 padj:0.00030 N( -22/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"6","aldB","GO:0000287~magnesium ion binding",0.036313424780523,-1,-1.43993279010824,0.000296960090904963,147,1.43993279010824,-5,1,22,"magnesium ion binding
 padj:0.00030 N( -22/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"7","ugpQ","GO:0000287~magnesium ion binding",0.0343945831377348,-1,-1.46350994983056,0.000296960090904963,147,1.46350994983056,-6,1,22,"magnesium ion binding
 padj:0.00030 N( -22/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"8","ppsA","GO:0000287~magnesium ion binding",0.0296302870274323,-1,-1.5282641415059,0.000296960090904963,147,1.5282641415059,-7,1,22,"magnesium ion binding
 padj:0.00030 N( -22/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"9","prsA","GO:0000287~magnesium ion binding",0.0286379050874161,-1,-1.54305875459922,0.000296960090904963,147,1.54305875459922,-8,1,22,"magnesium ion binding
 padj:0.00030 N( -22/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"10","mobA","GO:0000287~magnesium ion binding",0.025144761389593,-1,-1.59955248124706,0.000296960090904963,147,1.59955248124706,-9,1,22,"magnesium ion binding
 padj:0.00030 N( -22/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"11","eno","GO:0000287~magnesium ion binding",0.023953639603451,-1,-1.62062848894656,0.000296960090904963,147,1.62062848894656,-10,1,22,"magnesium ion binding
 padj:0.00030 N( -22/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"12","glmM","GO:0000287~magnesium ion binding",0.0143036747006136,-1,-1.84455237531934,0.000296960090904963,147,1.84455237531934,-11,1,22,"magnesium ion binding
 padj:0.00030 N( -22/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"13","fbp","GO:0000287~magnesium ion binding",0.00843169182149872,-1,-2.07408527531327,0.000296960090904963,147,2.07408527531327,-12,1,22,"magnesium ion binding
 padj:0.00030 N( -22/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
"14","speA","GO:0000287~magnesium ion binding",0.00747289535569096,-1,-2.12651109920565,0.000296960090904963,147,2.12651109920565,-13,1,22,"magnesium ion binding
 padj:0.00030 N( -22/ +1/ 147)","magnesium ion binding","mrna","Sta","Mg_mM_Levels","baseMglowMg","MF"
