gene_id	count
CONTAMINANT_A2A4G1	NA
CONTAMINANT_ENSEMBL:ENSBTAP00000001528	2
CONTAMINANT_ENSEMBL:ENSBTAP00000007350	NA
CONTAMINANT_ENSEMBL:ENSBTAP00000016242	NA
CONTAMINANT_ENSEMBL:ENSBTAP00000024146	NA
CONTAMINANT_ENSEMBL:ENSBTAP00000038253	13
CONTAMINANT_ENSEMBL:ENSP00000377550	4
CONTAMINANT_H-INV:HIT000292931	NA
CONTAMINANT_O76013	2
CONTAMINANT_O76014	NA
CONTAMINANT_O76015	NA
CONTAMINANT_O95678	1
CONTAMINANT_P00761	7
CONTAMINANT_P01030	NA
CONTAMINANT_P02533	2
CONTAMINANT_P02535-1	4
CONTAMINANT_P02538	1
CONTAMINANT_P02666	NA
CONTAMINANT_P04258	NA
CONTAMINANT_P04259	1
CONTAMINANT_P04264	30
CONTAMINANT_P05787	2
CONTAMINANT_P07744	1
CONTAMINANT_P08727	NA
CONTAMINANT_P08729	1
CONTAMINANT_P08730-1	2
CONTAMINANT_P08779	2
CONTAMINANT_P12035	2
CONTAMINANT_P13645	19
CONTAMINANT_P13646-1	6
CONTAMINANT_P13647	1
CONTAMINANT_P19001	1
CONTAMINANT_P19012	2
CONTAMINANT_P19013	1
CONTAMINANT_P20930	NA
CONTAMINANT_P21752	NA
CONTAMINANT_P35527	2
CONTAMINANT_P35908	19
CONTAMINANT_P48668	1
CONTAMINANT_P50446	3
CONTAMINANT_Q01546	1
CONTAMINANT_Q04695	NA
CONTAMINANT_Q148H6	NA
CONTAMINANT_Q14CN4-1	NA
CONTAMINANT_Q28107	2
CONTAMINANT_Q29RQ1	NA
CONTAMINANT_Q2M2I5	NA
CONTAMINANT_Q2YDI2	2
CONTAMINANT_Q32MB2	1
CONTAMINANT_Q3KNV1	NA
CONTAMINANT_Q3SY84	NA
CONTAMINANT_Q3TTY5	1
CONTAMINANT_Q5XKE5	1
CONTAMINANT_Q5XQN5	3
CONTAMINANT_Q6IFU6	NA
CONTAMINANT_Q6IFX2	2
CONTAMINANT_Q6IFZ6	4
CONTAMINANT_Q6IME9	NA
CONTAMINANT_Q6ISB0	1
CONTAMINANT_Q6KB66-1	NA
