"#ProtID"	"Unweighted"	"Weighted"	"Unique"
"YP_003043231.1"	176	"176.00"	176
"YP_003043232.1"	29	"29.00"	29
"YP_003043233.1"	153	"153.00"	153
"YP_003043235.1"	35	"35.00"	35
"YP_003043237.1"	143	"139.00"	135
"YP_003043238.1"	9	"9.00"	9
"YP_003043243.1"	484	"484.00"	484
"YP_003043244.1"	59	"59.00"	59
"YP_003043254.1"	1	"0.04"	0
"YP_003043257.1"	38	"38.00"	38
"YP_003043259.1"	18	"18.00"	18
"YP_003043260.1"	172	"172.00"	172
"YP_003043262.1"	13	"13.00"	13
"YP_003043263.1"	27	"27.00"	27
"YP_003043264.1"	11	"11.00"	11
"YP_003043265.1"	46	"46.00"	46
"YP_003043266.1"	131	"131.00"	131
"YP_003043267.1"	192	"192.00"	192
"YP_003043276.1"	1	"1.00"	1
"YP_003043280.1"	3	"3.00"	3
"YP_003043281.1"	15	"15.00"	15
"YP_003043282.1"	14	"14.00"	14
"YP_003043283.1"	5	"5.00"	5
"YP_003043284.1"	17	"17.00"	17
"YP_003043285.1"	21	"21.00"	21
"YP_003043286.1"	87	"87.00"	87
"YP_003043287.1"	84	"84.00"	84
"YP_003043288.1"	10	"9.00"	8
"YP_003043289.1"	2	"2.00"	2
"YP_003043290.1"	16	"16.00"	16
"YP_003043293.1"	2	"2.00"	2
"YP_003043295.1"	2	"2.00"	2
"YP_003043296.1"	2	"2.00"	2
"YP_003043300.1"	2	"2.00"	2
"YP_003043302.1"	64	"64.00"	64
"YP_003043303.1"	113	"113.00"	113
"YP_003043304.1"	100	"99.00"	98
"YP_003043305.1"	174	"174.00"	174
"YP_003043308.1"	59	"59.00"	59
"YP_003043309.1"	11	"11.00"	11
"YP_003043310.1"	39	"39.00"	39
"YP_003043311.1"	10	"10.00"	10
"YP_003043312.1"	29	"29.00"	29
"YP_003043315.1"	36	"36.00"	36
"YP_003043316.1"	14	"14.00"	14
"YP_003043317.1"	2	"2.00"	2
"YP_003043318.1"	20	"20.00"	20
"YP_003043320.1"	16	"16.00"	16
"YP_003043321.1"	32	"28.80"	28
"YP_003043322.1"	24	"24.00"	24
"YP_003043324.1"	18	"18.00"	18
"YP_003043325.1"	90	"90.00"	90
"YP_003043326.1"	3	"3.00"	3
"YP_003043328.1"	242	"242.00"	242
"YP_003043329.1"	3	"3.00"	3
"YP_003043330.1"	9	"9.00"	9
"YP_003043331.1"	15	"15.00"	15
"YP_003043332.1"	5	"5.00"	5
"YP_003043333.1"	9	"9.00"	9
"YP_003043337.1"	14	"14.00"	14
"YP_003043338.1"	2	"2.00"	2
"YP_003043339.1"	4	"4.00"	4
"YP_003043340.1"	5	"5.00"	5
"YP_003043341.1"	16	"16.00"	16
"YP_003043342.1"	334	"334.00"	334
"YP_003043343.1"	171	"171.00"	171
"YP_003043344.1"	216	"216.00"	216
"YP_003043346.1"	290	"290.00"	290
"YP_003043347.1"	2	"2.00"	2
"YP_003043348.1"	28	"28.00"	28
"YP_003043349.1"	24	"24.00"	24
"YP_003043350.1"	2	"2.00"	2
"YP_003043351.1"	15	"15.00"	15
"YP_003043352.1"	13	"13.00"	13
"YP_003043353.1"	36	"36.00"	36
"YP_003043354.1"	35	"35.00"	35
"YP_003043355.1"	28	"28.00"	28
"YP_003043359.1"	19	"19.00"	19
"YP_003043361.1"	53	"53.00"	53
"YP_003043362.1"	24	"24.00"	24
"YP_003043370.1"	6	"6.00"	6
"YP_003043371.1"	26	"26.00"	26
"YP_003043372.1"	1	"1.00"	1
"YP_003043373.1"	42	"42.00"	42
"YP_003043374.1"	4	"4.00"	4
"YP_003043375.1"	7	"7.00"	7
"YP_003043376.1"	3	"3.00"	3
"YP_003043377.1"	51	"51.00"	51
"YP_003043378.1"	42	"42.00"	42
"YP_003043379.1"	1	"1.00"	1
"YP_003043382.1"	50	"50.00"	50
"YP_003043384.1"	18	"18.00"	18
"YP_003043386.1"	3	"3.00"	3
"YP_003043387.1"	25	"25.00"	25
"YP_003043388.1"	3	"3.00"	3
"YP_003043389.1"	152	"152.00"	152
"YP_003043390.1"	1	"1.00"	1
"YP_003043391.1"	31	"30.00"	29
"YP_003043393.1"	117	"117.00"	117
"YP_003043394.1"	8	"8.00"	8
"YP_003043395.1"	32	"32.00"	32
"YP_003043396.1"	164	"164.00"	164
"YP_003043397.1"	253	"253.00"	253
"YP_003043398.1"	11	"11.00"	11
"YP_003043399.1"	47	"47.00"	47
"YP_003043400.1"	7	"7.00"	7
"YP_003043401.1"	3	"3.00"	3
"YP_003043403.1"	9	"9.00"	9
"YP_003043404.1"	154	"154.00"	154
"YP_003043405.1"	74	"74.00"	74
"YP_003043406.1"	19	"19.00"	19
"YP_003043407.1"	26	"26.00"	26
"YP_003043408.1"	16	"16.00"	16
"YP_003043409.1"	19	"19.00"	19
"YP_003043410.1"	11	"11.00"	11
"YP_003043411.1"	16	"16.00"	16
"YP_003043412.1"	89	"89.00"	89
"YP_003043414.1"	3	"3.00"	3
"YP_003043415.1"	12	"12.00"	12
"YP_003043416.1"	10	"10.00"	10
"YP_003043417.1"	5	"5.00"	5
"YP_003043418.1"	5	"5.00"	5
"YP_003043420.1"	7	"7.00"	7
"YP_003043422.1"	148	"148.00"	148
"YP_003043423.1"	4	"4.00"	4
"YP_003043424.1"	7	"7.00"	7
"YP_003043425.1"	237	"237.00"	237
"YP_003043426.1"	9	"9.00"	9
"YP_003043427.1"	57	"57.00"	57
"YP_003043428.1"	5	"5.00"	5
"YP_003043429.1"	5	"5.00"	5
"YP_003043430.1"	10	"10.00"	10
"YP_003043431.1"	5	"5.00"	5
"YP_003043434.1"	14	"14.00"	14
"YP_003043435.1"	10	"10.00"	10
"YP_003043437.1"	2	"2.00"	2
"YP_003043440.1"	1	"0.04"	0
"YP_003043443.1"	8	"8.00"	8
