"#ProtID"	"Unweighted"	"Weighted"	"Unique"
"YP_003043860.1"	24	"24.00"	24
"YP_003043861.1"	3	"3.00"	3
"YP_003043862.1"	33	"33.00"	33
"YP_003043863.1"	36	"36.00"	36
"YP_003043864.1"	99	"99.00"	99
"YP_003043868.1"	3	"2.50"	2
"YP_003043871.1"	2	"2.00"	2
"YP_003043877.1"	1	"1.00"	1
"YP_003043885.1"	3	"3.00"	3
"YP_003043886.1"	2	"2.00"	2
"YP_003043888.1"	50	"50.00"	50
"YP_003043889.1"	15	"15.00"	15
"YP_003043890.1"	13	"13.00"	13
"YP_003043891.1"	7	"7.00"	7
"YP_003043892.1"	2	"2.00"	2
"YP_003043898.1"	168	"168.00"	168
"YP_003043899.1"	3	"3.00"	3
"YP_003043900.1"	1	"1.00"	1
"YP_003043901.1"	258	"258.00"	258
"YP_003043902.1"	69	"69.00"	69
"YP_003043903.1"	265	"265.00"	265
"YP_003043904.1"	149	"149.00"	149
"YP_003043905.1"	136	"136.00"	136
"YP_003043906.1"	179	"179.00"	179
"YP_003043907.1"	3	"3.00"	3
"YP_003043908.1"	1	"1.00"	1
"YP_003043909.1"	2	"1.50"	1
"YP_003043910.1"	21	"21.00"	21
"YP_003043914.1"	6	"6.00"	6
"YP_003043915.1"	11	"11.00"	11
"YP_003043916.1"	5	"5.00"	5
"YP_003043917.1"	18	"18.00"	18
"YP_003043918.1"	67	"67.00"	67
"YP_003043919.1"	55	"55.00"	55
"YP_003043920.1"	32	"32.00"	32
"YP_003043921.1"	10	"10.00"	10
"YP_003043922.1"	1	"1.00"	1
"YP_003043925.1"	86	"84.00"	82
"YP_003043926.1"	96	"96.00"	96
"YP_003043927.1"	35	"35.00"	35
"YP_003043928.1"	21	"21.00"	21
"YP_003043929.1"	8	"8.00"	8
"YP_003043930.1"	35	"35.00"	35
"YP_003043931.1"	42	"42.00"	42
"YP_003043932.1"	23	"23.00"	23
"YP_003043934.1"	7	"7.00"	7
"YP_003043936.1"	3	"3.00"	3
"YP_003043937.1"	13	"13.00"	13
"YP_003043938.1"	35	"35.00"	35
"YP_003043943.1"	25	"25.00"	25
"YP_003043958.1"	5	"5.00"	5
"YP_003043959.1"	10	"10.00"	10
"YP_003043960.1"	40	"40.00"	40
"YP_003043961.1"	6	"6.00"	6
"YP_003043963.1"	24	"24.00"	24
"YP_003043964.1"	23	"23.00"	23
"YP_003043965.1"	10	"10.00"	10
"YP_003043967.1"	24	"24.00"	24
"YP_003043968.1"	5	"5.00"	5
"YP_003043969.1"	5	"5.00"	5
"YP_003043970.1"	11	"11.00"	11
"YP_003043974.1"	4	"3.00"	2
"YP_003043980.1"	12	"12.00"	12
"YP_003043981.1"	4	"4.00"	4
"YP_003043982.1"	4	"4.00"	4
"YP_003043985.1"	33	"33.00"	33
"YP_003043986.1"	91	"91.00"	91
"YP_003043992.1"	1	"1.00"	1
"YP_003043994.1"	30	"30.00"	30
"YP_003043995.1"	3	"3.00"	3
"YP_003043996.1"	49	"49.00"	49
"YP_003043997.1"	32	"32.00"	32
"YP_003043999.1"	19	"19.00"	19
"YP_003044002.1"	7	"7.00"	7
"YP_003044004.1"	30	"28.00"	26
"YP_003044005.1"	50	"50.00"	50
"YP_003044007.1"	10	"10.00"	10
"YP_003044010.1"	5	"5.00"	5
"YP_003044012.1"	24	"24.00"	24
"YP_003044013.1"	6	"6.00"	6
"YP_003044014.1"	9	"9.00"	9
"YP_003044015.1"	37	"37.00"	37
"YP_003044018.1"	2	"2.00"	2
"YP_003044020.1"	21	"21.00"	21
"YP_003044023.1"	35	"35.00"	35
"YP_003044024.1"	83	"77.00"	71
"YP_003044027.1"	2	"0.40"	0
"YP_003044029.1"	2	"2.00"	2
"YP_003044031.1"	1	"1.00"	1
"YP_003044032.1"	6	"6.00"	6
"YP_003044035.1"	6	"6.00"	6
"YP_003044040.1"	2	"2.00"	2
"YP_003044043.1"	1	"1.00"	1
"YP_003044045.1"	2	"2.00"	2
"YP_003044049.1"	2	"2.00"	2
"YP_003044052.1"	1	"1.00"	1
"YP_003044063.1"	1	"1.00"	1
"YP_003044072.1"	4	"4.00"	4
"YP_003044074.1"	31	"31.00"	31
"YP_003044075.1"	2	"2.00"	2
"YP_003044077.1"	37	"37.00"	37
"YP_003044078.1"	23	"23.00"	23
"YP_003044082.1"	2	"2.00"	2
"YP_003044083.1"	33	"33.00"	33
"YP_003044085.1"	1	"1.00"	1
"YP_003044086.1"	41	"41.00"	41
"YP_003044087.1"	11	"11.00"	11
"YP_003044088.1"	19	"19.00"	19
"YP_003044089.1"	4	"4.00"	4
"YP_003044091.1"	17	"17.00"	17
"YP_003044093.1"	30	"30.00"	30
"YP_003044094.1"	6	"6.00"	6
"YP_003044099.1"	3	"3.00"	3
"YP_003044100.1"	13	"13.00"	13
"YP_003044101.1"	19	"19.00"	19
"YP_003044102.1"	8	"8.00"	8
"YP_003044103.1"	8	"8.00"	8
"YP_003044104.1"	1	"1.00"	1
"YP_003044105.1"	6	"6.00"	6
"YP_003044106.1"	22	"22.00"	22
"YP_003044107.1"	5	"5.00"	5
"YP_003044108.1"	25	"25.00"	25
"YP_003044109.1"	12	"12.00"	12
"YP_003044110.1"	77	"77.00"	77
"YP_003044111.1"	50	"50.00"	50
"YP_003044112.1"	45	"45.00"	45
"YP_003044113.1"	29	"29.00"	29
"YP_003044114.1"	24	"24.00"	24
"YP_003044115.1"	84	"84.00"	84
"YP_003044116.1"	1	"1.00"	1
"YP_003044119.1"	9	"9.00"	9
"YP_003044123.1"	4	"4.00"	4
"YP_003044124.1"	22	"22.00"	22
"YP_003044125.1"	237	"232.00"	227
"YP_003044127.1"	11	"11.00"	11
"YP_003044129.1"	108	"108.00"	108
"YP_003044130.1"	115	"115.00"	115
"YP_003044132.1"	15	"15.00"	15
"YP_003044133.1"	381	"380.50"	380
"YP_003044134.1"	31	"31.00"	31
"YP_003044135.1"	1	"1.00"	1
"YP_003044136.1"	36	"36.00"	36
"YP_003044137.1"	7	"7.00"	7
"YP_003044138.1"	2	"2.00"	2
"YP_003044139.1"	5	"5.00"	5
"YP_003044140.1"	30	"30.00"	30
"YP_003044141.1"	1	"1.00"	1
"YP_003044142.1"	1	"1.00"	1
"YP_003044143.1"	1	"1.00"	1
"YP_003044144.1"	21	"21.00"	21
"YP_003044145.1"	22	"22.00"	22
"YP_003044146.1"	107	"107.00"	107
"YP_003044147.1"	3	"3.00"	3
"YP_003044149.1"	14	"14.00"	14
"YP_003044150.1"	215	"215.00"	215
"YP_003044151.1"	31	"29.67"	29
"YP_003044152.1"	110	"110.00"	110
"YP_003044153.1"	35	"35.00"	35
"YP_003044154.1"	111	"111.00"	111
"YP_003044155.1"	1	"1.00"	1
"YP_003044167.1"	38	"38.00"	38
"YP_003044169.1"	44	"44.00"	44
"YP_003044170.1"	32	"32.00"	32
"YP_003044171.1"	20	"20.00"	20
"YP_003044173.1"	18	"18.00"	18
"YP_003044174.1"	8	"8.00"	8
"YP_003044175.1"	2	"2.00"	2
"YP_003044176.1"	18	"18.00"	18
"YP_003044177.1"	9	"9.00"	9
"YP_003044178.1"	7	"7.00"	7
"YP_003044179.1"	121	"121.00"	121
"YP_003044181.1"	1	"1.00"	1
"YP_003044183.1"	1	"1.00"	1
"YP_003044184.1"	12	"12.00"	12
"YP_003044185.1"	22	"22.00"	22
"YP_003044186.1"	1	"1.00"	1
"YP_003044187.1"	15	"15.00"	15
"YP_003044189.1"	18	"18.00"	18
"YP_003044190.1"	2	"2.00"	2
"YP_003044191.1"	3	"3.00"	3
"YP_003044196.1"	1	"1.00"	1
"YP_003044201.1"	1	"1.00"	1
"YP_003044203.1"	2	"2.00"	2
"YP_003044209.1"	2	"1.00"	0
"YP_003044210.1"	9	"4.50"	0
"YP_003044212.1"	8	"8.00"	8
"YP_003044213.1"	2	"2.00"	2
"YP_003044214.1"	1	"1.00"	1
"YP_003044218.1"	1	"1.00"	1
"YP_003044221.1"	12	"12.00"	12
"YP_003044223.1"	35	"35.00"	35
"YP_003044224.1"	4	"4.00"	4
"YP_003044225.1"	40	"40.00"	40
"YP_003044229.1"	1	"1.00"	1
"YP_003044235.1"	31	"31.00"	31
"YP_003044236.1"	4	"4.00"	4
"YP_003044238.1"	103	"103.00"	103
"YP_003044239.1"	12	"12.00"	12
"YP_003044243.1"	2	"1.50"	1
"YP_003044245.1"	1	"1.00"	1
"YP_003044248.1"	57	"57.00"	57
"YP_003044249.1"	38	"38.00"	38
"YP_003044250.1"	17	"17.00"	17
"YP_003044260.1"	6	"6.00"	6
"YP_003044261.1"	7	"7.00"	7
"YP_003044263.1"	84	"84.00"	84
"YP_003044264.1"	30	"30.00"	30
"YP_003044266.1"	7	"7.00"	7
"YP_003044268.1"	12	"12.00"	12
"YP_003044269.1"	12	"12.00"	12
"YP_003044270.1"	4	"4.00"	4
"YP_003044273.1"	70	"70.00"	70
"YP_003044275.1"	7	"7.00"	7
"YP_003044276.1"	61	"61.00"	61
"YP_003044277.1"	16	"16.00"	16
"YP_003044278.1"	20	"20.00"	20
"YP_003044280.1"	2	"2.00"	2
"YP_003044281.1"	25	"25.00"	25
"YP_003044282.1"	8	"8.00"	8
"YP_003044284.1"	46	"46.00"	46
"YP_003044285.1"	41	"41.00"	41
"YP_003044286.1"	5	"5.00"	5
"YP_003044287.1"	14	"14.00"	14
"YP_003044288.1"	14	"14.00"	14
"YP_003044289.1"	17	"17.00"	17
"YP_003044290.1"	113	"113.00"	113
"YP_003044291.1"	19	"19.00"	19
"YP_003044292.1"	31	"31.00"	31
"YP_003044293.1"	18	"18.00"	18
"YP_003044294.1"	25	"25.00"	25
"YP_003044295.1"	16	"16.00"	16
"YP_003044296.1"	46	"46.00"	46
"YP_003044297.1"	43	"43.00"	43
"YP_003044298.1"	207	"207.00"	207
"YP_003044300.1"	9	"9.00"	9
"YP_003044301.1"	16	"16.00"	16
"YP_003044302.1"	10	"10.00"	10
"YP_003044303.1"	64	"64.00"	64
"YP_003044304.1"	4	"4.00"	4
"YP_003044305.1"	42	"42.00"	42
"YP_003044306.1"	62	"62.00"	62
"YP_003044307.1"	38	"38.00"	38
"YP_003044308.1"	20	"20.00"	20
"YP_003044309.1"	266	"266.00"	266
"YP_003044310.1"	3	"3.00"	3
"YP_003044311.1"	2	"2.00"	2
"YP_003044312.1"	17	"17.00"	17
"YP_003044313.1"	5	"5.00"	5
"YP_003044314.1"	17	"17.00"	17
"YP_003044315.1"	22	"22.00"	22
"YP_003044316.1"	26	"26.00"	26
"YP_003044317.1"	17	"17.00"	17
"YP_003044319.1"	14	"14.00"	14
"YP_003044321.1"	10	"10.00"	10
"YP_003044322.1"	23	"23.00"	23
"YP_003044323.1"	21	"21.00"	21
"YP_003044327.1"	1	"1.00"	1
"YP_003044328.1"	51	"51.00"	51
"YP_003044330.1"	21	"21.00"	21
"YP_003044331.1"	11	"11.00"	11
"YP_003044332.1"	8	"8.00"	8
"YP_003044333.1"	6	"0.21"	0
"YP_003044335.1"	2	"2.00"	2
"YP_003044338.1"	63	"63.00"	63
"YP_003044341.1"	11	"11.00"	11
"YP_003044342.1"	9	"9.00"	9
"YP_003044343.1"	39	"39.00"	39
"YP_003044344.1"	13	"13.00"	13
"YP_003044345.1"	37	"37.00"	37
"YP_003044346.1"	70	"70.00"	70
"YP_003044347.1"	16	"16.00"	16
"YP_003044348.1"	23	"23.00"	23
"YP_003044349.1"	5	"5.00"	5
"YP_003044351.1"	240	"240.00"	240
"YP_003044354.1"	6	"6.00"	6
"YP_003044355.1"	3	"3.00"	3
"YP_003044365.1"	16	"16.00"	16
"YP_003044366.1"	54	"54.00"	54
"YP_003044367.1"	19	"19.00"	19
"YP_003044369.1"	20	"20.00"	20
"YP_003044370.1"	7	"7.00"	7
"YP_003044371.1"	19	"19.00"	19
"YP_003044372.1"	7	"7.00"	7
"YP_003044377.1"	23	"23.00"	23
"YP_003044379.1"	13	"13.00"	13
"YP_003044380.1"	9	"9.00"	9
"YP_003044381.1"	2	"2.00"	2
"YP_003044382.1"	10	"10.00"	10
"YP_003044383.1"	8	"8.00"	8
"YP_003044387.1"	9	"9.00"	9
"YP_003044388.1"	34	"34.00"	34
"YP_003044389.1"	49	"49.00"	49
"YP_003044390.1"	48	"48.00"	48
"YP_003044393.1"	73	"73.00"	73
"YP_003044394.1"	20	"20.00"	20
"YP_003044397.1"	111	"111.00"	111
"YP_003044398.1"	12	"12.00"	12
"YP_003044399.1"	19	"19.00"	19
"YP_003044400.1"	11	"11.00"	11
"YP_003044401.1"	20	"20.00"	20
"YP_003044405.1"	64	"64.00"	64
"YP_003044410.1"	1	"1.00"	1
"YP_003044412.1"	12	"12.00"	12
"YP_003044414.1"	11	"10.50"	10
"YP_003044417.1"	2	"2.00"	2
"YP_003044421.1"	28	"28.00"	28
"YP_003044423.1"	1	"1.00"	1
"YP_003044424.1"	3	"3.00"	3
"YP_003044425.1"	43	"43.00"	43
"YP_003044426.1"	67	"67.00"	67
"YP_003044427.1"	8	"8.00"	8
"YP_003044428.1"	252	"252.00"	252
"YP_003044430.1"	131	"131.00"	131
"YP_003044431.1"	7	"7.00"	7
"YP_003044433.1"	14	"14.00"	14
"YP_003044434.1"	24	"24.00"	24
"YP_003044435.1"	1	"1.00"	1
"YP_003044437.1"	7	"7.00"	7
"YP_003044438.1"	11	"11.00"	11
