gene_id	count
YP_003043231.1	250
YP_003043232.1	38
YP_003043233.1	186
YP_003043235.1	24
YP_003043237.1	116
YP_003043238.1	8
YP_003043243.1	522
YP_003043244.1	48
YP_003043253.1	0
YP_003043257.1	45
YP_003043259.1	13
YP_003043260.1	202
YP_003043262.1	7
YP_003043263.1	13
YP_003043265.1	48
YP_003043266.1	77
YP_003043267.1	279
YP_003043271.1	1
YP_003043281.1	8
YP_003043282.1	1
YP_003043283.1	2
YP_003043284.1	15
YP_003043285.1	17
YP_003043286.1	67
YP_003043287.1	75
YP_003043288.1	6
YP_003043290.1	37
YP_003043294.1	1
YP_003043302.1	81
YP_003043303.1	153
YP_003043304.1	94
YP_003043305.1	167
YP_003043308.1	73
YP_003043309.1	20
YP_003043310.1	5
YP_003043311.1	4
YP_003043312.1	30
YP_003043313.1	2
YP_003043314.1	11
YP_003043315.1	40
YP_003043316.1	10
YP_003043317.1	1
YP_003043318.1	33
YP_003043319.1	1
YP_003043320.1	28
YP_003043321.1	28
YP_003043322.1	29
YP_003043323.1	4
YP_003043324.1	35
YP_003043325.1	114
YP_003043326.1	16
YP_003043328.1	187
YP_003043329.1	6
YP_003043330.1	8
YP_003043331.1	20
YP_003043332.1	2
YP_003043333.1	9
YP_003043335.1	3
YP_003043337.1	14
YP_003043338.1	2
YP_003043339.1	5
YP_003043340.1	5
YP_003043341.1	5
YP_003043342.1	298
YP_003043343.1	127
YP_003043344.1	223
YP_003043346.1	256
YP_003043347.1	2
YP_003043348.1	45
YP_003043349.1	25
YP_003043350.1	3
YP_003043351.1	9
YP_003043352.1	51
YP_003043353.1	41
YP_003043354.1	67
YP_003043355.1	18
YP_003043359.1	26
YP_003043361.1	38
YP_003043362.1	20
YP_003043367.1	1
YP_003043370.1	1
YP_003043371.1	35
YP_003043373.1	45
YP_003043374.1	6
YP_003043375.1	1
YP_003043376.1	4
YP_003043377.1	26
YP_003043378.1	35
YP_003043382.1	66
YP_003043384.1	14
YP_003043387.1	22
YP_003043389.1	91
YP_003043390.1	4
YP_003043391.1	21
YP_003043393.1	114
YP_003043395.1	66
YP_003043396.1	185
YP_003043397.1	222
YP_003043398.1	16
YP_003043399.1	38
YP_003043400.1	3
YP_003043401.1	1
YP_003043403.1	24
YP_003043404.1	130
YP_003043405.1	57
YP_003043406.1	17
YP_003043407.1	24
YP_003043408.1	13
YP_003043409.1	13
YP_003043410.1	6
YP_003043411.1	14
YP_003043412.1	101
YP_003043414.1	2
YP_003043415.1	4
YP_003043416.1	2
YP_003043417.1	7
YP_003043418.1	3
YP_003043420.1	2
YP_003043422.1	151
YP_003043423.1	2
YP_003043424.1	11
YP_003043425.1	255
YP_003043426.1	10
YP_003043427.1	60
YP_003043428.1	4
YP_003043429.1	6
YP_003043430.1	4
YP_003043431.1	6
YP_003043434.1	5
YP_003043435.1	2
YP_003043439.1	0
YP_003043444.1	3
YP_003043445.1	18
YP_003043446.1	62
YP_003043447.1	12
YP_003043450.1	6
YP_003043459.1	94
YP_003043460.1	12
YP_003043461.1	13
YP_003043462.1	23
YP_003043463.1	0
YP_003043465.1	0
YP_003043466.1	42
YP_003043467.1	61
YP_003043473.1	30
YP_003043477.1	1
YP_003043480.1	1
YP_003043487.1	1
YP_003043489.1	1
YP_003043490.1	2
YP_003043495.1	16
YP_003043506.1	2
YP_003043507.1	15
YP_003043511.1	1
YP_003043518.1	46
YP_003043526.1	5
YP_003043527.1	1
YP_003043535.1	1
YP_003043537.1	10
YP_003043538.1	1
YP_003043541.1	0
YP_003043542.1	8
YP_003043543.1	8
YP_003043545.1	12
YP_003043546.1	35
YP_003043549.1	1
YP_003043550.1	10
YP_003043555.1	9
YP_003043556.1	2
YP_003043560.1	20
YP_003043561.1	5
YP_003043562.1	12
YP_003043565.1	5
YP_003043568.1	0
YP_003043569.1	35
YP_003043570.1	7
YP_003043572.1	6
YP_003043574.1	4
YP_003043575.1	1
YP_003043578.1	29
YP_003043579.1	7
YP_003043580.1	28
YP_003043581.1	69
YP_003043582.1	60
YP_003043583.1	19
YP_003043584.1	2
YP_003043587.1	14
YP_003043588.1	12
YP_003043589.1	60
YP_003043590.1	15
YP_003043591.1	3
YP_003043594.1	34
YP_003043595.1	9
YP_003043596.1	8
YP_003043597.1	36
YP_003043598.1	2
YP_003043600.1	38
YP_003043604.1	1
YP_003043608.1	23
YP_003043609.1	63
YP_003043611.1	33
YP_003043612.1	4
YP_003043613.1	255
YP_003043614.1	22
YP_003043615.1	107
YP_003043618.1	53
YP_003043619.1	93
YP_003043622.1	4
YP_003043628.1	2
YP_003043630.1	10
YP_003043635.1	6
YP_003043637.1	9
YP_003043639.1	68
YP_003043640.1	69
YP_003043641.1	1
YP_003043642.1	14
YP_003043646.1	43
YP_003043647.1	12
YP_003043648.1	47
YP_003043649.1	7
YP_003043650.1	234
YP_003043651.1	50
YP_003043652.1	7
YP_003043653.1	1
YP_003043654.1	32
YP_003043655.1	2
YP_003043657.1	18
YP_003043658.1	29
YP_003043660.1	2
YP_003043661.1	3
YP_003043666.1	2
YP_003043669.1	32
YP_003043670.1	9
YP_003043671.1	9
YP_003043673.1	3
YP_003043674.1	0
YP_003043682.1	6
YP_003043684.1	0
YP_003043685.1	1
YP_003043691.1	4
YP_003043693.1	3
YP_003043698.1	37
YP_003043699.1	32
YP_003043701.1	65
YP_003043702.1	55
YP_003043704.1	13
YP_003043705.1	20
YP_003043711.1	0
YP_003043729.1	0
YP_003043733.1	28
YP_003043735.1	1
YP_003043743.1	12
YP_003043746.1	1
YP_003043748.1	1
YP_003043754.1	3
YP_003043756.1	3
YP_003043757.1	6
YP_003043758.1	11
YP_003043759.1	2
YP_003043760.1	1
YP_003043761.1	6
YP_003043762.1	65
YP_003043768.1	0
YP_003043772.1	33
YP_003043773.1	1
YP_003043777.1	3
