"","rowname","short","md5sum","MURI","L","R","MURI_num"
"1","237","MURI_16_SA13172_AGTTCC_L007_R1_001.fastq.gz","7a080b479d581024fabfa67f65fc4212","MURI_16 ","L007","R1",16
"2","238","MURI_16_SA13172_AGTTCC_L007_R2_001.fastq.gz","45b8bbbf4b57d0d3992dc9d0015249f5","MURI_16 ","L007","R2",16
"3","251","MURI_17_SA13172_ATGTCA_L007_R1_001.fastq.gz","d09d3713103eb70e1b0e424a3783c4f5","MURI_17 ","L007","R1",17
"4","252","MURI_17_SA13172_ATGTCA_L007_R2_001.fastq.gz","e33ff805d1e534663e850b83a5a2d2c1","MURI_17 ","L007","R2",17
"5","253","MURI_18_SA13172_CCGTCC_L007_R1_001.fastq.gz","20bbfec81042c6108f61a251d83bddae","MURI_18 ","L007","R1",18
"6","255","MURI_18_SA14008_CCGTCC_L007_R1_001.fastq.gz","f1c955794d9e610d3d8e14a6bdc17807","MURI_18 ","L007","R1",18
"7","257","MURI_18_SA14008_CCGTCC_L008_R1_001.fastq.gz","4468ef42cd66a36402d60545690a11cf","MURI_18 ","L008","R1",18
"8","254","MURI_18_SA13172_CCGTCC_L007_R2_001.fastq.gz","dee82bf7decab4c13a5fdff1fd4eb563","MURI_18 ","L007","R2",18
"9","256","MURI_18_SA14008_CCGTCC_L007_R2_001.fastq.gz","6b5aa70e366c963ced36474a11327279","MURI_18 ","L007","R2",18
"10","258","MURI_18_SA14008_CCGTCC_L008_R2_001.fastq.gz","af8ae9a5e542f6753b8073d9a6f8fbb4","MURI_18 ","L008","R2",18
"11","259","MURI_19_SA13172_GTCCGC_L007_R1_001.fastq.gz","19469092df938804eb04007b02ffc85f","MURI_19 ","L007","R1",19
"12","260","MURI_19_SA13172_GTCCGC_L007_R2_001.fastq.gz","5a57cb3a72053e8f67f971e1448b5885","MURI_19 ","L007","R2",19
"13","261","MURI_20_SA13172_GTGAAA_L007_R1_001.fastq.gz","ee9327c5474822db213f96ed05d636cb","MURI_20 ","L007","R1",20
"14","262","MURI_20_SA13172_GTGAAA_L007_R2_001.fastq.gz","10e460ca1182165898b85dff5dc75cfc","MURI_20 ","L007","R2",20
"15","263","MURI_21_SA13172_GTGGCC_L007_R1_001.fastq.gz","a88a495a1435f73c4f2d76177ce4d371","MURI_21 ","L007","R1",21
"16","264","MURI_21_SA13172_GTGGCC_L007_R2_001.fastq.gz","009658ea8da601f4c7907ab51f77148b","MURI_21 ","L007","R2",21
"17","267","MURI_22_SA15008_GTTTCG_L001_R1_001.fastq.gz","dd04caf40f417b55b6b69accbf5c9023","MURI_22 ","L001","R1",22
"18","265","MURI_22_SA13172_GTTTCG_L007_R1_001.fastq.gz","cbe535263c01f0190864d1dc3e94132b","MURI_22 ","L007","R1",22
"19","268","MURI_22_SA15008_GTTTCG_L001_R2_001.fastq.gz","5d8ff3a0df8af1ba01f12ff9de4647bf","MURI_22 ","L001","R2",22
"20","266","MURI_22_SA13172_GTTTCG_L007_R2_001.fastq.gz","36e6318c36a1a918b9d9f4f48dd965e4","MURI_22 ","L007","R2",22
"21","269","MURI_23_SA13172_CGTACG_L007_R1_001.fastq.gz","f74e99694e89a7a362a7d4481eaa2cb3","MURI_23 ","L007","R1",23
"22","271","MURI_23_SA14008_CGTACG_L007_R1_001.fastq.gz","39abd302e363a98bf3e3c5e855ce3bd2","MURI_23 ","L007","R1",23
"23","273","MURI_23_SA14008_CGTACG_L008_R1_001.fastq.gz","f8487c58819e532ed90a9ec0cd92368d","MURI_23 ","L008","R1",23
"24","270","MURI_23_SA13172_CGTACG_L007_R2_001.fastq.gz","6ce28b94a22764fc9d3cd605d7023ab1","MURI_23 ","L007","R2",23
"25","272","MURI_23_SA14008_CGTACG_L007_R2_001.fastq.gz","ee82f8b34c81778b6eb5385d1e8cb1cb","MURI_23 ","L007","R2",23
"26","274","MURI_23_SA14008_CGTACG_L008_R2_001.fastq.gz","f89c8952e132fc3f287df8e891df679a","MURI_23 ","L008","R2",23
"27","275","MURI_24_SA13172_GAGTGG_L007_R1_001.fastq.gz","f5c9d25ade149b366b0eb0853e62c4cc","MURI_24 ","L007","R1",24
"28","277","MURI_24_SA14008_GAGTGG_L007_R1_001.fastq.gz","550955f8261208d7af795a5abe8baa64","MURI_24 ","L007","R1",24
"29","279","MURI_24_SA14008_GAGTGG_L008_R1_001.fastq.gz","d69cd3e9f1baa95560563cc5727bd2d6","MURI_24 ","L008","R1",24
"30","276","MURI_24_SA13172_GAGTGG_L007_R2_001.fastq.gz","3ab9c2524b9e81eff77c8aca9374566f","MURI_24 ","L007","R2",24
"31","278","MURI_24_SA14008_GAGTGG_L007_R2_001.fastq.gz","44e246b5049c43ec27d26ea10882aaaa","MURI_24 ","L007","R2",24
"32","280","MURI_24_SA14008_GAGTGG_L008_R2_001.fastq.gz","2860bfbf0c79b3641c56778c5e77e84e","MURI_24 ","L008","R2",24
"33","281","MURI_25_SA14027_ATCACG_L006_R1_001.fastq.gz","fb095b23b7b06ffd9a6602dd53bfadf9","MURI_25 ","L006","R1",25
"34","282","MURI_25_SA14027_ATCACG_L006_R2_001.fastq.gz","36a6562e69d4b4fc7ae5a8c196f38938","MURI_25 ","L006","R2",25
"35","283","MURI_26_SA14027_TTAGGC_L006_R1_001.fastq.gz","ba91bf3e85ca471d4f3b2123e8f545ee","MURI_26 ","L006","R1",26
"36","284","MURI_26_SA14027_TTAGGC_L006_R2_001.fastq.gz","cfd7a7b0df34dba05a8ea9d505e48a2e","MURI_26 ","L006","R2",26
"37","285","MURI_27_SA14027_TGACCA_L006_R1_001.fastq.gz","c178ec005e9f797bcae0d22169db025c","MURI_27 ","L006","R1",27
"38","286","MURI_27_SA14027_TGACCA_L006_R2_001.fastq.gz","9ab50d520623408bc38c06cf957f98d5","MURI_27 ","L006","R2",27
"39","287","MURI_28_SA14027_ACAGTG_L006_R1_001.fastq.gz","17fc0b51426dbcc0fc4f895fe51c6f4e","MURI_28 ","L006","R1",28
"40","288","MURI_28_SA14027_ACAGTG_L006_R2_001.fastq.gz","4e65384bee14e8b1e4e94289ae6b6f2b","MURI_28 ","L006","R2",28
"41","289","MURI_29_SA14027_GCCAAT_L006_R1_001.fastq.gz","42e0a188ab56f577b50e000255472190","MURI_29 ","L006","R1",29
"42","290","MURI_29_SA14027_GCCAAT_L006_R2_001.fastq.gz","2b388c877d0dc6af8dbeb4c97a73a493","MURI_29 ","L006","R2",29
"43","291","MURI_30_SA14027_CAGATC_L006_R1_001.fastq.gz","2b4582816cbb44a9f514320515e45e1d","MURI_30 ","L006","R1",30
"44","292","MURI_30_SA14027_CAGATC_L006_R2_001.fastq.gz","f95a0b31d1fdb163c0d11dca2bedb8e0","MURI_30 ","L006","R2",30
"45","295","MURI_31_SA14043_ACTTGA_L001_R1_001.fastq.gz","284250ea50194cde854153f7b43c17ba","MURI_31 ","L001","R1",31
"46","293","MURI_31_SA14027_ACTTGA_L006_R1_001.fastq.gz","3d289595b7a5911da9e9103679ecc9e9","MURI_31 ","L006","R1",31
"47","296","MURI_31_SA14043_ACTTGA_L001_R2_001.fastq.gz","4bfdf6bbb1903f167e41bd5945cfda21","MURI_31 ","L001","R2",31
"48","294","MURI_31_SA14027_ACTTGA_L006_R2_001.fastq.gz","1a4bad6b454a10b52efd191cc28a6505","MURI_31 ","L006","R2",31
"49","297","MURI_32_SA14027_GATCAG_L006_R1_001.fastq.gz","725e9017f455d1916a77957db3c2d92a","MURI_32 ","L006","R1",32
"50","298","MURI_32_SA14027_GATCAG_L006_R2_001.fastq.gz","6da7aaa4a6a548f8b4201c375c2ac6ea","MURI_32 ","L006","R2",32
"51","299","MURI_33_SA14027_TAGCTT_L006_R1_001.fastq.gz","27138ee2d494bde89c8fabc9ef119f90","MURI_33 ","L006","R1",33
"52","300","MURI_33_SA14027_TAGCTT_L006_R2_001.fastq.gz","5019d12d843663cf50f6023f53cbc35f","MURI_33 ","L006","R2",33
"53","301","MURI_34_SA14043_AGTCAA_L002_R1_001.fastq.gz","08a1502f79b12ac54610495115832e30","MURI_34 ","L002","R1",34
"54","303","MURI_34_SA14043_AGTCAA_L003_R1_001.fastq.gz","81764ee50f5ae64a9e90898fecb08000","MURI_34 ","L003","R1",34
"55","302","MURI_34_SA14043_AGTCAA_L002_R2_001.fastq.gz","5fec3cbd7f3fc883fad44c21fae90894","MURI_34 ","L002","R2",34
"56","304","MURI_34_SA14043_AGTCAA_L003_R2_001.fastq.gz","5bd2f3a0ed6fbb0e6f2bd269e68b6901","MURI_34 ","L003","R2",34
"57","305","MURI_35_SA14043_AGTTCC_L002_R1_001.fastq.gz","e9185d5a197d12b69094f6b0b3874baa","MURI_35 ","L002","R1",35
"58","307","MURI_35_SA14043_AGTTCC_L003_R1_001.fastq.gz","58672be0d4eb37d52c4257e8b148b700","MURI_35 ","L003","R1",35
"59","306","MURI_35_SA14043_AGTTCC_L002_R2_001.fastq.gz","db70ec66708efebd6d557cbee45278e9","MURI_35 ","L002","R2",35
"60","308","MURI_35_SA14043_AGTTCC_L003_R2_001.fastq.gz","f5cd499445709e3ab6450195bd42e4ac","MURI_35 ","L003","R2",35
"61","309","MURI_36_SA14043_ATGTCA_L002_R1_001.fastq.gz","49a975d8bdef5ff2fab35dded7d0c8fb","MURI_36 ","L002","R1",36
"62","311","MURI_36_SA14043_ATGTCA_L003_R1_001.fastq.gz","487d677fb6301df166e4f4ee93a0e3e4","MURI_36 ","L003","R1",36
"63","310","MURI_36_SA14043_ATGTCA_L002_R2_001.fastq.gz","879fbeb5d66aeca492ba3e45256e38b1","MURI_36 ","L002","R2",36
"64","312","MURI_36_SA14043_ATGTCA_L003_R2_001.fastq.gz","f0c8224faf1b0aa0a98c8b9d00c09bf6","MURI_36 ","L003","R2",36
