"","MURI","MURI_num","L","SA","short_R1","short_R2"
"209","MURI_155 ",155,"L002","SA14141","MURI_155_SA14141_ACTTGA_L002_R1_001.fastq.gz","MURI_155_SA14141_ACTTGA_L002_R2_001.fastq.gz"
"210","MURI_156 ",156,"L002","SA14141","MURI_156_SA14141_GATCAG_L002_R1_001.fastq.gz","MURI_156_SA14141_GATCAG_L002_R2_001.fastq.gz"
"211","MURI_157 ",157,"L002","SA14141","MURI_157_SA14141_TAGCTT_L002_R1_001.fastq.gz","MURI_157_SA14141_TAGCTT_L002_R2_001.fastq.gz"
"212","MURI_157 ",157,"L007","SA15015","MURI_157_SA15015_TAGCTT_L007_R1_001.fastq.gz","MURI_157_SA15015_TAGCTT_L007_R2_001.fastq.gz"
"213","MURI_157 ",157,"L008","SA15015","MURI_157_SA15015_TAGCTT_L008_R1_001.fastq.gz","MURI_157_SA15015_TAGCTT_L008_R2_001.fastq.gz"
"214","MURI_158 ",158,"L002","SA14141","MURI_158_SA14141_GGCTAC_L002_R1_001.fastq.gz","MURI_158_SA14141_GGCTAC_L002_R2_001.fastq.gz"
"215","MURI_158 ",158,"L007","SA15015","MURI_158_SA15015_GGCTAC_L007_R1_001.fastq.gz","MURI_158_SA15015_GGCTAC_L007_R2_001.fastq.gz"
"216","MURI_158 ",158,"L008","SA15015","MURI_158_SA15015_GGCTAC_L008_R1_001.fastq.gz","MURI_158_SA15015_GGCTAC_L008_R2_001.fastq.gz"
"217","MURI_159 ",159,"L002","SA14141","MURI_159_SA14141_CTTGTA_L002_R1_001.fastq.gz","MURI_159_SA14141_CTTGTA_L002_R2_001.fastq.gz"
"218","MURI_159 ",159,"L007","SA15015","MURI_159_SA15015_CTTGTA_L007_R1_001.fastq.gz","MURI_159_SA15015_CTTGTA_L007_R2_001.fastq.gz"
"219","MURI_159 ",159,"L008","SA15015","MURI_159_SA15015_CTTGTA_L008_R1_001.fastq.gz","MURI_159_SA15015_CTTGTA_L008_R2_001.fastq.gz"
"220","MURI_160 ",160,"L002","SA14141","MURI_160_SA14141_AGTCAA_L002_R1_001.fastq.gz","MURI_160_SA14141_AGTCAA_L002_R2_001.fastq.gz"
"221","MURI_160 ",160,"L007","SA15015","MURI_160_SA15015_AGTCAA_L007_R1_001.fastq.gz","MURI_160_SA15015_AGTCAA_L007_R2_001.fastq.gz"
"222","MURI_160 ",160,"L008","SA15015","MURI_160_SA15015_AGTCAA_L008_R1_001.fastq.gz","MURI_160_SA15015_AGTCAA_L008_R2_001.fastq.gz"
"223","MURI_161 ",161,"L002","SA14141","MURI_161_SA14141_AGTTCC_L002_R1_001.fastq.gz","MURI_161_SA14141_AGTTCC_L002_R2_001.fastq.gz"
"224","MURI_162 ",162,"L002","SA14141","MURI_162_SA14141_ATGTCA_L002_R1_001.fastq.gz","MURI_162_SA14141_ATGTCA_L002_R2_001.fastq.gz"
"225","MURI_163 ",163,"L004","SA14141","MURI_163_SA14141_CCGTCC_L004_R1_001.fastq.gz","MURI_163_SA14141_CCGTCC_L004_R2_001.fastq.gz"
"226","MURI_164 ",164,"L002","SA14141","MURI_164_SA14141_GTCCGC_L002_R1_001.fastq.gz","MURI_164_SA14141_GTCCGC_L002_R2_001.fastq.gz"
"227","MURI_165 ",165,"L002","SA14141","MURI_165_SA14141_GTGAAA_L002_R1_001.fastq.gz","MURI_165_SA14141_GTGAAA_L002_R2_001.fastq.gz"
"228","MURI_166 ",166,"L002","SA14141","MURI_166_SA14141_GTGGCC_L002_R1_001.fastq.gz","MURI_166_SA14141_GTGGCC_L002_R2_001.fastq.gz"
"229","MURI_167 ",167,"L002","SA14141","MURI_167_SA14141_CGTACG_L002_R1_001.fastq.gz","MURI_167_SA14141_CGTACG_L002_R2_001.fastq.gz"
"230","MURI_167 ",167,"L007","SA15015","MURI_167_SA15015_CGTACG_L007_R1_001.fastq.gz","MURI_167_SA15015_CGTACG_L007_R2_001.fastq.gz"
"231","MURI_167 ",167,"L008","SA15015","MURI_167_SA15015_CGTACG_L008_R1_001.fastq.gz","MURI_167_SA15015_CGTACG_L008_R2_001.fastq.gz"
"232","MURI_168 ",168,"L003","SA14141","MURI_168_SA14141_GAGTGG_L003_R1_001.fastq.gz","MURI_168_SA14141_GAGTGG_L003_R2_001.fastq.gz"
"233","MURI_168 ",168,"L007","SA15015","MURI_168_SA15015_GAGTGG_L007_R1_001.fastq.gz","MURI_168_SA15015_GAGTGG_L007_R2_001.fastq.gz"
"234","MURI_168 ",168,"L008","SA15015","MURI_168_SA15015_GAGTGG_L008_R1_001.fastq.gz","MURI_168_SA15015_GAGTGG_L008_R2_001.fastq.gz"
"235","MURI_169 ",169,"L002","SA14141","MURI_169_SA14141_ACTGAT_L002_R1_001.fastq.gz","MURI_169_SA14141_ACTGAT_L002_R2_001.fastq.gz"
"236","MURI_169 ",169,"L007","SA15015","MURI_169_SA15015_ACTGAT_L007_R1_001.fastq.gz","MURI_169_SA15015_ACTGAT_L007_R2_001.fastq.gz"
"237","MURI_169 ",169,"L008","SA15015","MURI_169_SA15015_ACTGAT_L008_R1_001.fastq.gz","MURI_169_SA15015_ACTGAT_L008_R2_001.fastq.gz"
"238","MURI_170 ",170,"L002","SA14141","MURI_170_SA14141_ATTCCT_L002_R1_001.fastq.gz","MURI_170_SA14141_ATTCCT_L002_R2_001.fastq.gz"
"239","MURI_170 ",170,"L007","SA15015","MURI_170_SA15015_ATTCCT_L007_R1_001.fastq.gz","MURI_170_SA15015_ATTCCT_L007_R2_001.fastq.gz"
"240","MURI_170 ",170,"L008","SA15015","MURI_170_SA15015_ATTCCT_L008_R1_001.fastq.gz","MURI_170_SA15015_ATTCCT_L008_R2_001.fastq.gz"
"241","MURI_171 ",171,"L006","SA14217","MURI_171_SA14217_ATCACG_L006_R1_001.fastq.gz","MURI_171_SA14217_ATCACG_L006_R2_001.fastq.gz"
"242","MURI_171 ",171,"L007","SA15015","MURI_171_SA15015_ATCACG_L007_R1_001.fastq.gz","MURI_171_SA15015_ATCACG_L007_R2_001.fastq.gz"
"243","MURI_171 ",171,"L008","SA15015","MURI_171_SA15015_ATCACG_L008_R1_001.fastq.gz","MURI_171_SA15015_ATCACG_L008_R2_001.fastq.gz"
