"","MURI","MURI_num","L","SA","short_R1","short_R2"
"89","MURI_79 ",79,"L004","SA14140","MURI_79_SA14140_GTCCGC_L004_R1_001.fastq.gz","MURI_79_SA14140_GTCCGC_L004_R2_001.fastq.gz"
"90","MURI_80 ",80,"L002","SA14140","MURI_80_SA14140_ATCACG_L002_R1_001.fastq.gz","MURI_80_SA14140_ATCACG_L002_R2_001.fastq.gz"
"91","MURI_80 ",80,"L004","SA14141","MURI_80_SA14141_ATCACG_L004_R1_001.fastq.gz","MURI_80_SA14141_ATCACG_L004_R2_001.fastq.gz"
"92","MURI_81 ",81,"L004","SA14140","MURI_81_SA14140_GTGGCC_L004_R1_001.fastq.gz","MURI_81_SA14140_GTGGCC_L004_R2_001.fastq.gz"
"93","MURI_82 ",82,"L004","SA14140","MURI_82_SA14140_ACTGAT_L004_R1_001.fastq.gz","MURI_82_SA14140_ACTGAT_L004_R2_001.fastq.gz"
"94","MURI_83 ",83,"L004","SA14140","MURI_83_SA14140_ATTCCT_L004_R1_001.fastq.gz","MURI_83_SA14140_ATTCCT_L004_R2_001.fastq.gz"
"95","MURI_83 ",83,"L004","SA15156","MURI_83_SA15156_ATCACG_L004_R1_001.fastq.gz","MURI_83_SA15156_ATCACG_L004_R2_001.fastq.gz"
"96","MURI_84 ",84,"L004","SA14140","MURI_84_SA14140_ATCACG_L004_R1_001.fastq.gz","MURI_84_SA14140_ATCACG_L004_R2_001.fastq.gz"
"97","MURI_85 ",85,"L004","SA14140","MURI_85_SA14140_TTAGGC_L004_R1_001.fastq.gz","MURI_85_SA14140_TTAGGC_L004_R2_001.fastq.gz"
"98","MURI_86 ",86,"L004","SA14140","MURI_86_SA14140_TGACCA_L004_R1_001.fastq.gz","MURI_86_SA14140_TGACCA_L004_R2_001.fastq.gz"
"99","MURI_87 ",87,"L004","SA14140","MURI_87_SA14140_ACAGTG_L004_R1_001.fastq.gz","MURI_87_SA14140_ACAGTG_L004_R2_001.fastq.gz"
"100","MURI_88 ",88,"L004","SA14140","MURI_88_SA14140_GCCAAT_L004_R1_001.fastq.gz","MURI_88_SA14140_GCCAAT_L004_R2_001.fastq.gz"
"101","MURI_89 ",89,"L004","SA14140","MURI_89_SA14140_CAGATC_L004_R1_001.fastq.gz","MURI_89_SA14140_CAGATC_L004_R2_001.fastq.gz"
"102","MURI_90 ",90,"L004","SA14140","MURI_90_SA14140_ACTTGA_L004_R1_001.fastq.gz","MURI_90_SA14140_ACTTGA_L004_R2_001.fastq.gz"
"103","MURI_91 ",91,"L004","SA14140","MURI_91_SA14140_GATCAG_L004_R1_001.fastq.gz","MURI_91_SA14140_GATCAG_L004_R2_001.fastq.gz"
"104","MURI_92 ",92,"L001","SA15008","MURI_92_SA15008_TAGCTT_L001_R1_001.fastq.gz","MURI_92_SA15008_TAGCTT_L001_R2_001.fastq.gz"
"105","MURI_92 ",92,"L004","SA14140","MURI_92_SA14140_TAGCTT_L004_R1_001.fastq.gz","MURI_92_SA14140_TAGCTT_L004_R2_001.fastq.gz"
"106","MURI_93 ",93,"L003","SA14141","MURI_93_SA14141_GGCTAC_L003_R1_001.fastq.gz","MURI_93_SA14141_GGCTAC_L003_R2_001.fastq.gz"
"107","MURI_94 ",94,"L001","SA14140","MURI_94_SA14140_CTTGTA_L001_R1_001.fastq.gz","MURI_94_SA14140_CTTGTA_L001_R2_001.fastq.gz"
"108","MURI_95 ",95,"L001","SA14140","MURI_95_SA14140_AGTCAA_L001_R1_001.fastq.gz","MURI_95_SA14140_AGTCAA_L001_R2_001.fastq.gz"
"109","MURI_96 ",96,"L001","SA14140","MURI_96_SA14140_AGTTCC_L001_R1_001.fastq.gz","MURI_96_SA14140_AGTTCC_L001_R2_001.fastq.gz"
"110","MURI_96 ",96,"L004","SA15008","MURI_96_SA15008_AGTTCC_L004_R1_001.fastq.gz","MURI_96_SA15008_AGTTCC_L004_R2_001.fastq.gz"
"111","MURI_97 ",97,"L001","SA14140","MURI_97_SA14140_ATGTCA_L001_R1_001.fastq.gz","MURI_97_SA14140_ATGTCA_L001_R2_001.fastq.gz"
"112","MURI_97 ",97,"L005","SA14008","MURI_97_SA14008_ATCACG_L005_R1_001.fastq.gz","MURI_97_SA14008_ATCACG_L005_R2_001.fastq.gz"
"113","MURI_97 ",97,"L006","SA14008","MURI_97_SA14008_ATCACG_L006_R1_001.fastq.gz","MURI_97_SA14008_ATCACG_L006_R2_001.fastq.gz"
"114","MURI_98 ",98,"L001","SA14140","MURI_98_SA14140_CCGTCC_L001_R1_001.fastq.gz","MURI_98_SA14140_CCGTCC_L001_R2_001.fastq.gz"
"115","MURI_98 ",98,"L005","SA14008","MURI_98_SA14008_TTAGGC_L005_R1_001.fastq.gz","MURI_98_SA14008_TTAGGC_L005_R2_001.fastq.gz"
"116","MURI_98 ",98,"L006","SA14008","MURI_98_SA14008_TTAGGC_L006_R1_001.fastq.gz","MURI_98_SA14008_TTAGGC_L006_R2_001.fastq.gz"
"117","MURI_99 ",99,"L001","SA14140","MURI_99_SA14140_GTCCGC_L001_R1_001.fastq.gz","MURI_99_SA14140_GTCCGC_L001_R2_001.fastq.gz"
"118","MURI_99 ",99,"L005","SA14008","MURI_99_SA14008_TGACCA_L005_R1_001.fastq.gz","MURI_99_SA14008_TGACCA_L005_R2_001.fastq.gz"
"119","MURI_99 ",99,"L006","SA14008","MURI_99_SA14008_TGACCA_L006_R1_001.fastq.gz","MURI_99_SA14008_TGACCA_L006_R2_001.fastq.gz"
"120","MURI_100 ",100,"L001","SA14140","MURI_100_SA14140_GTGGCC_L001_R1_001.fastq.gz","MURI_100_SA14140_GTGGCC_L001_R2_001.fastq.gz"
"121","MURI_100 ",100,"L005","SA14008","MURI_100_SA14008_ACAGTG_L005_R1_001.fastq.gz","MURI_100_SA14008_ACAGTG_L005_R2_001.fastq.gz"
"122","MURI_100 ",100,"L006","SA14008","MURI_100_SA14008_ACAGTG_L006_R1_001.fastq.gz","MURI_100_SA14008_ACAGTG_L006_R2_001.fastq.gz"
"123","MURI_101 ",101,"L001","SA14140","MURI_101_SA14140_ACTGAT_L001_R1_001.fastq.gz","MURI_101_SA14140_ACTGAT_L001_R2_001.fastq.gz"
