"","MURI","R1_L1","R1_L2","R1_L3","R1_L4","R1_L5","R1_L6","R2_L1","R2_L2","R2_L3","R2_L4","R2_L5","R2_L6","MURI_num"
"118","MURI_137 ","MURI_137_SA14141_ACTTGA_L003_R1_001.fastq","MURI_137_SA15008_ACTTGA_L001_R1_001.fastq",,,,,"MURI_137_SA14141_ACTTGA_L003_R2_001.fastq","MURI_137_SA15008_ACTTGA_L001_R2_001.fastq",,,,,137
"119","MURI_138 ","MURI_138_SA14141_GATCAG_L003_R1_001.fastq",,,,,,"MURI_138_SA14141_GATCAG_L003_R2_001.fastq",,,,,,138
"120","MURI_139 ","MURI_139_SA14141_TAGCTT_L003_R1_001.fastq","MURI_139_SA15156_TGACCA_L004_R1_001.fastq",,,,,"MURI_139_SA14141_TAGCTT_L003_R2_001.fastq","MURI_139_SA15156_TGACCA_L004_R2_001.fastq",,,,,139
"121","MURI_140 ","MURI_140_SA14140_GGCTAC_L002_R1_001.fastq",,,,,,"MURI_140_SA14140_GGCTAC_L002_R2_001.fastq",,,,,,140
"122","MURI_141 ","MURI_141_SA14140_CTTGTA_L002_R1_001.fastq","MURI_141_SA14141_CTTGTA_L004_R1_001.fastq",,,,,"MURI_141_SA14140_CTTGTA_L002_R2_001.fastq","MURI_141_SA14141_CTTGTA_L004_R2_001.fastq",,,,,141
"123","MURI_142 ","MURI_142_SA14141_AGTCAA_L003_R1_001.fastq",,,,,,"MURI_142_SA14141_AGTCAA_L003_R2_001.fastq",,,,,,142
"124","MURI_143 ","MURI_143_SA14141_AGTTCC_L003_R1_001.fastq",,,,,,"MURI_143_SA14141_AGTTCC_L003_R2_001.fastq",,,,,,143
"125","MURI_144 ","MURI_144_SA14141_ATGTCA_L003_R1_001.fastq",,,,,,"MURI_144_SA14141_ATGTCA_L003_R2_001.fastq",,,,,,144
"126","MURI_145 ","MURI_145_SA14141_CCGTCC_L003_R1_001.fastq",,,,,,"MURI_145_SA14141_CCGTCC_L003_R2_001.fastq",,,,,,145
"127","MURI_146 ","MURI_146_SA14141_GTCCGC_L003_R1_001.fastq",,,,,,"MURI_146_SA14141_GTCCGC_L003_R2_001.fastq",,,,,,146
"128","MURI_147 ","MURI_147_SA14155_GTGAAA_L008_R1_001.fastq","MURI_147_SA15008_GTGAAA_L001_R1_001.fastq",,,,,"MURI_147_SA14155_GTGAAA_L008_R2_001.fastq","MURI_147_SA15008_GTGAAA_L001_R2_001.fastq",,,,,147
"129","MURI_148 ","MURI_148_SA14141_GTGGCC_L003_R1_001.fastq","MURI_148_SA15156_ACAGTG_L004_R1_001.fastq",,,,,"MURI_148_SA14141_GTGGCC_L003_R2_001.fastq","MURI_148_SA15156_ACAGTG_L004_R2_001.fastq",,,,,148
"130","MURI_149 ","MURI_149_SA14155_CGTACG_L008_R1_001.fastq","MURI_149_SA15156_GCCAAT_L004_R1_001.fastq",,,,,"MURI_149_SA14155_CGTACG_L008_R2_001.fastq","MURI_149_SA15156_GCCAAT_L004_R2_001.fastq",,,,,149
"131","MURI_150 ","MURI_150_SA14155_GAGTGG_L008_R1_001.fastq","MURI_150_SA15156_CAGATC_L004_R1_001.fastq",,,,,"MURI_150_SA14155_GAGTGG_L008_R2_001.fastq","MURI_150_SA15156_CAGATC_L004_R2_001.fastq",,,,,150
"132","MURI_151 ","MURI_151_SA14140_ACTGAT_L002_R1_001.fastq","MURI_151_SA15156_ACTTGA_L004_R1_001.fastq",,,,,"MURI_151_SA14140_ACTGAT_L002_R2_001.fastq","MURI_151_SA15156_ACTTGA_L004_R2_001.fastq",,,,,151
"133","MURI_152 ","MURI_152_SA14140_ATTCCT_L002_R1_001.fastq","MURI_152_SA14141_ATTCCT_L004_R1_001.fastq",,,,,"MURI_152_SA14140_ATTCCT_L002_R2_001.fastq","MURI_152_SA14141_ATTCCT_L004_R2_001.fastq",,,,,152
"134","MURI_153 ","MURI_153_SA14217_ATCACG_L007_R1_001.fastq",,,,,,"MURI_153_SA14217_ATCACG_L007_R2_001.fastq",,,,,,153
"135","MURI_154 ","MURI_154_SA14141_CAGATC_L002_R1_001.fastq",,,,,,"MURI_154_SA14141_CAGATC_L002_R2_001.fastq",,,,,,154
"136","MURI_155 ","MURI_155_SA14141_ACTTGA_L002_R1_001.fastq",,,,,,"MURI_155_SA14141_ACTTGA_L002_R2_001.fastq",,,,,,155
"137","MURI_156 ","MURI_156_SA14141_GATCAG_L002_R1_001.fastq",,,,,,"MURI_156_SA14141_GATCAG_L002_R2_001.fastq",,,,,,156
"138","MURI_157 ","MURI_157_SA14141_TAGCTT_L002_R1_001.fastq","MURI_157_SA15015_TAGCTT_L007_R1_001.fastq","MURI_157_SA15015_TAGCTT_L008_R1_001.fastq",,,,"MURI_157_SA14141_TAGCTT_L002_R2_001.fastq","MURI_157_SA15015_TAGCTT_L007_R2_001.fastq","MURI_157_SA15015_TAGCTT_L008_R2_001.fastq",,,,157
"139","MURI_158 ","MURI_158_SA14141_GGCTAC_L002_R1_001.fastq","MURI_158_SA15015_GGCTAC_L007_R1_001.fastq","MURI_158_SA15015_GGCTAC_L008_R1_001.fastq",,,,"MURI_158_SA14141_GGCTAC_L002_R2_001.fastq","MURI_158_SA15015_GGCTAC_L007_R2_001.fastq","MURI_158_SA15015_GGCTAC_L008_R2_001.fastq",,,,158
"140","MURI_159 ","MURI_159_SA14141_CTTGTA_L002_R1_001.fastq","MURI_159_SA15015_CTTGTA_L007_R1_001.fastq","MURI_159_SA15015_CTTGTA_L008_R1_001.fastq",,,,"MURI_159_SA14141_CTTGTA_L002_R2_001.fastq","MURI_159_SA15015_CTTGTA_L007_R2_001.fastq","MURI_159_SA15015_CTTGTA_L008_R2_001.fastq",,,,159
"141","MURI_160 ","MURI_160_SA14141_AGTCAA_L002_R1_001.fastq","MURI_160_SA15015_AGTCAA_L007_R1_001.fastq","MURI_160_SA15015_AGTCAA_L008_R1_001.fastq",,,,"MURI_160_SA14141_AGTCAA_L002_R2_001.fastq","MURI_160_SA15015_AGTCAA_L007_R2_001.fastq","MURI_160_SA15015_AGTCAA_L008_R2_001.fastq",,,,160
"142","MURI_161 ","MURI_161_SA14141_AGTTCC_L002_R1_001.fastq",,,,,,"MURI_161_SA14141_AGTTCC_L002_R2_001.fastq",,,,,,161
"143","MURI_162 ","MURI_162_SA14141_ATGTCA_L002_R1_001.fastq",,,,,,"MURI_162_SA14141_ATGTCA_L002_R2_001.fastq",,,,,,162
"144","MURI_163 ","MURI_163_SA14141_CCGTCC_L004_R1_001.fastq",,,,,,"MURI_163_SA14141_CCGTCC_L004_R2_001.fastq",,,,,,163
"145","MURI_164 ","MURI_164_SA14141_GTCCGC_L002_R1_001.fastq",,,,,,"MURI_164_SA14141_GTCCGC_L002_R2_001.fastq",,,,,,164
"146","MURI_165 ","MURI_165_SA14141_GTGAAA_L002_R1_001.fastq",,,,,,"MURI_165_SA14141_GTGAAA_L002_R2_001.fastq",,,,,,165
"147","MURI_166 ","MURI_166_SA14141_GTGGCC_L002_R1_001.fastq",,,,,,"MURI_166_SA14141_GTGGCC_L002_R2_001.fastq",,,,,,166
"148","MURI_167 ","MURI_167_SA14141_CGTACG_L002_R1_001.fastq","MURI_167_SA15015_CGTACG_L007_R1_001.fastq","MURI_167_SA15015_CGTACG_L008_R1_001.fastq",,,,"MURI_167_SA14141_CGTACG_L002_R2_001.fastq","MURI_167_SA15015_CGTACG_L007_R2_001.fastq","MURI_167_SA15015_CGTACG_L008_R2_001.fastq",,,,167
"149","MURI_168 ","MURI_168_SA14141_GAGTGG_L003_R1_001.fastq","MURI_168_SA15015_GAGTGG_L007_R1_001.fastq","MURI_168_SA15015_GAGTGG_L008_R1_001.fastq",,,,"MURI_168_SA14141_GAGTGG_L003_R2_001.fastq","MURI_168_SA15015_GAGTGG_L007_R2_001.fastq","MURI_168_SA15015_GAGTGG_L008_R2_001.fastq",,,,168
"150","MURI_169 ","MURI_169_SA14141_ACTGAT_L002_R1_001.fastq","MURI_169_SA15015_ACTGAT_L007_R1_001.fastq","MURI_169_SA15015_ACTGAT_L008_R1_001.fastq",,,,"MURI_169_SA14141_ACTGAT_L002_R2_001.fastq","MURI_169_SA15015_ACTGAT_L007_R2_001.fastq","MURI_169_SA15015_ACTGAT_L008_R2_001.fastq",,,,169
"151","MURI_170 ","MURI_170_SA14141_ATTCCT_L002_R1_001.fastq","MURI_170_SA15015_ATTCCT_L007_R1_001.fastq","MURI_170_SA15015_ATTCCT_L008_R1_001.fastq",,,,"MURI_170_SA14141_ATTCCT_L002_R2_001.fastq","MURI_170_SA15015_ATTCCT_L007_R2_001.fastq","MURI_170_SA15015_ATTCCT_L008_R2_001.fastq",,,,170
"152","MURI_171 ","MURI_171_SA14217_ATCACG_L006_R1_001.fastq","MURI_171_SA15015_ATCACG_L007_R1_001.fastq","MURI_171_SA15015_ATCACG_L008_R1_001.fastq",,,,"MURI_171_SA14217_ATCACG_L006_R2_001.fastq","MURI_171_SA15015_ATCACG_L007_R2_001.fastq","MURI_171_SA15015_ATCACG_L008_R2_001.fastq",,,,171
