"","MURI","R1_L1","R1_L2","R1_L3","R1_L4","R1_L5","R1_L6","R2_L1","R2_L2","R2_L3","R2_L4","R2_L5","R2_L6","MURI_num"
"18","MURI_33 ","MURI_33_SA14027_TAGCTT_L006_R1_001.fastq",,,,,,"MURI_33_SA14027_TAGCTT_L006_R2_001.fastq",,,,,,33
"19","MURI_34 ","MURI_34_SA14043_AGTCAA_L002_R1_001.fastq","MURI_34_SA14043_AGTCAA_L003_R1_001.fastq",,,,,"MURI_34_SA14043_AGTCAA_L002_R2_001.fastq","MURI_34_SA14043_AGTCAA_L003_R2_001.fastq",,,,,34
"20","MURI_35 ","MURI_35_SA14043_AGTTCC_L002_R1_001.fastq","MURI_35_SA14043_AGTTCC_L003_R1_001.fastq",,,,,"MURI_35_SA14043_AGTTCC_L002_R2_001.fastq","MURI_35_SA14043_AGTTCC_L003_R2_001.fastq",,,,,35
"21","MURI_36 ","MURI_36_SA14043_ATGTCA_L002_R1_001.fastq","MURI_36_SA14043_ATGTCA_L003_R1_001.fastq",,,,,"MURI_36_SA14043_ATGTCA_L002_R2_001.fastq","MURI_36_SA14043_ATGTCA_L003_R2_001.fastq",,,,,36
"22","MURI_37 ","MURI_37_SA14043_CCGTCC_L002_R1_001.fastq","MURI_37_SA14043_CCGTCC_L003_R1_001.fastq",,,,,"MURI_37_SA14043_CCGTCC_L002_R2_001.fastq","MURI_37_SA14043_CCGTCC_L003_R2_001.fastq",,,,,37
"23","MURI_38 ","MURI_38_SA14043_GTCCGC_L002_R1_001.fastq","MURI_38_SA14043_GTCCGC_L003_R1_001.fastq",,,,,"MURI_38_SA14043_GTCCGC_L002_R2_001.fastq","MURI_38_SA14043_GTCCGC_L003_R2_001.fastq",,,,,38
"24","MURI_39 ","MURI_39_SA14043_GTGAAA_L002_R1_001.fastq","MURI_39_SA14043_GTGAAA_L003_R1_001.fastq",,,,,"MURI_39_SA14043_GTGAAA_L002_R2_001.fastq","MURI_39_SA14043_GTGAAA_L003_R2_001.fastq",,,,,39
"25","MURI_40 ","MURI_40_SA14043_GTGGCC_L002_R1_001.fastq","MURI_40_SA14043_GTGGCC_L003_R1_001.fastq",,,,,"MURI_40_SA14043_GTGGCC_L002_R2_001.fastq","MURI_40_SA14043_GTGGCC_L003_R2_001.fastq",,,,,40
"26","MURI_41 ","MURI_41_SA14043_ATTCCT_L002_R1_001.fastq","MURI_41_SA14043_ATTCCT_L003_R1_001.fastq",,,,,"MURI_41_SA14043_ATTCCT_L002_R2_001.fastq","MURI_41_SA14043_ATTCCT_L003_R2_001.fastq",,,,,41
"27","MURI_42 ","MURI_42_SA14043_GAGTGG_L002_R1_001.fastq","MURI_42_SA14043_GAGTGG_L003_R1_001.fastq",,,,,"MURI_42_SA14043_GAGTGG_L002_R2_001.fastq","MURI_42_SA14043_GAGTGG_L003_R2_001.fastq",,,,,42
"28","MURI_43 ","MURI_43_SA14140_GGCTAC_L004_R1_001.fastq",,,,,,"MURI_43_SA14140_GGCTAC_L004_R2_001.fastq",,,,,,43
"29","MURI_44 ","MURI_44_SA14140_CTTGTA_L004_R1_001.fastq",,,,,,"MURI_44_SA14140_CTTGTA_L004_R2_001.fastq",,,,,,44
"30","MURI_45 ","MURI_45_SA14140_AGTCAA_L004_R1_001.fastq",,,,,,"MURI_45_SA14140_AGTCAA_L004_R2_001.fastq",,,,,,45
"31","MURI_46 ","MURI_46_SA14140_AGTTCC_L004_R1_001.fastq",,,,,,"MURI_46_SA14140_AGTTCC_L004_R2_001.fastq",,,,,,46
"32","MURI_47 ","MURI_47_SA14140_ATGTCA_L004_R1_001.fastq","MURI_47_SA15008_ATGTCA_L001_R1_001.fastq",,,,,"MURI_47_SA14140_ATGTCA_L004_R2_001.fastq","MURI_47_SA15008_ATGTCA_L001_R2_001.fastq",,,,,47
"33","MURI_48 ","MURI_48_SA14155_CCGTCC_L008_R1_001.fastq","MURI_48_SA15008_CCGTCC_L001_R1_001.fastq",,,,,"MURI_48_SA14155_CCGTCC_L008_R2_001.fastq","MURI_48_SA15008_CCGTCC_L001_R2_001.fastq",,,,,48
"34","MURI_49 ","MURI_49_SA14155_GTGGCC_L008_R1_001.fastq",,,,,,"MURI_49_SA14155_GTGGCC_L008_R2_001.fastq",,,,,,49
"35","MURI_50 ","MURI_50_SA14155_GTCCGC_L008_R1_001.fastq",,,,,,"MURI_50_SA14155_GTCCGC_L008_R2_001.fastq",,,,,,50
"36","MURI_52 ","MURI_52_SA14140_GTGGCC_L002_R1_001.fastq",,,,,,"MURI_52_SA14140_GTGGCC_L002_R2_001.fastq",,,,,,52
"37","MURI_53 ","MURI_53_SA14155_ACTGAT_L008_R1_001.fastq",,,,,,"MURI_53_SA14155_ACTGAT_L008_R2_001.fastq",,,,,,53
"38","MURI_54 ","MURI_54_SA14155_ATTCCT_L008_R1_001.fastq",,,,,,"MURI_54_SA14155_ATTCCT_L008_R2_001.fastq",,,,,,54
"39","MURI_55 ","MURI_55_SA14200_ATCACG_L007_R1_001.fastq","MURI_55_SA14200_ATCACG_L008_R1_001.fastq",,,,,"MURI_55_SA14200_ATCACG_L007_R2_001.fastq","MURI_55_SA14200_ATCACG_L008_R2_001.fastq",,,,,55
"40","MURI_56 ","MURI_56_SA14155_TTAGGC_L008_R1_001.fastq",,,,,,"MURI_56_SA14155_TTAGGC_L008_R2_001.fastq",,,,,,56
"41","MURI_57 ","MURI_57_SA14155_TGACCA_L008_R1_001.fastq",,,,,,"MURI_57_SA14155_TGACCA_L008_R2_001.fastq",,,,,,57
"42","MURI_58 ","MURI_58_SA14155_ACAGTG_L008_R1_001.fastq","MURI_58_SA15008_ACAGTG_L001_R1_001.fastq",,,,,"MURI_58_SA14155_ACAGTG_L008_R2_001.fastq","MURI_58_SA15008_ACAGTG_L001_R2_001.fastq",,,,,58
"43","MURI_59 ","MURI_59_SA15156_CCGTCC_L004_R1_001.fastq",,,,,,"MURI_59_SA15156_CCGTCC_L004_R2_001.fastq",,,,,,59
"44","MURI_61 ","MURI_61_SA14155_ACTTGA_L008_R1_001.fastq",,,,,,"MURI_61_SA14155_ACTTGA_L008_R2_001.fastq",,,,,,61
"45","MURI_63 ","MURI_63_SA15156_GTGAAA_L004_R1_001.fastq",,,,,,"MURI_63_SA15156_GTGAAA_L004_R2_001.fastq",,,,,,63
"46","MURI_64 ","MURI_64_SA14141_ATCACG_L003_R1_001.fastq",,,,,,"MURI_64_SA14141_ATCACG_L003_R2_001.fastq",,,,,,64
"47","MURI_65 ","MURI_65_SA14141_TTAGGC_L003_R1_001.fastq","MURI_65_SA15008_TTAGGC_L001_R1_001.fastq",,,,,"MURI_65_SA14141_TTAGGC_L003_R2_001.fastq","MURI_65_SA15008_TTAGGC_L001_R2_001.fastq",,,,,65
"48","MURI_66 ","MURI_66_SA14141_TGACCA_L003_R1_001.fastq","MURI_66_SA15008_TGACCA_L001_R1_001.fastq",,,,,"MURI_66_SA14141_TGACCA_L003_R2_001.fastq","MURI_66_SA15008_TGACCA_L001_R2_001.fastq",,,,,66
"49","MURI_67 ","MURI_67_SA14141_ACAGTG_L003_R1_001.fastq","MURI_67_SA15156_GTGGCC_L004_R1_001.fastq",,,,,"MURI_67_SA14141_ACAGTG_L003_R2_001.fastq","MURI_67_SA15156_GTGGCC_L004_R2_001.fastq",,,,,67
"50","MURI_68 ","MURI_68_SA14155_GCCAAT_L008_R1_001.fastq","MURI_68_SA15008_GCCAAT_L001_R1_001.fastq",,,,,"MURI_68_SA14155_GCCAAT_L008_R2_001.fastq","MURI_68_SA15008_GCCAAT_L001_R2_001.fastq",,,,,68
"51","MURI_69 ","MURI_69_SA14155_CAGATC_L008_R1_001.fastq",,,,,,"MURI_69_SA14155_CAGATC_L008_R2_001.fastq",,,,,,69
"52","MURI_70 ","MURI_70_SA14140_ACTTGA_L002_R1_001.fastq","MURI_70_SA14141_ACTTGA_L004_R1_001.fastq",,,,,"MURI_70_SA14140_ACTTGA_L002_R2_001.fastq","MURI_70_SA14141_ACTTGA_L004_R2_001.fastq",,,,,70
"53","MURI_71 ","MURI_71_SA14155_GATCAG_L008_R1_001.fastq",,,,,,"MURI_71_SA14155_GATCAG_L008_R2_001.fastq",,,,,,71
"54","MURI_72 ","MURI_72_SA14155_TAGCTT_L008_R1_001.fastq",,,,,,"MURI_72_SA14155_TAGCTT_L008_R2_001.fastq",,,,,,72
"55","MURI_73 ","MURI_73_SA14155_GGCTAC_L008_R1_001.fastq","MURI_73_SA15008_GGCTAC_L001_R1_001.fastq",,,,,"MURI_73_SA14155_GGCTAC_L008_R2_001.fastq","MURI_73_SA15008_GGCTAC_L001_R2_001.fastq",,,,,73
"56","MURI_74 ","MURI_74_SA14155_CTTGTA_L008_R1_001.fastq",,,,,,"MURI_74_SA14155_CTTGTA_L008_R2_001.fastq",,,,,,74
"57","MURI_75 ","MURI_75_SA14155_AGTCAA_L008_R1_001.fastq","MURI_75_SA15156_CGTACG_L004_R1_001.fastq",,,,,"MURI_75_SA14155_AGTCAA_L008_R2_001.fastq","MURI_75_SA15156_CGTACG_L004_R2_001.fastq",,,,,75
"58","MURI_76 ","MURI_76_SA14155_AGTTCC_L008_R1_001.fastq","MURI_76_SA15008_AGTTCC_L001_R1_001.fastq",,,,,"MURI_76_SA14155_AGTTCC_L008_R2_001.fastq","MURI_76_SA15008_AGTTCC_L001_R2_001.fastq",,,,,76
"59","MURI_77 ","MURI_77_SA14155_ATGTCA_L008_R1_001.fastq",,,,,,"MURI_77_SA14155_ATGTCA_L008_R2_001.fastq",,,,,,77
"60","MURI_79 ","MURI_79_SA14140_GTCCGC_L004_R1_001.fastq",,,,,,"MURI_79_SA14140_GTCCGC_L004_R2_001.fastq",,,,,,79
"61","MURI_80 ","MURI_80_SA14140_ATCACG_L002_R1_001.fastq","MURI_80_SA14141_ATCACG_L004_R1_001.fastq",,,,,"MURI_80_SA14140_ATCACG_L002_R2_001.fastq","MURI_80_SA14141_ATCACG_L004_R2_001.fastq",,,,,80
"62","MURI_81 ","MURI_81_SA14140_GTGGCC_L004_R1_001.fastq",,,,,,"MURI_81_SA14140_GTGGCC_L004_R2_001.fastq",,,,,,81
"63","MURI_82 ","MURI_82_SA14140_ACTGAT_L004_R1_001.fastq",,,,,,"MURI_82_SA14140_ACTGAT_L004_R2_001.fastq",,,,,,82
"64","MURI_83 ","MURI_83_SA14140_ATTCCT_L004_R1_001.fastq","MURI_83_SA15156_ATCACG_L004_R1_001.fastq",,,,,"MURI_83_SA14140_ATTCCT_L004_R2_001.fastq","MURI_83_SA15156_ATCACG_L004_R2_001.fastq",,,,,83
"65","MURI_84 ","MURI_84_SA14140_ATCACG_L004_R1_001.fastq",,,,,,"MURI_84_SA14140_ATCACG_L004_R2_001.fastq",,,,,,84
"66","MURI_85 ","MURI_85_SA14140_TTAGGC_L004_R1_001.fastq",,,,,,"MURI_85_SA14140_TTAGGC_L004_R2_001.fastq",,,,,,85
"67","MURI_86 ","MURI_86_SA14140_TGACCA_L004_R1_001.fastq",,,,,,"MURI_86_SA14140_TGACCA_L004_R2_001.fastq",,,,,,86
"68","MURI_87 ","MURI_87_SA14140_ACAGTG_L004_R1_001.fastq",,,,,,"MURI_87_SA14140_ACAGTG_L004_R2_001.fastq",,,,,,87
"69","MURI_88 ","MURI_88_SA14140_GCCAAT_L004_R1_001.fastq",,,,,,"MURI_88_SA14140_GCCAAT_L004_R2_001.fastq",,,,,,88
"70","MURI_89 ","MURI_89_SA14140_CAGATC_L004_R1_001.fastq",,,,,,"MURI_89_SA14140_CAGATC_L004_R2_001.fastq",,,,,,89
"71","MURI_90 ","MURI_90_SA14140_ACTTGA_L004_R1_001.fastq",,,,,,"MURI_90_SA14140_ACTTGA_L004_R2_001.fastq",,,,,,90
"72","MURI_91 ","MURI_91_SA14140_GATCAG_L004_R1_001.fastq",,,,,,"MURI_91_SA14140_GATCAG_L004_R2_001.fastq",,,,,,91
"73","MURI_92 ","MURI_92_SA14140_TAGCTT_L004_R1_001.fastq","MURI_92_SA15008_TAGCTT_L001_R1_001.fastq",,,,,"MURI_92_SA14140_TAGCTT_L004_R2_001.fastq","MURI_92_SA15008_TAGCTT_L001_R2_001.fastq",,,,,92
"74","MURI_93 ","MURI_93_SA14141_GGCTAC_L003_R1_001.fastq",,,,,,"MURI_93_SA14141_GGCTAC_L003_R2_001.fastq",,,,,,93
"75","MURI_94 ","MURI_94_SA14140_CTTGTA_L001_R1_001.fastq",,,,,,"MURI_94_SA14140_CTTGTA_L001_R2_001.fastq",,,,,,94
"76","MURI_95 ","MURI_95_SA14140_AGTCAA_L001_R1_001.fastq",,,,,,"MURI_95_SA14140_AGTCAA_L001_R2_001.fastq",,,,,,95
"77","MURI_96 ","MURI_96_SA14140_AGTTCC_L001_R1_001.fastq","MURI_96_SA15008_AGTTCC_L004_R1_001.fastq",,,,,"MURI_96_SA14140_AGTTCC_L001_R2_001.fastq","MURI_96_SA15008_AGTTCC_L004_R2_001.fastq",,,,,96
