f141433aed2c522d0bb343d1c94fccc9  MURI_100_SA14008_ACAGTG_L005_R1_001.fastq
8345a672bb3b433774e5e675349a7c79  MURI_100_SA14008_ACAGTG_L005_R2_001.fastq
f378a0920fd51b253b65a605afa989ab  MURI_100_SA14008_ACAGTG_L006_R1_001.fastq
bc717a861e430fdf99e66a5b190cf503  MURI_100_SA14008_ACAGTG_L006_R2_001.fastq
61fd101b4039dffac19d3da534ed51ea  MURI_100_SA14140_GTGGCC_L001_R1_001.fastq
f268a4eec0503983f12cec2ec6598233  MURI_100_SA14140_GTGGCC_L001_R2_001.fastq
97b628f11a123aab796bc21931e8e70b  MURI_101_SA14008_GCCAAT_L005_R1_001.fastq
3e1d84bc545b67cb920eb804740b0b5a  MURI_101_SA14008_GCCAAT_L005_R2_001.fastq
d467a25eaea309019ae04f4cf8159945  MURI_101_SA14008_GCCAAT_L006_R1_001.fastq
fe74b38c35e9133a8631013c26050c60  MURI_101_SA14008_GCCAAT_L006_R2_001.fastq
0888040bb5f8eb190d178752ecc9d483  MURI_101_SA14140_ACTGAT_L001_R1_001.fastq
c14b50673392dad71842b9856c0fdc0c  MURI_101_SA14140_ACTGAT_L001_R2_001.fastq
8d0f7e30f08c64c5fd0d318784b2d705  MURI_102_SA14008_CAGATC_L005_R1_001.fastq
88eb23e6e3b605f8aa3ce45a10276c3b  MURI_102_SA14008_CAGATC_L005_R2_001.fastq
6fa19baf079561bd18b23bbce3769d36  MURI_102_SA14008_CAGATC_L006_R1_001.fastq
5dd0e0b76c2c854a3e733755963e5677  MURI_102_SA14008_CAGATC_L006_R2_001.fastq
eb18bf0323a60c68435fdc0a8ce174ad  MURI_102_SA14032_CAGATC_L006_R1_001.fastq
d0510cfd6a5f42cbc46eb1a8d2ff4ff9  MURI_102_SA14032_CAGATC_L006_R2_001.fastq
d91c864ec4f1ca9152b4749adc4a64ec  MURI_102_SA14140_ATTCCT_L001_R1_001.fastq
23778475616b91a1a389c46413383936  MURI_102_SA14140_ATTCCT_L001_R2_001.fastq
64ee20e4ae98d92281cf9568747e98ef  MURI_103_SA14008_ACTTGA_L005_R1_001.fastq
