,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
3726,YP_003046965.1,0.405734275974363,-2.08123193492181,1.25997717465422,-1.65180129988701,0.0985750636281427,0.142044221284522,rhaR,ECB_03792,b3906,-1,protein,Exp,carbonSource,lactate,glucose
3727,YP_003046966.1,0.167549210710069,-0.80496332847476,1.16705807283854,-0.689737166649223,0.490359488587381,NA,rhaT,ECB_03793,b3907,-1,protein,Exp,carbonSource,lactate,glucose
3728,YP_003046967.1,55.6993036068073,2.74609686766606,0.74006727637226,3.71060436711533,0.000206765030297594,0.00083825678348086,sodA,ECB_03794,b3908,1,protein,Exp,carbonSource,lactate,glucose
3729,YP_003046968.1,0.155439164463321,-0.605465905641602,1.22614685374538,-0.493795587202423,0.621450549939905,NA,kdgT,ECB_03795,b3909,-1,protein,Exp,carbonSource,lactate,glucose
3730,YP_003046969.1,8.91505345573322,1.64608615892043,0.65860415222859,2.49935587765487,0.012441929580741,0.0266307882830473,yiiM,ECB_03796,b3910,1,protein,Exp,carbonSource,lactate,glucose
3731,YP_003046970.1,9.39368399820184,-1.06156781309585,0.750154150711496,-1.41513289247148,0.157029535762863,0.204813204020552,cpxA,ECB_03797,b3911,-1,protein,Exp,carbonSource,lactate,glucose
3732,YP_003046971.1,19.9971694757377,2.22794736482876,0.733321818704132,3.03815774739365,0.00238029316785949,0.0068893536791397,cpxR,ECB_03798,b3912,1,protein,Exp,carbonSource,lactate,glucose
3733,YP_003046972.1,4.03580273118332,-1.26609120833741,0.912514051208307,-1.38747584945231,0.165296710346778,0.212713757508898,cpxP,ECB_03799,b4484,-1,protein,Exp,carbonSource,lactate,glucose
3734,YP_003046973.1,2.08984705174015,0.662825660590768,0.96166653680268,0.689246880519011,0.490667919593935,0.545024800894153,fieF,ECB_03800,b3915,1,protein,Exp,carbonSource,lactate,glucose
3735,YP_003046974.1,52.7758702171352,2.20884066095917,0.447194762765632,4.93932587067614,7.83931112976261e-07,7.8369849246796e-06,pfkA,ECB_03801,b3916,1,protein,Exp,carbonSource,lactate,glucose
3736,YP_003046975.1,8.76335398057933,2.89708456183081,0.707111074705565,4.09707140145858,4.18409876247354e-05,0.000213903319131614,sbp,ECB_03802,b3917,1,protein,Exp,carbonSource,lactate,glucose
3737,YP_003046976.1,4.90130340402561,0.341069943189807,0.713550560545645,0.477989874927706,0.632657411541701,0.676642164915552,cdh,ECB_03803,b3918,1,protein,Exp,carbonSource,lactate,glucose
3738,YP_003046977.1,134.379689173557,2.38254554575414,0.725654892808094,3.2833039084658,0.00102597994654925,0.00339874772853925,tpiA,ECB_03804,b3919,1,protein,Exp,carbonSource,lactate,glucose
3739,YP_003046978.1,4.9686415265778,1.0633887933404,0.818472113658506,1.29923643774146,0.193862800253474,0.242667471695833,yiiQ,ECB_03805,b3920,1,protein,Exp,carbonSource,lactate,glucose
3740,YP_003046979.1,0.20393507439862,-1.1141545912698,1.19989634450832,-0.928542366487779,0.35312630191473,NA,yiiR,ECB_03806,b3921,-1,protein,Exp,carbonSource,lactate,glucose
3741,YP_003046980.1,7.43019613054044,2.32051732181715,0.854429174809161,2.71586854736724,0.00661021582008533,0.0158616930896492,yiiS,ECB_03807,b3922,1,protein,Exp,carbonSource,lactate,glucose
3742,YP_003046981.1,5.67830807617245,1.46101289196787,0.69253483965591,2.10965977205389,0.0348876718744538,0.0613127629342905,yiiT,ECB_03808,b3923,1,protein,Exp,carbonSource,lactate,glucose
3743,YP_003046982.1,12.4664742946482,2.07975498154644,0.674056874271425,3.08542952520795,0.00203258386945643,0.00603291739738455,fpr,ECB_03809,b3924,1,protein,Exp,carbonSource,lactate,glucose
3744,YP_003046983.1,6.58770137209685,0.0811108659598803,0.890280913692114,0.0911070480254403,0.927407532422356,0.93939746744766,glpX,ECB_03810,b3925,1,protein,Exp,carbonSource,lactate,glucose
3745,YP_003046984.1,220.675648223867,5.08224224468686,0.515658376605938,9.85583183606589,6.46788757396735e-23,1.0895156618348e-19,glpK,ECB_03811,b3926,1,protein,Exp,carbonSource,lactate,glucose
3746,YP_003046985.1,7.18285717463132,4.53366610813676,1.01259731500302,4.47726459567321,7.56055216963135e-06,5.06391655258211e-05,glpF,ECB_03812,b3927,1,protein,Exp,carbonSource,lactate,glucose
3747,YP_003046986.1,28.6813283863588,2.85620139761309,0.715372626699574,3.99260649766596,6.53509667386502e-05,0.000317701885919931,yiiU,ECB_03813,b3928,1,protein,Exp,carbonSource,lactate,glucose
3748,YP_003046987.1,2.20445360794162,0.739334372977926,1.03699296709861,0.712959871894308,0.475870588696485,0.530336755976996,menG,ECB_03814,b3833,1,protein,Exp,carbonSource,lactate,glucose
3749,YP_003046988.1,0.679430022008468,-3.06076122442103,1.2376556019165,-2.47303144726325,0.013397235356714,0.0281041630864068,menA,ECB_03815,b3930,-1,protein,Exp,carbonSource,lactate,glucose
3750,YP_003046989.1,127.142442876269,2.92074862017351,0.551027443923048,5.30055018562995,1.1545422295919e-07,1.77609715593384e-06,hslU,ECB_03816,b3931,1,protein,Exp,carbonSource,lactate,glucose
3751,YP_003046990.1,12.5881651732001,3.23233961350061,0.636709729620941,5.07662984108151,3.84188292216384e-07,4.49420262665625e-06,hslV,ECB_03817,b3932,1,protein,Exp,carbonSource,lactate,glucose
3752,YP_003046991.1,24.6530105127197,2.65344004363369,0.710116752019971,3.73662504945252,0.000186506716135181,0.000765692472284194,ftsN,ECB_03818,b3933,1,protein,Exp,carbonSource,lactate,glucose
3753,YP_003046992.1,5.5794800451957,0.795181815791774,0.624161725899112,1.27399964271488,0.202663542793479,0.252504983606225,cytR,ECB_03819,b3934,1,protein,Exp,carbonSource,lactate,glucose
3754,YP_003046993.1,3.31475311901125,-1.60821918475767,1.04378339202656,-1.5407595072338,0.1233753279272,0.168552911511248,priA,ECB_03820,b3935,-1,protein,Exp,carbonSource,lactate,glucose
3755,YP_003046994.1,68.6916635900457,3.47444135704681,0.78180331688546,4.44413739620376,8.82451998803898e-06,5.73934514279987e-05,rpmE,ECB_03821,b3936,1,protein,Exp,carbonSource,lactate,glucose
3756,YP_003046995.1,0.485891797245066,-1.87206351895756,1.26093283608092,-1.48466553125548,0.137632446796558,0.18392848602047,,ECB_03822,,-1,protein,Exp,carbonSource,lactate,glucose
3757,YP_003046996.1,0.487356226046594,-2.34724428334084,1.26347643740446,-1.85776656679308,0.0632021708316022,0.0996387990321328,yiiX,ECB_03823,b3937,-1,protein,Exp,carbonSource,lactate,glucose
3758,YP_003046997.1,19.2805840388428,3.39613911675106,0.761187445820968,4.46163311730424,8.13373948948978e-06,5.36253783563426e-05,metJ,ECB_03824,b3938,1,protein,Exp,carbonSource,lactate,glucose
3759,YP_003046998.1,21.9572744019835,2.56783722551835,0.586068947392917,4.38145927529717,1.178870804809e-05,7.3142094685111e-05,metB,ECB_03825,b3939,1,protein,Exp,carbonSource,lactate,glucose
3760,YP_003046999.1,48.0701275087757,1.96352614241123,0.550040668449025,3.56978357245451,0.000357276281132459,0.00135547724226943,metL,ECB_03826,b3940,1,protein,Exp,carbonSource,lactate,glucose
