"gene_id","gene_name"
"ECB_00001","thrL"
"ECB_00002","thrA"
"ECB_00003","thrB"
"ECB_00004","thrC"
"ECB_00005","yaaX"
"ECB_00006","yaaA"
"ECB_00007","yaaJ"
"ECB_00008","talB"
"ECB_00009","mogA"
"ECB_00010","yaaH"
"ECB_00011","yaaW"
"ECB_00012","htgA"
"ECB_00013","yaaI"
"ECB_00014","dnaK"
"RF02031.1","tpke11"
"ECB_00015","dnaJ"
"ECB_00016","insL-1"
"ECB_00017","mokC"
"RF01794.1","sokC"
"ECB_00018","nhaA"
"ECB_00019","nhaR"
"ECB_00020","ECB_00020"
"ECB_00021","ECB_00021"
"ECB_00022","ECB_00022"
"ECB_00023","insA-1"
"ECB_00024","insB-1"
"ECB_00025","ECB_00025"
"ECB_00026","ECB_00026"
"ECB_00027","rpsT"
"ECB_00028","yaaY"
"ECB_00029","ribF"
"ECB_00030","ileS"
"ECB_00031","lspA"
"ECB_00032","fkpB"
"ECB_00033","ispH"
"ECB_00034","rihC"
"ECB_00035","dapB"
"ECB_00036","carA"
"ECB_00037","carB"
"ECB_00038","caiF"
"ECB_00039","caiE"
"ECB_00040","caiD"
"ECB_00041","caiC"
"ECB_00042","caiB"
"ECB_00043","caiA"
"ECB_00044","caiT"
"ECB_00045","fixA"
"ECB_00046","fixB"
"ECB_00047","fixC"
"ECB_00048","fixX"
"ECB_00049","yaaU"
"ECB_00050","yabF"
"ECB_00051","kefC"
"ECB_00052","folA"
"ECB_00053","apaH"
"ECB_00054","apaG"
"ECB_00055","ksgA"
"ECB_00056","pdxA"
"ECB_00057","surA"
"ECB_00058","imp"
"ECB_00059","djlA"
"ECB_00060","rluA"
"ECB_00061","hepA"
"ECB_00062","polB"
"ECB_00063","araD"
"ECB_00064","araA"
"ECB_00065","araB"
"ECB_00066","araC"
"ECB_00067","yabI"
"ECB_00068","yabJ"
"ECB_00069","thiP"
"ECB_00070","tbpA"
"ECB_00071","yabN"
"RF00534.1","sgrS"
"ECB_00072","setA"
"ECB_00073","leuD"
"ECB_00074","leuC"
"ECB_00075","leuB"
"ECB_00076","leuA"
"ECB_00077","leuL"
"ECB_00078","leuO"
"ECB_00079","ilvI"
"ECB_00080","ilvH"
"ECB_00081","fruR"
"ECB_00082","yabB"
"ECB_00083","mraW"
"ECB_00084","ftsL"
"ECB_00085","ftsI"
"ECB_00086","murE"
"ECB_00087","murF"
"ECB_00088","mraY"
"ECB_00089","murD"
"ECB_00090","ftsW"
"ECB_00091","murG"
"ECB_00092","murC"
"ECB_00093","ddl"
"ECB_00094","ftsQ"
"ECB_00095","ftsA"
"ECB_00096","ftsZ"
"ECB_00097","lpxC"
"ECB_00098","yacA"
"ECB_00099","secA"
"RF02057.1","STnc40"
"ECB_00100","mutT"
"ECB_00101","yacG"
"ECB_00102","yacF"
"ECB_00103","coaE"
"ECB_00104","guaC"
"ECB_00105","hofC"
"ECB_00106","hofB"
"ECB_00107","ppdD"
"ECB_00108","nadC"
"ECB_00109","ampD"
"ECB_00110","ampE"
"ECB_00111","aroP"
"ECB_00112","pdhR"
"RF02030.1","tp2"
"ECB_00113","aceE"
"ECB_00114","aceF"
"ECB_00115","lpdA"
"ECB_00116","yacH"
"ECB_00117","acnB"
"ECB_00118","yacL"
"ECB_00119","speD"
"ECB_00120","speE"
"ECB_00121","yacC"
"ECB_00122","cueO"
"ECB_00123","gcd"
"ECB_00124","hpt"
"ECB_00125","yadF"
"ECB_00126","yadG"
"ECB_00127","yadH"
"ECB_00128","yadI"
"ECB_00129","yadE"
"ECB_00130","panD"
"ECB_00131","yadD"
"ECB_00132","panC"
"ECB_00133","panB"
"ECB_00134","yadC"
"ECB_00135","yadK"
"ECB_00136","yadL"
"ECB_00137","yadM"
"ECB_00138","htrE"
"ECB_00139","ecpD"
"ECB_00140","yadN"
"ECB_00141","folK"
"ECB_00142","pcnB"
"ECB_00143","yadB"
"ECB_00144","dksA"
"ECB_00145","sfsA"
"ECB_00146","ligT"
"ECB_00147","hrpB"
"ECB_00148","mrcB"
"ECB_00149","fhuA"
"ECB_00150","fhuC"
"ECB_00151","fhuD"
"ECB_00152","fhuB"
"ECB_00153","hemL"
"ECB_00154","yadQ"
"ECB_00155","yadR"
"ECB_00156","yadS"
"ECB_00157","yadT"
"ECB_00158","pfs"
"ECB_00159","dgt"
"ECB_00160","degP"
"ECB_00161","cdaR"
"ECB_00162","yaeH"
"ECB_00163","yaeI"
"ECB_00164","dapD"
"ECB_00165","glnD"
"ECB_00166","map"
"RF00127.1","t44"
"ECB_00167","rpsB"
"ECB_00168","tsf"
"ECB_00169","pyrH"
"ECB_00170","frr"
"ECB_00171","ispC"
"ECB_00172","uppS"
"ECB_00173","cdsA"
"ECB_00174","yaeL"
"ECB_00175","yaeT"
"ECB_00176","hlpA"
"ECB_00177","lpxD"
"ECB_00178","fabZ"
"ECB_00179","lpxA"
"ECB_00180","lpxB"
"ECB_00181","rnhB"
"ECB_00182","dnaE"
"ECB_00183","accA"
"ECB_00184","ldcC"
"ECB_00185","yaeR"
"ECB_00186","tilS"
"ECB_00187","rof"
"ECB_00188","yaeP"
"ECB_00189","yaeQ"
"ECB_00190","yaeJ"
"ECB_00191","cutF"
"ECB_00192","yaeF"
"ECB_00193","proS"
"ECB_00194","yaeB"
"ECB_00195","rcsF"
"ECB_00196","metQ"
"ECB_00197","metI"
"ECB_00198","metN"
"ECB_00199","gmhB"
"ECB_r00001","rrsH"
"ECB_t00001","ileV"
"ECB_t00002","alaV"
"RF01830.1","StyR-44"
"ECB_r00002","rrlH"
"ECB_r00003","rrfH"
"ECB_t00003","aspU"
"ECB_00200","dkgB"
"ECB_00201","yafC"
"ECB_00202","yafD"
"ECB_00203","yafE"
"ECB_00204","mltD"
"ECB_00205","gloB"
"ECB_00206","yafS"
"ECB_00207","rnhA"
"ECB_00208","dnaQ"
"ECB_t00004","aspV"
"ECB_00209","yafT"
"ECB_00210","insA-2"
"ECB_00211","insB-2"
"ECB_00212","ECB_00212"
"ECB_00213","yhhI"
"ECB_00214","yafV"
"ECB_00215","ykfE"
"ECB_00216","fadE"
"ECB_00217","lpcA"
"ECB_00218","yafJ"
"ECB_00219","yafK"
"ECB_00220","yafQ"
"ECB_00221","dinJ"
"ECB_00222","yafL"
"ECB_00223","yafM"
"ECB_00224","fhiA"
"ECB_00225","mbhA"
"ECB_00226","dinB"
"ECB_00227","yafN"
"ECB_00228","yafO"
"ECB_00229","yafP"
"ECB_00230","ykfJ"
"ECB_00231","prfH"
"ECB_00232","pepD"
"ECB_00233","gpt"
"ECB_00234","yafA"
"ECB_00235","crl"
"ECB_00236","insA-3"
"ECB_00237","insB-3"
"ECB_00238","phoE"
"ECB_00239","proB"
"ECB_00240","proA"
"ECB_t00005","thrW"
"ECB_00241","yagP"
"ECB_00242","yagQ"
