"","x"
"1","ECB_00011"
"2","ECB_00012"
"3","ECB_00042"
"4","ECB_00224"
"5","ECB_00225"
"6","ECB_00352"
"7","ECB_00491"
"8","ECB_00503"
"9","ECB_00523"
"10","ECB_00544"
"11","ECB_00565"
"12","ECB_00613"
"13","ECB_00618"
"14","ECB_00665"
"15","ECB_01115"
"16","ECB_01145"
"17","ECB_01157"
"18","ECB_01206"
"19","ECB_01207"
"20","ECB_01239"
"21","ECB_01242"
"22","ECB_01252"
"23","ECB_01304"
"24","ECB_01389"
"25","ECB_01422"
"26","ECB_01464"
"27","ECB_01465"
"28","ECB_01466"
"29","ECB_01467"
"30","ECB_01471"
"31","ECB_01526"
"32","ECB_01547"
"33","ECB_01548"
"34","ECB_01659"
"35","ECB_01684"
"36","ECB_01689"
"37","ECB_01720"
"38","ECB_01892"
"39","ECB_01903"
"40","ECB_01905"
"41","ECB_01920"
"42","ECB_02021"
"43","ECB_02197"
"44","ECB_02269"
"45","ECB_02375"
"46","ECB_02450"
"47","ECB_02487"
"48","ECB_02621"
"49","ECB_02645"
"50","ECB_02799"
"51","ECB_02830"
"52","ECB_02873"
"53","ECB_03226"
"54","ECB_03278"
"55","ECB_03333"
"56","ECB_03382"
"57","ECB_03419"
"58","ECB_03483"
"59","ECB_03528"
"60","ECB_03529"
"61","ECB_03567"
"62","ECB_03624"
"63","ECB_03655"
"64","ECB_03773"
"65","ECB_03889"
"66","ECB_03933"
"67","ECB_03996"
"68","ECB_04093"
"69","ECB_04094"
"70","ECB_04104"
"71","ECB_04138"
"72","ECB_04143"
"73","ECB_04144"
"74","ECB_04151"
"75","ECB_04161"
"76","ECB_04175"
"77","ECB_04179"
"78","ECB_04210"
"79","ECB_04234"
"80","ECB_04276"
"81","YP_003044452.1"
"82","YP_003044883.1"
"83","YP_003045114.1"
"84","YP_003045676.1"
"85","ECB_00990"
"86","ECB_03389"
"87","ECB_03898"
"88","YP_003044208.1"
"89","YP_003046570.1"
"90","YP_003047070.1"
"91","ymcD"
"92","ldrF"
"93","yjbE"
"94","ECB_04280"
"95","YP_003043247.1"
"96","hokC"
