"category","condition","z_score","overall_z_score"
"growthPhase","exponential",-14.613190388812,-3.27138996805754
"growthPhase","late_stationary",-2.2458218133152,-3.27138996805754
"growthPhase","stationary",-0.25958836978831,-3.27138996805754
"carbonSource","gluconate",-0.269669226319548,0.0778667074350796
"carbonSource","glucose",1.60512014777359,0.0778667074350796
"carbonSource","glycerol",-1.67881847027321,0.0778667074350796
"carbonSource","lactate",-2.24231735826169,0.0778667074350796
"Mg_mM_Levels","baseMg",-2.14912031426582,-0.769792264335034
"Mg_mM_Levels","highMg",-1.13705795836448,-0.769792264335034
"Mg_mM_Levels","lowMg",1.03001543608608,-0.769792264335034
"Na_mM_Levels","baseNa",-1.46775239504603,-0.176757206242293
"Na_mM_Levels","highNa",1.50010140688519,-0.176757206242293
"batchNumber","10",-1.75355752144093,-0.181057009161232
"batchNumber","11",-0.396835859154217,-0.181057009161232
"batchNumber","12",-0.363177865589104,-0.181057009161232
"batchNumber","13",1.35455957241097,-0.181057009161232
"batchNumber","14",0.950066243984169,-0.181057009161232
"batchNumber","15",0.273240487432321,-0.181057009161232
"batchNumber","16",-2.4379376195299,-0.181057009161232
"batchNumber","17",0.54245638650022,-0.181057009161232
"batchNumber","18",0.548737250617327,-0.181057009161232
"batchNumber","19",0.591078759076954,-0.181057009161232
"batchNumber","20",0.653698350312593,-0.181057009161232
"batchNumber","21",0.544237643150397,-0.181057009161232
"batchNumber","22",-1.10153125675109,-0.181057009161232
"batchNumber","23",-0.856784281112967,-0.181057009161232
"batchNumber","24",-0.493162539989415,-0.181057009161232
"batchNumber","25",1.22031530399456,-0.181057009161232
"batchNumber","26",-0.764365467226705,-0.181057009161232
"batchNumber","27",0.82549790799755,-0.181057009161232
"batchNumber","7",-0.764811203698543,-0.181057009161232
"batchNumber","8",-0.314398146564806,-0.181057009161232
"batchNumber","9",-1.47435890316403,-0.181057009161232
