"Variable","Overall_Z_score","Condition","Z_score","num_elements"
"growthPhase","-29.39","exponential","-14.64",77
"growthPhase","-29.39","stationary","-0.12",57
"growthPhase","-29.39","late_stationary","-2.35",9
"carbonSource","1.34","glucose","1.53",107
"carbonSource","1.34","glycerol","-1.72",24
"carbonSource","1.34","lactate","-2.03",6
"carbonSource","1.34","gluconate","-0.13",6
"Mg_mM_Levels","-2.95","lowMg","1.04",35
"Mg_mM_Levels","-2.95","baseMg","-2.13",85
"Mg_mM_Levels","-2.95","highMg","-1.18",23
"Na_mM_Levels","-1.45","baseNa","-1.47",132
"Na_mM_Levels","-1.45","highNa","1.52",11
"batchNumber","-2.29","7","-0.94",9
"batchNumber","-2.29","8","-0.24",9
"batchNumber","-2.29","9","-1.36",8
"batchNumber","-2.29","10","-1.81",9
"batchNumber","-2.29","11","-0.37",8
"batchNumber","-2.29","12","-0.19",7
"batchNumber","-2.29","13","1.38",5
"batchNumber","-2.29","14","1.13",7
"batchNumber","-2.29","15","0.27",5
"batchNumber","-2.29","16","-2.44",2
"batchNumber","-2.29","17","0.60",2
"batchNumber","-2.29","18","0.58",2
"batchNumber","-2.29","19","0.63",2
"batchNumber","-2.29","20","0.63",2
"batchNumber","-2.29","21","0.62",2
"batchNumber","-2.29","22","-1.06",12
"batchNumber","-2.29","23","-0.85",12
"batchNumber","-2.29","24","-0.56",10
"batchNumber","-2.29","25","1.37",10
"batchNumber","-2.29","26","-0.66",10
"batchNumber","-2.29","27","0.71",10
