"Variable","Overall_Z_score","Condition","Z_score","num_elements"
"growthPhase","-23.53","exponential","-11.66",79
"growthPhase","-23.53","stationary","1.16",63
"growthPhase","-23.53","late_stationary","-3.04",10
"carbonSource","1.43","glucose","1.53",115
"carbonSource","1.43","glycerol","-1.44",25
"carbonSource","1.43","lactate","-1.41",6
"carbonSource","1.43","gluconate","-0.46",6
"Mg_mM_Levels","-0.36","lowMg","-0.15",36
"Mg_mM_Levels","-0.36","baseMg","0.18",92
"Mg_mM_Levels","-0.36","highMg","-1.89",24
"Na_mM_Levels","-3.96","baseNa","-3.86",136
"Na_mM_Levels","-3.96","highNa","2.98",16
"batchNumber","-2.55","7","-0.24",9
"batchNumber","-2.55","8","0.02",9
"batchNumber","-2.55","9","-1.75",9
"batchNumber","-2.55","10","-2.09",9
"batchNumber","-2.55","11","-0.18",8
"batchNumber","-2.55","12","-0.42",8
"batchNumber","-2.55","13","1.71",7
"batchNumber","-2.55","14","1.61",8
"batchNumber","-2.55","15","1.90",7
"batchNumber","-2.55","16","-2.03",2
"batchNumber","-2.55","17","0.30",2
"batchNumber","-2.55","18","0.84",2
"batchNumber","-2.55","19","-0.68",2
"batchNumber","-2.55","20","0.44",2
"batchNumber","-2.55","21","1.00",2
"batchNumber","-2.55","22","-1.75",12
"batchNumber","-2.55","23","-1.33",12
"batchNumber","-2.55","24","0.57",12
"batchNumber","-2.55","25","0.33",10
"batchNumber","-2.55","26","-0.56",10
"batchNumber","-2.55","27","-0.04",10
