"Variable","Overall_Z_score","Condition","Z_score","num_elements"
"growthPhase","-23.21","exponential","-11.15",79
"growthPhase","-23.21","stationary","0.30",63
"growthPhase","-23.21","late_stationary","-2.06",10
"carbonSource","1.41","glucose","1.53",115
"carbonSource","1.41","glycerol","-1.51",25
"carbonSource","1.41","lactate","-1.93",6
"carbonSource","1.41","gluconate","-0.47",6
"Mg_mM_Levels","-1.82","lowMg","-0.75",36
"Mg_mM_Levels","-1.82","baseMg","-0.78",92
"Mg_mM_Levels","-1.82","highMg","-1.06",24
"Na_mM_Levels","-4.34","baseNa","-4.20",136
"Na_mM_Levels","-4.34","highNa","2.85",16
"batchNumber","-2.11","7","-1.13",9
"batchNumber","-2.11","8","-0.42",9
"batchNumber","-2.11","9","-1.81",9
"batchNumber","-2.11","10","-1.29",9
"batchNumber","-2.11","11","-0.13",8
"batchNumber","-2.11","12","-0.36",8
"batchNumber","-2.11","13","1.78",7
"batchNumber","-2.11","14","2.19",8
"batchNumber","-2.11","15","0.88",7
"batchNumber","-2.11","16","-2.41",2
"batchNumber","-2.11","17","0.49",2
"batchNumber","-2.11","18","0.55",2
"batchNumber","-2.11","19","-1.30",2
"batchNumber","-2.11","20","0.53",2
"batchNumber","-2.11","21","0.55",2
"batchNumber","-2.11","22","-0.69",12
"batchNumber","-2.11","23","-0.89",12
"batchNumber","-2.11","24","0.57",12
"batchNumber","-2.11","25","-1.04",10
"batchNumber","-2.11","26","-0.90",10
"batchNumber","-2.11","27","0.68",10
