"Variable","Overall_Z_score","Condition","Z_score","num_elements"
"growthPhase","-29.96","exponential","-14.64",77
"growthPhase","-29.96","stationary","-0.11",57
"growthPhase","-29.96","late_stationary","-2.48",9
"carbonSource","1.29","glucose","1.48",107
"carbonSource","1.29","glycerol","-1.73",24
"carbonSource","1.29","lactate","-2.14",6
"carbonSource","1.29","gluconate","-0.09",6
"Mg_mM_Levels","-3.02","lowMg","1.08",35
"Mg_mM_Levels","-3.02","baseMg","-2.19",85
"Mg_mM_Levels","-3.02","highMg","-1.22",23
"Na_mM_Levels","-1.45","baseNa","-1.46",132
"Na_mM_Levels","-1.45","highNa","1.45",11
"batchNumber","-2.36","7","-0.90",9
"batchNumber","-2.36","8","-0.30",9
"batchNumber","-2.36","9","-1.39",8
"batchNumber","-2.36","10","-1.77",9
"batchNumber","-2.36","11","-0.29",8
"batchNumber","-2.36","12","-0.16",7
"batchNumber","-2.36","13","1.41",5
"batchNumber","-2.36","14","1.12",7
"batchNumber","-2.36","15","0.25",5
"batchNumber","-2.36","16","-2.50",2
"batchNumber","-2.36","17","0.60",2
"batchNumber","-2.36","18","0.67",2
"batchNumber","-2.36","19","0.66",2
"batchNumber","-2.36","20","0.62",2
"batchNumber","-2.36","21","0.60",2
"batchNumber","-2.36","22","-1.01",12
"batchNumber","-2.36","23","-0.88",12
"batchNumber","-2.36","24","-0.62",10
"batchNumber","-2.36","25","1.36",10
"batchNumber","-2.36","26","-0.64",10
"batchNumber","-2.36","27","0.75",10
