"","Phase","Salt","Conc","Branch","MeanFluxRatio","SDEFluxRatio","Phase2"
"63","EXP","MGSO4",50,"PYR from MAL_LB",1e-05,0,"Exponential"
"64","EXP","MGSO4",50,"PYR from MAL_UB",1e-05,0,"Exponential"
"65","EXP","MGSO4",50,"SER from GLY",0.185,0.0116666666666667,"Exponential"
"66","EXP","MGSO4",8,"E4P from P5P",1,0,"Exponential"
"67","EXP","MGSO4",8,"E4P through TK",0.454444444444444,0.0483939594230724,"Exponential"
"68","EXP","MGSO4",8,"GLY from SER",1,0,"Exponential"
"69","EXP","MGSO4",8,"Labeled CO2 EC",0.0777777777777778,0.0156741510885176,"Exponential"
"70","EXP","MGSO4",8,"OAA from PEP",0.415555555555556,0.0378267656234427,"Exponential"
"71","EXP","MGSO4",8,"P5P from E4P",1e-05,0,"Exponential"
"72","EXP","MGSO4",8,"P5P from G3P",0.153333333333333,0.0269430125621825,"Exponential"
"73","EXP","MGSO4",8,"P5P from G6P",0.968888888888889,0.0182911973701715,"Exponential"
"74","EXP","MGSO4",8,"PEP from OAA",0.0788888888888889,0.00400616808384888,"Exponential"
"75","EXP","MGSO4",8,"PEP through TK",0.0744444444444445,0.00587944735792131,"Exponential"
"76","EXP","MGSO4",8,"PYR from MAL_LB",1e-05,0,"Exponential"
"77","EXP","MGSO4",8,"PYR from MAL_UB",1e-05,0,"Exponential"
"78","EXP","MGSO4",8,"SER from GLY",0.203333333333333,0.0117062819476142,"Exponential"
"79","EXP","NACL",100,"E4P from P5P",1,0,"Exponential"
"80","EXP","NACL",100,"E4P through TK",0.463333333333333,0.0133333333333333,"Exponential"
"81","EXP","NACL",100,"GLY from SER",1,0,"Exponential"
"82","EXP","NACL",100,"Labeled CO2 EC",0.106666666666667,0.0101835015443463,"Exponential"
"83","EXP","NACL",100,"OAA from PEP",0.456666666666667,0.0126197963240006,"Exponential"
"84","EXP","NACL",100,"P5P from E4P",0.00222888888888889,0.00221888888888889,"Exponential"
"85","EXP","NACL",100,"P5P from G3P",0.0311111111111111,0.00801233616769776,"Exponential"
"86","EXP","NACL",100,"P5P from G6P",0.991111111111111,0.00888888888888891,"Exponential"
"87","EXP","NACL",100,"PEP from OAA",0.0544444444444444,0.00555555555555556,"Exponential"
"88","EXP","NACL",100,"PEP through TK",0.0966666666666667,0.0120185042515466,"Exponential"
"89","EXP","NACL",100,"PYR from MAL_LB",1e-05,0,"Exponential"
"90","EXP","NACL",100,"PYR from MAL_UB",1e-05,0,"Exponential"
"91","EXP","NACL",100,"SER from GLY",0.185555555555556,0.0327353774725694,"Exponential"
"92","EXP","NACL",200,"E4P from P5P",1,0,"Exponential"
"93","EXP","NACL",200,"E4P through TK",0.443333333333333,0.00838870492807862,"Exponential"
"94","EXP","NACL",200,"GLY from SER",1,0,"Exponential"
