"","genes","dataType","growthPhase","test_for","exist_in"
"1","rplI","protein","Exp","Glc","controlled for Growth"
"2","potF","protein","Exp","Glc","controlled for Growth"
"3","nusB","protein","Exp","Glc","controlled for Growth"
"4","accB","protein","Exp","Glc","controlled for Growth"
"5","rpsC","protein","Exp","Glc","controlled for Growth"
"6","vacJ","protein","Exp","Glc","controlled for Growth"
"7","aroD","protein","Exp","Glc","controlled for Growth"
"8","eda","protein","Exp","Glc","controlled for Growth"
"9","hflC","protein","Exp","Glc","controlled for Growth"
"10","yrfG","protein","Exp","Glc","controlled for Growth"
"11","yraM","protein","Exp","Glc","controlled for Growth"
"12","nagB","protein","Exp","Glc","controlled for Growth"
"13","cysI","protein","Exp","Glc","controlled for Growth"
"14","gpt","protein","Exp","Glc","controlled for Growth"
"15","tauA","protein","Exp","Glc","controlled for Growth"
"16","rng","protein","Exp","Glc","controlled for Growth"
"17","flgH","protein","Exp","Glc","controlled for Growth"
"18","speB","protein","Exp","Glc","controlled for Growth"
"19","rbfA","protein","Exp","Glc","controlled for Growth"
"20","livK","protein","Exp","Glc","controlled for Growth"
"21","fklB","protein","Exp","Glc","controlled for Growth"
"22","ppa","protein","Exp","Glc","controlled for Growth"
"23","modF","protein","Exp","Glc","controlled for Growth"
"24","lplA","protein","Exp","Glc","controlled for Growth"
"25","yhdE","protein","Exp","Glc","controlled for Growth"
"26","lepB","protein","Exp","Glc","controlled for Growth"
"27","rseB","protein","Exp","Glc","controlled for Growth"
"28","secG","protein","Exp","Glc","controlled for Growth"
"29","yiaD","protein","Exp","Glc","controlled for Growth"
"30","yieH","protein","Exp","Glc","controlled for Growth"
"31","yejG","protein","Exp","Glc","controlled for Growth"
"32","mogA","protein","Exp","Glc","controlled for Growth"
"33","coaA","protein","Exp","Glc","controlled for Growth"
"34","yijP","protein","Exp","Glc","controlled for Growth"
"35","secB","protein","Exp","Glc","controlled for Growth"
"36","rimO","protein","Exp","Glc","controlled for Growth"
"37","ybiS","protein","Exp","Glc","controlled for Growth"
"38","yleA","protein","Exp","Glc","controlled for Growth"
"39","prfB","protein","Exp","Glc","controlled for Growth"
"40","guaC","protein","Exp","Glc","controlled for Growth"
"41","lolA","protein","Exp","Glc","controlled for Growth"
"42","dld","protein","Exp","Glc","controlled for Growth"
"43","yjcO","protein","Exp","Glc","controlled for Growth"
"44","ydiJ","protein","Exp","Glc","controlled for Growth"
"45","galM","protein","Exp","Glc","controlled for Growth"
"46","aspC","protein","Exp","Glc","controlled for Growth"
"47","panD","protein","Exp","Glc","controlled for Growth"
"48","pth","protein","Exp","Glc","controlled for Growth"
"49","yebG","protein","Exp","Glc","controlled for Growth"
"50","cysM","protein","Exp","Glc","controlled for Growth"
"51","rplV","protein","Exp","Glc","controlled for Growth"
"52","aroC","protein","Exp","Glc","controlled for Growth"
"53","yagR","protein","Exp","Glc","controlled for Growth"
"54","allR","protein","Exp","Glc","controlled for Growth"
"55","artI","protein","Exp","Glc","controlled for Growth"
"56","nagZ","protein","Exp","Glc","controlled for Growth"
"57","nuoF","protein","Exp","Glc","controlled for Growth"
"58","gpmB","protein","Exp","Glc","controlled for Growth"
"59","rtcA","protein","Exp","Glc","controlled for Growth"
"60","ychK","protein","Exp","Glc","controlled for Growth"
"61","proV","protein","Exp","Glc","controlled for Growth"
"62","cysB","protein","Exp","Glc","controlled for Growth"
"63","kdgR","protein","Exp","Glc","controlled for Growth"
"64","goaG","protein","Exp","Glc","controlled for Growth"
"65","ihfA","protein","Exp","Glc","controlled for Growth"
"66","sseB","protein","Exp","Glc","controlled for Growth"
"67","rlpA","protein","Exp","Glc","controlled for Growth"
"68","yfcD","protein","Exp","Glc","controlled for Growth"
"69","degQ","protein","Exp","Glc","controlled for Growth"
"70","hemN","protein","Exp","Glc","controlled for Growth"
"71","yggG","protein","Exp","Glc","controlled for Growth"
"72","mdoD","protein","Exp","Glc","controlled for Growth"
"73","pyrF","protein","Exp","Glc","controlled for Growth"
"74","frdA","protein","Exp","Glc","controlled for Growth"
"75","yecO","protein","Exp","Glc","controlled for Growth"
"76","iadA","protein","Exp","Glc","controlled for Growth"
"77","yqiB","protein","Exp","Glc","controlled for Growth"
"78","dacB","protein","Exp","Glc","controlled for Growth"
"79","ydaO","protein","Exp","Glc","controlled for Growth"
"80","cdh","protein","Exp","Glc","controlled for Growth"
"81","flgF","protein","Exp","Glc","controlled for Growth"
"82","ycdX","protein","Exp","Glc","controlled for Growth"
"83","ycfU","protein","Exp","Glc","controlled for Growth"
"84","phoP","protein","Exp","Glc","controlled for Growth"
"85","acnA","protein","Exp","Glc","controlled for Growth"
"86","ybeA","protein","Exp","Glc","controlled for Growth"
"87","fsa","protein","Exp","Glc","controlled for Growth"
"88","pta","protein","Exp","Glc","controlled for Growth"
"89","mgsA","protein","Exp","Glc","controlled for Growth"
"90","hda","protein","Exp","Glc","controlled for Growth"
"91","speC","protein","Exp","Glc","controlled for Growth"
"92","fis","protein","Exp","Glc","controlled for Growth"
"93","rnfG","protein","Exp","Glc","controlled for Growth"
"94","era","protein","Exp","Glc","controlled for Growth"
"95","lipB","protein","Exp","Glc","controlled for Growth"
"96","ybiN","protein","Exp","Glc","controlled for Growth"
"97","dsbC","protein","Exp","Glc","controlled for Growth"
"98","mrcA","protein","Exp","Glc","controlled for Growth"
"99","yfaS","protein","Exp","Glc","controlled for Growth"
"100","aceE","protein","Exp","Glc","controlled for Growth"
"101","hemH","protein","Exp","Glc","controlled for Growth"
"102","yegO","protein","Exp","Glc","controlled for Growth"
"103","nuoC","protein","Exp","Glc","controlled for Growth"
"104","aceF","protein","Exp","Glc","controlled for Growth"
"105","lpp","protein","Exp","Glc","controlled for Growth"
"106","yfhM","protein","Exp","Glc","controlled for Growth"
"107","rpsR","protein","Exp","Glc","controlled for Growth"
"108","mdlA","protein","Exp","Glc","controlled for Growth"
"109","yaeH","protein","Exp","Glc","controlled for Growth"
"110","ybhA","protein","Exp","Glc","controlled for Growth"
"111","yccW","protein","Exp","Glc","controlled for Growth"
"112","proX","protein","Exp","Glc","controlled for Growth"
"113","csdA","protein","Exp","Glc","controlled for Growth"
"114","yiiS","protein","Exp","Glc","controlled for Growth"
"115","kdsA","protein","Exp","Glc","controlled for Growth"
"116","hisJ","protein","Exp","Glc","controlled for Growth"
"117","ytfG","protein","Exp","Glc","controlled for Growth"
"118","yfcM","protein","Exp","Glc","controlled for Growth"
"119","flhB","protein","Exp","Glc","controlled for Growth"
"120","rplM","protein","Exp","Glc","controlled for Growth"
"121","pyrI","protein","Exp","Glc","controlled for Growth"
"122","frdB","protein","Exp","Glc","controlled for Growth"
"123","ftsX","protein","Exp","Glc","controlled for Growth"
"124","ybjP","protein","Exp","Glc","controlled for Growth"
"125","ribF","protein","Exp","Glc","controlled for Growth"
"126","gpmA","protein","Exp","Glc","controlled for Growth"
"127","ansA","protein","Exp","Glc","controlled for Growth"
"128","ygiQ","protein","Exp","Glc","controlled for Growth"
"129","purN","protein","Exp","Glc","controlled for Growth"
"130","yddS","protein","Exp","Glc","controlled for Growth"
"131","ftn","protein","Exp","Glc","controlled for Growth"
"132","btuB","protein","Exp","Glc","controlled for Growth"
"133","ydjN","protein","Exp","Glc","controlled for Growth"
"134","ypeA","protein","Exp","Glc","controlled for Growth"
"135","ytfL","protein","Exp","Glc","controlled for Growth"
"136","pal","protein","Exp","Glc","controlled for Growth"
"137","mepA","protein","Exp","Glc","controlled for Growth"
"138","glcB","protein","Exp","Glc","controlled for Growth"
"139","yadR","protein","Exp","Glc","controlled for Growth"
"140","ycjK","protein","Exp","Glc","controlled for Growth"
"141","yifL","protein","Exp","Glc","controlled for Growth"
"142","flgL","protein","Exp","Glc","controlled for Growth"
"143","ftsQ","protein","Exp","Glc","controlled for Growth"
"144","rnfB","protein","Exp","Glc","controlled for Growth"
"145","ynjB","protein","Exp","Glc","controlled for Growth"
"146","mqo","protein","Exp","Glc","controlled for Growth"
"147","yfiF","protein","Exp","Glc","controlled for Growth"
"148","lysA","protein","Exp","Glc","controlled for Growth"
"149","ssb","protein","Exp","Glc","controlled for Growth"
"150","ybgF","protein","Exp","Glc","controlled for Growth"
"151","usg","protein","Exp","Glc","controlled for Growth"
"152","bglX","protein","Exp","Glc","controlled for Growth"
"153","glcG","protein","Exp","Glc","controlled for Growth"
"154","wecE","protein","Exp","Glc","controlled for Growth"
"155","rbsB","protein","Exp","Glc","controlled for Growth"
"156","livJ","protein","Exp","Glc","controlled for Growth"
"157","ykgE","protein","Exp","Glc","controlled for Growth"
"158","surA","protein","Exp","Glc","controlled for Growth"
"159","ybjL","protein","Exp","Glc","controlled for Growth"
"160","nirB","protein","Exp","Glc","controlled for Growth"
"161","atpF","protein","Exp","Glc","controlled for Growth"
"162","amiA","protein","Exp","Glc","controlled for Growth"
"163","fucU","protein","Exp","Glc","controlled for Growth"
"164","pabB","protein","Exp","Glc","controlled for Growth"
"165","ybbO","protein","Exp","Glc","controlled for Growth"
"166","fabF","protein","Exp","Glc","controlled for Growth"
"167","trmE","protein","Exp","Glc","controlled for Growth"
"168","tauB","protein","Exp","Glc","controlled for Growth"
"169","narQ","protein","Exp","Glc","controlled for Growth"
"170","rpsM","protein","Exp","Glc","controlled for Growth"
"171","yjbN","protein","Exp","Glc","controlled for Growth"
"172","yhbT","protein","Exp","Glc","controlled for Growth"
"173","lolB","protein","Exp","Glc","controlled for Growth"
"174","wbbC","protein","Exp","Glc","controlled for Growth"
"175","smp","protein","Exp","Glc","controlled for Growth"
"176","dapF","protein","Exp","Glc","controlled for Growth"
"177","fdhD","protein","Exp","Glc","controlled for Growth"
"178","spr","protein","Exp","Glc","controlled for Growth"
"179","nadA","protein","Exp","Glc","controlled for Growth"
"180","iclR","protein","Exp","Glc","controlled for Growth"
"181","cysS","protein","Exp","Glc","controlled for Growth"
"182","yebT","protein","Exp","Glc","controlled for Growth"
"183","rplD","protein","Exp","Glc","controlled for Growth"
"184","prfC","protein","Exp","Glc","controlled for Growth"
"185","ispA","protein","Exp","Glc","controlled for Growth"
"186","dacC","protein","Exp","Glc","controlled for Growth"
"187","solA","protein","Exp","Glc","controlled for Growth"
"188","yhbS","protein","Exp","Glc","controlled for Growth"
"189","sucB","protein","Exp","Gly","controlled for Growth"
"190","groES","protein","Exp","Gly","controlled for Growth"
"191","hupA","protein","Exp","Gly","controlled for Growth"
"192","flgH","protein","Exp","Gly","controlled for Growth"
"193","potF","protein","Exp","Gly","controlled for Growth"
"194","sucC","protein","Exp","Gly","controlled for Growth"
"195","crp","protein","Exp","Gly","controlled for Growth"
"196","rpsJ","protein","Exp","Gly","controlled for Growth"
"197","lrp","protein","Exp","Gly","controlled for Growth"
"198","secB","protein","Exp","Gly","controlled for Growth"
"199","argT","protein","Exp","Gly","controlled for Growth"
"200","flgE","protein","Exp","Gly","controlled for Growth"
"201","sucA","protein","Exp","Gly","controlled for Growth"
"202","rplY","protein","Exp","Gly","controlled for Growth"
"203","ndk","protein","Exp","Gly","controlled for Growth"
"204","bcp","protein","Exp","Gly","controlled for Growth"
"205","rpmC","protein","Exp","Gly","controlled for Growth"
"206","rpsG","protein","Exp","Gly","controlled for Growth"
"207","rbsA","protein","Exp","Gly","controlled for Growth"
"208","flgL","protein","Exp","Gly","controlled for Growth"
"209","rpsC","protein","Exp","Gly","controlled for Growth"
"210","yaeH","protein","Exp","Gly","controlled for Growth"
"211","flgM","protein","Exp","Gly","controlled for Growth"
"212","sucD","protein","Exp","Gly","controlled for Growth"
"213","rplO","protein","Exp","Gly","controlled for Growth"
"214","yghU","protein","Exp","Gly","controlled for Growth"
"215","rpsP","protein","Exp","Gly","controlled for Growth"
"216","cysH","protein","Exp","Gly","controlled for Growth"
"217","rplJ","protein","Exp","Gly","controlled for Growth"
"218","rplI","protein","Exp","Gly","controlled for Growth"
"219","rpsK","protein","Exp","Gly","controlled for Growth"
"220","glnQ","protein","Exp","Gly","controlled for Growth"
"221","livJ","protein","Exp","Gly","controlled for Growth"
"222","yajG","protein","Exp","Gly","controlled for Growth"
"223","rho","protein","Exp","Gly","controlled for Growth"
"224","rplF","protein","Exp","Gly","controlled for Growth"
"225","glnB","protein","Exp","Gly","controlled for Growth"
"226","purB","protein","Exp","Gly","controlled for Growth"
"227","fabI","protein","Exp","Gly","controlled for Growth"
"228","glnA","protein","Exp","Gly","controlled for Growth"
"229","flhD","protein","Exp","Gly","controlled for Growth"
"230","hisD","protein","Exp","Gly","controlled for Growth"
"231","malE","protein","Exp","Gly","controlled for Growth"
"232","gdhA","protein","Exp","Gly","controlled for Growth"
"233","icdA","protein","Exp","Gly","controlled for Growth"
"234","clpX","protein","Exp","Gly","controlled for Growth"
"235","ybeZ","protein","Exp","Gly","controlled for Growth"
"236","ftn","protein","Exp","Gly","controlled for Growth"
"237","ibpA","protein","Exp","Gly","controlled for Growth"
"238","folE","protein","Exp","Gly","controlled for Growth"
"239","hflB","protein","Exp","Gly","controlled for Growth"
"240","ygiM","protein","Exp","Gly","controlled for Growth"
"241","ppa","protein","Exp","Gly","controlled for Growth"
"242","fbaA","protein","Exp","Gly","controlled for Growth"
"243","rpsI","protein","Exp","Gly","controlled for Growth"
"244","aroF","protein","Exp","Gly","controlled for Growth"
"245","secG","protein","Exp","Gly","controlled for Growth"
"246","cysI","protein","Exp","Gly","controlled for Growth"
"247","atpA","protein","Exp","Gly","controlled for Growth"
"248","acnB","protein","Exp","Gly","controlled for Growth"
"249","hflC","protein","Exp","Gly","controlled for Growth"
"250","yjeQ","protein","Exp","Gly","controlled for Growth"
"251","ychF","protein","Exp","Gly","controlled for Growth"
"252","secD","protein","Exp","Gly","controlled for Growth"
"253","rpsT","protein","Exp","Gly","controlled for Growth"
"254","pgk","protein","Exp","Gly","controlled for Growth"
"255","rplK","protein","Exp","Gly","controlled for Growth"
"256","gltA","protein","Exp","Gly","controlled for Growth"
"257","adk","protein","Exp","Gly","controlled for Growth"
"258","rplS","protein","Exp","Gly","controlled for Growth"
"259","atpD","protein","Exp","Gly","controlled for Growth"
"260","wzzB","protein","Exp","Gly","controlled for Growth"
"261","lysC","protein","Exp","Gly","controlled for Growth"
"262","yfgA","protein","Exp","Gly","controlled for Growth"
"263","tolR","protein","Exp","Gly","controlled for Growth"
"264","rbsK","protein","Exp","Gly","controlled for Growth"
"265","metQ","protein","Exp","Gly","controlled for Growth"
"266","maeB","protein","Exp","Gly","controlled for Growth"
"267","rplB","protein","Exp","Gly","controlled for Growth"
"268","purC","protein","Exp","Gly","controlled for Growth"
"269","rpsS","protein","Exp","Gly","controlled for Growth"
"270","ahpC","protein","Exp","Gly","controlled for Growth"
"271","trpA","protein","Exp","Gly","controlled for Growth"
"272","acrA","protein","Exp","Gly","controlled for Growth"
"273","cysJ","protein","Exp","Gly","controlled for Growth"
"274","mdh","protein","Exp","Gly","controlled for Growth"
"275","stpA","protein","Exp","Gly","controlled for Growth"
"276","hslV","protein","Exp","Gly","controlled for Growth"
"277","rpsB","protein","Exp","Gly","controlled for Growth"
"278","yadR","protein","Exp","Gly","controlled for Growth"
"279","atpC","protein","Exp","Gly","controlled for Growth"
"280","dapA","protein","Exp","Gly","controlled for Growth"
"281","yecR","protein","Exp","Gly","controlled for Growth"
"282","lhr","protein","Exp","Gly","controlled for Growth"
"283","aroD","protein","Exp","Gly","controlled for Growth"
"284","hisG","protein","Exp","Gly","controlled for Growth"
"285","fucU","protein","Exp","Gly","controlled for Growth"
"286","rplD","protein","Exp","Gly","controlled for Growth"
"287","rpmB","protein","Exp","Gly","controlled for Growth"
"288","talB","protein","Exp","Gly","controlled for Growth"
"289","tpx","protein","Exp","Gly","controlled for Growth"
"290","tktA","protein","Exp","Gly","controlled for Growth"
"291","rbsC","protein","Exp","Gly","controlled for Growth"
"292","rpoA","protein","Exp","Gly","controlled for Growth"
"293","mtlA","protein","Exp","Gly","controlled for Growth"
"294","ilvC","protein","Exp","Gly","controlled for Growth"
"295","hisJ","protein","Exp","Gly","controlled for Growth"
"296","ydcL","protein","Exp","Gly","controlled for Growth"
"297","sdhB","protein","Exp","Gly","controlled for Growth"
"298","galU","protein","Exp","Gly","controlled for Growth"
"299","minD","protein","Exp","Gly","controlled for Growth"
"300","rplC","protein","Exp","Gly","controlled for Growth"
"301","ygfE","protein","Exp","Gly","controlled for Growth"
"302","flgK","protein","Exp","Gly","controlled for Growth"
"303","rpsM","protein","Exp","Gly","controlled for Growth"
"304","aspC","protein","Exp","Gly","controlled for Growth"
"305","slyB","protein","Exp","Gly","controlled for Growth"
"306","ytfM","protein","Exp","Gly","controlled for Growth"
"307","cusR","protein","Exp","Gly","controlled for Growth"
"308","sspB","protein","Exp","Gly","controlled for Growth"
"309","hisF","protein","Exp","Gly","controlled for Growth"
"310","cusC","protein","Exp","Gly","controlled for Growth"
"311","upp","protein","Exp","Gly","controlled for Growth"
"312","trxA","protein","Exp","Gly","controlled for Growth"
"313","rplE","protein","Exp","Gly","controlled for Growth"
"314","serA","protein","Exp","Gly","controlled for Growth"
"315","minE","protein","Exp","Gly","controlled for Growth"
"316","gnsB","protein","Exp","Gly","controlled for Growth"
"317","ompA","protein","Exp","Gly","controlled for Growth"
"318","trpC","protein","Exp","Gly","controlled for Growth"
"319","rpmI","protein","Exp","Gly","controlled for Growth"
"320","ydhD","protein","Exp","Gly","controlled for Growth"
"321","ybcU","protein","Exp","Gly","controlled for Growth"
"322","hisC","protein","Exp","Gly","controlled for Growth"
"323","yifE","protein","Exp","Gly","controlled for Growth"
"324","yaeT","protein","Exp","Gly","controlled for Growth"
"325","crr","protein","Exp","Gly","controlled for Growth"
"326","degP","protein","Exp","Gly","controlled for Growth"
"327","fadL","protein","Exp","Gly","controlled for Growth"
"328","purD","protein","Exp","Gly","controlled for Growth"
"329","glnH","protein","Exp","Gly","controlled for Growth"
"330","groEL","protein","Exp","Gly","controlled for Growth"
"331","yeeJ","protein","Exp","Gly","controlled for Growth"
"332","malK","protein","Exp","Gly","controlled for Growth"
"333","tig","protein","Exp","Gly","controlled for Growth"
"334","fkpA","protein","Exp","Gly","controlled for Growth"
"335","flgG","protein","Exp","Gly","controlled for Growth"
"336","cadA","protein","Exp","Gly","controlled for Growth"
"337","gnsA","protein","Exp","Gly","controlled for Growth"
"338","ybdH","protein","Exp","Gly","controlled for Growth"
"339","livK","protein","Exp","Gly","controlled for Growth"
"340","kdgR","protein","Exp","Gly","controlled for Growth"
"341","zipA","protein","Exp","Gly","controlled for Growth"
"342","accC","protein","Exp","Gly","controlled for Growth"
"343","apt","protein","Exp","Gly","controlled for Growth"
"344","atpG","protein","Exp","Gly","controlled for Growth"
"345","yhbS","protein","Exp","Gly","controlled for Growth"
"346","rne","protein","Exp","Gly","controlled for Growth"
"347","rpsH","protein","Exp","Gly","controlled for Growth"
"348","htpG","protein","Exp","Gly","controlled for Growth"
"349","nlpA","protein","Exp","Gly","controlled for Growth"
"350","sdaC","protein","Exp","Gly","controlled for Growth"
"351","atpF","protein","Exp","Gly","controlled for Growth"
"352","pnp","protein","Exp","Gly","controlled for Growth"
"353","evgS","protein","Exp","Gly","controlled for Growth"
"354","acpP","protein","Exp","Gly","controlled for Growth"
"355","rplP","protein","Exp","Gly","controlled for Growth"
"356","yjbB","protein","Exp","Gly","controlled for Growth"
"357","metA","protein","Exp","Gly","controlled for Growth"
"358","rtn","protein","Exp","Gly","controlled for Growth"
"359","clpB","protein","Exp","Gly","controlled for Growth"
"360","proQ","protein","Exp","Gly","controlled for Growth"
"361","malP","protein","Exp","Gly","controlled for Growth"
"362","proS","protein","Exp","Gly","controlled for Growth"
"363","yajC","protein","Exp","Gly","controlled for Growth"
"364","ydfG","protein","Exp","Gly","controlled for Growth"
"365","folA","protein","Exp","Gly","controlled for Growth"
"366","nuoK","protein","Exp","Gly","controlled for Growth"
"367","rtcA","protein","Exp","Gly","controlled for Growth"
"368","grxC","protein","Exp","Gly","controlled for Growth"
"369","pckA","protein","Exp","Gly","controlled for Growth"
"370","ybjP","protein","Exp","Gly","controlled for Growth"
"371","poxB","protein","Exp","Gly","controlled for Growth"
"372","ihfA","protein","Exp","Gly","controlled for Growth"
"373","yagX","protein","Exp","Gly","controlled for Growth"
"374","ppsA","protein","Exp","Gly","controlled for Growth"
"375","purA","protein","Exp","Gly","controlled for Growth"
"376","molR","protein","Exp","Gly","controlled for Growth"
"377","accD","protein","Exp","Gly","controlled for Growth"
"378","lon","protein","Exp","Gly","controlled for Growth"
"379","fabA","protein","Exp","Gly","controlled for Growth"
"380","mdoD","protein","Exp","Gly","controlled for Growth"
"381","eda","protein","Exp","Gly","controlled for Growth"
"382","dacA","protein","Exp","Gly","controlled for Growth"
"383","rhsB","protein","Exp","Gly","controlled for Growth"
"384","rpsN","protein","Exp","Gly","controlled for Growth"
"385","ygfT","protein","Exp","Gly","controlled for Growth"
"386","ymcA","protein","Exp","Gly","controlled for Growth"
"387","lepB","protein","Exp","Gly","controlled for Growth"
"388","flgN","protein","Exp","Gly","controlled for Growth"
"389","ppiD","protein","Exp","Gly","controlled for Growth"
"390","rpiA","protein","Exp","Gly","controlled for Growth"
"391","hns","protein","Exp","Gly","controlled for Growth"
"392","greA","protein","Exp","Gly","controlled for Growth"
"393","rpsR","protein","Exp","Gly","controlled for Growth"
"394","ybhF","protein","Exp","Gly","controlled for Growth"
"395","atpE","protein","Exp","Gly","controlled for Growth"
"396","dmsA","protein","Exp","Gly","controlled for Growth"
"397","pyrI","protein","Exp","Gly","controlled for Growth"
"398","rpmD","protein","Exp","Gly","controlled for Growth"
"399","zraR","protein","Exp","Gly","controlled for Growth"
"400","hsdM","protein","Exp","Gly","controlled for Growth"
"401","topB","protein","Exp","Gly","controlled for Growth"
"402","hslU","protein","Exp","Gly","controlled for Growth"
"403","yiaF","protein","Exp","Gly","controlled for Growth"
"404","fklB","protein","Exp","Gly","controlled for Growth"
"405","ygfY","protein","Exp","Gly","controlled for Growth"
"406","galK","protein","Exp","Gly","controlled for Growth"
"407","recB","protein","Exp","Gly","controlled for Growth"
"408","ygcR","protein","Exp","Gly","controlled for Growth"
"409","rstA","protein","Exp","Gly","controlled for Growth"
"410","ydiF","protein","Exp","Gly","controlled for Growth"
"411","yhhX","protein","Exp","Gly","controlled for Growth"
"412","ybaL","protein","Exp","Gly","controlled for Growth"
"413","malS","protein","Exp","Gly","controlled for Growth"
"414","yjcO","protein","Exp","Gly","controlled for Growth"
"415","rpmE","protein","Exp","Gly","controlled for Growth"
"416","ppiB","protein","Exp","Gly","controlled for Growth"
"417","yehI","protein","Exp","Gly","controlled for Growth"
"418","ydhR","protein","Exp","Gly","controlled for Growth"
"419","yeeR","protein","Exp","Gly","controlled for Growth"
"420","yhiH","protein","Exp","Gly","controlled for Growth"
"421","yhbC","protein","Exp","Gly","controlled for Growth"
"422","gnd","protein","Exp","Gly","controlled for Growth"
"423","pdxB","protein","Exp","Gly","controlled for Growth"
"424","amiC","protein","Exp","Gly","controlled for Growth"
"425","serC","protein","Exp","Gly","controlled for Growth"
"426","hemL","protein","Exp","Gly","controlled for Growth"
"427","caiC","protein","Exp","Gly","controlled for Growth"
"428","polB","protein","Exp","Gly","controlled for Growth"
"429","yojL","protein","Exp","Gly","controlled for Growth"
"430","gapA","protein","Exp","Gly","controlled for Growth"
"431","zraS","protein","Exp","Gly","controlled for Growth"
"432","nagE","protein","Exp","Gly","controlled for Growth"
"433","yjjK","protein","Exp","Gly","controlled for Growth"
"434","surA","protein","Exp","Gly","controlled for Growth"
"435","yccU","protein","Exp","Gly","controlled for Growth"
"436","hycE","protein","Exp","Gly","controlled for Growth"
"437","yjeJ","protein","Exp","Gly","controlled for Growth"
"438","fis","protein","Exp","Gly","controlled for Growth"
"439","rhsE","protein","Exp","Gly","controlled for Growth"
"440","ypfJ","protein","Exp","Gly","controlled for Growth"
"441","pheA","protein","Exp","Gly","controlled for Growth"
"442","proA","protein","Exp","Gly","controlled for Growth"
"443","cysP","protein","Exp","Gly","controlled for Growth"
"444","pepQ","protein","Exp","Gly","controlled for Growth"
"445","def","protein","Exp","Gly","controlled for Growth"
"446","yfbG","protein","Exp","Gly","controlled for Growth"
"447","yraL","protein","Exp","Gly","controlled for Growth"
"448","oppA","protein","Exp","Gly","controlled for Growth"
"449","htrE","protein","Exp","Gly","controlled for Growth"
"450","rep","protein","Exp","Gly","controlled for Growth"
"451","acrD","protein","Exp","Gly","controlled for Growth"
"452","panD","protein","Exp","Gly","controlled for Growth"
"453","ansA","protein","Exp","Gly","controlled for Growth"
"454","dinI","protein","Exp","Gly","controlled for Growth"
"455","phoP","protein","Exp","Gly","controlled for Growth"
"456","yjgM","protein","Exp","Gly","controlled for Growth"
"457","ybcK","protein","Exp","Gly","controlled for Growth"
"458","livG","protein","Exp","Gly","controlled for Growth"
"459","ymfC","protein","Exp","Gly","controlled for Growth"
"460","rseC","protein","Exp","Gly","controlled for Growth"
"461","fusA","protein","Exp","Gly","controlled for Growth"
"462","ydaL","protein","Exp","Gly","controlled for Growth"
"463","metB","protein","Exp","Gly","controlled for Growth"
"464","ycgK","protein","Exp","Gly","controlled for Growth"
"465","yphE","protein","Exp","Gly","controlled for Growth"
"466","yagR","protein","Exp","Gly","controlled for Growth"
"467","yfiO","protein","Exp","Gly","controlled for Growth"
"468","citA","protein","Exp","Gly","controlled for Growth"
"469","gltI","protein","Exp","Gly","controlled for Growth"
"470","ybiO","protein","Exp","Gly","controlled for Growth"
"471","yhcB","protein","Exp","Gly","controlled for Growth"
"472","pstS","protein","Exp","Gly","controlled for Growth"
"473","hemX","protein","Exp","Gly","controlled for Growth"
"474","rbfA","protein","Exp","Gly","controlled for Growth"
"475","ddg","protein","Exp","Gly","controlled for Growth"
"476","insI","protein","Exp","Gly","controlled for Growth"
"477","aceK","protein","Exp","Gly","controlled for Growth"
"478","otsB","protein","Exp","Gly","controlled for Growth"
"479","kdsA","protein","Exp","Gly","controlled for Growth"
"480","asnA","protein","Exp","Gly","controlled for Growth"
"481","hrpA","protein","Exp","Gly","controlled for Growth"
"482","cysB","protein","Exp","Gly","controlled for Growth"
"483","abgB","protein","Exp","Gly","controlled for Growth"
"484","yhbT","protein","Exp","Gly","controlled for Growth"
"485","nuoC","protein","Exp","Gly","controlled for Growth"
"486","yeaJ","protein","Exp","Gly","controlled for Growth"
"487","gpmA","protein","Exp","Gly","controlled for Growth"
"488","ydiD","protein","Exp","Gly","controlled for Growth"
"489","glcF","protein","Exp","Gly","controlled for Growth"
"490","infA","protein","Exp","Gly","controlled for Growth"
"491","kdpB","protein","Exp","Gly","controlled for Growth"
"492","rseB","protein","Exp","Gly","controlled for Growth"
"493","rhsD","protein","Exp","Gly","controlled for Growth"
"494","yeeI","protein","Exp","Gly","controlled for Growth"
"495","menE","protein","Exp","Gly","controlled for Growth"
"496","oxyR","protein","Exp","Gly","controlled for Growth"
"497","yehP","protein","Exp","Gly","controlled for Growth"
"498","yhiKL","protein","Exp","Gly","controlled for Growth"
"499","yihL","protein","Exp","Gly","controlled for Growth"
"500","sodB","protein","Exp","Gly","controlled for Growth"
"501","ychK","protein","Exp","Gly","controlled for Growth"
"502","ygcE","protein","Exp","Gly","controlled for Growth"
"503","sgaE","protein","Exp","Gly","controlled for Growth"
"504","treF","protein","Exp","Gly","controlled for Growth"
"505","ydcM","protein","Exp","Gly","controlled for Growth"
"506","arcC","protein","Exp","Gly","controlled for Growth"
"507","ycjN","protein","Exp","Gly","controlled for Growth"
"508","yqeB","protein","Exp","Gly","controlled for Growth"
"509","sseA","protein","Exp","Gly","controlled for Growth"
"510","fruB","protein","Exp","Gly","controlled for Growth"
"511","lysS","protein","Exp","Gly","controlled for Growth"
"512","nfnB","protein","Exp","Gly","controlled for Growth"
"513","tolC","protein","Exp","Gly","controlled for Growth"
