"","Salt","Phase","Branch","term","estimate","std.error","statistic","p.value","p.adjusted"
"1","MGSO4","EXP","E4P from P5P","Conc_transf",0.00268027806149151,0.00315143764722755,0.850493762378406,0.442965081246753,0.66444762187013
"2","MGSO4","EXP","E4P through TK","Conc_transf",-0.00207234131351229,0.00847916425092025,-0.244403959185881,0.818942928402311,0.818942928402311
"3","MGSO4","EXP","GLY from SER","Conc_transf",-0.000542509198819646,0.000436222889456843,-1.2436513808231,0.281535030131635,0.482631480225659
"4","MGSO4","EXP","Labeled CO2 EC","Conc_transf",0.00800291456701166,0.00203073975059717,3.94088635171409,0.0169471654065131,0.406731969756314
"5","MGSO4","EXP","OAA from PEP","Conc_transf",0.0107921923490407,0.00603921525089469,1.78701899182049,0.148465180499693,0.444301401009497
"6","MGSO4","EXP","P5P from E4P","Conc_transf",-7.48928120278391e-22,3.48552103161689e-22,-2.14868340625382,0.0981264592391366,0.444301401009497
"7","MGSO4","EXP","P5P from G3P","Conc_transf",-0.00781856182001285,0.00669054737100007,-1.16859823067723,0.30746049585714,0.491936793371424
"8","MGSO4","EXP","P5P from G6P","Conc_transf",0.00567639486019396,0.00369639293256005,1.53565785990793,0.199421959671764,0.444301401009497
"9","MGSO4","EXP","PEP from OAA","Conc_transf",-0.00301184571613545,0.00218787016622963,-1.37661080745288,0.240663258880144,0.444301401009497
"10","MGSO4","EXP","PEP through TK","Conc_transf",-0.000729416798912318,0.00103031751380154,-0.707953411585722,0.518045662046503,0.690727549395337
"11","MGSO4","EXP","PYR from MAL_LB","Conc_transf",-7.48928120278391e-22,3.48552103161689e-22,-2.14868340625382,0.0981264592391366,0.444301401009497
"12","MGSO4","EXP","PYR from MAL_UB","Conc_transf",-7.48928120278391e-22,3.48552103161689e-22,-2.14868340625382,0.0981264592391366,0.444301401009497
"13","MGSO4","EXP","SER from GLY","Conc_transf",-0.00250012694085695,0.00537491437446113,-0.465147305924777,0.666020377385619,0.763133888839699
"14","MGSO4","STA","E4P from P5P","Conc_transf",-0.0410872037004714,0.0194916438101241,-2.10793938678124,0.102728891148973,0.423591265687085
"15","MGSO4","STA","E4P through TK","Conc_transf",0.0165538893637649,0.00964655881737669,1.71604088848199,0.161295800991526,0.423591265687085
"16","MGSO4","STA","GLY from SER","Conc_transf",-0.0887956252906606,0.0391402419527005,-2.26865294798041,0.0858553048487615,0.423591265687085
"17","MGSO4","STA","Labeled CO2 EC","Conc_transf",0.00165076303040939,0.000998665586403049,1.65296877441731,0.173680816801956,0.423591265687085
"18","MGSO4","STA","OAA from PEP","Conc_transf",-0.00412553194817629,0.00700079915775418,-0.589294429851883,0.587337926078479,0.704805511294174
"19","MGSO4","STA","P5P from E4P","Conc_transf",0.00592803685136953,0.00499042157841989,1.18788297906617,0.300592805494241,0.450889208241361
"20","MGSO4","STA","P5P from G3P","Conc_transf",0.000746873686669243,0.0221510273968553,0.0337173384009842,0.974717983765016,0.974717983765016
"21","MGSO4","STA","P5P from G6P","Conc_transf",-0.0427870965939333,0.019822320920729,-2.15853112080277,0.0970487206126092,0.423591265687085
"22","MGSO4","STA","PEP from OAA","Conc_transf",-0.00218920115618633,0.00597267327741988,-0.366536231684188,0.7325302291153,0.8371774047032
"23","MGSO4","STA","PEP through TK","Conc_transf",0.00144264977328412,0.00104745004791738,1.37729696623959,0.240468165818953,0.423591265687085
"24","MGSO4","STA","PYR from MAL_LB","Conc_transf",0.0211692935394255,0.00821312720363589,2.57749490718396,0.0614898600896863,0.423591265687085
"25","MGSO4","STA","PYR from MAL_UB","Conc_transf",0.00310241639257997,0.00192682715207639,1.61011660502954,0.182659826744147,0.423591265687085
"26","MGSO4","STA","SER from GLY","Conc_transf",-0.00330861387775872,0.00423049870974199,-0.782086015093127,0.477869309395011,0.603624390814751
"27","NACL","EXP","E4P from P5P","Conc_transf",-0.00102193146979261,0.000580159795975679,-1.76146550809158,0.220220989587658,0.444301401009497
"28","NACL","EXP","E4P through TK","Conc_transf",-0.000529982480999613,0.000280591123607316,-1.88880700923853,0.199513728950618,0.444301401009497
"29","NACL","EXP","GLY from SER","Conc_transf",0,0,NA,NA,NA
"30","NACL","EXP","Labeled CO2 EC","Conc_transf",-0.000123746060371849,5.89206345697492e-05,-2.10021601558552,0.170523250790569,0.444301401009497
"31","NACL","EXP","OAA from PEP","Conc_transf",0.000145648160075572,0.000167540941238148,0.869328768235483,0.476320561758406,0.672452557776573
"32","NACL","EXP","P5P from E4P","Conc_transf",-2.34379606967524e-06,5.94193987112474e-06,-0.394449644478073,0.731336643471378,0.763133888839699
"33","NACL","EXP","P5P from G3P","Conc_transf",3.27479353629039e-05,6.84108651112802e-05,0.478694945746331,0.679380961522423,0.763133888839699
"34","NACL","EXP","P5P from G6P","Conc_transf",9.38926818097272e-06,2.3803464681522e-05,0.394449644478073,0.731336643471378,0.763133888839699
"35","NACL","EXP","PEP from OAA","Conc_transf",1.96086850730674e-05,3.48823177452281e-05,0.562138250568224,0.630619542126911,0.763133888839699
"36","NACL","EXP","PEP through TK","Conc_transf",-0.000111931040405342,6.68407787262256e-05,-1.674592105873,0.23599562417621,0.444301401009497
"37","NACL","EXP","PYR from MAL_LB","Conc_transf",0,0,NA,NA,NA
"38","NACL","EXP","PYR from MAL_UB","Conc_transf",0.000187345756938183,0.000106357891243161,1.76146550809158,0.220220989587658,0.444301401009497
"39","NACL","EXP","SER from GLY","Conc_transf",-0.000120375656604692,5.53880194780184e-05,-2.17331577729485,0.161831104251344,0.444301401009497
