Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	ect00030:Pentose phosphate pathway	2	20.0	0.0042211903756385885	GNTK, IDNK	2	30	7107	236.89999999999998	0.08886367031215603	0.08886367031215603	3.2564384290378445
KEGG_PATHWAY	ecx00030:Pentose phosphate pathway	2	20.0	0.0042211903756385885	GNTK, IDNK	2	30	7107	236.89999999999998	0.08886367031215603	0.08886367031215603	3.2564384290378445
KEGG_PATHWAY	ecj00030:Pentose phosphate pathway	2	20.0	0.0042211903756385885	GNTK, IDNK	2	30	7107	236.89999999999998	0.08886367031215603	0.08886367031215603	3.2564384290378445
KEGG_PATHWAY	eco00030:Pentose phosphate pathway	2	20.0	0.0042211903756385885	GNTK, IDNK	2	30	7107	236.89999999999998	0.08886367031215603	0.08886367031215603	3.2564384290378445
KEGG_PATHWAY	ecd00030:Pentose phosphate pathway	2	20.0	0.0042211903756385885	GNTK, IDNK	2	30	7107	236.89999999999998	0.08886367031215603	0.08886367031215603	3.2564384290378445
KEGG_PATHWAY	eck00030:Pentose phosphate pathway	2	20.0	0.0042211903756385885	GNTK, IDNK	2	30	7107	236.89999999999998	0.08886367031215603	0.08886367031215603	3.2564384290378445
KEGG_PATHWAY	eum00030:Pentose phosphate pathway	2	20.0	0.0042211903756385885	GNTK, IDNK	2	30	7107	236.89999999999998	0.08886367031215603	0.08886367031215603	3.2564384290378445
KEGG_PATHWAY	ecq00030:Pentose phosphate pathway	2	20.0	0.0043618967214932095	GNTK, IDNK	2	31	7107	229.25806451612902	0.09169188663193961	0.04694800070087446	3.3633740150230684
KEGG_PATHWAY	eci00030:Pentose phosphate pathway	2	20.0	0.004502603067347795	GNTK, IDNK	2	32	7107	222.09375	0.09451172187540757	0.03255204516725241	3.47020648810743
KEGG_PATHWAY	ecm00030:Pentose phosphate pathway	2	20.0	0.004502603067347795	GNTK, IDNK	2	32	7107	222.09375	0.09451172187540757	0.03255204516725241	3.47020648810743
KEGG_PATHWAY	ecc00030:Pentose phosphate pathway	2	20.0	0.004502603067347795	GNTK, IDNK	2	32	7107	222.09375	0.09451172187540757	0.03255204516725241	3.47020648810743
KEGG_PATHWAY	ecv00030:Pentose phosphate pathway	2	20.0	0.004502603067347795	GNTK, IDNK	2	32	7107	222.09375	0.09451172187540757	0.03255204516725241	3.47020648810743
