"category","condition","z_score","overall_z_score"
"growthPhase","exponential",-1.60260986886528,-0.667904270255769
"growthPhase","late_stationary",-0.123497695622044,-0.667904270255769
"growthPhase","stationary",-2.03783875436038,-0.667904270255769
"carbonSource","glucose",-4.98820204934778,-1.54517425663059
"carbonSource","glycerol",-0.910332488144841,-1.54517425663059
"Mg_mM_Levels","baseMg",0.244375044598665,-0.0688550065451433
"Mg_mM_Levels","highMg",-4.26793579224334,-0.0688550065451433
"Mg_mM_Levels","lowMg",-1.33173090452659,-0.0688550065451433
"Na_mM_Levels","baseNa",-5.02405627997717,-1.22352463832727
"Na_mM_Levels","highNa",-14.0044023751743,-1.22352463832727
"batchNumber","10",-6.41407374142103,-4.61983412026408
"batchNumber","11",-1.09127330946072,-4.61983412026408
"batchNumber","12",-4.73781201977123,-4.61983412026408
"batchNumber","14",-10.232805748541,-4.61983412026408
"batchNumber","15",-10.0588841918457,-4.61983412026408
"batchNumber","22",-3.92135332950192,-4.61983412026408
"batchNumber","23",-5.15633753824247,-4.61983412026408
"batchNumber","24",-3.33466533899277,-4.61983412026408
"batchNumber","7",-3.47553308095433,-4.61983412026408
"batchNumber","8",-5.97692580731032,-4.61983412026408
"batchNumber","9",-5.63811960685109,-4.61983412026408
