"category","condition","z_score","overall_z_score"
"growthPhase","exponential",-1.07897554690982,-0.40665172155962
"growthPhase","late_stationary",0.0768846099419419,-0.40665172155962
"growthPhase","stationary",-1.43779503228522,-0.40665172155962
"carbonSource","glucose",-5.72900977072139,-1.84443723727709
"carbonSource","glycerol",-1.79347903299387,-1.84443723727709
"Mg_mM_Levels","baseMg",-0.534147775124673,-0.143354342447864
"Mg_mM_Levels","highMg",-4.51607819570142,-0.143354342447864
"Mg_mM_Levels","lowMg",-1.37381134222381,-0.143354342447864
"Na_mM_Levels","baseNa",-4.01979647854646,-1.0369801417253
"Na_mM_Levels","highNa",-13.4454012453001,-1.0369801417253
"batchNumber","10",-5.05237011473746,-4.60128074499049
"batchNumber","11",-2.25835462402288,-4.60128074499049
"batchNumber","12",-4.80619639212574,-4.60128074499049
"batchNumber","14",-10.0421495633971,-4.60128074499049
"batchNumber","15",-8.82934791515315,-4.60128074499049
"batchNumber","22",-4.32274617382774,-4.60128074499049
"batchNumber","23",-5.96018931146373,-4.60128074499049
"batchNumber","24",-3.32001837663432,-4.60128074499049
"batchNumber","7",-4.04647557146194,-4.60128074499049
"batchNumber","8",-5.85803079984435,-4.60128074499049
"batchNumber","9",-5.64652280958476,-4.60128074499049
