"gene_Type","gene_ID","MURI_016","MURI_017","MURI_018","MURI_019","MURI_020","MURI_021","MURI_022","MURI_023","MURI_024","MURI_025","MURI_026","MURI_027","MURI_028","MURI_029","MURI_030","MURI_031","MURI_032","MURI_033","MURI_034","MURI_035","MURI_036","MURI_037","MURI_038","MURI_039","MURI_040","MURI_041","MURI_042","MURI_043","MURI_044","MURI_045","MURI_046","MURI_047","MURI_048","MURI_049","MURI_050","MURI_052","MURI_053","MURI_054","MURI_055","MURI_056","MURI_057","MURI_058","MURI_059","MURI_061","MURI_063","MURI_064","MURI_065","MURI_066","MURI_067","MURI_068","MURI_069","MURI_070","MURI_071","MURI_072","MURI_073","MURI_074","MURI_075","MURI_076","MURI_077","MURI_079","MURI_080","MURI_081","MURI_082","MURI_083","MURI_084","MURI_085","MURI_086","MURI_087","MURI_088","MURI_089","MURI_090","MURI_091","MURI_092","MURI_093","MURI_094","MURI_095","MURI_096","MURI_097","MURI_098","MURI_099","MURI_100","MURI_101","MURI_102","MURI_103","MURI_104","MURI_105","MURI_106","MURI_107","MURI_108","MURI_109","MURI_110","MURI_111","MURI_112","MURI_113","MURI_114","MURI_115","MURI_116","MURI_117","MURI_118","MURI_119","MURI_120","MURI_121","MURI_122","MURI_123","MURI_124","MURI_125","MURI_126","MURI_127","MURI_128","MURI_129","MURI_130","MURI_131","MURI_132","MURI_133","MURI_134","MURI_135","MURI_136","MURI_137","MURI_138","MURI_139","MURI_140","MURI_141","MURI_142","MURI_143","MURI_144","MURI_145","MURI_146","MURI_147","MURI_148","MURI_149","MURI_150","MURI_151","MURI_152","MURI_153","MURI_154","MURI_155","MURI_156","MURI_157","MURI_158","MURI_159","MURI_160","MURI_161","MURI_162","MURI_163","MURI_164","MURI_165","MURI_166","MURI_167","MURI_168","MURI_169","MURI_170","MURI_171"
"tRNA","ECB_t00029",18785,20575,1240,11143,40835,62600,122390,49584,151243,13819,25669,26019,16895,26173,44348,162586,457825,460491,35716,26960,34199,17708,70277,66995,80611,174032,257587,35451,54386,9823,25790,31674,32727,4442,29345,46753,38350,12173,10540,91638,66327,55482,125354,64044,74162,6395,37343,133629,133423,28835,16683,31785,19596,13721,33562,18623,6070,66106,105056,8687,13771,108039,212496,8074,105030,147477,170975,43330,63874,33673,68759,36466,131193,29038,88779,36529,83578,73092,47227,74032,35610,16433,90471,100348,365815,468128,42592,42716,31228,54596,49805,59297,135103,141171,78586,50161,54302,58114,33909,89421,46064,55640,43470,21055,39197,36332,135987,66749,45289,31656,864,9621,7202,29087,55918,4742,7502,23225,8618,5182,10475,18215,2622,8909,19333,6675,18836,65421,95537,93828,102163,103325,28165,5720,15128,20544,21347,26512,32931,43147,66248,10358,16657,11579,32877,17736,17700,143452,196761,212107,57886,48382
"tRNA","ECB_t00030",4243,4093,562,2127,11188,13978,20355,36126,29728,5646,9961,10675,6664,10082,15019,42848,121407,124423,22424,38667,17434,10505,24463,37866,26850,49911,59860,26804,30884,5135,15480,10755,11243,2664,10539,27695,28567,9539,5933,31202,20465,16078,37421,25981,50472,6176,10378,36974,39603,10296,9164,12359,10932,10012,12406,5343,452,21085,32760,3985,7660,31023,50377,1315,50593,69274,66386,20701,19411,13035,22852,13796,43641,13698,25261,17649,20924,39766,31534,34330,14047,9568,22477,23245,41831,103181,20471,15618,11433,21520,25978,25500,55790,46593,23829,17337,26552,25413,21789,40106,19015,37931,19705,10554,15792,14350,48712,28452,19381,10833,90,7151,4671,19048,52190,2420,2762,8023,3660,19054,3203,4974,1109,3840,6965,2284,8857,26937,67536,37325,52918,51994,10716,2035,5398,7328,7652,7162,5308,13368,28860,2814,6716,4091,13825,6760,5301,37242,53242,62128,22139,15524
"tRNA","ECB_t00031",1657,1256,1329,842,3789,2998,5495,6886,4350,3192,4888,5900,3692,5464,5400,20795,33193,45512,9593,13676,9481,7127,15136,19371,19799,22140,15870,11423,18527,3844,9552,8835,7035,1559,4300,16033,17153,5349,4731,20544,13965,9974,32964,17530,30173,3557,5560,27524,46362,11021,8601,9956,5709,6005,10408,5363,1611,10356,26840,3142,4034,49808,28795,2000,32678,63741,48127,20910,18443,12579,14562,14961,26864,10746,19640,19020,16751,30115,13213,22503,11060,12547,15351,11880,27182,45093,8885,15961,11105,16074,20465,18222,31213,26631,17726,10717,13213,8390,9082,29933,11572,20051,13371,6756,9864,10941,31573,21759,12091,7123,751,8307,3732,12416,52377,3875,3183,7881,3759,26977,3138,9552,1032,5088,7969,2293,7343,24221,46027,40872,56072,70025,9595,3995,6518,8664,7538,8732,8073,12737,28665,3863,5247,3903,11457,7323,6955,38835,54093,57295,16722,9167
"tRNA","ECB_t00032",7582,9519,7280,4791,13730,20873,32237,344008,297682,8415,11775,10176,7677,12815,25632,51922,296406,419709,13391,10334,10074,4063,20388,21365,25603,128513,467198,6854,10891,2232,6559,10659,6324,1130,15910,11158,6417,2986,2022,15399,12703,11151,39763,14175,37309,5432,14163,46141,28903,13935,5387,8741,8400,8709,12045,12383,417,30861,16513,2859,5880,66006,50279,959,39586,30914,67094,10045,27258,6343,23637,10139,31219,7733,26782,9921,21173,32373,24229,30168,11258,10922,22368,27848,88487,459788,8593,10360,6690,12764,12416,14188,47550,54525,30003,20581,25224,21821,7811,14922,8766,10926,10610,6687,12622,12283,48748,26771,26799,12856,66,3265,2282,13940,12685,1428,2768,13234,6474,6493,10288,25624,588,2289,3361,2822,3026,12211,34481,25117,26316,29498,8104,1824,3041,5252,4445,4562,6048,18254,26908,5735,3743,2595,7247,5131,5199,22422,38751,60930,21392,11814
"tRNA","ECB_t00033",4079,4332,169,2609,10213,12574,25658,4569,13657,23146,38536,57823,24711,31801,45439,231137,185336,87191,66346,133411,40070,19471,64974,115135,101843,24581,26851,67647,88422,25158,46010,33796,39768,7318,19923,79101,99638,27447,17402,155970,81215,40659,73291,138578,88560,11472,40830,144227,125195,75016,31687,42677,20185,15694,47823,11531,2809,46217,183447,12113,23652,388639,191972,10123,134202,193181,164050,54990,30787,31878,54852,29539,90627,27898,74191,40135,67118,89130,74740,117903,39442,30210,103397,105889,158534,110297,25691,46647,50743,70304,76105,91622,147218,176123,118833,58578,54891,58537,67589,112088,63966,99569,55970,38299,52148,44866,174462,95888,47427,37209,660,20687,12928,30611,190200,5068,9773,21648,5170,12365,4613,8491,4791,12764,27480,6241,39865,70498,189847,107714,296372,318104,45444,6539,29046,26979,33720,19813,17289,37147,77429,6893,21973,12688,38666,24420,18728,96439,157221,221603,57907,52363
"tRNA","ECB_t00034",5068,5207,284,3119,12700,15088,30685,6021,16664,29157,47599,70050,30615,40694,58350,302269,230867,111249,80575,164975,50350,25733,81827,144092,128233,40905,33901,80368,111362,30113,57676,42907,49878,8857,23854,97858,121606,33675,22124,184173,99450,48214,101197,164922,125058,14084,49043,176865,176400,86370,37848,52572,25522,19730,58541,15507,5066,58703,220610,15372,28087,425436,245048,12667,166052,242847,208369,77301,43923,43682,75386,39254,123457,36365,98145,55748,85914,121392,96211,150534,52950,41190,138383,147594,207962,142668,35520,61482,66051,90572,101564,119957,203434,229978,154677,76643,75601,74302,86575,146943,84704,132608,74014,50121,71888,58337,235027,126272,64574,50122,1011,26842,16787,43440,241714,15481,11967,27430,6735,16903,5851,10825,6079,17385,36039,8004,51524,93858,242090,155641,365320,459654,56582,8930,37905,34822,43063,25456,21941,48953,106617,9835,29281,17364,51929,32751,24980,132929,216283,290941,76208,66380
"tRNA","ECB_t00035",4010,4354,158,2713,10333,12350,25548,4619,13696,23114,38760,58236,24862,32300,45841,230898,185465,87924,66488,133527,40150,19496,64508,114128,101765,24576,26993,68184,88399,25369,45963,34003,39574,7155,19845,79266,99644,27571,17638,155352,81187,39935,73212,138338,87904,11466,41245,144666,125542,74604,31686,42887,20090,15580,47572,11645,2818,46094,183009,11984,23293,386508,192111,10101,134919,193811,164442,55443,30719,32302,55139,30211,90671,27835,75057,40233,67530,89800,74416,118190,39163,30568,102693,105681,158610,110178,25911,46607,51563,70477,76240,91864,146474,176091,119097,58792,55767,58535,67669,111776,63857,100230,56337,38147,52334,45279,174229,96319,47120,37697,636,20873,12956,31091,190242,4932,9639,21664,5170,12424,4558,8433,4653,12989,27735,6273,39806,70723,191101,107305,296777,318532,45355,6648,29176,27450,34334,19603,17552,37186,77649,7128,21997,12686,38715,24613,18900,96948,157040,221717,57919,52794
"tRNA","ECB_t00036",4100,4463,160,2483,10246,12409,25679,4637,13810,23254,38636,57740,24899,32032,45423,230069,185626,87607,66845,133367,40390,19554,65496,114234,102033,24883,27213,67547,88496,25186,45912,33675,39441,7174,19860,79380,99692,27704,17318,155356,81341,39985,73281,138307,87880,11452,40665,144203,125339,75143,31978,42830,20102,15455,47227,11407,2776,46376,183117,12076,23566,387596,191904,10358,134463,192084,163144,55111,30606,31764,55101,29228,90628,28101,74467,39978,67219,89708,75042,117788,39407,30238,103045,106661,158421,109987,25605,46244,51021,70291,76622,91619,147428,176571,118882,58109,55887,58008,67927,111454,63534,99751,55931,37801,52335,45048,174016,94808,47411,37376,665,20533,13074,30720,190498,5035,9714,21434,5054,11987,4516,8473,4553,12800,27885,6233,40067,70830,189719,107356,296009,319043,45179,6491,28678,26898,34090,19812,17562,37269,77557,6987,21974,12739,38680,24538,18947,96869,156916,222038,59006,52103
"tRNA","ECB_t00037",506,503,111,351,857,942,1948,4878,1544,1414,2861,2394,1682,1983,2562,6655,19334,15532,1634,2508,1716,1001,3036,3219,3268,5570,4263,2942,4330,692,1888,1284,1986,344,1099,3509,3194,1133,1039,5123,3531,2153,6093,4561,6738,680,1362,7193,10468,1759,1420,1846,1254,1287,2039,957,104,3125,5994,659,998,3379,8492,355,8807,13065,12580,3699,3653,2557,4507,2568,6894,2490,5405,3139,4641,6094,4889,6812,3847,2080,6425,6083,10353,14698,2704,3257,2460,4458,3946,5052,10455,9262,5371,3726,4931,5461,3237,5893,3389,4795,3088,1893,2320,2219,8120,4732,2900,2312,41,1274,874,2336,7073,496,617,1592,690,1382,843,1776,256,698,1624,782,1802,4818,6774,6091,8401,10615,2081,604,1341,1467,1674,2169,1980,2854,5333,742,1237,943,2665,1581,1775,12548,13894,14749,3345,2754
"tRNA","ECB_t00038",334,293,141,155,812,1096,1796,1358,3130,300,379,411,263,417,823,4663,12092,14647,5316,16358,4956,3262,6968,13968,8489,3292,4490,5414,6315,1510,3527,1401,1639,641,3010,6906,11381,6223,1511,5042,3715,2301,2981,6607,10651,1893,4208,19684,11015,2108,2271,4285,679,1059,3937,798,83,1488,3765,413,634,3562,8150,395,4912,14715,7296,3850,2156,1340,2675,2395,4543,2723,3279,5073,2255,8040,7339,13600,1909,3204,6249,6567,9692,10585,763,1538,1181,1746,5055,1553,4529,4151,3903,2379,2041,1092,592,3812,1744,2488,1456,393,3337,1861,14549,9517,2612,772,24,2714,574,1093,2189,202,358,1388,401,868,848,602,229,392,1386,443,663,383,9975,4435,17573,20318,854,260,621,939,782,111,333,1569,4525,610,861,526,1340,1134,1274,1903,5481,11634,4642,2857
