"gene_Type","gene_ID","MURI_016","MURI_017","MURI_018","MURI_019","MURI_020","MURI_021","MURI_022","MURI_023","MURI_024","MURI_025","MURI_026","MURI_027","MURI_028","MURI_029","MURI_030","MURI_031","MURI_032","MURI_033","MURI_034","MURI_035","MURI_036","MURI_037","MURI_038","MURI_039","MURI_040","MURI_041","MURI_042","MURI_043","MURI_044","MURI_045","MURI_046","MURI_047","MURI_048","MURI_049","MURI_050","MURI_052","MURI_053","MURI_054","MURI_055","MURI_056","MURI_057","MURI_058","MURI_059","MURI_061","MURI_063","MURI_064","MURI_065","MURI_066","MURI_067","MURI_068","MURI_069","MURI_070","MURI_071","MURI_072","MURI_073","MURI_074","MURI_075","MURI_076","MURI_077","MURI_079","MURI_080","MURI_081","MURI_082","MURI_083","MURI_084","MURI_085","MURI_086","MURI_087","MURI_088","MURI_089","MURI_090","MURI_091","MURI_092","MURI_093","MURI_094","MURI_095","MURI_096","MURI_097","MURI_098","MURI_099","MURI_100","MURI_101","MURI_102","MURI_103","MURI_104","MURI_105","MURI_106","MURI_107","MURI_108","MURI_109","MURI_110","MURI_111","MURI_112","MURI_113","MURI_114","MURI_115","MURI_116","MURI_117","MURI_118","MURI_119","MURI_120","MURI_121","MURI_122","MURI_123","MURI_124","MURI_125","MURI_126","MURI_127","MURI_128","MURI_129","MURI_130","MURI_131","MURI_132","MURI_133","MURI_134","MURI_135","MURI_136","MURI_137","MURI_138","MURI_139","MURI_140","MURI_141","MURI_142","MURI_143","MURI_144","MURI_145","MURI_146","MURI_147","MURI_148","MURI_149","MURI_150","MURI_151","MURI_152","MURI_153","MURI_154","MURI_155","MURI_156","MURI_157","MURI_158","MURI_159","MURI_160","MURI_161","MURI_162","MURI_163","MURI_164","MURI_165","MURI_166","MURI_167","MURI_168","MURI_169","MURI_170","MURI_171"
"tRNA","ECB_t00039",1359,1058,234,650,2753,2804,5333,5693,3053,3397,5974,6180,4086,5734,7425,18458,39581,23981,4790,6594,6220,3922,10989,14065,9515,8094,6068,9940,14235,1914,5456,6165,8495,1155,3497,12889,11275,4323,3595,16896,15399,8524,14354,16366,23304,2424,4890,19998,41546,3673,3942,7643,4864,4230,6330,4351,1667,9391,23385,2151,3467,5357,27823,1586,27538,41989,47997,12978,17758,8111,15393,10397,29220,12502,19677,14094,17675,20703,12157,19735,10793,10138,14922,14515,17884,33205,10521,13526,10012,17388,18338,19022,35768,36261,18782,12187,14287,15708,13297,37581,14803,17171,14972,7043,10001,9066,31117,18271,12167,7678,915,7292,4064,11473,33718,2035,4412,10085,6006,54227,1949,5369,968,3760,6517,1693,6772,19327,40406,33668,32312,38842,9570,2049,5581,7386,9037,9581,7993,12958,28684,3273,6068,4154,13263,7541,6876,43769,58483,65005,16821,7772
"tRNA","ECB_t00040",1276,999,199,633,2713,2753,5451,5568,3182,3211,5733,6062,3921,5576,7512,18218,39757,23823,4957,6294,6006,3770,11215,13663,9459,7729,6210,9778,13983,1936,5476,6296,8438,1133,3698,12331,10933,4014,3381,16936,15563,8672,14386,16227,23414,2456,4899,19721,41562,3687,3975,7662,4764,4075,6255,4348,1677,9397,23052,2104,3222,5251,27657,1674,26998,40918,47381,12755,17515,8039,15625,10111,29603,12279,19814,13943,17820,20477,11950,19666,10805,9947,14601,14588,17980,33234,10530,13570,9757,17135,18171,18959,35537,35874,18958,11994,14295,15592,13176,37390,14606,16936,14566,7211,10196,9233,30602,18322,11760,7671,933,7288,3988,11281,34343,2005,4347,10018,5894,54163,1958,5370,921,3813,6230,1735,6626,19242,40402,33664,32009,38770,9397,2034,5316,7303,8743,9413,7945,12859,28319,3108,5892,4365,13205,7279,6866,43464,58832,64926,16523,7740
"tRNA","ECB_t00041",585,556,249,279,848,832,1988,2982,3312,1635,2914,3404,2007,2752,3267,15278,17339,18694,2637,6007,2485,1295,3686,5430,5790,3794,5291,4570,3216,1444,2180,3107,1489,360,2912,4020,5869,1479,1451,5637,4218,2573,11779,7768,13869,1615,3106,23331,18837,6628,2656,2522,2326,1838,7532,2031,245,4098,9250,1053,1887,29970,18892,736,10707,10456,12648,3699,5931,1929,4307,3341,9738,3959,8966,5450,8575,11569,4419,9397,6115,2984,7087,5463,15941,30731,2388,6665,6353,7565,7090,8234,9614,10950,7850,3453,3997,3515,3307,9609,4486,5998,4891,3870,5197,3520,10337,7567,6318,5075,143,4003,2539,4792,26207,1460,1314,3206,1842,19220,671,3253,489,1758,2504,616,1651,6222,21022,15434,19517,25344,4653,1107,3114,4510,2665,2443,2266,4249,8956,1256,1872,1513,3505,3044,3099,9978,15986,19118,6886,3064
"tRNA","ECB_t00042",559,545,258,294,871,865,2001,3036,3307,1699,2835,3430,2053,2819,3241,15369,17158,18792,2599,6097,2576,1266,3708,5533,5969,3916,5182,4796,3449,1435,2270,3211,1565,415,2855,4396,6044,1624,1416,5780,4336,2668,11853,7876,13730,1685,3236,23413,18442,6507,2653,2607,2305,1902,7677,2067,240,4111,9302,992,1887,29963,18708,692,10750,10238,12665,3684,5884,2015,4250,3339,9506,3810,9180,5337,8356,11622,4422,9312,5881,3008,6929,5532,15636,30844,2258,6625,6153,7354,6833,8003,9715,11029,7761,3276,4015,3499,3282,9549,4515,5949,4858,3786,5172,3472,10222,7733,6227,5014,183,3955,2513,4918,26292,1491,1274,3241,1779,19368,638,3194,467,1711,2473,586,1664,6301,21184,15165,19488,25280,4604,1128,3220,4482,2622,2424,2235,4239,8700,1188,1885,1575,3450,3089,3061,9971,15768,18899,6655,3103
"tRNA","ECB_t00043",530,545,290,276,872,870,1995,3225,3371,1677,2785,3355,2042,2794,3356,15878,17498,18685,2562,6479,2590,1305,3746,5641,6192,3832,5336,4852,3396,1510,2335,3460,1521,382,2813,4532,6202,1647,1504,6133,4332,2768,11946,7867,13857,1653,3139,23948,18664,7310,2772,2568,2262,1904,7719,2070,230,4103,9294,1079,1773,29954,19163,706,11043,10051,12417,3642,5880,1950,4241,3403,9653,3878,8959,5325,8413,11582,4401,9215,5811,3061,6930,5401,15629,30856,2316,6508,6235,7574,6893,8162,9476,10812,7741,3391,3942,3486,3305,9500,4445,6022,4809,3845,5219,3404,10450,7603,6109,5034,129,3960,2638,4883,26289,1485,1262,3223,1797,19083,639,3198,496,1643,2558,583,1610,6238,21518,15145,19327,25520,4593,1097,3075,4490,2672,2394,2309,4149,8725,1217,1779,1470,3449,3005,3018,9808,15572,18852,6716,2943
"tRNA","ECB_t00044",44,40,5,25,140,166,280,618,349,278,353,433,258,284,371,1343,1799,1640,267,402,335,191,470,556,590,2408,377,657,804,153,308,468,245,56,239,561,599,170,257,1067,726,778,1648,1146,2183,194,352,1610,3268,519,333,512,406,423,673,355,43,1089,1959,305,315,836,2811,86,2969,5029,4187,1574,1448,888,1574,843,2732,830,1799,1372,1563,1892,745,1389,928,316,1039,745,1449,1590,860,1096,937,1559,1522,1962,3129,2307,1500,907,1471,1364,793,2611,978,1576,955,694,808,658,2692,1384,1216,712,18,849,275,1076,2786,195,186,442,229,1950,271,523,88,361,498,88,630,2766,1851,2149,2174,2238,716,158,493,664,665,714,512,978,2353,157,467,306,949,552,366,3104,4528,4385,1288,772
"tRNA","ECB_t00045",2046,1379,629,885,3270,3204,7464,12566,20972,2689,3873,5577,3079,4803,5999,35279,74951,79951,9288,27097,11828,9294,13676,37138,31393,55014,17421,22331,17239,3547,10705,5811,8880,1449,8599,15054,15611,7414,5982,21998,11980,9847,26016,15238,32143,7656,10729,77663,36993,5497,10404,13102,4529,7855,17902,5265,1013,8560,15578,3188,3140,15471,41822,2293,37919,76834,44185,15526,20880,9778,12941,20237,25983,9692,25641,19654,20880,34439,17173,19442,11322,16223,26660,24320,103665,85151,6216,12229,8763,14223,15745,14876,28297,27039,20641,9709,10698,6058,5382,22349,8659,12770,7747,4384,13787,11006,32355,29224,10923,7338,615,16523,3783,9754,44935,4566,4174,9668,5688,53146,3496,8179,1478,4614,7148,2434,5509,16417,37404,42758,87272,91030,7052,2746,5231,7641,5861,5312,4888,13702,29501,4476,4929,3386,9059,7167,6471,27348,47608,67524,23245,9865
"tRNA","ECB_t00046",355,343,20,205,879,1179,2210,2176,4453,937,1577,1766,1024,1359,2076,8411,12870,18455,1735,4022,2292,1316,3283,4864,5185,11732,7620,4058,4770,1100,2360,2235,3026,407,1829,4249,4776,1307,1383,7886,4337,3542,13378,5877,7151,901,1989,10144,17488,5542,1657,2745,1533,1291,3471,1601,174,4244,8221,910,1176,14975,12874,634,11111,18497,17187,7029,6297,3466,6896,3704,10707,3312,8665,5226,8178,8479,4792,6405,3672,1474,5591,4942,14623,23238,3225,4129,3459,5060,5376,6040,11673,12184,8503,3992,4450,3934,3655,9751,3483,6326,2949,2337,3592,3168,12467,6072,4491,2560,41,2538,1135,3035,14445,521,702,1713,699,2181,712,1776,295,1289,2697,790,2885,11018,14071,11129,19945,20157,2716,695,2109,2600,2657,2593,2591,4091,8184,773,1560,1133,2992,2080,1586,10207,15550,18128,5341,3635
"tRNA","ECB_t00047",380,313,21,201,913,1164,2220,2283,4365,983,1445,1835,1076,1396,2083,8276,12757,18252,1779,4237,2337,1281,3187,4887,5256,11903,7347,4003,4954,1056,2341,2189,3065,435,1901,4412,4603,1331,1383,8086,4426,3694,13462,5894,7218,1034,1983,10340,17651,5521,1635,2646,1486,1408,3497,1550,183,4268,8351,870,1164,14696,12774,691,11269,18264,17261,7007,6129,3505,7100,3748,10581,3395,8790,5081,8279,8279,4697,6725,3563,1425,5658,4796,14564,23452,3215,4196,3565,4834,5394,5975,11639,12342,8362,3927,4561,3943,3576,9593,3542,6323,2938,2333,3625,3200,12699,6228,4599,2575,49,2493,1231,3018,14660,511,762,1790,723,2235,784,1807,338,1244,2762,698,2781,11240,14088,11243,19874,20074,2736,733,2195,2519,2534,2625,2625,3962,8067,789,1541,1090,3017,2064,1629,10238,15557,17921,5357,3558
"tRNA","ECB_t00048",348,341,19,194,837,1117,2218,2275,4465,969,1473,1790,1097,1391,2166,8334,12853,18139,1715,4112,2334,1319,3179,4915,5282,12197,7316,3836,4752,1063,2281,2256,3026,361,1914,4275,4794,1283,1408,7899,4343,3561,13327,5808,7217,1020,1957,10397,17350,5421,1702,2760,1486,1418,3357,1558,175,4234,8238,873,1240,14883,12916,662,11456,18453,17375,6860,6241,3518,7001,3665,10378,3326,8917,5210,8239,8400,4723,6721,3511,1447,5614,4848,14515,23060,3162,4171,3550,4908,5359,6125,11721,12132,8518,3955,4404,4097,3582,9676,3473,6337,3048,2334,3703,3266,12480,6227,4573,2567,41,2633,1200,2954,14605,520,674,1785,691,2193,756,1785,357,1345,2876,743,2810,11188,14093,11181,19961,20042,2699,717,2196,2619,2637,2675,2650,3952,8113,768,1557,1087,3001,2120,1629,9951,15784,17933,5384,3619
"tRNA","ECB_t00049",336,348,17,191,885,1164,2196,2175,4341,975,1541,1692,1064,1382,2066,8251,12816,18174,1690,4179,2308,1323,3161,4768,5333,11627,7529,3868,4774,1013,2373,2146,2995,390,1880,4281,4672,1260,1338,7924,4219,3610,13297,5876,7056,959,1978,10014,17293,5651,1684,2606,1537,1309,3372,1524,164,4126,8278,904,1122,14878,12798,712,11109,17964,16838,6722,6094,3398,6950,3615,10389,3355,8607,5068,8018,8336,4777,6616,3439,1359,5685,4898,14171,23262,3200,4151,3465,4860,5366,5918,11586,12225,8393,3901,4265,4008,3688,9569,3486,6226,2944,2341,3528,3185,12439,5957,4626,2447,33,2489,1129,3003,14272,559,746,1838,689,2275,743,1828,339,1213,2802,775,2717,11076,13969,10957,19671,19782,2758,690,2167,2494,2567,2518,2622,3828,8034,775,1493,1071,2980,2057,1579,10163,15249,17712,5023,3473
"tRNA","ECB_t00050",5302,4345,2295,2783,10287,9821,16558,70878,33701,2114,3289,3939,2477,3706,5530,16018,36175,28983,3159,4832,4399,2952,9303,7843,8611,23424,9660,5120,7495,1526,3092,4490,3186,656,2284,6629,5623,2223,2097,10465,7264,4469,13167,6197,15927,1548,3769,14214,17870,2224,2890,5249,3085,3043,5206,3740,181,9950,10662,1446,1520,3376,19056,566,16636,34166,33898,9221,14165,6616,10773,9898,19349,7251,16011,9614,12323,16332,8413,15201,8666,9021,16118,12028,37143,29664,4832,8513,5762,10217,8947,9528,21638,20515,12459,7543,7525,6458,3745,13680,6228,5535,5113,2646,4523,6084,19196,12702,8405,4142,71,3259,998,6198,10177,1256,821,2814,933,1358,3362,5957,566,2847,3811,1537,3790,15448,12471,18514,15179,21250,4847,1836,3418,4627,4637,6332,4444,9013,17269,2456,3306,2257,7053,4618,4532,23292,34493,35202,10725,5660
"tRNA","ECB_t00051",2472,3125,332,2344,3983,5193,10601,11510,9980,8538,13934,15414,10138,13619,18850,73188,178150,241634,12654,11696,11164,6410,16523,21810,24195,53868,105069,10895,15040,3559,6668,8941,7975,1228,11790,12973,10600,4077,3390,22757,15491,8488,53160,22225,48992,4930,12871,63496,50277,24713,7315,11526,10476,7954,17800,11288,1036,36529,40086,4716,9303,57272,83151,4268,55942,28626,40721,10341,14935,7505,14138,6782,29619,8367,28074,12059,24103,37330,33334,42014,16312,13085,24440,14721,100365,260211,8250,19290,15775,20989,23455,36221,40303,58188,33175,19932,24957,28191,13831,26946,16248,16399,19051,12295,12680,15606,46579,27497,27912,21572,517,5926,3091,13601,74190,2003,2926,8362,3820,5446,4353,13440,1223,5239,8257,2728,8608,33719,45660,37821,45984,72586,14090,3492,8393,10955,10179,13510,14477,18021,32833,4856,6437,4810,13234,8751,7326,54690,78756,89170,20117,17350
"tRNA","ECB_t00052",2493,3203,285,2388,4071,5166,10376,11519,10104,8711,13779,14951,10059,13224,18876,73229,176140,239236,12575,11712,11003,6216,16227,21885,23946,54027,105313,11011,14890,3608,6667,8761,8011,1205,11731,12881,10466,4114,3437,22930,15593,8277,53188,22302,48485,5062,12752,62967,50391,24744,7007,11473,10384,8084,17742,10980,1031,36189,40221,4497,9255,56796,82296,4272,55527,28378,39709,10174,14644,7634,14103,6854,29163,8336,27651,12014,24164,36865,32980,42245,16560,12972,24410,14667,99173,259621,8133,18965,15809,20860,22936,36187,39828,57787,32633,19558,24637,28235,13568,26899,16076,16364,18978,12026,12487,15356,45761,27272,27606,21315,506,5876,3098,13572,74019,2054,2759,8221,3708,5475,4146,13726,1208,5232,8294,2734,8308,33298,45585,38002,45911,71329,13863,3459,8564,10894,10051,13171,14207,18045,32421,4914,6366,4820,13056,8764,7569,53741,77788,87881,20291,17303
"tRNA","ECB_t00053",2377,3106,286,2457,3983,5061,10569,11546,9845,8828,13836,15448,10119,13364,18685,72597,175308,239980,12549,11765,11316,6397,16160,21833,24219,53800,104937,10873,14913,3531,6714,9020,8020,1176,11706,12932,10470,4212,3493,22816,15302,8137,52926,22131,48131,4976,12864,62708,50440,24834,7189,11509,10271,8114,17939,11202,968,36035,40033,4405,9187,56786,82010,4301,55605,28335,40009,9982,14642,7506,14135,6854,28966,8393,27566,11808,24155,36691,33435,41722,16183,12705,24304,14766,100186,258990,8076,18847,15809,20556,23149,36251,39794,57925,32957,19450,24467,28084,13405,26290,15895,16247,18975,12150,12498,15193,45888,26830,27444,21645,510,5795,3124,13595,73398,1922,2944,8049,3653,5361,4257,13692,1214,5291,8440,2588,8274,33350,45443,37718,45693,70997,13728,3319,8404,11024,10030,13177,14062,18057,32257,4796,6243,4805,13034,8625,7335,54036,77450,87467,20004,17152
"tRNA","ECB_t00054",9713,11354,1411,5677,26623,37873,70409,31676,71710,58858,54934,44535,81982,107106,58184,406620,603550,586251,128233,215405,71060,19841,59427,135817,107210,126716,118562,361725,751036,86112,177151,95712,77013,51518,44296,569058,378447,136350,24842,272674,149945,58923,106388,224285,111903,42133,50222,647976,130100,618635,64207,147643,56614,28213,144940,27887,1512919,77235,358331,14729,38800,630667,750246,1787373,224671,628799,218635,113236,30799,383196,162226,36344,111032,18230,57487,21918,58165,60326,46991,63877,27047,40884,75612,34807,139227,261282,16086,31337,20119,29453,39541,36149,79808,122891,146669,84993,38275,42321,25371,71846,30348,57951,30447,20628,36206,48928,95489,82063,33827,22588,156748,10679,12724,14914,99411,9613,17537,118522,9170,26232,8611,35711,12979,11054,56264,12459,67660,141887,80335,98188,114646,178359,88607,27777,58512,39787,51191,116350,61017,89593,81766,30130,34100,19853,35421,43222,61494,104186,142408,207317,44230,29354
"tRNA","ECB_t00055",181,151,3,165,321,479,803,782,2231,1028,1048,1530,646,884,1233,6709,13022,13327,1354,1828,1200,807,1846,2082,4269,3582,3767,3392,2801,1054,1618,2056,1248,250,2144,2467,3847,739,826,4096,2544,3038,7689,3453,4549,640,1319,8307,6556,2018,1032,1113,1058,945,2668,1105,170,2053,4289,477,712,7269,9456,323,7734,13079,11280,3916,3308,2012,3432,2380,7698,2259,4667,2753,4201,4370,1979,2942,1978,637,3365,3906,13310,15437,1922,2124,1758,3212,3278,3526,7390,5901,3171,1791,2606,2550,1925,5500,2040,3672,2056,1342,2242,1375,6165,3144,2392,1824,31,1548,593,2008,6084,389,492,1189,530,1380,450,1240,200,717,1026,292,1174,5490,7164,6372,8962,6885,1821,318,1067,1576,1304,1751,1650,2255,5384,461,993,631,1952,1149,990,8567,12330,12723,3698,1706
"tRNA","ECB_t00056",8,10,1,3,44,45,183,382,226,34,58,83,43,77,133,603,1340,874,81,127,178,126,190,403,642,3276,206,262,403,39,259,137,265,24,141,267,202,67,115,518,462,458,746,192,343,56,156,933,1178,153,124,215,130,189,310,192,9,456,523,69,68,224,1330,54,1175,2174,1649,392,632,404,532,330,985,123,790,310,683,628,346,373,282,96,752,690,1360,1372,209,287,166,273,278,367,1079,967,494,325,400,472,205,625,197,481,186,159,291,371,774,499,253,161,1,96,47,243,422,29,49,164,53,27,46,159,15,103,144,25,200,851,388,474,1011,932,200,31,86,144,154,212,226,343,875,75,118,66,234,94,86,1267,1633,1660,530,252
"tRNA","ECB_t00057",3281,4238,495,3230,5476,7125,13675,15307,13045,12684,19441,20787,14242,19477,26707,109228,231753,306820,15819,15327,15268,9019,22538,29936,33595,88720,129043,14599,21186,4629,9432,12429,11099,1805,15072,17691,14213,5789,5131,30522,21085,10818,76598,29656,74322,6954,16575,86094,80610,30268,9656,15674,14074,11136,23652,17058,2701,49446,53880,6493,12838,66640,117591,7050,76428,40612,57325,15973,23310,11327,20888,9767,43773,11519,40436,17147,33221,54386,48207,59238,23824,23670,34005,22904,139959,348009,12428,27528,22412,29906,33471,51065,61168,83621,47068,28803,37561,36939,19543,37127,23593,24709,27320,16192,19241,22659,69581,40010,40681,30627,2172,10902,5924,21688,110549,11369,5627,14374,7071,32407,7147,24485,1804,8518,13402,4012,13604,63289,78734,69650,70919,127057,21231,5794,13999,17277,15883,26573,24194,32932,57326,8813,10132,8094,20644,13770,11665,100421,143249,151552,33278,27703
"tRNA","ECB_t00058",6990,7622,424,3627,11325,11464,24519,25373,36283,7768,10236,13775,7591,12506,16742,68678,96406,96752,17330,46706,20562,12047,29910,61322,56275,67261,29748,37655,30770,9459,22411,18301,20971,4076,20268,44192,53321,17797,9850,49045,32012,22373,76327,39984,47931,8210,18172,104457,59207,14207,18174,26169,11240,12442,33868,10367,518,20572,54223,4458,8592,38853,118665,3653,64061,96083,78246,25151,58927,16873,30837,24252,57556,19469,57928,39975,54042,50850,25351,49888,27093,25723,40166,30253,140068,143037,10808,33787,25057,32408,25102,32492,47506,57868,41941,24648,16849,13621,17288,53149,22191,21647,18900,13416,27377,26807,77405,40195,21668,18976,178,11945,5832,20109,79045,3832,4964,15176,4200,5899,5786,9438,2400,11094,15521,4856,8858,48366,74756,72535,123190,127526,20618,7954,14119,16900,13523,15216,27158,23612,45207,12506,8595,6418,15254,14962,16172,52268,82170,103433,30662,18045
"tRNA","ECB_t00059",1955,2449,218,1072,3989,3695,8417,7976,5138,7824,13497,16628,7132,8830,8564,71325,46066,34138,4326,9719,4788,2005,7029,8686,9447,12421,6767,15731,7597,5414,4139,5991,3886,842,4280,8817,12714,3539,2855,18823,9428,5018,17167,26808,22899,2677,9235,41562,26637,24578,5035,6391,4698,2885,16966,1989,257,10063,31381,2148,5145,142492,51090,2012,30743,17115,21921,5843,6891,3456,8076,6836,12989,7287,18129,11227,18743,19494,9786,21267,13762,4766,18235,6772,55955,31569,5259,14449,17783,18492,17151,25905,22875,24721,21432,6865,8303,13260,9659,25810,9374,12563,9413,10368,9490,7450,29624,15701,9667,12705,106,9199,3127,6854,62155,1495,1240,3191,840,3346,936,2476,1030,3364,5688,1473,5721,5720,41706,27679,59016,55064,9847,2366,10898,7589,7466,2301,3723,8772,13732,1522,3764,2721,5462,6069,4876,14113,27787,37954,10899,8616
"tRNA","ECB_t00060",1298,959,400,562,2464,2282,4821,3805,3069,3560,6277,7651,4308,5856,7887,24528,39119,28476,2691,3965,4422,2512,8290,9277,8020,12160,5545,10335,13649,2030,5072,6552,6688,1145,3966,12671,10895,3647,3491,17832,14382,8244,15787,17348,27619,3151,5338,23508,47152,4813,4234,7417,6035,5956,8146,5150,1873,12522,27762,2964,3936,7997,33624,1989,35164,43952,53045,13993,21319,9075,17230,10802,36242,12441,23495,14045,21626,21431,8863,18950,11687,6716,13329,15028,26451,37129,11982,16262,12027,20386,20824,24457,46666,43756,22456,14991,18922,16537,16104,41541,17502,21318,16901,7312,11580,11035,36057,19627,14256,10216,999,5229,2670,13725,40265,4053,2310,5737,2462,10579,2295,8003,1056,5705,7394,1587,9159,25226,41300,37573,35242,44304,11178,2630,7190,9936,10641,10404,8232,15043,34437,3295,7143,5302,16154,8437,8000,51558,70493,73432,19569,8597
"tRNA","ECB_t00061",2962,2798,110,1455,7923,10741,17260,2262,13020,12953,24113,26369,18019,22110,28012,98991,101857,76426,20931,42268,24396,11442,36475,62079,42781,16769,22906,47641,75692,8843,29256,25085,28845,6195,18719,71058,53896,21454,15029,66338,57070,27943,41261,92693,92258,12702,27874,104100,112940,27589,16383,33277,25002,15780,27546,7810,3512,45052,136356,9361,25344,68993,181450,6161,137931,135275,131695,44052,28636,27612,48492,13521,133537,28715,68025,42484,58682,64886,52754,90464,34763,17755,37810,41673,68096,77073,36723,48922,42090,74424,86937,102485,141942,144360,90504,44717,54872,42212,52569,134099,63916,96038,49921,38833,55568,33110,152278,82530,44657,40664,953,15535,11321,43837,105741,18285,6798,19618,6259,15043,13384,15858,4198,10892,28060,5225,30461,75699,123391,93820,105463,150789,38232,5265,22373,27385,29814,18815,14936,42169,89425,6508,24361,16599,51112,29903,24669,115888,186730,255340,72433,55388
"tRNA","ECB_t00062",1014,988,776,505,2315,1906,2569,6755,2284,2390,3915,4307,2984,3936,4516,11074,28651,35891,4173,5785,4242,3029,7293,6711,5801,6896,11091,6259,7008,1802,2759,2726,2918,455,1795,4952,4582,2598,2074,9443,5652,2616,8824,8706,15981,1552,3191,8587,8412,1402,3348,4491,2698,2730,4009,2134,69,3935,10321,1199,1997,7553,11505,284,12766,20821,19854,6705,7323,4282,7124,5873,8516,5353,8085,7370,7556,13425,9229,12995,7224,6320,8338,7067,16256,32014,4427,6889,5503,7683,8722,11585,16506,17772,9292,6428,8743,8110,6959,15238,6938,9090,8114,4684,4307,5594,17809,9893,7315,4772,57,3468,1270,5096,15218,913,739,1987,558,2260,1254,3533,347,1896,2846,1018,3920,4793,17893,9970,18717,26791,4467,1443,2672,3321,3662,1758,2523,3712,7661,1299,2228,1498,4662,2870,2758,7215,13018,17787,4655,3498
"tRNA","ECB_t00063",4780,4782,924,2389,7095,7260,5007,3937,5245,3855,6052,6584,3662,5437,5718,7163,10412,9648,9196,12091,7267,3606,13459,9185,2485,8710,9410,6476,12352,2851,5195,8648,2367,1095,1290,12765,9560,3070,1915,14446,7395,1452,8354,13669,22141,1686,2288,11675,11042,8565,3962,4889,3125,2333,3034,1588,175,8027,24827,1995,2231,12882,17187,1086,13563,28048,18493,10562,5748,5622,5210,8075,9584,4873,8178,5383,5064,29327,23926,31714,12845,6504,7742,3655,5758,14656,4853,10907,8324,10806,7125,8152,12688,15213,9785,5611,7747,6167,10433,12880,8858,8923,6971,1940,4362,4458,11979,7914,6013,3890,146,2949,1592,4751,19438,1381,574,1706,219,663,1285,4349,919,2931,6945,1980,5037,11537,7584,8126,5529,6001,9202,2224,6067,8296,5459,4397,3160,7881,9662,1633,4029,3440,8843,6363,6527,18233,21259,27620,9665,4613
"tRNA","ECB_t00064",1155,855,281,439,1723,2064,4668,9165,16140,1519,2304,3391,1593,2516,3439,20961,52997,60341,6633,20507,8303,6271,8251,26162,20367,30475,13054,17338,11649,2782,7201,3854,6453,1049,6514,10890,11486,5427,4209,16089,8264,7512,18138,11244,19658,5600,8458,60873,21776,4179,8021,9563,3015,5259,13984,2933,170,5196,11013,2071,2139,12786,28614,1426,26013,53240,27732,9156,11924,5806,8280,14410,16212,6893,16747,13425,14888,23063,11477,12439,7073,9325,17159,14083,72609,59551,3576,7555,5554,9005,10079,9872,16187,17840,13794,5886,6354,4135,3459,14954,5177,7811,4781,2900,8619,6837,19204,19581,6341,4666,64,9149,1854,5366,30114,863,1755,4865,2071,6928,2121,4970,1026,2685,4278,1660,2724,8664,24000,25750,62486,54591,4218,1684,3098,4526,3472,2481,3026,7363,15645,2577,2858,1899,5078,4365,4052,13798,24498,39637,14675,6138
"tRNA","ECB_t00065",9873,9283,2004,4933,10190,10859,17930,35730,41222,8216,13277,13489,7802,9744,12145,32411,59208,81204,12814,12418,13193,6915,17684,24132,21900,21173,50584,13658,25494,3019,7591,6602,8362,1831,7290,20399,11792,5493,4863,18783,16030,9446,33999,20502,54221,4398,7955,41597,102836,7898,5897,13623,12421,8639,11771,6534,2768,32621,31147,3923,5922,10876,61832,2641,57850,85011,87534,26245,25472,15973,28727,18165,52094,18117,35451,21776,28720,38589,21335,34122,20162,9907,27543,27710,47481,87576,15119,24302,17462,31206,28232,30493,59420,53416,36000,18992,21703,18330,15719,42595,18810,22208,19978,10989,16170,11922,55363,32240,25113,16460,552,9351,3869,19728,58643,4095,3756,11258,5769,26684,11766,11788,1734,6679,11487,6754,11289,31803,47702,41156,46470,61840,15416,3408,9960,12880,12810,8714,5213,23152,45039,4267,11242,8119,22135,13552,13600,36475,71751,106130,29771,13051
"tRNA","ECB_t00066",4638,5057,195,2115,11422,17475,24481,8599,36774,14125,23960,21315,14336,18794,24982,80619,226577,357550,50254,60050,27245,12485,35008,73203,48291,30114,317465,32215,50595,6015,22179,14912,16964,4745,31943,52252,28036,14009,10378,39766,32457,19322,75167,64929,120587,14054,24983,127458,147997,57224,14760,24268,20090,17196,25655,7106,5032,84168,70523,7534,21968,288382,131146,4415,123303,97161,87057,23885,18046,16977,29772,18672,61127,22369,41590,26029,30573,72147,50996,77988,28303,12445,49533,27908,144148,296824,19220,26875,24436,42269,52050,56779,74809,86561,51428,28232,49133,75609,20765,66284,28230,52273,32655,28167,28879,16613,89268,49832,44911,44439,425,10999,5790,24109,22337,5335,3820,14510,6380,7061,8761,11838,2077,5629,12187,4194,13227,34230,59689,14962,53085,59886,19787,3315,10834,15697,13901,9337,4510,20688,41744,4150,11985,8024,23037,14996,14050,43272,82350,137380,41412,36190
