,MURI_016,MURI_017,MURI_018,MURI_019,MURI_020,MURI_021,MURI_022,MURI_023,MURI_024,MURI_025,MURI_026,MURI_027,MURI_028,MURI_029,MURI_030,MURI_031,MURI_032,MURI_033,MURI_034,MURI_035,MURI_036,MURI_037,MURI_038,MURI_039,MURI_040,MURI_041,MURI_042,MURI_043,MURI_044,MURI_045,MURI_046,MURI_047,MURI_048,MURI_049,MURI_050,MURI_051,MURI_052,MURI_053,MURI_054,MURI_055,MURI_056,MURI_057,MURI_058,MURI_059,MURI_060,MURI_069,MURI_070,MURI_071,MURI_072,MURI_073,MURI_074,MURI_075,MURI_076,MURI_077,MURI_078,MURI_079,MURI_080,MURI_081,MURI_083,MURI_084,MURI_085,MURI_086,MURI_087,MURI_088,MURI_089,MURI_090,MURI_091,MURI_092,MURI_093,MURI_094,MURI_095,MURI_096,MURI_097,MURI_098,MURI_099,MURI_100,MURI_101,MURI_102,MURI_103,MURI_104,MURI_105,MURI_106,MURI_107,MURI_108,MURI_110,MURI_112,MURI_113,MURI_114,MURI_116,MURI_118,MURI_119,MURI_120,MURI_122,MURI_124,MURI_125,MURI_126,MURI_128,MURI_130,MURI_131,MURI_132,MURI_134,MURI_136,MURI_137,MURI_138,MURI_140
YP_003043231.1,160.516816470711,188.400193394408,194.366845455907,227.312281278362,243.4958355665,193.962412198019,210.133379691284,207.33604661388,224.55268316441,183.419283212262,189.007845506453,185.87031494109,204.631305559034,205.380505449588,188.308959124258,181.666400183807,185.28742318145,207.745946035667,358.128998618287,398.762365926069,159.564308975122,203.83878696313,53.6088493445844,154.513731389136,188.989627945586,143.723148533239,249.618075176293,164.019339710649,162.523765606858,165.531606791892,97.1954552322249,91.4599117438633,91.153248063862,0,97.1645164967899,134.025770124695,147.641652962113,159.840240347605,139.567718635579,135.576200669329,131.66021207247,139.023018578455,126.170400760654,157.834458111087,221.180572941019,118.192872167139,162.471401776752,116.468764335407,100.135560544244,142.601133400769,103.448467077133,104.386937400678,86.0077083275418,142.05706605273,106.028385635926,98.0145292901059,91.1618708545883,126.15925377436,105.055151433961,83.7562029893962,120.709378841429,111.745828565755,125.979725105558,113.996849775917,121.04608864211,112.716664219925,162.434018686326,145.738324656529,159.527301373403,157.998231762583,181.561147068075,147.913060649352,208.864255129774,223.747153438582,147.055748643206,154.554374260085,126.434499641207,133.959960276558,190.275473073904,151.828638386605,12.5404225789493,220.050471958403,191.143707084661,217.473403886074,198.034632062925,180.202787200347,174.6455055724,202.713049363037,126.478510292082,233.19995811632,248.185578826789,236.512811251852,219.845331567483,235.602295504081,200.828886854737,223.149050985296,180.317329895748,230.447588533185,187.983135378514,262.031455821359,145.835412532426,316.508991536037,210.102862338067,165.681774972779,185.477836952413
YP_003043232.1,41.3094748270212,41.285227564824,54.0252893120253,60.8300471026603,57.4467386859302,62.7145132773593,62.7837536882495,73.0992472036116,59.6034899757383,44.1901243382677,57.1020681288378,68.1325270202067,61.839130800807,60.6806038828329,59.0658536383543,60.9424026175711,70.1942115124265,62.8704836686888,13.2640369858625,26.5841577284046,40.4529234021435,41.7501129924483,17.057361155095,24.3969049561793,73.6739227584489,8.29172010768686,9.47916741175795,27.1480286417625,39.2914598170427,60.3208397631472,29.632760741532,37.9224024303823,35.3218836247465,0,20.1438631761638,31.7050208897127,27.2569205468517,15.5273376337673,9.49440262827067,17.6838522612168,16.2437923985515,22.907201924859,23.510012564097,22.0968241355521,8.84722291764075,23.1103381332394,21.973591223905,15.9546252514256,16.021689687079,27.5195169720782,20.6896934154266,21.0392276931598,11.247161858217,28.527853428622,19.2778882974412,24.24015240508,15.4803176922886,25.9077039000919,16.4148674115564,4.4669974927678,30.1773447103573,33.6922096178157,32.3396229198175,31.9387725665284,33.5964654190346,33.2111599933708,37.665859405525,33.3983660671213,43.8317824859829,26.5990289162597,35.8406420186329,37.341985803279,32.373959545115,36.9582351661943,29.8085976979471,28.8727951914445,36.3715683899363,36.2053946693401,35.2361987173895,32.7473533775031,38.7359719660879,33.4476717376773,29.1266601271865,32.519387496983,27.1812240086368,29.1236827798541,30.1743543659121,26.8790783685795,24.0487308301845,28.3895601185085,28.6792224422067,28.2559553265487,30.0229307426959,37.5961109846937,25.9778659613093,28.4871128917399,22.3996683100308,61.0824933461454,60.2964773855612,50.3100395177009,36.7289187118703,53.3067775218588,73.1818958705628,58.6258588365217,37.9718406359271
YP_003043233.1,206.547374135106,220.963189783565,284.408994309283,354.094905766012,330.971551292802,278.659332191153,258.18217077923,248.53744049228,255.740555826133,180.392562367175,263.240534073942,222.92484718015,297.390001760245,300.485682689028,252.053296219116,268.146571517313,207.420733117801,188.611451006066,59.6881664363811,101.905937958884,112.369231672621,81.0443369853408,163.263313913053,151.802964171782,128.128561319042,187.945655774235,97.9513965881655,189.470616562301,173.239618284234,136.072592023844,152.905045426305,178.45836437827,161.797015313355,0,175.370102945426,193.112399964614,109.784818869264,122.391955466166,112.983391276421,111.155642784791,101.737436601454,120.855237741498,120.684731162365,137.315978556645,183.263903293987,78.575149653014,101.211692910108,59.0321134302747,60.0813363265461,63.7952438898176,61.379423799099,63.1176830794794,57.5590048038165,103.631794087647,70.0091732907074,87.4753325922451,47.0142981765801,103.630815600368,62.3764961639141,58.0709674059814,104.677664464052,95.4612605838112,102.811040028674,102.695437944684,95.3546739099069,112.213464826086,146.426028438978,143.714181258522,118.753550223651,139.378911521201,136.288757149801,132.394313302534,233.927965745347,229.74038076283,142.087649026881,197.01436718868,162.806068031144,166.544815478964,211.417192304337,142.897542010923,13.6551268081892,163.717551137052,159.286422570551,171.743015218441,137.847636043801,141.977953551789,137.156156208691,154.554700619332,124.697122823179,166.28170926555,168.766193602217,161.163597047722,155.925543534647,180.46133272653,150.871452313758,156.67912090457,131.03805961368,211.01224974123,255.373315985906,220.106422889941,151.236724107701,243.212172443481,214.824274974878,188.622328430548,132.901442225745
YP_003043235.1,33.047579861617,24.4222472918677,27.3231348244726,22.4110699851906,20.8897231585201,18.7496998458085,25.6260219135712,23.9233899939093,24.9502981293788,28.4511759438162,21.12776520767,20.917881102695,25.8600001530647,23.9221611461168,27.486090306957,29.600595557106,24.0304507880379,23.9181187870012,6.63201849293123,31.0148506831387,11.2369231672621,12.2794449977789,7.31029763789788,21.6861377388261,12.8128561319042,0,12.6388898823439,12.4428464608078,7.14390178491685,14.0281022704994,15.4090355855966,23.4226603246479,22.7883120159655,0,16.5890637921349,24.4993343238689,21.1998270919958,23.7476928516442,27.5337676219849,33.6835281166034,23.0832839347837,27.6466230127609,23.510012564097,22.8859964261076,34.1250026823286,21.7897473827686,16.6466600181098,23.9319378771384,22.6973937233619,16.261532756228,21.3793498626075,21.0392276931598,27.125508010994,22.7058425248216,18.2632625975758,32.6715097633686,22.3604588888613,17.4595395848445,29.5467613408014,47.4618483606579,18.389319432874,19.6537889437258,20.2725994422737,18.6718978081243,17.7863640453712,19.6247763597191,24.4828086135912,26.8199000235974,29.5609695835699,21.2792231330078,20.7498453792085,27.6427687115182,20.8864255129774,17.9796819727432,23.8468781583577,28.8727951914445,32.9076094956567,28.9643157354721,23.4907991449264,19.8468808348504,26.4742254444485,21.1248453080067,25.4858276112882,27.4382332005794,20.3859180064776,25.4832224323723,25.602482492289,19.0393471777438,30.2835869713435,20.278257227506,23.163987357167,19.8838204149787,20.3381143740843,10.0256295959183,19.9829738163918,13.0565934087141,34.7194858805478,11.1059078811173,17.7342580545768,8.38500658628348,24.8460332462652,16.6583679755809,28.328475820863,15.2937023051796,30.6695635905565
YP_003043237.1,131.010048737124,163.97794610254,176.979396022152,167.762866746284,172.340216057791,183.617750214124,164.006540246856,172.115500233958,190.592555154977,116.226080451334,157.601708035592,150.608743939404,154.035653085647,151.701509707082,165.501352273805,151.485400792248,161.256972393412,185.194576893638,159.16844383035,203.811875917769,112.369231672621,147.353339973347,567.766449876735,127.406059215603,70.4707087254728,901.033585035305,303.333357176254,173.634266521273,242.892660687173,225.85244655504,128.013526403418,144.997421057344,162.936430914153,0,125.602911569021,187.347850711939,96.156358595838,104.12449942644,89.2473847057443,82.5246438856783,94.897945065222,106.636974477792,116.766395735015,98.6465363194292,64.4583383999541,66.6898328987766,83.8991664912735,62.2230384805598,70.7624627845988,87.5620994566124,62.0690802462799,58.2624766887502,63.5133846111078,64.0421199418044,57.8336648923235,66.3969391965234,58.481200170868,65.3324707045795,61.2821716698104,53.6039699132136,119.766336819231,102.199702507374,117.774149140828,129.229187461492,122.034219977964,130.831842398127,131.359684676768,114.870137836917,119.263222113023,114.907804918242,127.328596645143,113.480839973601,115.919661597025,117.866804043539,92.406652863636,116.34038062435,147.218253006885,127.624016209424,133.89755512608,108.165500549935,71.0623946140461,102.103418988699,104.673934832076,114.834087098721,90.2804940286864,124.68576690125,109.724924966953,120.955852658608,117.571572947569,111.530414751283,134.57173607497,121.395956217765,123.965649518228,135.345999544897,119.897842898351,125.818081938518,116.47827521216,208.23577277095,195.076838600345,159.315125139386,130.711740121656,223.222130872784,191.217211790825,188.622328430548,140.203719271115
YP_003043238.1,10.0323010294194,8.72223117566705,14.2825477491561,12.8063257058232,10.44486157926,11.6377447318811,11.5317098611071,13.2907722188385,13.1682129016166,7.86947419722575,7.9942895380373,2.98826872895644,8.99478266193556,4.66773876021792,10.5265877771325,9.28646135124893,16.4418873812891,17.7677453846294,39.7921109575874,22.1534647736705,4.49476926690483,9.82355599822312,14.6205952757958,10.843068869413,16.0160701648802,16.5834402153737,15.7986123529299,4.52467144029376,7.14390178491685,2.80562045409987,5.9265521483064,12.2690125510061,9.1153248063862,0,9.47946502407707,8.64682387901255,5.29995677299894,9.13372801986314,7.59552210261653,7.57879382623576,3.41974576811611,7.10913163185281,9.40400502563881,6.31337832444347,1.26388898823439,5.28236300188329,5.32693120579515,6.38185010057023,6.67570403628291,7.50532281056678,6.20690802462799,6.47360852097225,6.61597756365707,6.98641308456048,12.1755083983839,4.21567867914434,5.73345099714392,7.88495336089753,5.47162247051878,6.7004962391517,8.487378199788,10.1076628853447,4.82680939101754,9.82731463585491,7.41098501890469,7.54799090758428,7.53317188110499,6.07243019402206,12.7417972342974,5.85178636157714,8.48857310967622,8.24433452799665,4.17728510259548,3.99548488283182,3.97447969305961,6.79359886857518,6.06192806498939,9.05134866733503,2.34907991449264,6.94640829219763,34.2771550491281,7.0416151026689,10.9224975476949,4.06492343712288,5.82454800185074,5.46069052122264,5.48624624834765,7.83973119083569,5.34416240670767,4.05565144550121,4.41218806803181,5.23258431973125,1.93696327372232,3.75961109846937,4.99574345409794,2.37392607431166,5.5999170775077,13.8823848513967,5.32027741637305,8.38500658628348,5.40131157527505,13.3266943804647,7.08211895521575,0,10.2231878635188
YP_003043243.1,411.914477560869,504.726444031933,574.406811650844,592.932880179615,641.053379427085,693.738894294913,618.227778664906,695.107387045252,779.003752706161,380.761482311923,488.222682501563,508.005683922594,601.526090516941,673.321316161434,743.294059151964,762.650638471318,763.283002662151,720.277062899978,13.2640369858625,194.950490008301,793.326775608703,591.869248892943,1257.37119371844,1377.06974641545,778.381010013177,583.184314240642,881.562569293489,609.133892649547,594.729823594328,551.304419230625,496.645070028076,385.916212968008,394.237797876203,162.512963852956,504.781512532104,472.693038719353,361.911333927642,353.475274368703,292.427600950737,329.256487339798,365.912797188423,382.313301090751,419.261890726397,455.352411650485,473.958370587898,301.754986482583,360.899589192621,352.597218056505,282.382280734767,202.643715885303,295.17295939342,306.68720368106,190.540153833324,298.08695827458,192.778882974412,275.073033814168,201.817475099466,326.099142568548,241.298550949878,232.283869623926,298.001279014779,334.114412043339,306.985077268715,378.351613480414,273.712380031546,387.463533255993,381.36682648094,467.071089090196,331.796399981103,381.430074659165,335.298637832211,400.57766588972,388.48751454138,387.562033634686,286.162537900292,316.751547247318,382.767457817901,397.354206496008,527.368440803597,398.922304780493,33.1624508198882,459.465385449146,532.471755450128,556.894510885834,542.653722172427,535.147671079819,503.820280473259,500.622834614794,497.007103823814,453.21904903476,475.413264330427,488.723375462899,484.240818430579,503.787887194896,461.60669515865,519.889810274254,464.793117433139,608.048456491175,532.027741637305,532.447918229001,552.01404299311,696.319781379281,668.079888108686,542.926431833875,422.07161322242
YP_003043244.1,41.8996101816929,51.1704228972467,65.8239157135021,98.6087079348388,46.3490732579664,62.7145132773593,61.5024525925709,49.8403958206443,44.3560855633402,45.4008126763024,65.0963576668751,63.9489507996677,50.5956524733875,53.678995742506,46.7848345650331,57.4599796108527,55.6494649828246,58.0868599112886,92.8482589010372,53.1683154568092,35.9581541352387,31.9265569942252,51.1720834652851,43.3722754776521,73.6739227584489,33.1668804307474,44.2361145882038,47.5090501230844,39.2914598170427,44.8899272655979,120.90166382545,98.1521004080484,109.383897676634,0,122.048112184992,63.4100417794254,40.8853808202776,33.7947936734936,22.7865663078496,28.6309988991129,41.0369492173933,46.6043073643684,45.4526909572542,44.1936482711043,39.1805586352662,34.3353595122414,27.3005224297001,33.5047130279937,32.0433793741579,35.024839782645,34.4828223590444,33.9864447351043,33.741485574651,27.3634512478619,22.3217653970372,26.8749515795452,25.2271843874332,32.6662353522898,30.6410858349052,21.218238090647,33.949512799152,57.8382931772503,46.3373701537684,54.5415962289947,50.3946981285519,49.3135405962173,38.136682648094,51.6156566491875,37.2060479241483,36.1746793261132,38.198578993543,50.435928877156,29.2409957181684,30.9650078419466,29.8085976979471,35.6663940600197,34.6395889427965,24.4386414018046,36.4107386746359,34.7320414609882,43.1947888830476,42.2496906160134,27.3062438692373,28.4544640598601,36.8888040117213,37.3147185616881,34.7462262395351,34.7188095594152,33.8463619091486,44.6121659005133,41.9157866463022,40.8141576939037,36.802302200724,53.887759078061,44.9616910868815,51.0394105977007,49.2792702820678,41.6471545541901,65.6167548019343,81.7538142162639,36.7289187118703,56.638451116975,47.214126368105,50.9790076839319,29.2091081814824
YP_003043257.1,83.2090850087142,108.155666578271,114.881362330169,111.415033640662,121.421515858898,83.403837245148,69.1902591666423,25.917005826735,0.69306383692719,49.0328776904066,106.780867400927,126.104940361962,137.732609510888,154.618846432218,98.8329630186325,80.6761329889751,24.0304507880379,0.683374822485748,517.297442448636,336.732664559792,152.822155074764,152.265117972458,131.585357482162,192.464472432081,153.75427358285,0,6.31944494117197,102.936275266683,117.874379451128,88.3770443041459,80.601109216967,74.7294400834005,84.3167544590723,0,17.7739969201445,93.6739253559693,24.9855105012807,39.2750304854115,27.5337676219849,29.473087102028,28.2129025869579,30.0163335567118,21.9426783931572,5.52420603388803,0,23.1103381332394,24.6370568268025,25.5274004022809,23.3649641269902,40.0283883230228,23.4483192041502,24.2760319536459,19.8479326909712,36.0964676035625,29.4241452960944,43.2107064612295,23.5071490882901,34.919079169689,18.056354152712,18.4263646576672,33.949512799152,35.3768200987065,35.235708554428,33.4128697619067,36.5608594265964,37.2367551440824,44.2573848014918,39.4707962611434,46.3801419328424,37.2386404827636,41.9712781533991,34.4322206757507,51.1717425067947,69.9209854495568,42.7256567003909,76.4279872714708,146.352263283315,63.3594406713452,54.0288380333306,23.8162570018205,47.3749297426974,39.6090849525126,40.959365803856,52.8440046825974,52.4209320166566,29.1236827798541,29.2599799911875,36.9587327567968,29.3928932368922,45.6260787618886,50.7401627823658,45.0002251496887,86.1948656806431,41.3557220831631,37.9676502511444,40.3567432632983,34.7194858805478,122.164986692291,143.647490242072,79.657562569693,71.2973127936306,49.9751039267426,99.1496653730205,114.702767288847,37.9718406359271
YP_003043259.1,13.5731131574498,13.9555698810673,16.7664690968354,13.4466419911144,14.3616846714825,10.9912033578877,12.8130109567856,15.2843880516643,15.2474044123982,17.5549809015036,19.4147031638049,14.9413436447822,14.6165218256453,13.4197489356265,15.2050712336358,15.0904996957795,12.6476056779147,12.9841216272292,13.2640369858625,26.5841577284046,22.4738463345242,22.103000996002,12.1838293964965,13.5538360867663,19.2192841978562,13.8195335128114,18.9583348235159,15.2707661109914,10.7158526773753,26.6533943139488,5.9265521483064,8.92291821891349,10.2547404071845,0,10.6643981520867,7.20568656584379,20.4426904101388,16.4407104357536,17.0899247308872,20.210116869962,12.8240466304354,14.2182632637056,12.5386733675184,17.3617903922195,27.8055577411567,10.5647260037666,14.6490608159367,9.57277515085535,12.0162672653092,8.75620994566124,6.89656447180888,8.09201065121531,11.9087596145827,10.4796196268407,14.2047597981145,9.48527702807477,14.3336274928598,9.574586223947,8.75459595283006,9.49236967213157,18.8608404439733,17.969178462835,20.2725994422737,17.6891663445388,17.2922983774443,14.5927824213296,12.7122275493647,10.6267528395386,16.3095004599006,14.3634756147803,13.2044470594963,9.69921709176077,15.6648191347331,11.9864546484955,17.8851586187683,13.5871977371504,12.1238561299788,11.7667532675355,8.22177970072423,11.9081285009102,68.8329861555662,11.442624541837,7.28166503179662,6.09738515568431,9.70758000308456,10.0112659555748,9.14374374724608,5.59980799345407,9.79763107896407,12.1669543365036,14.3396112211034,12.558202367355,11.6217796423339,12.5320369948979,10.9906355990155,13.0565934087141,13.4398009860185,2.77647697027934,15.9608322491192,8.38500658628348,11.8828854656051,9.99502078534853,21.2463568656473,12.744751920983,10.2231878635188
