,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
29,YP_003043260.1,187.515995852677,-0.0308667741652082,0.01471881318279,-2.09709667361627,0.0359850183965689,0.0858042771989298,ileS,ECB_00030,b0026,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
30,YP_003043261.1,0.121818893879378,0.00049338122272112,0.0340785997313042,0.0144777434111504,0.988448835588795,NA,lspA,ECB_00031,b0027,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
31,YP_003043262.1,8.39471057786235,-0.0491480980496026,0.0199927275429592,-2.45829879609954,0.01395969749126,0.0386714855631377,fkpB,ECB_00032,b0028,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
32,YP_003043263.1,13.9715163087641,-0.0780051324545371,0.0170723514259694,-4.56909130489669,4.89843365467004e-06,4.00204516101088e-05,ispH,ECB_00033,b0029,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
33,YP_003043264.1,5.18513687130773,-0.11542611466806,0.0280208961483647,-4.1192870512386,3.80046464196344e-05,0.000238009643628022,rihC,ECB_00034,b0030,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
34,YP_003043265.1,42.8277245037544,-0.0248675313849763,0.0142079667021645,-1.75025265094321,0.0800747272724887,0.16459805050456,dapB,ECB_00035,b0031,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
35,YP_003043266.1,112.304665208402,-0.063151050864145,0.0145056194493298,-4.35355767361338,1.33945835689334e-05,9.79935557009011e-05,carA,ECB_00036,b0032,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
36,YP_003043267.1,234.053063387094,-0.0179875986909988,0.0127343690394618,-1.4125237485468,0.15779580310469,0.289757381742154,carB,ECB_00037,b0033,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
37,YP_003043268.1,0.668924054745877,-0.0294120996734774,0.0354946570480626,-0.828634564172604,0.40731122338902,0.607006864856137,caiF,ECB_00038,b0034,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
38,YP_003043269.1,0.404546613099925,0.0175819266750179,0.0363967461604529,0.483063145191852,0.629050901377319,NA,caiE,ECB_00039,b0035,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
39,YP_003043270.1,0.998088700100102,0.0132106682800574,0.034399852101764,0.384032705750499,0.700954206986298,0.857935966649769,caiD,ECB_00040,b0036,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
40,YP_003043271.1,1.34182047814708,-0.0212374273202974,0.0332085896918895,-0.639516086570947,0.522487252085359,0.722459821504627,caiC,ECB_00041,b0037,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
41,YP_003043272.1,1.27856969911145,-0.0112144856606942,0.0357480683127984,-0.31370885728892,0.753742172998278,0.88812474326415,caiA,ECB_00043,b0039,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
42,YP_003043273.1,0.176748806359551,0.00202014333613388,0.0364473602444636,0.0554263277939517,0.955798821525656,NA,caiT,ECB_00044,b0040,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
43,YP_003043274.1,0.740555788778879,-0.0377282558113234,0.0357393373134997,-1.05565068205874,0.29112783671355,0.47092487757835,fixA,ECB_00045,b0041,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
44,YP_003043275.1,0.963164159863373,0.0210628859524861,0.0345674314377667,0.609327481864151,0.542307394682705,0.741583476416155,fixB,ECB_00046,b0042,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
45,YP_003043276.1,1.0869178347175,-0.0176037319800369,0.0336443203198653,-0.523230423818154,0.600813912024974,0.786826681370378,fixC,ECB_00047,b0043,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
46,YP_003043277.1,0.552684603672066,-0.00450682758475998,0.036281432246926,-0.124218568718213,0.901142220394006,0.957971761921302,fixX,ECB_00048,b0044,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
47,YP_003043278.1,0.259088681596034,0.000195370498938328,0.0362326102673412,0.00539211769444137,0.995697733389602,NA,yaaU,ECB_00049,b0045,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
48,YP_003043279.1,0.44236509805574,0.0491680179988247,0.0351679039673788,1.39809350151866,0.162084991078847,0.295945312695864,yabF,ECB_00050,b0046,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
49,YP_003043280.1,1.63420273070407,0.0264388379529506,0.033235945996712,0.795489255987063,0.426328958271379,0.628079138066622,kefC,ECB_00051,b0047,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
50,YP_003043281.1,11.1822433969491,-0.101234249679198,0.0220517713092037,-4.59075365238104,4.41648364361852e-06,3.69263918150858e-05,folA,ECB_00052,b0048,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
51,YP_003043282.1,5.58980431365718,-0.118336586925872,0.0214953343106355,-5.50522198053561,3.68703393347607e-08,5.93428111592973e-07,apaH,ECB_00053,b0049,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
52,YP_003043283.1,3.29643725506251,-0.0885084119635769,0.0227858478527584,-3.88435894663724,0.000102600236257221,0.000570414784994807,apaG,ECB_00054,b0050,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
53,YP_003043284.1,11.6309887955485,-0.064986564328933,0.0187011301572143,-3.47500732750439,0.000510839396952686,0.00228436671821238,ksgA,ECB_00055,b0051,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
54,YP_003043285.1,14.73304008065,-0.086343473868253,0.0175934136977603,-4.90771577088788,9.21432584174413e-07,9.5990015807684e-06,pdxA,ECB_00056,b0052,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
55,YP_003043286.1,76.3882611238547,-0.0068985854317937,0.014700183833417,-0.469285657238623,0.638865465856654,0.814781273610368,surA,ECB_00057,b0053,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
56,YP_003043287.1,87.8468097028352,-0.0857817927395643,0.0162387121381323,-5.28254901065268,1.27398738046676e-07,1.72819351243766e-06,imp,ECB_00058,b0054,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
57,YP_003043288.1,12.6368978518468,-0.132383166577987,0.0158486915788751,-8.35293979437658,6.65845937921917e-17,9.74253670077569e-15,djlA,ECB_00059,b0055,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
58,YP_003043289.1,0.834650315642023,-0.0591594433387879,0.032549538013305,-1.81752021532858,0.06913749581188,0.146320577921395,rluA,ECB_00060,b0058,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
