,lactate,glucote,Mg,,GlucoseTimeCourse,GlycerolTimeCourse
88,YP_003043592.1,YP_003043782.1,YP_003043887.1,,YP_003043876.1,YP_003044241.1
89,YP_003043602.1,YP_003043801.1,YP_003043894.1,,YP_003043880.1,YP_003044258.1
90,YP_003043605.1,YP_003043803.1,YP_003043895.1,,YP_003043881.1,YP_003044259.1
91,YP_003043606.1,YP_003043840.1,YP_003043912.1,,YP_003043882.1,YP_003044272.1
92,YP_003043607.1,YP_003043866.1,YP_003043913.1,,YP_003043883.1,YP_003044299.1
93,YP_003043610.1,YP_003043869.1,YP_003043922.1,,YP_003043885.1,YP_003044326.1
94,YP_003043628.1,YP_003043872.1,YP_003043933.1,,YP_003043893.1,YP_003044340.1
95,YP_003043629.1,YP_003043875.1,YP_003043935.1,,YP_003043912.1,YP_003044359.1
96,YP_003043638.1,YP_003043878.1,YP_003043941.1,,YP_003043922.1,YP_003044361.1
97,YP_003043643.1,YP_003043880.1,YP_003043947.1,,YP_003043933.1,YP_003044375.1
98,YP_003043659.1,YP_003043883.1,YP_003043953.1,,YP_003043953.1,YP_003044385.1
99,YP_003043660.1,YP_003043887.1,YP_003043955.1,,YP_003043955.1,YP_003044386.1
100,YP_003043662.1,YP_003043893.1,YP_003043966.1,,YP_003043983.1,YP_003044403.1
101,YP_003043663.1,YP_003043900.1,YP_003043973.1,,YP_003043991.1,YP_003044406.1
102,YP_003043665.1,YP_003043912.1,YP_003043976.1,,YP_003043998.1,YP_003044407.1
103,YP_003043676.1,YP_003043913.1,YP_003043988.1,,YP_003044003.1,YP_003044408.1
104,YP_003043677.1,YP_003043922.1,YP_003043991.1,,YP_003044016.1,YP_003044416.1
105,YP_003043679.1,YP_003043923.1,YP_003043998.1,,YP_003044021.1,YP_003044441.1
106,YP_003043686.1,YP_003043933.1,YP_003044000.1,,YP_003044038.1,YP_003044452.1
107,YP_003043687.1,YP_003043947.1,YP_003044001.1,,YP_003044040.1,YP_003044477.1
108,YP_003043689.1,YP_003043953.1,YP_003044003.1,,YP_003044041.1,YP_003044481.1
109,YP_003043696.1,YP_003043957.1,YP_003044017.1,,YP_003044042.1,YP_003044519.1
110,YP_003043703.1,YP_003043971.1,YP_003044026.1,,YP_003044047.1,YP_003044539.1
111,YP_003043706.1,YP_003043976.1,YP_003044028.1,,YP_003044051.1,YP_003044544.1
112,YP_003043707.1,YP_003043978.1,YP_003044031.1,,YP_003044052.1,YP_003044560.1
113,YP_003043709.1,YP_003043987.1,YP_003044034.1,,YP_003044053.1,YP_003044573.1
114,YP_003043710.1,YP_003043998.1,YP_003044038.1,,YP_003044055.1,YP_003044587.1
115,YP_003043711.1,YP_003044017.1,YP_003044041.1,,YP_003044060.1,YP_003044596.1
116,YP_003043712.1,YP_003044019.1,YP_003044047.1,,YP_003044062.1,YP_003044600.1
117,YP_003043713.1,YP_003044021.1,YP_003044053.1,,YP_003044067.1,YP_003044609.1
118,YP_003043715.1,YP_003044026.1,YP_003044055.1,,YP_003044068.1,YP_003044626.1
119,YP_003043716.1,YP_003044028.1,YP_003044059.1,,YP_003044073.1,YP_003044636.1
120,YP_003043718.1,YP_003044031.1,YP_003044060.1,,YP_003044097.1,YP_003044639.1
121,YP_003043721.1,YP_003044034.1,YP_003044062.1,,YP_003044098.1,YP_003044647.1
122,YP_003043722.1,YP_003044036.1,YP_003044065.1,,YP_003044128.1,YP_003044650.1
123,YP_003043723.1,YP_003044037.1,YP_003044068.1,,YP_003044155.1,YP_003044651.1
124,YP_003043726.1,YP_003044038.1,YP_003044071.1,,YP_003044156.1,YP_003044652.1
125,YP_003043727.1,YP_003044041.1,YP_003044073.1,,YP_003044168.1,YP_003044658.1
126,YP_003043728.1,YP_003044056.1,YP_003044079.1,,YP_003044192.1,YP_003044666.1
127,YP_003043730.1,YP_003044058.1,YP_003044081.1,,YP_003044198.1,YP_003044671.1
128,YP_003043731.1,YP_003044060.1,YP_003044117.1,,YP_003044206.1,YP_003044675.1
129,YP_003043734.1,YP_003044062.1,YP_003044120.1,,YP_003044211.1,YP_003044683.1
130,YP_003043738.1,YP_003044071.1,YP_003044142.1,,YP_003044226.1,YP_003044689.1
131,YP_003043739.1,YP_003044073.1,YP_003044160.1,,YP_003044228.1,YP_003044694.1
132,YP_003043740.1,YP_003044079.1,YP_003044161.1,,YP_003044232.1,YP_003044695.1
133,YP_003043741.1,YP_003044081.1,YP_003044164.1,,YP_003044233.1,YP_003044708.1
134,YP_003043745.1,YP_003044097.1,YP_003044165.1,,YP_003044237.1,YP_003044718.1
135,YP_003043747.1,YP_003044098.1,YP_003044168.1,,YP_003044251.1,YP_003044720.1
136,YP_003043749.1,YP_003044118.1,YP_003044180.1,,YP_003044257.1,YP_003044721.1
137,YP_003043750.1,YP_003044120.1,YP_003044192.1,,YP_003044259.1,YP_003044724.1
138,YP_003043760.1,YP_003044121.1,YP_003044195.1,,YP_003044271.1,YP_003044733.1
139,YP_003043764.1,YP_003044126.1,YP_003044196.1,,YP_003044329.1,YP_003044734.1
140,YP_003043766.1,YP_003044156.1,YP_003044199.1,,YP_003044333.1,YP_003044735.1
141,YP_003043767.1,YP_003044159.1,YP_003044200.1,,YP_003044334.1,YP_003044742.1
142,YP_003043769.1,YP_003044160.1,YP_003044206.1,,YP_003044337.1,YP_003044745.1
143,YP_003043771.1,YP_003044164.1,YP_003044207.1,,YP_003044339.1,YP_003044746.1
144,YP_003043773.1,YP_003044165.1,YP_003044211.1,,YP_003044353.1,YP_003044751.1
145,YP_003043774.1,YP_003044168.1,YP_003044220.1,,YP_003044357.1,YP_003044759.1
146,YP_003043778.1,YP_003044183.1,YP_003044226.1,,YP_003044359.1,YP_003044768.1
147,YP_003043779.1,YP_003044192.1,YP_003044227.1,,YP_003044362.1,YP_003044769.1
148,YP_003043780.1,YP_003044197.1,YP_003044228.1,,YP_003044364.1,YP_003044776.1
149,YP_003043790.1,YP_003044200.1,YP_003044231.1,,YP_003044385.1,YP_003044794.1
150,YP_003043791.1,YP_003044211.1,YP_003044232.1,,YP_003044386.1,YP_003044813.1
151,YP_003043792.1,YP_003044219.1,YP_003044241.1,,YP_003044395.1,YP_003044883.1
152,YP_003043801.1,YP_003044220.1,YP_003044246.1,,YP_003044403.1,YP_003044895.1
153,YP_003043802.1,YP_003044228.1,YP_003044253.1,,YP_003044406.1,YP_003044921.1
154,YP_003043804.1,YP_003044229.1,YP_003044254.1,,YP_003044407.1,YP_003044926.1
155,YP_003043806.1,YP_003044230.1,YP_003044256.1,,YP_003044409.1,YP_003044954.1
156,YP_003043808.1,YP_003044231.1,YP_003044257.1,,YP_003044411.1,YP_003044955.1
157,YP_003043813.1,YP_003044241.1,YP_003044258.1,,YP_003044452.1,YP_003044961.1
158,YP_003043815.1,YP_003044251.1,YP_003044265.1,,YP_003044455.1,YP_003044963.1
159,YP_003043819.1,YP_003044253.1,YP_003044267.1,,YP_003044456.1,YP_003044980.1
160,YP_003043824.1,YP_003044254.1,YP_003044271.1,,YP_003044480.1,YP_003044991.1
161,YP_003043834.1,YP_003044257.1,YP_003044272.1,,YP_003044499.1,YP_003044993.1
162,YP_003043838.1,YP_003044258.1,YP_003044299.1,,YP_003044500.1,YP_003044994.1
163,YP_003043858.1,YP_003044265.1,YP_003044320.1,,YP_003044519.1,YP_003044996.1
164,YP_003043866.1,YP_003044272.1,YP_003044329.1,,YP_003044533.1,YP_003045005.1
165,YP_003043869.1,YP_003044326.1,YP_003044337.1,,YP_003044534.1,YP_003045037.1
166,YP_003043872.1,YP_003044327.1,YP_003044340.1,,YP_003044535.1,YP_003045045.1
167,YP_003043875.1,YP_003044337.1,YP_003044352.1,,YP_003044538.1,YP_003045055.1
168,YP_003043876.1,YP_003044339.1,YP_003044353.1,,YP_003044539.1,YP_003045072.1
169,YP_003043878.1,YP_003044352.1,YP_003044358.1,,YP_003044540.1,YP_003045103.1
170,YP_003043881.1,YP_003044357.1,YP_003044361.1,,YP_003044541.1,YP_003045111.1
171,YP_003043883.1,YP_003044358.1,YP_003044363.1,,YP_003044543.1,YP_003045114.1
172,YP_003043884.1,YP_003044359.1,YP_003044364.1,,YP_003044547.1,YP_003045154.1
173,YP_003043893.1,YP_003044361.1,YP_003044368.1,,YP_003044549.1,YP_003045181.1
174,YP_003043894.1,YP_003044363.1,YP_003044373.1,,YP_003044554.1,YP_003045186.1
175,YP_003043895.1,YP_003044373.1,YP_003044384.1,,YP_003044569.1,YP_003045191.1
176,YP_003043897.1,YP_003044375.1,YP_003044385.1,,YP_003044582.1,YP_003045207.1
177,YP_003043908.1,YP_003044385.1,YP_003044396.1,,YP_003044583.1,YP_003045213.1
178,YP_003043912.1,YP_003044396.1,YP_003044406.1,,YP_003044586.1,YP_003045227.1
179,YP_003043913.1,YP_003044403.1,YP_003044407.1,,YP_003044587.1,YP_003045232.1
180,YP_003043922.1,YP_003044406.1,YP_003044408.1,,YP_003044592.1,YP_003045235.1
181,YP_003043923.1,YP_003044407.1,YP_003044409.1,,YP_003044603.1,YP_003045249.1
182,YP_003043933.1,YP_003044408.1,YP_003044416.1,,YP_003044609.1,YP_003045250.1
183,YP_003043939.1,YP_003044429.1,YP_003044420.1,,YP_003044611.1,YP_003045251.1
184,YP_003043940.1,YP_003044441.1,YP_003044441.1,,YP_003044613.1,YP_003045258.1
185,YP_003043942.1,YP_003044442.1,YP_003044442.1,,YP_003044616.1,YP_003045280.1
186,YP_003043947.1,YP_003044452.1,YP_003044446.1,,YP_003044620.1,YP_003045305.1
187,YP_003043948.1,YP_003044480.1,YP_003044452.1,,YP_003044624.1,YP_003045318.1
188,YP_003043949.1,YP_003044483.1,YP_003044477.1,,YP_003044626.1,YP_003045320.1
189,YP_003043950.1,YP_003044499.1,YP_003044480.1,,YP_003044631.1,YP_003045324.1
190,YP_003043953.1,YP_003044505.1,YP_003044483.1,,YP_003044635.1,YP_003045346.1
191,YP_003043954.1,YP_003044507.1,YP_003044501.1,,YP_003044638.1,YP_003045355.1
192,YP_003043955.1,YP_003044519.1,YP_003044505.1,,YP_003044642.1,YP_003045357.1
193,YP_003043956.1,YP_003044523.1,YP_003044507.1,,YP_003044651.1,YP_003045377.1
194,YP_003043957.1,YP_003044540.1,YP_003044516.1,,YP_003044654.1,YP_003045390.1
195,YP_003043973.1,YP_003044541.1,YP_003044519.1,,YP_003044666.1,YP_003045393.1
196,YP_003043976.1,YP_003044544.1,YP_003044533.1,,YP_003044683.1,YP_003045444.1
197,YP_003043979.1,YP_003044549.1,YP_003044534.1,,YP_003044694.1,YP_003045450.1
198,YP_003043983.1,YP_003044550.1,YP_003044535.1,,YP_003044695.1,YP_003045451.1
199,YP_003043991.1,YP_003044553.1,YP_003044538.1,,YP_003044706.1,YP_003045452.1
200,YP_003043998.1,YP_003044555.1,YP_003044539.1,,YP_003044707.1,YP_003045478.1
201,YP_003044001.1,YP_003044560.1,YP_003044544.1,,YP_003044708.1,YP_003045488.1
202,YP_003044003.1,YP_003044564.1,YP_003044549.1,,YP_003044710.1,YP_003045524.1
203,YP_003044008.1,YP_003044565.1,YP_003044553.1,,YP_003044714.1,YP_003045533.1
204,YP_003044019.1,YP_003044571.1,YP_003044554.1,,YP_003044715.1,YP_003045536.1
205,YP_003044021.1,YP_003044573.1,YP_003044560.1,,YP_003044721.1,YP_003045567.1
206,YP_003044026.1,YP_003044574.1,YP_003044564.1,,YP_003044722.1,YP_003045572.1
207,YP_003044028.1,YP_003044576.1,YP_003044570.1,,YP_003044724.1,YP_003045574.1
208,YP_003044030.1,YP_003044584.1,YP_003044571.1,,YP_003044727.1,YP_003045579.1
209,YP_003044033.1,YP_003044585.1,YP_003044573.1,,YP_003044731.1,YP_003045616.1
210,YP_003044034.1,YP_003044586.1,YP_003044584.1,,YP_003044732.1,YP_003045625.1
211,YP_003044036.1,YP_003044587.1,YP_003044586.1,,YP_003044733.1,YP_003045648.1
212,YP_003044037.1,YP_003044592.1,YP_003044587.1,,YP_003044734.1,YP_003045653.1
213,YP_003044038.1,YP_003044596.1,YP_003044592.1,,YP_003044735.1,YP_003045661.1
214,YP_003044039.1,YP_003044600.1,YP_003044595.1,,YP_003044737.1,YP_003045676.1
215,YP_003044041.1,YP_003044604.1,YP_003044596.1,,YP_003044745.1,YP_003045723.1
216,YP_003044042.1,YP_003044608.1,YP_003044600.1,,YP_003044765.1,YP_003045725.1
217,YP_003044051.1,YP_003044609.1,YP_003044609.1,,YP_003044766.1,YP_003045726.1
218,YP_003044052.1,YP_003044611.1,YP_003044611.1,,YP_003044768.1,YP_003045761.1
219,YP_003044053.1,YP_003044613.1,YP_003044613.1,,YP_003044784.1,YP_003045788.1
220,YP_003044055.1,YP_003044626.1,YP_003044616.1,,YP_003044794.1,YP_003045846.1
221,YP_003044056.1,YP_003044631.1,YP_003044621.1,,YP_003044796.1,YP_003045860.1
222,YP_003044057.1,YP_003044636.1,YP_003044624.1,,YP_003044813.1,YP_003045881.1
223,YP_003044059.1,YP_003044639.1,YP_003044627.1,,YP_003044828.1,YP_003045908.1
224,YP_003044060.1,YP_003044647.1,YP_003044631.1,,YP_003044831.1,YP_003045919.1
225,YP_003044061.1,YP_003044654.1,YP_003044635.1,,YP_003044839.1,YP_003045934.1
226,YP_003044062.1,YP_003044666.1,YP_003044638.1,,YP_003044868.1,YP_003045942.1
227,YP_003044064.1,YP_003044671.1,YP_003044639.1,,YP_003044873.1,YP_003045952.1
228,YP_003044065.1,YP_003044672.1,YP_003044647.1,,YP_003044875.1,YP_003045957.1
229,YP_003044067.1,YP_003044678.1,YP_003044658.1,,YP_003044883.1,YP_003045984.1
230,YP_003044068.1,YP_003044680.1,YP_003044666.1,,YP_003044954.1,YP_003045992.1
231,YP_003044069.1,YP_003044688.1,YP_003044669.1,,YP_003044955.1,YP_003045995.1
232,YP_003044071.1,YP_003044689.1,YP_003044672.1,,YP_003044962.1,YP_003046000.1
233,YP_003044073.1,YP_003044692.1,YP_003044675.1,,YP_003044964.1,YP_003046015.1
234,YP_003044080.1,YP_003044694.1,YP_003044678.1,,YP_003044969.1,YP_003046020.1
235,YP_003044081.1,YP_003044695.1,YP_003044689.1,,YP_003044987.1,YP_003046026.1
236,YP_003044084.1,YP_003044697.1,YP_003044693.1,,YP_003044991.1,YP_003046052.1
237,YP_003044096.1,YP_003044707.1,YP_003044694.1,,YP_003044993.1,YP_003046054.1
238,YP_003044097.1,YP_003044710.1,YP_003044708.1,,YP_003045005.1,YP_003046057.1
239,YP_003044098.1,YP_003044722.1,YP_003044710.1,,YP_003045008.1,YP_003046079.1
240,YP_003044117.1,YP_003044723.1,YP_003044712.1,,YP_003045045.1,YP_003046097.1
241,YP_003044118.1,YP_003044724.1,YP_003044715.1,,YP_003045055.1,YP_003046150.1
242,YP_003044120.1,YP_003044729.1,YP_003044716.1,,YP_003045058.1,YP_003046155.1
243,YP_003044121.1,YP_003044733.1,YP_003044719.1,,YP_003045063.1,YP_003046171.1
244,YP_003044122.1,YP_003044734.1,YP_003044722.1,,YP_003045072.1,YP_003046179.1
245,YP_003044128.1,YP_003044735.1,YP_003044724.1,,YP_003045077.1,YP_003046194.1
246,YP_003044131.1,YP_003044743.1,YP_003044728.1,,YP_003045078.1,YP_003046203.1
247,YP_003044135.1,YP_003044746.1,YP_003044732.1,,YP_003045100.1,YP_003046238.1
248,YP_003044155.1,YP_003044751.1,YP_003044735.1,,YP_003045101.1,YP_003046272.1
249,YP_003044156.1,YP_003044762.1,YP_003044739.1,,YP_003045102.1,YP_003046283.1
250,YP_003044158.1,YP_003044765.1,YP_003044742.1,,YP_003045103.1,YP_003046287.1
251,YP_003044160.1,YP_003044769.1,YP_003044743.1,,YP_003045114.1,YP_003046293.1
252,YP_003044161.1,YP_003044776.1,YP_003044745.1,,YP_003045128.1,YP_003046300.1
253,YP_003044164.1,YP_003044785.1,YP_003044746.1,,YP_003045129.1,YP_003046306.1
254,YP_003044165.1,YP_003044794.1,YP_003044748.1,,YP_003045152.1,YP_003046307.1
255,YP_003044166.1,YP_003044796.1,YP_003044749.1,,YP_003045154.1,YP_003046310.1
256,YP_003044168.1,YP_003044797.1,YP_003044751.1,,YP_003045171.1,YP_003046320.1
257,YP_003044172.1,YP_003044804.1,YP_003044758.1,,YP_003045185.1,YP_003046327.1
258,YP_003044180.1,YP_003044813.1,YP_003044765.1,,YP_003045186.1,YP_003046360.1
259,YP_003044182.1,YP_003044827.1,YP_003044766.1,,YP_003045187.1,YP_003046369.1
260,YP_003044192.1,YP_003044834.1,YP_003044769.1,,YP_003045189.1,YP_003046370.1
261,YP_003044193.1,YP_003044839.1,YP_003044770.1,,YP_003045191.1,YP_003046371.1
262,YP_003044196.1,YP_003044841.1,YP_003044776.1,,YP_003045192.1,YP_003046390.1
263,YP_003044197.1,YP_003044857.1,YP_003044794.1,,YP_003045200.1,YP_003046400.1
264,YP_003044198.1,YP_003044859.1,YP_003044796.1,,YP_003045204.1,YP_003046403.1
265,YP_003044199.1,YP_003044863.1,YP_003044797.1,,YP_003045208.1,YP_003046405.1
266,YP_003044200.1,YP_003044868.1,YP_003044809.1,,YP_003045215.1,YP_003046409.1
267,YP_003044206.1,YP_003044873.1,YP_003044813.1,,YP_003045216.1,YP_003046413.1
268,YP_003044207.1,YP_003044883.1,YP_003044819.1,,YP_003045217.1,YP_003046477.1
269,YP_003044211.1,YP_003044888.1,YP_003044828.1,,YP_003045227.1,YP_003046484.1
270,YP_003044213.1,YP_003044891.1,YP_003044831.1,,YP_003045228.1,YP_003046500.1
271,YP_003044217.1,YP_003044893.1,YP_003044841.1,,YP_003045230.1,YP_003046503.1
272,YP_003044219.1,YP_003044895.1,YP_003044859.1,,YP_003045231.1,YP_003046505.1
273,YP_003044220.1,YP_003044897.1,YP_003044863.1,,YP_003045232.1,YP_003046509.1
274,YP_003044222.1,YP_003044909.1,YP_003044864.1,,YP_003045233.1,YP_003046510.1
275,YP_003044226.1,YP_003044918.1,YP_003044866.1,,YP_003045234.1,YP_003046515.1
276,YP_003044227.1,YP_003044921.1,YP_003044868.1,,YP_003045235.1,YP_003046527.1
277,YP_003044228.1,YP_003044939.1,YP_003044883.1,,YP_003045253.1,YP_003046532.1
278,YP_003044229.1,YP_003044941.1,YP_003044888.1,,YP_003045263.1,YP_003046537.1
279,YP_003044231.1,YP_003044954.1,YP_003044895.1,,YP_003045267.1,YP_003046538.1
