,lactate,glucote,Mg,,GlucoseTimeCourse,GlycerolTimeCourse
1,YP_003043230.1,YP_003043230.1,YP_003043230.1,YP_003043439.1,YP_003043230.1,YP_003043230.1
2,YP_003043234.1,YP_003043239.1,YP_003043234.1,YP_003043463.1,YP_003043234.1,YP_003043239.1
3,YP_003043236.1,YP_003043248.1,YP_003043246.1,YP_003043541.1,YP_003043239.1,YP_003043246.1
4,YP_003043239.1,YP_003043250.1,YP_003043247.1,YP_003043567.1,YP_003043246.1,YP_003043247.1
5,YP_003043242.1,YP_003043255.1,YP_003043251.1,YP_003043568.1,YP_003043247.1,YP_003043273.1
6,YP_003043246.1,YP_003043258.1,YP_003043255.1,YP_003043616.1,YP_003043248.1,YP_003043278.1
7,YP_003043247.1,YP_003043261.1,YP_003043258.1,YP_003043728.1,YP_003043254.1,YP_003043306.1
8,YP_003043250.1,YP_003043274.1,YP_003043261.1,YP_003043729.1,YP_003043258.1,YP_003043317.1
9,YP_003043251.1,YP_003043278.1,YP_003043277.1,YP_003043767.1,YP_003043261.1,YP_003043336.1
10,YP_003043252.1,YP_003043298.1,YP_003043295.1,YP_003043768.1,YP_003043269.1,YP_003043365.1
11,YP_003043254.1,YP_003043306.1,YP_003043306.1,YP_003043770.1,YP_003043277.1,YP_003043366.1
12,YP_003043255.1,YP_003043307.1,YP_003043356.1,YP_003043792.1,YP_003043306.1,YP_003043369.1
13,YP_003043256.1,YP_003043317.1,YP_003043357.1,YP_003043793.1,YP_003043317.1,YP_003043402.1
14,YP_003043258.1,YP_003043336.1,YP_003043360.1,YP_003043808.1,YP_003043364.1,YP_003043419.1
15,YP_003043261.1,YP_003043356.1,YP_003043365.1,YP_003043809.1,YP_003043365.1,YP_003043441.1
16,YP_003043269.1,YP_003043357.1,YP_003043368.1,YP_003043838.1,YP_003043402.1,YP_003043457.1
17,YP_003043272.1,YP_003043363.1,YP_003043369.1,YP_003044333.1,YP_003043421.1,YP_003043479.1
18,YP_003043273.1,YP_003043380.1,YP_003043385.1,YP_003044455.1,YP_003043439.1,YP_003043486.1
19,YP_003043274.1,YP_003043385.1,YP_003043402.1,YP_003044456.1,YP_003043440.1,YP_003043492.1
20,YP_003043277.1,YP_003043402.1,YP_003043421.1,YP_003044569.1,YP_003043441.1,YP_003043510.1
21,YP_003043278.1,YP_003043419.1,YP_003043437.1,YP_003044582.1,YP_003043449.1,YP_003043517.1
22,YP_003043298.1,YP_003043432.1,YP_003043441.1,YP_003044583.1,YP_003043457.1,YP_003043522.1
23,YP_003043306.1,YP_003043449.1,YP_003043452.1,YP_003044706.1,YP_003043463.1,YP_003043524.1
24,YP_003043307.1,YP_003043456.1,YP_003043454.1,YP_003044714.1,YP_003043464.1,YP_003043544.1
25,YP_003043317.1,YP_003043457.1,YP_003043455.1,YP_003044715.1,YP_003043481.1,YP_003043566.1
26,YP_003043327.1,YP_003043478.1,YP_003043456.1,YP_003044727.1,YP_003043485.1,YP_003043571.1
27,YP_003043334.1,YP_003043479.1,YP_003043457.1,YP_003044964.1,YP_003043492.1,YP_003043576.1
28,YP_003043336.1,YP_003043484.1,YP_003043469.1,YP_003045077.1,YP_003043500.1,YP_003043606.1
29,YP_003043345.1,YP_003043486.1,YP_003043474.1,YP_003045078.1,YP_003043520.1,YP_003043607.1
30,YP_003043356.1,YP_003043492.1,YP_003043479.1,YP_003045128.1,YP_003043522.1,YP_003043629.1
31,YP_003043357.1,YP_003043498.1,YP_003043488.1,YP_003045129.1,YP_003043540.1,YP_003043638.1
32,YP_003043358.1,YP_003043500.1,YP_003043492.1,YP_003045215.1,YP_003043541.1,YP_003043643.1
33,YP_003043360.1,YP_003043501.1,YP_003043500.1,YP_003045216.1,YP_003043544.1,YP_003043645.1
34,YP_003043365.1,YP_003043502.1,YP_003043501.1,YP_003045233.1,YP_003043553.1,YP_003043662.1
35,YP_003043381.1,YP_003043509.1,YP_003043510.1,YP_003045234.1,YP_003043566.1,YP_003043675.1
36,YP_003043385.1,YP_003043517.1,YP_003043547.1,YP_003045336.1,YP_003043567.1,YP_003043677.1
37,YP_003043392.1,YP_003043522.1,YP_003043553.1,YP_003045337.1,YP_003043568.1,YP_003043703.1
38,YP_003043402.1,YP_003043524.1,YP_003043554.1,YP_003045461.1,YP_003043592.1,YP_003043706.1
39,YP_003043419.1,YP_003043531.1,YP_003043566.1,YP_003045462.1,YP_003043610.1,YP_003043707.1
40,YP_003043432.1,YP_003043534.1,YP_003043571.1,YP_003045640.1,YP_003043616.1,YP_003043710.1
41,YP_003043438.1,YP_003043544.1,YP_003043576.1,YP_003045641.1,YP_003043629.1,YP_003043715.1
42,YP_003043440.1,YP_003043549.1,YP_003043577.1,YP_003045702.1,YP_003043632.1,YP_003043718.1
43,YP_003043449.1,YP_003043553.1,YP_003043585.1,YP_003045703.1,YP_003043643.1,YP_003043722.1
44,YP_003043451.1,YP_003043554.1,YP_003043606.1,YP_003045793.1,YP_003043645.1,YP_003043723.1
45,YP_003043452.1,YP_003043565.1,YP_003043607.1,YP_003045794.1,YP_003043677.1,YP_003043726.1
46,YP_003043453.1,YP_003043566.1,YP_003043620.1,YP_003045795.1,YP_003043681.1,YP_003043734.1
47,YP_003043455.1,YP_003043571.1,YP_003043629.1,YP_003045834.1,YP_003043686.1,YP_003043741.1
48,YP_003043457.1,YP_003043576.1,YP_003043638.1,YP_003045835.1,YP_003043687.1,YP_003043742.1
49,YP_003043458.1,YP_003043586.1,YP_003043665.1,YP_003045883.1,YP_003043689.1,YP_003043747.1
50,YP_003043464.1,YP_003043592.1,YP_003043677.1,YP_003046010.1,YP_003043710.1,YP_003043749.1
51,YP_003043469.1,YP_003043606.1,YP_003043678.1,YP_003046011.1,YP_003043711.1,YP_003043750.1
52,YP_003043472.1,YP_003043607.1,YP_003043679.1,YP_003046411.1,YP_003043714.1,YP_003043764.1
53,YP_003043475.1,YP_003043610.1,YP_003043686.1,YP_003046412.1,YP_003043715.1,YP_003043769.1
54,YP_003043476.1,YP_003043626.1,YP_003043687.1,YP_003046589.1,YP_003043717.1,YP_003043771.1
55,YP_003043479.1,YP_003043629.1,YP_003043694.1,YP_003046590.1,YP_003043718.1,YP_003043872.1
56,YP_003043480.1,YP_003043638.1,YP_003043700.1,YP_003046663.1,YP_003043722.1,YP_003043874.1
57,YP_003043484.1,YP_003043643.1,YP_003043706.1,YP_003046664.1,YP_003043723.1,YP_003043875.1
58,YP_003043485.1,YP_003043645.1,YP_003043709.1,YP_003046807.1,YP_003043728.1,YP_003043878.1
59,YP_003043492.1,YP_003043659.1,YP_003043710.1,YP_003046808.1,YP_003043729.1,YP_003043883.1
60,YP_003043494.1,YP_003043660.1,YP_003043713.1,YP_003047327.1,YP_003043730.1,YP_003043913.1
61,YP_003043496.1,YP_003043663.1,YP_003043716.1,YP_003047328.1,YP_003043731.1,YP_003043933.1
62,YP_003043499.1,YP_003043668.1,YP_003043718.1,YP_003047342.1,YP_003043734.1,YP_003043935.1
63,YP_003043500.1,YP_003043675.1,YP_003043723.1,YP_003047343.1,YP_003043738.1,YP_003043945.1
64,YP_003043501.1,YP_003043677.1,YP_003043724.1,YP_003047370.1,YP_003043747.1,YP_003043946.1
65,YP_003043508.1,YP_003043678.1,YP_003043726.1,YP_003047371.1,YP_003043749.1,YP_003043947.1
66,YP_003043509.1,YP_003043681.1,YP_003043730.1,,YP_003043750.1,YP_003043953.1
67,YP_003043510.1,YP_003043686.1,YP_003043741.1,,YP_003043753.1,YP_003043955.1
68,YP_003043512.1,YP_003043687.1,YP_003043747.1,,YP_003043764.1,YP_003043987.1
69,YP_003043517.1,YP_003043689.1,YP_003043749.1,,YP_003043767.1,YP_003043991.1
70,YP_003043520.1,YP_003043710.1,YP_003043751.1,,YP_003043768.1,YP_003044003.1
71,YP_003043521.1,YP_003043711.1,YP_003043752.1,,YP_003043769.1,YP_003044028.1
72,YP_003043522.1,YP_003043721.1,YP_003043764.1,,YP_003043770.1,YP_003044041.1
73,YP_003043523.1,YP_003043722.1,YP_003043779.1,,YP_003043780.1,YP_003044044.1
74,YP_003043524.1,YP_003043723.1,YP_003043780.1,,YP_003043787.1,YP_003044053.1
75,YP_003043528.1,YP_003043724.1,YP_003043787.1,,YP_003043790.1,YP_003044058.1
76,YP_003043529.1,YP_003043726.1,YP_003043791.1,,YP_003043792.1,YP_003044062.1
77,YP_003043534.1,YP_003043730.1,YP_003043828.1,,YP_003043793.1,YP_003044065.1
78,YP_003043536.1,YP_003043734.1,YP_003043834.1,,YP_003043798.1,YP_003044079.1
79,YP_003043540.1,YP_003043738.1,YP_003043841.1,,YP_003043808.1,YP_003044098.1
80,YP_003043544.1,YP_003043750.1,YP_003043866.1,,YP_003043809.1,YP_003044156.1
81,YP_003043549.1,YP_003043752.1,YP_003043869.1,,YP_003043812.1,YP_003044165.1
82,YP_003043553.1,YP_003043764.1,YP_003043872.1,,YP_003043813.1,YP_003044197.1
83,YP_003043566.1,YP_003043769.1,YP_003043875.1,,YP_003043815.1,YP_003044198.1
84,YP_003043567.1,YP_003043771.1,YP_003043876.1,,YP_003043838.1,YP_003044200.1
85,YP_003043576.1,YP_003043774.1,YP_003043878.1,,YP_003043865.1,YP_003044219.1
86,YP_003043577.1,YP_003043779.1,YP_003043881.1,,YP_003043872.1,YP_003044231.1
87,YP_003043585.1,YP_003043780.1,YP_003043883.1,,YP_003043875.1,YP_003044232.1
