,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
1016,YP_003044248.1,44.7212121964638,-0.888661690959305,0.300064499199711,-2.96156890711636,0.0030607599614318,0.0127945281270662,ycdW,ECB_01030,b1033,-1,protein,Exp,carbonSource,glucoseglycerol
1017,YP_003044249.1,24.7773605440488,-0.0762000262122061,0.270652548915051,-0.281541875432782,0.778294814438568,0.895149276663056,ycdX,ECB_01031,b1034,-1,protein,Exp,carbonSource,glucoseglycerol
1018,YP_003044250.1,21.3867140879985,-0.70074747901474,0.284211691894621,-2.46558287009023,0.0136790528907071,0.0440545970667806,ycdY,ECB_01032,b1035,-1,protein,Exp,carbonSource,glucoseglycerol
1019,YP_003044251.1,0.0173710536046734,0.214469587399224,0.589552729390403,0.363783554392132,0.716019644155858,NA,ycdZ,ECB_01033,b1036,1,protein,Exp,carbonSource,glucoseglycerol
1020,YP_003044252.1,0.163070565391141,-0.205292533315164,0.717949794928695,-0.285942742466488,0.774921976085908,NA,csgG,ECB_01034,b1037,-1,protein,Exp,carbonSource,glucoseglycerol
1021,YP_003044253.1,0.0830128920064345,-0.204699914589958,0.628488509899177,-0.325701920346636,0.744649891167689,NA,csgF,ECB_01035,b1038,-1,protein,Exp,carbonSource,glucoseglycerol
1022,YP_003044254.1,0,NA,NA,NA,NA,NA,csgE,ECB_01036,b1039,NA,protein,Exp,carbonSource,glucoseglycerol
1023,YP_003044255.1,0.288413704187387,0.810823876112878,0.772167854720351,1.05006168173956,0.293689754609478,0.487499970500733,csgD,ECB_01037,b1040,1,protein,Exp,carbonSource,glucoseglycerol
1024,YP_003044256.1,0.108009541064596,-0.213044656784918,0.655294809987115,-0.325112687507943,0.7450957868797,NA,csgB,ECB_01038,b1041,-1,protein,Exp,carbonSource,glucoseglycerol
1025,YP_003044257.1,0.0294117647058824,0.21446958733729,0.589552729390621,0.363783554286946,0.716019644234411,NA,csgA,ECB_01039,b1042,1,protein,Exp,carbonSource,glucoseglycerol
1026,YP_003044258.1,0.0380501256574141,-0.225351462096224,0.590219821580855,-0.381809376534728,0.702602763276059,NA,csgC,ECB_01040,b1043,-1,protein,Exp,carbonSource,glucoseglycerol
1027,YP_003044259.1,0.0952167648032853,-0.551707752150886,0.680539337174761,-0.810691935077969,0.417542605957499,NA,ymdA,ECB_01041,b1044,-1,protein,Exp,carbonSource,glucoseglycerol
1028,YP_003044260.1,5.80451417130276,-0.49559930812603,0.38477170080494,-1.288034715363,0.197733879008736,0.364663906940316,ymdB,ECB_01042,b1045,-1,protein,Exp,carbonSource,glucoseglycerol
