ftsL
fadE
betB
mhpR
yaiT
acrR
priC
cusA
ybdZ
entF
rihA
bioA
ybhK
moaB
moaE
glnP
ybjI
mukF
yccV
ymdC
ycfS
cobB
pepT
dsbB
nhaB
btuR
goaG
pspC
tehB
osmC
speG
uidR
sodC
ydhL
ydiY
cedA
astB
yebO
yebB
flhB
yedX
yedZ
wzy
wzx
yegU
yehS
menC
folX
ypdB
yfeC
yfeK
yfeS
ygaU
ygaP
srlR
fucI
gcvA
ygdP
yqgC
yqhD
dkgA
ygiS
ygiX
cpdA
garR
nlpI
yrdB
yheS
prkB
malT
glpD
ugpQ
waaQ
yidQ
dgoR
rbsR
wecG
yigP
fdoI
yiiQ
glpF
pepE
rpiR
dipZ
aspA
yjeK
yjfR
cycA
fecC
yjhS
