genes
glpK
glpD
glpQ
mglB
pspA
mglA
rhlE
glpF
aldA
acs
mqo
gcd
ptsG
hepA
tnaA
speD
glpB
glpA
cyaA
pepE
aspA
mglC
yciD
ndh
ycjK
entB
yrbH
edd
ycfH
yidQ
lpp
pspC
ptsI
rbsB
metK
nfo
deaD
entC
glpC
cfa
ydbK
potA
entF
rimO
nanA
uxuB
rumB
entE
aldH
moaC
yghJ
yqhD
rnt
rihA
yiaJ
cirA
purU
thiD
malF
mltE
glpT
apbA
pfs
goaG
ompX
tsf
ygaP
yjeA
yoaB
ucpA
manB
gss
narX
rplQ
ygjD
dhaK
rplL
wecC
guaB
fepA
fecB
ycgO
bipA
yqeF
rpmA
rffH
yncD
ykfE
guaA
rpsE
glnG
malM
pdxJ
argR
yebO
zntA
rnb
yieH
yecO
betB
artP
cysD
yrdD
cpsG
ybgF
yceD
fadB
bglA
rnr
yceA
fhuC
asnB
fucI
fecE
yfhA
yidJ
ybiL
nadE
yfeK
fecA
trpD
rbsR
map
dapE
metL
cyoB
tkrA
carA
yeiU
shiA
pspB
fadI
ileS
ilvA
dbpA
yegQ
nagD
proC
cysN
rpsU
mppA
xasA
yjcH
pbpG
ilvG
thiI
sms
uxaC
rrmB
coaD
tauA
ptsH
yejG
fadH
yoaC
folX
gshB
cspA
fhuE
ygaU
glpE
yhcQ
bioB
rnc
yfgB
glpX
fes
artJ
rplT
glmU
ygiF
fabD
yhdW
rihC
ymbA
fabH
yecP
nadA
rph
celF
sufC
gppA
wecB
yggB
ygjO
yfiP
ppc
ydcH
ilvI
gsk
metE
wecE
sohB
mltB
waaA
betA
yehT
ynfJ
yfbR
fldB
rlmL
rna
ydeN
rplA
flu
purM
yceI
yjgJ
yjjU
yagU
clpS
artQ
deoC
ygfB
ackA
ispB
ygjU
sfsA
ybaX
thrC
ftsA
queA
folC
xylE
phoE
htpX
argD
slyD
murC
manY
ydbH
proP
dkgA
trpB
yncE
gntT
xseA
metN
truA
cyoA
aroG
yegW
yfdE
ycdB
serB
thrB
fabF
parE
ycgV
rnfB
yibK
bioF
yfiC
fldA
cspC
wbbB
rcsC
yafJ
ycfW
narP
proV
ycdO
emrR
yciA
yfjG
nrdD
panB
lysA
manX
speE
rluD
yggJ
ybcT
yegD
yfiD
yhbJ
gcvA
nanR
rplU
sufA
tpiA
yneH
ppiC
ribC
wcaA
ybaQ
yebU
cheB
cysA
frdB
tolB
ompN
rpsD
era
sapD
pdxY
rbsD
hha
insA-2
insA-3
insA-4
insA-5
insA-6
insA-7
insA-8
insA-9
insA-10
yciV
insA-11
insA-12
yneK
insA-13
insA-14
insA-15
insA-16
insA-17
insA-18
insA-19
insA-20
insA-21
insA-22
rpsL
insA-23
yhjE
insA-24
insA-26
insA-27
insA-28
gcvR
ycbZ
ydiU
modC
ydhZ
sufB
ampH
yaiB
glcE
ppiA
ksgA
cysC
ilvE
yahF
exbB
yihI
zntR
fdhD
lpxD
gltP
ybbN
exoX
ydiY
nadD
yijP
ybgL
exbD
mcrB
rnfG
ugpB
agp
yfcM
cpdB
ybdB
gudD
barA
yfhH
puuD
proX
yhbY
ade
yacG
pspE
ypdB
narZ
ycjC
ydiH
narQ
pepT
cspE
ybaE
yjfI
hisP
dipZ
mepA
hisI
cutC
ribB
yhdP
fucR
argK
nanE
mrdA
iscR
alsB
yfaS
yrbE
yihW
ebgA
nadB
ompF
trmH
ydeP
hsdS
yibQ
fhuD
flgB
uvrY
yjcS
yjcP
ycgN
srlB
yidG
fadE
yobA
cydA
yjgP
fepC
ycbB
garR
ubiC
hpaG
yrfG
araF
yfgG
yhiQ
tonB
ogt
birA
cpdA
yhdH
xylF
treC
syd
yafS
yehX
ccmE
grxA
ynfC
recQ
pbpC
sapB
ydjC
yeaM
modA
fumA
folD
yeeF
yiiQ
allC
ybiJ
ydgI
ydcT
yegO
hypF
xdhD
yhjW
torS
hyaB
citC
yceG
nudG
torZ
ydbD
rimI
ybgJ
sufD
nhaR
speG
yedX
atoS
yihN
aslA
yahG
yadB
dhaR
yfaQ
xni
rluA
cobT
yghZ
galS
fdrA
fadJ
flk
rnd
yqhA
ordL
yaiE
fadA
bcsA
nfi
dppB
mhpA
mltD
cmtA
gltS
