,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
3565,YP_003046799.1,0.500303650982422,-1.23696678378719,1.00873397470093,-1.22625668888958,0.220102094411606,NA,atpI,ECB_03623,b3739,-1,protein,Sta,carbonSource,gluconate,glucose
3566,YP_003046800.1,11.731734609844,0.233041895663058,0.405874818722429,0.574171850317305,0.565851516146253,0.716615842346455,gidA,ECB_03625,b3741,1,protein,Sta,carbonSource,gluconate,glucose
3567,YP_003046801.1,6.27718774763748,0.341090486399498,0.475588750425599,0.717196287957317,0.473252989408588,0.645892542754768,mioC,ECB_03626,b3742,1,protein,Sta,carbonSource,gluconate,glucose
3568,YP_003046802.1,2.10371199227444,-0.466713306262148,0.748461854043786,-0.623563250071586,0.532914451774661,0.692319947613415,asnC,ECB_03627,b3743,-1,protein,Sta,carbonSource,gluconate,glucose
3569,YP_003046803.1,45.5408078180418,0.411940891018686,0.590812423120222,0.697244802069542,0.485649605364256,0.658734767839453,asnA,ECB_03628,b3744,1,protein,Sta,carbonSource,gluconate,glucose
3570,YP_003046804.1,1.16980398127636,-0.135311691590697,0.968393357951399,-0.13972802526955,0.888874882658136,NA,yieM,ECB_03629,b3745,-1,protein,Sta,carbonSource,gluconate,glucose
3571,YP_003046805.1,2.59031923127047,-0.925546608426557,0.687418680010666,-1.34640887037314,0.178170691800102,0.399846081395366,yieN,ECB_03630,b3746,-1,protein,Sta,carbonSource,gluconate,glucose
3572,YP_003046806.1,1.15418286983524,-0.367276053373905,0.982197664719266,-0.373932932816411,0.708454214037867,NA,trkD,ECB_03631,b3747,-1,protein,Sta,carbonSource,gluconate,glucose
3573,YP_003046807.1,0,NA,NA,NA,NA,NA,insJ-5,ECB_03632,,NA,protein,Sta,carbonSource,gluconate,glucose
3574,YP_003046808.1,0.055686781083937,0.0904710955377342,0.77735071468212,0.116383884170905,0.907348307162042,NA,insK-5,ECB_03633,,1,protein,Sta,carbonSource,gluconate,glucose
3575,YP_003046809.1,40.5276321245275,0.157327227968337,0.592173994455604,0.265677367532781,0.790487695230731,0.869273476084461,rbsD,ECB_03634,b3748,1,protein,Sta,carbonSource,gluconate,glucose
3576,YP_003046810.1,107.280223734006,1.063163909038,0.541842099330158,1.96212865399775,0.0497475076823393,0.213547925419344,rbsA,ECB_03635,b3749,1,protein,Sta,carbonSource,gluconate,glucose
3577,YP_003046811.1,7.09294915075122,0.873230739273817,0.701308084900752,1.24514568999642,0.213078201803769,0.431809896610566,rbsC,ECB_03636,b3750,1,protein,Sta,carbonSource,gluconate,glucose
3578,YP_003046812.1,421.881129414618,1.61133520489043,0.616942026071413,2.61180975974541,0.00900643559865421,0.0913731525016114,rbsB,ECB_03637,b3751,1,protein,Sta,carbonSource,gluconate,glucose
3579,YP_003046813.1,36.5345262613792,1.18266960036497,0.676600212112376,1.74795925155362,0.0804710836420787,0.271299011061194,rbsK,ECB_03638,b3752,1,protein,Sta,carbonSource,gluconate,glucose
3580,YP_003046814.1,2.51534548253318,0.516805593735535,0.874992184495818,0.590640239870628,0.554761496884792,0.709404334580754,rbsR,ECB_03639,b3753,1,protein,Sta,carbonSource,gluconate,glucose
3581,YP_003046815.1,0.441180460202278,-1.04340358650872,1.01395939878986,-1.02903882320535,0.303461431775511,NA,yieO,ECB_03640,b3754,-1,protein,Sta,carbonSource,gluconate,glucose
3582,YP_003046816.1,0.933269824701971,-1.83821080013099,0.983992049704762,-1.86811550020402,0.0617459734755886,NA,yieP,ECB_03641,b3755,-1,protein,Sta,carbonSource,gluconate,glucose
3583,YP_003046817.1,2.75096376289358,-0.605986817380387,0.838736223013646,-0.722499876305601,0.469987201378984,0.645379387322089,hdfR,ECB_03642,b4480,-1,protein,Sta,carbonSource,gluconate,glucose
3584,YP_003046818.1,58.1985109407904,0.963802142292056,0.505110990809005,1.90809972427722,0.056378328354078,0.22663883358309,yifE,ECB_03643,b3764,1,protein,Sta,carbonSource,gluconate,glucose
3585,YP_003046819.1,0.708068342058433,-0.553703961653942,1.00438176030838,-0.551288348251103,0.581436024593193,NA,yifB,ECB_03644,b3765,-1,protein,Sta,carbonSource,gluconate,glucose
3586,YP_003046820.1,0.0168131983200542,-0.0328477877244967,0.777348232584501,-0.0422562068679123,0.966294455937363,NA,ilvL,ECB_03645,b3766,-1,protein,Sta,carbonSource,gluconate,glucose
3587,YP_003046821.1,63.0825337945006,0.118615013486798,0.532455451865899,0.222769835619359,0.823714645774391,0.890013629458671,ilvG,ECB_03646,,1,protein,Sta,carbonSource,gluconate,glucose
3588,YP_003046822.1,0.279166766507275,-0.861457611293905,1.01652968337705,-0.847449538740497,0.396744602195609,NA,ilvM,ECB_03647,b3769,-1,protein,Sta,carbonSource,gluconate,glucose
3589,YP_003046823.1,146.809787829408,0.813883692260847,0.576010293581632,1.41296727042866,0.157665347776194,0.374266027562467,ilvE,ECB_03648,b3770,1,protein,Sta,carbonSource,gluconate,glucose
3590,YP_003046824.1,148.653832342513,0.744728887421115,0.475575506492776,1.56595299222465,0.117359622493794,0.324533787545262,ilvD,ECB_03649,b3771,1,protein,Sta,carbonSource,gluconate,glucose
3591,YP_003046825.1,88.0842614048025,0.170973640163634,0.515914980101163,0.331398867561683,0.740343220169716,0.830772846992128,ilvA,ECB_03650,b3772,1,protein,Sta,carbonSource,gluconate,glucose
3592,YP_003046826.1,1.00858885370484,-1.60845420795533,0.995574145271845,-1.61560463938739,0.106179820207266,NA,ilvY,ECB_03651,b3773,-1,protein,Sta,carbonSource,gluconate,glucose
3593,YP_003046827.1,243.007046729647,0.382567346606168,0.544950352834563,0.70202238537188,0.482665203302481,0.65548953115573,ilvC,ECB_03652,b3774,1,protein,Sta,carbonSource,gluconate,glucose
3594,YP_003046828.1,11.7879254003954,0.177351001403602,0.638291569715071,0.277852645747413,0.781125476206948,0.863800763753565,ppiC,ECB_03653,b3775,1,protein,Sta,carbonSource,gluconate,glucose
3595,YP_003046829.1,0.264779760727981,-0.766942516220296,1.00889826601554,-0.7601782479508,0.44714804530454,NA,,ECB_03654,,-1,protein,Sta,carbonSource,gluconate,glucose
3596,YP_003046830.1,4.50389970769307,-0.509649163103909,0.650976341172465,-0.782899670648532,0.43368603093532,0.619351746306727,rep,ECB_03656,b3778,-1,protein,Sta,carbonSource,gluconate,glucose
3597,YP_003046831.1,8.26136181534695,-0.216738377145581,0.46163200134661,-0.469504662833906,0.638708952709098,0.763074611785681,gppA,ECB_03657,b3779,-1,protein,Sta,carbonSource,gluconate,glucose
3598,YP_003046832.1,51.1013483966628,0.629579656169988,0.480057649290127,1.31146677300312,0.189700112375218,0.41035628774051,rhlB,ECB_03658,b3780,1,protein,Sta,carbonSource,gluconate,glucose
3599,YP_003046833.1,53.0032229850928,0.314188172233126,0.502056999555894,0.625801796431578,0.531444953399176,0.691221709793996,trxA,ECB_03659,b3781,1,protein,Sta,carbonSource,gluconate,glucose
3600,YP_003046834.1,0.390226883867769,-0.939681294774023,1.01297565082764,-0.927644503603088,0.353592004544831,NA,rhoL,ECB_03660,,-1,protein,Sta,carbonSource,gluconate,glucose
3601,YP_003046835.1,224.252183103662,0.757249985115585,0.455252366136992,1.66336309581687,0.0962397756420625,0.294842466178656,rho,ECB_03661,b3783,1,protein,Sta,carbonSource,gluconate,glucose
3602,YP_003046836.1,0.402618591894512,-0.696283722721506,1.01438212729994,-0.686411662806854,0.492453552007941,NA,rfe,ECB_03662,b3784,-1,protein,Sta,carbonSource,gluconate,glucose
3603,YP_003046837.1,16.0653170503255,0.940511329824518,0.468399587381156,2.00792518858302,0.0446512420696725,0.196656777032024,wzzE,ECB_03663,b3785,1,protein,Sta,carbonSource,gluconate,glucose
3604,YP_003046838.1,18.3276842137138,0.852399870908986,0.479925390754392,1.77610913556606,0.0757149307700694,0.262044643212037,wecB,ECB_03664,b3786,1,protein,Sta,carbonSource,gluconate,glucose
3605,YP_003046839.1,12.8907918615233,0.557373925965571,0.470695537676325,1.18414958577502,0.236353854498721,0.449376641815164,wecC,ECB_03665,b3787,1,protein,Sta,carbonSource,gluconate,glucose
3606,YP_003046840.1,5.61962572732145,0.714552641189774,0.74082888471499,0.964531291817374,0.334779627877922,0.538907613190115,rffG,ECB_03666,b3788,1,protein,Sta,carbonSource,gluconate,glucose
3607,YP_003046841.1,3.42294437035382,-0.00745719741853546,0.566148429589237,-0.0131718062415998,0.989490723049912,0.992549437820694,rffH,ECB_03667,b3789,-1,protein,Sta,carbonSource,gluconate,glucose
3608,YP_003046842.1,0.586883415485998,-0.503245454658274,1.01342819597759,-0.496577317125881,0.619487152026384,NA,wecD,ECB_03668,b3790,-1,protein,Sta,carbonSource,gluconate,glucose
3609,YP_003046843.1,19.4714211556952,0.719678227375764,0.496030527599536,1.45087487025957,0.146814706617074,0.360126882787176,wecE,ECB_03669,b3791,1,protein,Sta,carbonSource,gluconate,glucose
3610,YP_003046844.1,0.945939462698134,0.962549775298386,0.931502369539386,1.03333046353318,0.301449275678445,NA,wzxE,ECB_03670,b3792,1,protein,Sta,carbonSource,gluconate,glucose
3611,YP_003046845.1,2.88484821230411,2.04658757954542,0.55869485494534,3.66315809324153,0.000249124673869938,0.0103961532368209,rffT,ECB_03671,b3793,1,protein,Sta,carbonSource,gluconate,glucose
3612,YP_003046846.1,0.20758593002085,-0.356058923463658,1.00159313017528,-0.355492577511337,0.722220604566828,NA,wecF,ECB_03672,b4481,-1,protein,Sta,carbonSource,gluconate,glucose
3613,YP_003046847.1,3.90353184944831,0.879211984030096,0.566783567464772,1.55123054813113,0.120846443867886,0.330800342822597,wecG,ECB_03673,b3794,1,protein,Sta,carbonSource,gluconate,glucose
3614,YP_003046848.1,0.631248621184562,-0.161479122916574,0.977552049128447,-0.165187237917964,0.868796609939887,NA,yifK,ECB_03674,b3795,-1,protein,Sta,carbonSource,gluconate,glucose
3615,YP_003046849.1,0.652121377972962,-1.4493215202965,1.01634242039186,-1.42601695178452,0.153863448929106,NA,aslB,ECB_03675,b3800,-1,protein,Sta,carbonSource,gluconate,glucose
3616,YP_003046850.1,1.65894395989838,-1.38833573679738,1.01225253227954,-1.37153100883919,0.170209483906113,0.390688090002114,aslA,ECB_03676,b3801,-1,protein,Sta,carbonSource,gluconate,glucose
3617,YP_003046851.1,29.4295142486487,0.656889703595978,0.417464183716877,1.57352350026147,0.115597651192516,0.321434006255397,hemY,ECB_03677,b3802,1,protein,Sta,carbonSource,gluconate,glucose
3618,YP_003046852.1,41.4524222195982,1.03576972095744,0.472525315865701,2.19198778600854,0.0283803885758216,0.158743840140012,hemX,ECB_03678,b3803,1,protein,Sta,carbonSource,gluconate,glucose
3619,YP_003046853.1,4.42048899726133,0.999184651619614,0.651001571955463,1.53484214887268,0.124822606681097,0.335001406565134,hemD,ECB_03679,b3804,1,protein,Sta,carbonSource,gluconate,glucose
3620,YP_003046854.1,35.9444750410928,0.643787683934036,0.440857218141977,1.46030881981999,0.144205219162253,0.359536413905769,hemC,ECB_03680,b3805,1,protein,Sta,carbonSource,gluconate,glucose
3621,YP_003046855.1,2.57430645045428,-0.634742724134967,0.844755557437702,-0.751392185048487,0.452416664554624,0.631444809066472,cyaA,ECB_03681,b3806,-1,protein,Sta,carbonSource,gluconate,glucose
3622,YP_003046856.1,3.31603166637804,1.57939252173194,0.763160129353308,2.0695427617141,0.0384951829262834,0.182698756145555,cyaY,ECB_03682,b3807,1,protein,Sta,carbonSource,gluconate,glucose
3623,YP_003046857.1,0.0566822967421129,-0.114082847347045,0.777433167942603,-0.146742963963003,0.883334905322337,NA,yzcX,ECB_03683,,-1,protein,Sta,carbonSource,gluconate,glucose
3624,YP_003046858.1,3.89711664262861,1.64338950787116,0.524115625087741,3.13554763339873,0.00171533569309963,0.0333286715808392,yifL,ECB_03684,b4558,1,protein,Sta,carbonSource,gluconate,glucose
3625,YP_003046859.1,7.08337308110812,0.344065229927687,0.541235563467967,0.635703292893558,0.524969829743717,0.686923137910179,dapF,ECB_03685,b3809,1,protein,Sta,carbonSource,gluconate,glucose
3626,YP_003046860.1,3.83253887319732,1.00382561640779,0.723412584933674,1.3876253155035,0.165251168590592,0.382569580465357,yigA,ECB_03686,b3810,1,protein,Sta,carbonSource,gluconate,glucose
3627,YP_003046861.1,1.89249265640985,0.14512676345374,0.932490451882939,0.155633511486033,0.876321908447794,0.924453434338579,xerC,ECB_03687,b3811,1,protein,Sta,carbonSource,gluconate,glucose
3628,YP_003046862.1,17.2054974171786,0.907031833703876,0.466343145670697,1.94498802464305,0.0517764196287622,0.217618158401724,yigB,ECB_03688,b3812,1,protein,Sta,carbonSource,gluconate,glucose
3629,YP_003046863.1,11.5814255330038,0.256167769719946,0.493455043415388,0.519130918081032,0.603669448994882,0.741011828770399,uvrD,ECB_03689,b3813,1,protein,Sta,carbonSource,gluconate,glucose
3630,YP_003046864.1,4.05631619701057,0.722413554031552,0.655304302055509,1.1024092955983,0.270283772120331,0.480280476761946,,ECB_03690,,1,protein,Sta,carbonSource,gluconate,glucose
3631,YP_003046865.1,0.654029836262654,-1.05326378510375,1.00083699276961,-1.05238294818526,0.292623888825383,NA,yigE,ECB_03691,b4482,-1,protein,Sta,carbonSource,gluconate,glucose
3632,YP_003046866.1,9.20574739787681,0.692197019804351,0.579790116659495,1.19387516260625,0.232526804515649,0.445412544739411,corA,ECB_03692,b3816,1,protein,Sta,carbonSource,gluconate,glucose
3633,YP_003046867.1,0.175442529074789,-0.463824808223175,0.940897155530228,-0.492960155631243,0.622040740935815,NA,,ECB_03693,,-1,protein,Sta,carbonSource,gluconate,glucose
3634,YP_003046868.1,0.34666561626445,-0.868118027373194,1.0112083955937,-0.858495668307329,0.390618821356488,NA,,ECB_03694,,-1,protein,Sta,carbonSource,gluconate,glucose
3635,YP_003046869.1,0.0707159664627191,0.046838037902065,0.777399979236413,0.0602496001454372,0.951956842231346,NA,,ECB_03695,,1,protein,Sta,carbonSource,gluconate,glucose
