thrB
thrC
talB
dnaK
rpsT
carA
folA
ksgA
imp
djlA
hepA
leuD
leuC
leuB
leuA
fruR
yacG
ampE
acnB
speD
cueO
panD
folK
pcnB
dksA
fhuA
hemL
pfs
degP
cdaR
glnD
tsf
pyrH
frr
yaeT
hlpA
lpxD
fabZ
lpxA
accA
tilS
rof
proS
rcsF
metQ
metN
yafV
ykfE
gmhA
yafJ
dinJ
yagU
yahO
prpB
prpC
prpD
lacI
yaiL
tauB
proC
yaiE
tgt
secF
yajD
dxs
ispA
thiJ
apbA
yajQ
cyoB
cyoA
yajG
bolA
tig
clpP
clpX
hupB
ppiD
ybaE
ybaY
acrA
kefA
apt
ybaB
ushA
ybaK
ybbN
allR
purE
ybcU
ompT
entD
entA
ybdQ
rnk
rna
rlpA
ybeB
rlpB
ybeL
gltI
lnt
nagD
glnS
fur
fldA
ybfF
sdhA
sdhB
sucA
sucD
tolB
pal
ybgF
nadA
ybgS
galM
galK
galE
modA
ybhC
ybhB
bioB
bioD
uvrB
ybiC
glnP
dps
ompX
ybiS
yliA
rimO
dacC

potF
artJ
artI
ybjP
clpA
infA
trxB
lrp
ftsK
lolA
pflA
aroA
ihfB
ycaR
ompF
pncB
pyrD
ycbX
rlmL
ymbA
ycbZ
ompA
mgsA
torA
yccJ
putP
ymdB
mdoG
msyB
htrB
solA
dinI
pyrC
yceB
mviM
flgN
flgM
flgD
flgE
flgG
flgK
flgL
rne
yceF
yceD
rpmF
fabH
fabD
acpP
fabF
ycfH
ycfF
ycfW
potD
ycfD
phoP
ycgM
fadR
ycgB
dadA
dhaL
prsA
ychN
narX
purU
galU
hns
oppA
oppB
yciU
kch
yciD
trpB
yciO
yciK
sohB
acnA
pyrF
rnb
ycjX
tpx
ycjG
ycjI
ycjY
mppA
ompN
ydbK
hslJ
ldhA
gapC
ydcL
sfcA
rpsV
ydfH
ynfD
pntA
rstA
fumC
ydgA
tyrS
slyB
sodC
gloA
rnt
ydhD
ynhG
sufE
ydiJ
ihfA
pheT
infC
pfkB
ydjA
ansA
yeaA
gapA
yeaD
yoaB
pabB
manZ
cspC
kdgR
yebF
yebG
purT
yebK
torZ
cutC
araF
yecA
yedY
yeeI
yeeX
sbmC
yeeD
hisH
wzzB
wbbA
galF
wzc
baeR
thiM
bglX
yejG
eco
ubiG
nrdB
yfaY
yfbH
pmrD
nuoL
nuoI
nuoH
nuoF
nuoE
yfbR
yfbT
yfcD
yfcE
hisJ
argT
usg
fabB
aroC
yfcN
fadL
vacJ
dsdA
ypdB
ligA
zipA
cysM
cysP
ucpA
