thrA
yaaA
dnaJ
yjcF
ileS
fkpB
dapB
carB
caiD
caiC
pdxA
surA
polB
yabN
ilvI
ilvH
ftsI
murF
murD
ftsW
ddl
ftsZ
secA
yacF
coaE
guaC
nadC
aceE
lpdA
yacH
speE
gcd
hpt
yadE
panC
panB
yadC
htrE
sfsA
hrpB
map
yaeL
ldcC
yafD
mltD
fadE
dinB
pepD
yagP
yagR
yagV
ykgK
eaeH
betA
yahI
yahL
prpE
codA
mhpB
mhpC
mhpD
yaiO
hemB
adrA
aroL
yajF
malZ
lon
mdlA
tesB
ybaA
ylaB
acrB
htpG
hemH
gsk
ybaS
ybbP
rhsD
ylbH
glxR
allB
ylbE
purK
ppiB
cysS
sfmD
intD
ybcK
ybcM
ybcT
nohB
envY
nfrA
cusS
nfnB
fepA
fepC
fepG
ybdB
ahpC
citX
citF
dpiA
ybeM
ybeD
dacA
mrdA
leuS
hscC
rihA
gltK
ybeZ
asnB
ybfM
ybfN
pgm
speF
kdpB
rhsC
phrB
ybgI
ybgJ
ybgL
ybgQ
ybgD
gltA
sucB
sucC
ybgG
aroG
gpmA
modE
ybhD
ybhJ
bioC
moaC
ybhO
ybhG
dinG
ybiB
glnH
ybiT
ybiU
ybiW
moeB
moeA
yliF
yliI
yliJ
grxA
artP
poxB
ybjX
dmsA
ycaC
ycaN
pflB
serC
cmk
rpsA
msbA
kdsB
ycbJ
ycbL
aspC
asnC
pepN
ycbS
fabA
yccR
yccS
yccU
yccW
hyaA
yccZ
ymcA
yccM
torC
agp
wrbA
putA
phoH
pgaB
pgaA
ycdY
grxB
yceH
flgJ
rluC
fabG
tmk
ptsG
ycfP
ndh
phoQ
purB
mnmA
icdA
ycgF
minC
ycgK
ycgN
dhaM
kdsA
chaB
ychP
narG
narH
ychJ
adhE
yciI
trpA
trpC
trpD
trpE
topA
fabI
ordL
pspA
pspB
ycjS
tyrR
ydaA
ydaM
intR
recT
recE
tynA
ydbD
hrpA
ydcF
trg
ydcH
ydcM
ydcR
ydcS
yncE
ansP
rhsE
narY
narZ
fdnH
yddV
gadB
ydeO
ydeP
hipA
yneB
yneE
uxaB
ydeJ
dcp
ydfG
stfR
ydfE
rspA
ynfF
ynfL
rstB
tus
manA
add
ydgJ
gst
pdxY
pdxH
anmK
slyA
ydhK
ydhF
ydhL
lhr
ydhO
cfa
ribC
ydhT
ydhX
ydhV
ydhZ
pykF
sufD
sufA
ydiF
ydiS
ppsA
pheS
thrS
yniA
ydjO
celF
nadE
ydjQ
astB
astD
astA
astC
nudG
gdhA
topB
selD
pncA
ydjH
yeaG
yeaJ
fadD
yeaY
yeaZ
yoaA
yoaE
manX
manY
yebV
yobA
eda
zwf
yebA
yebC
aspS
torY
flhB
motB
uvrC
yedV
yeeJ
amn
insD
hisG
hisC
hisB
hisA
ugd
gnd
manC
vioA
wcaK
wcaJ
cpsB
gmd
wzb
yegH
dcd
udk
yegE
yegI
yegN
yegP
yegQ
fbaB
yegV
yegW
metG
yehI
yehM
yehP
pbpG
yohI
cdd
mglB
yeiQ
yejF
yejK
ccmH
napC
napG
napA
mqo
atoA
yfaS
gyrA
nrdA
inaA
glpQ
glpC
yfaX
yfbF
yfbG
arnT
menC
menB
menD
elaD
nuoG
ackA
yfcF
ubiX
purF
folC
yfcL
yfcB
yfcS
yfcTU
dsdC
emrK
yfdU
ypdC
ypdE
glk
yfeA
gltX
cysK
ptsH
ptsI
crr
eutE
eutQ
talA
yffH
dapE
purC
hyfG
perM
yfgD
ppk
yfgF
yfgI
guaA
engA
hisS
ispG
yfgA
pbpC
sseB
yfhJ
iscA
iscR
suhB
hcaE
hcaF
yphB
yphE
glnB
rnc
lepA
srmB
pssA
clpB
yfiO
pheA
recN
ygaF
gabD
gabT
nrdI
emrA
ygaG
gshA
yqaB
alaS
recX
srlR
ygaA
ygbD
hydN
ascB
hycE
hycC
ygbJ
pcm
ygcM
ygcS
ygdH
fucO
fucU
amiC
argA
recD
recB
recC
ppdA
thyA
mutH
tas
aas
ygeR
xdhA
ygeX
ygeY
yqeB
ygfK
xdhD
guaD
idi
prfB
recJ
ygfZ
gcvT
pepP
iciA
yggE
yggB
yggF
speA
metK
sprT
gshB
yggL
speC
glcB
glcF
glcD
glcC
hybC
metC
yqhC
yqhG
ygiQ
ygiN
yqiH
yqiK
rfaE
ygiF
ygiM
cca
uppP
ttdB
aer
ygjG
ebgC
ygjJ
ygjK
ygjP
exuT
yqjD
agaV
agaA
yraJ
yraN
yraO
yraP
yhbS
yhbV
yhbW
rbfA
infB
yhbX
glmM
hflB
yhbY
rpmA
yrbA
yhbJ
gltB
gltD
sspA
yhcM
yhcP
mreB
prmA
yhdJ
acrF
yrdA
yrdC
smf
def
zntR
rpsM
rpmD
rplR
rpsH
rpsN
rpsQ
rpmC
rpsC
rpsS
rplD
rpsJ
gspA
gspE
slyD
yhfG
nirB
cysG
yhfX
damX
aroK
yrfD
yrfF
yhgE
pckA
envZ
greB
feoB
malQ
malP
malT
rtcA
rtcR
glpR
glgP
glgA
glgC
yhhY
ggt
yhhA
ugpC
ugpB
ftsY
nikA
rhsB
yhiKL
uspA
prlC
gor
yhiV
gadX
gadA
yhjA
yhjJ
bcsA
tkrA
glyS
glyQ
xylR
bax
malS
avtA
yiaO
selA
mtlD
tdh
coaD
rpmB
pyrE
rph
yicC
dinD
ligB
gltS
yicH
yicI
insI
yidJ
yidA
tnaA
yidZ
yieC
bglB
yieM
trkD
rbsR
yifB
ilvG
ilvA
ilvC
rhlB
trxA
rho
wzzE
wecB
wzxE
aslB
aslA
hemY
hemC
xerC
yigB
rhtC
udp
yigN
ubiD
fadA
yihD
dsbA
yihF
polA
bipA
yihN
ompL
yihS
yihT
yihV
yihX
fdoH
frvR
rhaA
rhaR
sodA
cpxR
pfkA
yiiS
fpr
glpX
glpK
menA
priA
metL
katG
pflD
pflC
yijO
ppc
argC
rplL
rpoB
thiH
thiC
yjaG
zraS
zraR
aceB
aceA
lysC
pgi
yjbH
malK
lamB
yjbI
plsB
yjbJ
yjbL
tyrB
acs
nrfA
fdhF
yjcR
alsK
alsB
rpiB
phnN
phnJ
phnD
phnA
yjdE
adiY
adiA
melR
cadA
yjeI
yjeK
efp
ecnB
psd
yjeS
amiB
purA
aidB
yjfO
ytfB
fklB
msrA
ytfR
pmbA
treC
yjgF
pyrI
pyrB
yjgL
yjgR
idnR
intB
insG
yjhC
fimC
fimD
kptA
yjiK
yjiM
mcrC
hsdR
yjiA
hpaB
hpaD
hpaG
yjiZ
yjjN
mdoB
dnaT
bglJ
deoC
rob
arcA
