id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
YP_003043231.1,287.393083055566,-0.504660852022814,0.262407700518829,-1.92319375927233,0.0544557207286712,0.113438592398326,thrA,ECB_00002,b0002,-1,protein_wo_NA,Exp,carbonSource,glucoseglycerol
YP_003043232.1,59.3821397012418,-1.41349567345564,0.304306285129904,-4.64497692794036,3.40114462974918e-06,9.31617876844339e-05,thrB,ECB_00003,b0003,-1,protein_wo_NA,Exp,carbonSource,glucoseglycerol
YP_003043233.1,305.862419702043,-1.20844440527193,0.33907578622688,-3.56393601182522,0.000365335050228906,0.00364178926652232,thrC,ECB_00004,b0004,-1,protein_wo_NA,Exp,carbonSource,glucoseglycerol
YP_003043235.1,34.5525044930776,-0.811221185868684,0.279292214745161,-2.90456068246971,0.0036776890426196,0.0173683965281136,yaaA,ECB_00006,b0006,-1,protein_wo_NA,Exp,carbonSource,glucoseglycerol
YP_003043236.1,0.493819035167334,1.05345802022712,0.822140845659901,1.28135954537272,0.200067406732821,0.297269967551126,yaaJ,ECB_00007,b0007,1,protein_wo_NA,Exp,carbonSource,glucoseglycerol
YP_003043237.1,214.716731430781,-0.435239275702203,0.278714059243309,-1.56159785008281,0.118382756277512,0.199521499344121,talB,ECB_00008,b0008,-1,protein_wo_NA,Exp,carbonSource,glucoseglycerol
YP_003043238.1,11.9657499549957,-0.358002131119135,0.309049880535038,-1.15839595375138,0.246702489629725,0.351316836498026,mogA,ECB_00009,b0009,-1,protein_wo_NA,Exp,carbonSource,glucoseglycerol
YP_003043242.1,0.474105789537565,-0.0155430145506103,0.855639074879755,-0.0181653865595077,0.985506915601933,0.988876157749051,yaaI,ECB_00013,b0013,-1,protein_wo_NA,Exp,carbonSource,glucoseglycerol
YP_003043243.1,719.975486931988,-0.538777310107798,0.333357914379731,-1.61621274572192,0.106048324003851,0.184763396356266,dnaK,ECB_00014,b0014,-1,protein_wo_NA,Exp,carbonSource,glucoseglycerol
YP_003043244.1,69.9688371108407,-0.777092389367876,0.271764868602615,-2.85942915787312,0.00424404198739621,0.018962740794749,dnaJ,ECB_00015,b0015,-1,protein_wo_NA,Exp,carbonSource,glucoseglycerol
YP_003043245.1,1.02812435194655,-0.363761041953441,0.763298909174914,-0.47656434141462,0.6336723804723,0.712626918417617,insL-1,ECB_00016,b0016,-1,protein_wo_NA,Exp,carbonSource,glucoseglycerol
