mogA
ribF
ispH
fruR
murG
coaE
acnB
hemL
yadR
degP
rnhB
tilS
gloB
yahJ
yahO
yaiL
yajD
nrdR
ribD
dxs
ppiD
acrA
ybcU
entD
ybdH
rnk
lipA
gltA
sdhA
galK
galE
modF
ybhA
dps
dacC
potG
ybjP
poxB
macA
lrp
pflA
ycaR
wrbA
ycdX
ymdB
mviM
flgM
flgH
flgI
rpmF
acpP
holB
ycfP
lolD
ycfD
phoP
ycfC
ycgE
minC
dhaM
dhaL
ychN
narX
oppF
kch
yciK
yciT
sapD
ycjX
ydaA
ydcF
ydcI
ydcL
sfcA
ydfH
ydgB
rstA
fumC
manA
nth
ydhF
nemA
ydhD
sodB
yniB
selD
fadD
kdgR
ruvA
flhC
ftn
wzzB
wbbC
asmA
mrp
dld
fruB
napA
pmrD
nuoI
nuoG
nuoC
lrhA
dedD
mepA
yfcN
fadL
yfdE
zipA
murQ
amiA
tktB
yffH
yfgC
hda
pepB
hscA
hmpA
trxC
pssA
rplS
rpsP
grpE
stpA
proX
gshA
ygaD
gutQ
mutS
surE
ygcF
yqcA
xni
argA
ptr
fbaA
yggV
glcB
glcG
glcE
nudF
tolC
yqiC
dnaG
uxaA
yhbS
pnp
rpoN
yhcB
degQ
mdh
rpsK
rplO
rplC
rpsJ
yhfA
nudE
pckA
ompR
gntT
livK
rsmD
gor
kdgK
yhjN
dppD
mtlA
mutM
dfp
yicH
ilvB
yidR
dnaA
trmE
phoU
pstS
atpC
rbsD
rbsK
hemX
ysgA
udp
tatB
pepQ
hemN
yihX
argC
argH
udhA
rplK
rsd
aceA
plsB
yjcO
fxsA
efp
amiB
ytfM
argI
fecR
mcrB
hsdS
mdoB
dnaT
smp
apaH
yaeT
betA
tesA
modE
ybiB
yliB
pepN
sufS
aroD
flhE
yeeI
ppk
relA
mltA
recC
xerD
yggN
speC
rplV
rpe
glgA
ilvM
pldA
rfaH
hflC
