yaiE
apbA
ybaQ
nadD
modA
moaC
rumB
gnsA
acnA
aldA
yncD
ynfJ
lpp
cpsG
yeiU
narP
elaC
ucpA
yfiD
yfjG
gabD
gabT
hypB
yqeF
yqhA
cca
ygjR
rplU
yhdW
rplQ
rplX
sirA
yhiQ
yibQ
tdh
fadA
fadB
acs
proP
yjgJ
yjgR
uxuA
sufB
msbB
glnG
