"","x"
"401","hslU"
"402","hslV"
"403","htpG"
"404","htrB"
"405","htrE"
"406","hupA"
"407","hupB"
"408","hyaB"
"409","hybC"
"410","hycE"
"411","hyfG"
"412","hyi"
"413","hypF"
"414","iadA"
"415","ibpA"
"416","icdA"
"417","iciA"
"418","iclR"
"419","idnD"
"420","idnO"
"421","ihfB"
"422","ileS"
"423","ilvA"
"424","ilvC"
"425","ilvD"
"426","ilvE"
"427","ilvG"
"428","ilvH"
"429","ilvI"
"430","ilvY"
"431","imp"
"432","infA"
"433","infB"
"434","infC"
"435","insD"
"436","insI"
"437","insL-1"
"438","intB"
"439","intD"
"440","intR"
"441","iscA"
"442","iscR"
"443","iscS"
"444","iscU"
"445","ispB"
"446","ispG"
"447","ispH"
"448","katE"
"449","katG"
"450","kbl"
"451","kdgR"
"452","kdpB"
"453","kdpD"
"454","kdsA"
"455","kdsB"
"456","kefA"
"457","kefB"
"458","lacZ"
"459","ldcC"
"460","ldhA"
"461","lepA"
"462","lepB"
"463","leuA"
"464","leuB"
"465","leuC"
"466","leuD"
"467","leuS"
"468","lexA"
"469","ligB"
"470","livF"
"471","livG"
"472","livJ"
"473","livK"
"474","livM"
"475","lolB"
"476","lolD"
"477","lon"
"478","lpdA"
"479","lpp"
"480","lpxA"
"481","lrp"
"482","ltaE"
"483","lysA"
"484","lysC"
"485","lysS"
"486","macB"
"487","maeB"
"488","malE"
"489","malI"
"490","malK"
"491","malP"
"492","malQ"
"493","malT"
"494","malZ"
"495","manA"
"496","manC"
"497","manX"
"498","map"
"499","mcrB"
"500","mcrC"
"501","mdh"
"502","mdlA"
"503","mdlB"
"504","mdoB"
"505","mdoG"
"506","menB"
"507","menE"
"508","menF"
"509","metA"
"510","metB"
"511","metC"
"512","metE"
"513","metG"
"514","metH"
"515","metI"
"516","metJ"
"517","metK"
"518","metL"
"519","metN"
"520","metQ"
"521","mglA"
"522","mglB"
"523","mgsA"
"524","mgtA"
"525","minC"
"526","minD"
"527","minE"
"528","mioC"
"529","mltD"
"530","mltE"
"531","mnmA"
"532","moaB"
"533","modA"
"534","modF"
"535","moeA"
"536","mogA"
"537","motB"
"538","mpl"
"539","mqo"
"540","mraW"
"541","mrcB"
"542","mrdA"
"543","mreB"
"544","msrA"
"545","msyB"
"546","mtlA"
"547","mtlD"
"548","murA"
"549","murB"
"550","murC"
"551","murD"
"552","murF"
"553","mutL"
"554","nadA"
"555","nadE"
"556","nadR"
"557","nagA"
"558","nagB"
"559","nagD"
"560","nagE"
"561","napA"
"562","narL"
"563","narQ"
"564","narW"
"565","narZ"
"566","ndk"
"567","nemA"
"568","nfi"
"569","nfnB"
"570","nfrA"
"571","nfsA"
"572","nhaR"
"573","nikD"
"574","nikE"
"575","nikR"
"576","nirB"
"577","nlpB"
"578","norV"
"579","nrdA"
"580","nrdB"
"581","nrdR"
"582","nrfA"
"583","nudE"
"584","nuoC"
"585","nuoF"
"586","nuoG"
"587","nuoK"
"588","nuoL"
"589","nupC"
"590","nusA"
"591","nusB"
"592","nusG"
"593","ompA"
"594","ompR"
"595","oppA"
"596","oppF"
"597","orn"
"598","osmC"
"599","otsA"
"600","otsB"
"601","oxyR"
"602","pabB"
"603","pabC"
"604","pal"
"605","panB"
"606","panC"
"607","panD"
"608","pbpC"
"609","pckA"
"610","pdxA"
"611","pdxB"
"612","pdxH"
"613","pdxJ"
"614","pdxY"
"615","pepA"
"616","pepD"
"617","pepN"
"618","pepP"
"619","pepQ"
"620","pepT"
"621","pfkA"
"622","pfkB"
"623","pflB"
"624","pflC"
"625","pfs"
"626","pgi"
"627","pgk"
"628","pheA"
"629","pheS"
"630","pheT"
"631","phnA"
"632","phnB"
"633","phnJ"
"634","phnM"
"635","phoA"
"636","phoB"
"637","phoE"
"638","phoH"
"639","phoP"
"640","phoR"
"641","phoU"
"642","phrB"
"643","plsB"
"644","pmbA"
"645","pncA"
"646","pnp"
"647","pntA"
"648","pntB"
"649","polA"
"650","polB"
"651","potD"
"652","potF"
"653","potG"
"654","ppa"
"655","ppc"
"656","ppiA"
"657","ppiB"
"658","ppiC"
"659","ppiD"
"660","ppk"
"661","ppsA"
"662","pqqL"
"663","prc"
"664","prfB"
"665","prfC"
"666","prlC"
"667","prmA"
"668","proA"
"669","proB"
"670","proC"
"671","proQ"
"672","proS"
"673","proV"
"674","proW"
"675","prpR"
"676","prsA"
"677","psd"
"678","pspB"
"679","pspE"
"680","pssA"
"681","pstB"
"682","pstS"
"683","pta"
"684","ptrB"
"685","ptsA"
"686","ptsG"
"687","ptsH"
"688","ptsI"
"689","ptsN"
"690","purA"
"691","purB"
"692","purC"
"693","purD"
"694","purE"
"695","purF"
"696","purH"
"697","purK"
"698","purL"
"699","purM"
"700","purN"
"701","purR"
"702","purT"
"703","purU"
"704","pykA"
"705","pykF"
"706","pyrB"
"707","pyrC"
"708","pyrD"
"709","pyrE"
"710","pyrF"
"711","pyrG"
"712","pyrH"
"713","queF"
"714","rbfA"
"715","rbsA"
"716","rbsB"
"717","rbsC"
"718","rbsD"
"719","rbsK"
"720","rcsC"
"721","rcsF"
"722","recA"
"723","recB"
"724","recD"
"725","recF"
"726","recN"
"727","recQ"
"728","renD"
"729","rfaD"
"730","rfaE"
"731","rfbA"
"732","rfbB"
"733","rfbD"
"734","rhaA"
"735","rhlB"
"736","rho"
"737","rhsA"
"738","rhsB"
"739","rhsD"
"740","rhsE"
"741","ribB"
"742","ribC"
"743","rimM"
"744","rlmL"
"745","rlpB"
"746","rnb"
"747","rne"
"748","rng"
"749","rnk"
"750","rnpA"
"751","rnt"
"752","rob"
"753","rof"
"754","rpe"
"755","rph"
"756","rpiA"
"757","rpiR"
"758","rplA"
"759","rplB"
"760","rplD"
"761","rplE"
"762","rplF"
"763","rplI"
"764","rplJ"
"765","rplK"
"766","rplL"
"767","rplN"
"768","rplO"
"769","rplP"
"770","rplQ"
"771","rplR"
"772","rplS"
"773","rplV"
"774","rplW"
"775","rplY"
"776","rpmA"
"777","rpmB"
"778","rpmC"
"779","rpmD"
"780","rpmE"
"781","rpmF"
"782","rpmG"
"783","rpmH"
"784","rpmI"
"785","rpoA"
"786","rpoB"
"787","rpoC"
"788","rpoD"
"789","rpoE"
"790","rpoZ"
"791","rpsA"
"792","rpsB"
"793","rpsC"
"794","rpsD"
"795","rpsE"
"796","rpsF"
"797","rpsG"
"798","rpsH"
"799","rpsI"
"800","rpsJ"
"801","rpsK"
"802","rpsL"
"803","rpsM"
"804","rpsN"
"805","rpsO"
