thrB
thrC
talB
dnaK
rpsT
carA
folA
ksgA
imp
djlA
hepA
leuD
leuC
leuB
leuA
fruR
yacG
ampE
acnB
speD
cueO
panD
folK
pcnB
dksA
fhuA
hemL
pfs
degP
cdaR
glnD
tsf
pyrH
frr
yaeT
hlpA
lpxD
fabZ
lpxA
accA
tilS
rof
proS
rcsF
metQ
metN
dkgB
yafV
ykfE
gmhA
yafJ
dinJ
yagU
yahO
prpB
prpC
prpD
lacI
yaiL
tauB
ampH
proC
yaiE
tgt
secF
yajD
dxs
ispA
thiJ
apbA
yajQ
cyoB
cyoA
yajG
bolA
tig
clpP
clpX
hupB
ppiD
ybaX
ybaE
ybaY
acrA
acrR
kefA
apt
ybaB
recR
ushA
ybaK
ybbN
allR
purE
ybcU
ompT
ybdK
entD
fepB
entA
ybdQ
rnk
rna
rlpA
ybeB
nadD
rlpB
ybeL
gltI
lnt
nagD
glnS
fur
fldA
ybfF
sdhA
sdhB
sucA
sucD
tolB
pal
ybgF
nadA
ybgS
galM
galK
galE
modA
ybhC
ybhB
bioB
bioD
uvrB
moaE
rhlE
ybiC
glnP
dps
ompX
ybiS
yliA
rimO
dacC

potF
rumB
artJ
artI
ybjP
ybjS
clpA
infA
trxB
lrp
ftsK
lolA
pflA
aroA
ihfB
ycaR
smtA
ompF
pncB
pyrD
ycbX
rlmL
ymbA
ycbZ
ompA
mgsA
appA
gnsA
torT
torA
cbpA
yccJ
putP
ymdB
mdoG
msyB
htrB
solA
dinI
pyrC
yceB
mviM
flgN
flgM
flgD
flgE
flgG
flgK
flgL
rne
yceF
yceD
rpmF
fabH
fabD
acpP
fabF
ycfH
ycfF
ycfW
potD
ycfD
phoP
ycgM
fadR
ycgB
dadA
dhaL
prsA
ychN
narL
narX
purU
galU
hns
oppA
oppB
yciU
kch
yciD
trpB
yciO
yciK
sohB
acnA
pyrF
osmB
rnb
ycjK
goaG
ycjX
tpx
ycjG
ycjI
ycjY
mppA
ydaO
ompN
ydbK
hslJ
ldhA
gapC
ydcL
yncD
sfcA
rpsV
ydfH
ynfD
pntA
ydgI
ydgB
rstA
fumC
ydgA
hdhA
tyrS
slyB
sodC
gloA
rnt
ydhD
lpp
ynhG
sufE
ydiJ
ihfA
pheT
infC
pfkB
ydjA
ansA
yeaA
gapA
yeaD
yoaB
pabB
manZ
cspC
kdgR
yebT
yebF
yebG
purT
yebK
torZ
cutC
araF
yecA
yedY
yeeI
yeeX
sbmC
yeeD
hisH
wzzB
wbbA
galF
wzc
baeR
thiM
bglX
yeiG
lysP
yejA
yejG
yejH
