dkgB
ampH
ybaX
acrR
recR
ybdK
fepB
nadD
moaE
rhlE
ybjS
smtA
appA
torT
cbpA
narL
ydaO
yncD
ydgI
ydgB
hdhA
lpp
yebT
yeiG
lysP
yejH
narP
xseA
yfhG
csrA
hypB
barA
gudD
glcE
gss
dnaG
fadH
ygjO
yraR
yhbH
yhiQ
bcsC
cspA
xylB
yiaJ
kbl
rpmH
atpB
yifL
yihE
cytR
yjeA
mutL
ytfM
yjgJ
yjjV
copA
kdgK
