genes
glpK
glpQ
glpD
rhlE
mglA
ptsG
mglB
gcd
pspA
glpA
mqo
glpF
glpB
ndh
speD
tnaA
deaD
ptsI
ycfH
ycjK
acs
metK
hepA
rplL
entB
aldA
ydbK
cyaA
rimO
purU
fecA
nfo
bipA
edd
ompX
guaA
rpsE
glpC
pfs
yrbH
potA
trpD
rnt
nanA
rnb
fecE
fecB
pheT
cfa
glpT
rpmA
wecC
ilvA
yciD
tsf
guaB
thiD
trpE
gltB
mltE
entC
cysN
moaC
goaG
rumB
ileS
ybgF
dapB
metL
tldD
nadE
cysD
aldH
gcvP
aspA
entF
asnB
cspC
purM
cspA
yceA
pspC
mglC
yleA
apbA
alaS
glmU
argR
rplA
nadA
purK
pepE
ilvI
map
gltD
aroG
yjeA
nagD
artP
panB
thrC
dapE
yoaB
yceD
xasA
hsdM
fepA
cirA
yegQ
yecO
yejG
proC
yieH
metE
fadH
fabD
purF
artJ
fabB
uxuB
tyrS
ilvG
ygiF
ppc
thrB
lepA
ygjD
yncD
ftsA
asnC
metG
coaD
entE
pdxJ
tyrB
malF
yfbR
ptsH
folC
bglA
yjcH
carA
fldB
cyoB
yiaJ
ykfE
rplN
slyD
gshB
fabF
bioB
trpB
fabH
yrdD
tkrA
rhlB
thrA
fusA
rrmB
pfkA
tauA
yhgF
pepA
fhuC
ycdO
yoaC
rnc
pmbA
leuA
cyoA
gnd
parC
glnS
ydiJ
aroA
yibO
fadB
asnA
sufC
murA
hslO
mpl
ispG
ycgO
rpoC
rffH
aceE
yagU
rbsB
ydcP
yfgB
pncB
uxaC
ligA
murC
rpsD
argD
zntA
gsk
btuB
lysA
rlmL
thiI
bioF
nrdA
yggJ
zwf
wecE
ygfB
wecB
pyrD
sppA
glnG
ispB
flgB
yidQ
ppiC
ackA
fhuE
hlpA
yghJ
nrdB
leuS
nrdD
yebO
yceI
gss
yheS
ddl
yfjG
manB
fdx
pcnB
trxB
waaA
rng
artQ
htpX
nanR
gidA
yihI
aroL
narX
thiM
pbpG
glpE
pyrB
lpp
ydiU
shiA
ybaX
yejK
yjgJ
ycfW
murB
yneH
bisC
yeiU
gyrB
gcvR
yncE
cysA
flu
recR
metN
sohB
murF
purL
ymbA
cysC
avtA
glmS
proB
rihA
tpiA
manY
serB
cpsG
rluD
mnmA
rnr
proS
sms
pdxY
tolB
yecP
iscS
rph
pyrH
yihD
alr
fldA
yrbF
mgtA
ilvE
exbD
ftsZ
aroB
nusA
yibK
dcp
pntA
yhjE
secA
fnr
rnfG
rnfB
yidA
yibL
glpX
argS
hisB
fdhD
iscA
cysM
metC
rpsA
exbB
yfiF
ygaP
fmt
bioH
ycdB
argE
yebU
mrcA
rpsL
truA
dkgA
pfkB
manX
aroE
panD
ybgI
asd
yijP
ampH
thyA
rlpA
fhuA
hisI
trpS
yacG
yhbJ
dacB
trmA
ygjO
htrB
betB
iscR
glyQ
yciO
ribC
ybgL
hisC
eno
yidJ
yggS
ycaO
mltB
ksgA
argG
cspE
flgC
deoC
yfiC
infB
rsuA
tonB
hha
ybaK
kdsB
yhbY
mukB
sfsA
secF
emrR
rna
era
yqgE
ygaU
wbbB
yraL
gltX
kefA
yegW
talA
ubiC
yggB
mdoG
ppiA
lpxD
baeR
yfbT
iciA
ygfZ
ycbL
fabG
insA-2
insA-3
insA-4
insA-5
insA-6
insA-7
insA-8
insA-9
insA-10
insA-11
insA-12
insA-13
insA-14
insA-15
insA-16
insA-17
yfbU
insA-18
insA-19
insA-20
insA-21
insA-22
insA-23
insA-24
insA-26
insA-27
insA-28
rrmJ
leuB
yfcE
rumA
gltP
hsdS
codA
yfhA
gppA
bioD
ybjX
flgJ
pyrC
ybbN
hemB
queA
speE
hisP
leuC
ydeN
flgK
yrfG
yjbN
ucpA
fadI
purT
ydaO
aroK
cdd
yigB
ynfJ
ygjU
udk
yacF
yidC
cueO
galF
rimM
pabB
purR
betA
clpP
ycbZ
imp
ybgJ
vacJ
gpsA
fadR
yfcM
csdA
fucI
yjjG
yaaA
tgt
rihC
ubiX
yqhD
yjfH
yjfI
ompT
msbA
ompF
ybiJ
lolA
ydiH
alsB
yebR
potD
yobA
yciV
sufA
pyrI
phoE
nadD
lysU
yjjU
yliJ
moeA
ycgN
yfiP
yhbW
ybhE
dsbA
infA
modC
ispA
yrbB
ydiY
dnaB
yeeF
emrA
gmhA
modE
mepA
glyA
dbpA
speB
hslJ
cutC
yceF
rstB
yjjA
ypdB
ybaB
pflD
yeaZ
rcsF
trmH
parE
ybcT
dksA
sufD
clpS
yncB
yeiP
gltS
yfgL
cysG
ybeD
nudG
ydgJ
ftsY
rpsQ
hflK
sapD
yccW
prfB
ybeB
amn
engB
ybiC
ybdB
cysK
tyrA
yfcL
ompN
barA
amiB
cydD
ydgH
yrbI
rbsR
cysE
flgD
yfhJ
mltA
fre
ycgV
usg
fepC
yfgM
proP
hemN
artI
smpA
yjiW
syd
ybaQ
ycjX
yjiM
otsA
grxA
flgF
celF
xseA
selB
wcaA
yhbG
yeeD
ydhZ
yidG
yafJ
dut
ompL
menB
ypdC
gudD
yaeR
ybaE
katE
yhdW
degS
yhdE
malM
yhcQ
xylF
iclR
selA
yeaK
ygiB
yehT
ydiE
sufB
yhjU
mrdA
yfeK
ubiG
yibQ
prmA
folX
rpmE
birA
rcsC
nanK
yhiQ
cheB
glcE
zntR
flgG
galS
ftsK
hpaG
thiJ
glnE
ybeL
yghZ
exoX
