yaaI
dnaK
insL-1
nhaR
elfG
fkpB
caiT
fixA
yabF
folA
surA
tbpA
setA
leuO
lpxC
yacA
nadC
lpdA
yacL
yadG
folK
yadB
mrcB
fhuD
yaeH
rpsB
cutF
metQ
metI
yafT
yafL
prfH
gpt
frsA
crl
proA
yagX
ykgI
ykgH
yahF
yahG
cynS
mhpF
mhpT
frmR
tauD
yaiA
aroM
yajF
sbcC
malZ
yajC
secD
yajI
cyoE
yajG
bolA
clpX
cof
mdlB
tesB
htpG
adk
ybaL
ybaP
ybaS
cueR
allR
ylbA
allC
allD
sfmC
ybcQ
ybcH
cusR
cusC
ylcC
cusB
ybdG
ybdF
insJ-1
ybdL
ahpC
ybdQ
citT
citG
citD
citC
tatE
mrdB
rlpB
gltI
ybeY
ybeZ
nagB
nagE
seqA
pgm
kdpA
ybfD
ybgJ
ybgK
nei
sucA
sucD
tolQ
tolR
ybgR
galT
ybiL
glnQ
glnH
ybiT
ybiV
moeB
ybiK
cmr
ybjJ
potF
artM
ybjQ
ybjR
ltaE
cspD
cydC
cydD
dmsC
pflB
focA
ycaL
lpxK
smtA
mukE
ycbB
aspC
ssuA
ycbF
ompA
mgsA
yccK
hyaE
appA
torT
ycdI
insE-1
ycdY
mdoH
dinI
flgN
flgA
flgG
flgL
rne
ycfF
ycfM
ycfJ
ycfR
mfd
ycfU
purB
ymfC
icdA
ycgZ
minE
minD
dadX
ycgV
ychF
pth
lolB
ychA
kdsA
hnr
adhE
oppC
oppD
yciN
cysB
ribA
yciS
osmB
yciW
fabI
sapB
sapA
puuD
pspB
pspD
ycjN
ycjW
ycjF
tyrR
tpx
ydaL
dbpA
ydbH
ynbB
acpD
mdoD
rimL
ydcN
ydcS
ydcU
yddH
nhoA
yddK
yddR
ydeQ
ydeS
ydeT
hipB
yneK
ydeE
ydeI
ydfG
ydfI
gnsB
ynfB
ynfH
pntB
uidB
malX
rnfE
tppB
ydhP
norM
ydhQ
ydhR
pykF
sufE
ydiI
ydiB
ppsA
btuE
btuC
ihfA
rpmI
ydjC
astA
xthA
ynjF
ydjA
pncA
yeaK
yeaU
yeaY
yoaH
yoaD
yoaE
prc
proQ
yebE
pykA
znuC
znuB
ruvB
ntpA
yecM
flhA
cheZ
cheB
cheR
tap
flhD
yecI
yecJ
yecR
yecA
pgsA
uvrY
yeeN
cobS
yeeY
hisD
hisA
hisF
vioB
vioA
rfbA
wcaH
wcaB
dcd
yegD
yegP
ogrK
gatB
yegT
yehV
yohF
yeiM
fruA
yejB
yejE
rplY
ccmE
napB
napH
eco
alkB
yojL
inaA
yfaU
yfbB
nuoK
nuoH
nuoB
yfbQ
yfcH
hisM
accD
yfcA
yfcB
yfcZ
yfdC
dsdC
yfdW
ypdG
yfeD
yfeH
yfeW
yfeY
eutL
eutH
maeB
aegA
narQ
ypfH
purC
dapA
bcp
hyfB
hyfF
ppx
hisS
yfgA
yfgB
ndk
sseA
sseB
hscB
yfhQ
yphA
glnB
yfhH
acpS
lepB
rseB
rpoE
nadB
kgtP
clpB
ygaV
nrdE
yqaB
recA
hypF
hycI
hycD
ygbN
rpoS
cysH
cysJ
ygcM
yqcE
mazG
chpR
yqcC
queF
fucU
ygdI
lgt
tas
aas
ygeA
kduD
ygeQ
ygfM
ygfO
ygfQ
dsbC
ygfY
pepP
ygfE
yggE
yggB
pgk
epd
frcK
yggP
cmtA
speA
yqgD
galP
trmB
yggX
nupG
yeeR
yeeU
yghG
yghJ
hybE
hybD
yghA
plsC
ygiN
ygiC
ygiL
folB
ygiP
ygjE
ygjF
yqjH
ygjV
yhaJ
yhaK
yhaM
tdcG
garK
garD
agaS
agaD
agaI
yraO
yraP
yraQ
yraR
yhbT
mtr
truB
secG
hflB
greA
obgE
yrbA
yhbN
mtgA
arcB
dcuD
sspB
rpsI
yhcM
yhcQ
yhdP
panF
yrdC
def
rpsM
rplF
rpsH
rplE
rpmC
rplP
rpsC
rpsS
rplD
chiA
rpsG
yheL
yheM
yheO
fkpA
yhfC
frlB
yhfT
yhfW
gph
dam
feoA
yhgG
malQ
malP
glpR
glgP
gntK
yhhW
yhhX
livF
livG
ftsE
yhhM
yhiR
yhjJ
dppC
dppB
yhjX
yiaD
glyS
yiaH
xylH
lyxK
yiaT
yiaU
yiaW
selB
yibJ
mtlD
mtlR
lldP
secB
grxC
waaG
rpmB
pyrE
yicK
uhpC
uhpA
glvBC
ibpA
yidB
recF
dnaN
rnpA
yieG
bglF
atpD
atpG
atpA
atpE
gidA
mioC
rbsC
yieP
ilvY
trxA
rho
wzzE
hemY
hemC
cyaY
xerC
uvrD
yigE
ubiB
fre
yigZ
mobB
mobA
yihF
yihP
yihS
fdhE
frvX
cpxR
sbp
yiiS
yiiT
fpr
yiiU
hslU
hslV
ftsN
katG
talC
frwD
argB
oxyR
murI
rplJ
nfi
hupA
iclR
yjbC
yjbF
yjbG
xylE
malE
lamB
lexA
uvrA
phnP
phnJ
phnG
yjcZ
dcuB
yjdJ
yjeH
ecnB
blc
psd
yjeQ
orn
yjeF
yjeE
miaA
hflX
yjeT
yjeB
yjfC
yjfP
yjfQ
ulaD
sgaU
sgaE
rpsR
ytfB
fklB
ytfE
msrA
ppa
yjgA
yjgM
yjgN
insA-25
fimI
yjiH
yjiA
fhuF
prfC
deoB
lplA
slt
trpR
gpmB
creB
lasT
