dnaK
rpsT
djlA
fruR
ampE
acnB
pcnB
hemL
fabZ
lpxA
tilS
metQ
yafV
yafJ
yagU
prpB
prpC
prpD
yaiL
tauB
yaiE
tgt
yajD
dxs
cyoA
ppiD
allR
ybcU
entD
rnk
rna
ybeB
rlpB
sdhA
sdhB
nadA
galK
modA
ybhC
uvrB
yliA
clpA
lrp
ftsK
ycaR
pncB
ycbX
rlmL
ycbZ
putP
htrB
dinI
yceB
flgM
flgE
flgL
rpmF
phoP
dadA
dhaL
narX
oppB
yciU
kch
yciK
ycjX
tpx
ycjY
mppA
ompN
gapC
rpsV
ydfH
gloA
ydhD
sufE
infC
ansA
yeaA
pabB
manZ
yebK
yecA
yeeI
wbbA
thiM
yejG
eco
nuoL
nuoI
yfcN
fadL
ypdB
ligA
ucpA
murQ
yfgJ
ndk
yfhM
hscA
nadB
trxC
aroF
mltB
srlB
mutS
ptr
ygfB
fbaA
yggS
yggV
yghJ
yqhA
ygjD
rpoD
ygjR
yhaJ
pnp
rrmJ
obgE
yrbB
yrbD
yrbF
yhbL
rpsI
mdh
yhdE
accC
fis
rpsK
secY
rplO
rplP
rplC
yhgF
glgB
gntK
rsmD
pitA
yhjU
dppF
yhjW
mtlR
lldR
lldD
secB
mutM
rpmG
ibpB
glmU
atpD
atpG
pldA
ubiB
tatB
fdhD
rpmE
metB
rplK
purD
yjbN
uvrA
ssb
fumB
frdA
hflK
hflC
ytfG
mgtA
yjiY
nadR
yaeH
phoB
ribD
tesA
macA
yciN
rnfG
nemA
sufB
asmA
rsuA
yfeX
rpoA
rbsD
