thrB
thrC
yaaA
talB
dnaJ
insA-1
rpsT
carA
pdxA
imp
djlA
hepA
leuD
leuC
leuB
leuA
ilvI
murF
murC
ftsA
yacG
yacF
speD
cueO
panC
panB
pcnB
dksA
sfsA
pfs
cdaR
tsf
pyrH
yaeL
hlpA
lpxD
fabZ
lpxA
rof
metN
ykfE
gmhA
phoE
proB
yagU
tauA
hemB
ampH
ddl
proC
tgt
nusB
ispA
thiJ
yajQ
cyoA
clpP
ybaX
kefA
recR
gsk
ushA
ybbN
purE
cysS
ompT
entA
rna
cspE
dacA
rlpA
ybeB
ybeL
lnt
yleA
nagD
nagA
glnS
fur
fldA
ybfF
ybgL
ybgF
nadA
galM
ybhE
ybhC
bioB
bioF
bioD
rhlE
ybiC
ybiN
ompX
ybiS
rimO
deoR

nfsA
artQ
artI
ybjX
trxB
ftsK
ycaJ
ycaO
aroA
msbA
mukB
ycbL
ompF
pyrD
ycbX
rlmL
ymbA
ycbZ
cspG
putP
mdoG
htrB
yceA
yceI
solA
pyrC
yceH
flgB
flgD
flgE
flgF
flgJ
flgK
yceF
yceD
fabH
fabD
fabF
ycfH
ycfW
ycgN
fadR
dhaK
prsA
purU
galU
hns
oppA
yciA
trpB
trpD
trpE
yciO
sohB
topA
pyrF
rnb
ycjK
mppA
fnr
ydaO
ompN
ydbK
hslJ
ldhA
gapC
yneH
ynfD
ynfI
rstB
ydgA
add
ydgJ
rnfB
rnfG
gst
pdxY
anmK
slyB
rnt
ribC
ynhG
ydiJ
pheT
rplT
infC
pfkB
yniC
nudG
sppA
ansA
yeaC
yeaA
gapA
yeaD
yeaZ
yoaB
yoaC
pabB
htpX
yebU
yebF
yebG
yebK
yecP
cutC
yedY
erfK
yeeX
yeeD
hisC
hisH
hisI
manB
galF
wzc
udk
baeR
yegQ
thiD
thiM
bglX
mglB
nfo
yejG
rsuA
yejH
ccmH
mqo
ubiG
nrdB
glpQ
yfaY
yfbH
nuoL
nuoF
nuoE
yfbR
yfbT
ackA
yfcD
yfcE
argT
folC
truA
usg
fabB
yfcM
aroC
sixA
fadI
vacJ
ligA
cysM
cysA
yfeX
talA
dapE
ypfI
nlpB
gcvR
upp
purM
purN
guaB
yfgJ
engA
yfgL
yfgM
ispG
yfhM
yfhJ
fdx
iscU
iscS
purL
pdxJ
era
rseA
yfiC
yfiF
rluD
rimM
smpA
yfjF
emrR
alaS
cysI
eno
rumA
syd
ygdH
csdA
lysA
idi
prfB
fldB
bglA
gcvP
ygfB
rpiA
iciA
yggG
speB
yggJ
gshB
yqgE
yggS
flu
parC
mdaB
ygiM
ygjD
rpsU
ygjO
exuR
yraL
yraM
rbfA
argG
glmM
folP
dacB
ispB
murA
yrbB
yrbC
yrbD
yrbF
yrbH
yrbI
yhbG
yhbJ
yhbL
gltD
nanR
sspA
degS
argR
tldD
yhdE
mreC
accB
fis
aroE
yrdD
fmt
rrmB
rpsD
rpsE
rplR
rpsN
tufA
slyX
crp
argD
cysG
aroB
mrcA
yrfG
hslO
feoB
bioH
asd
livJ
ftsY
zntA
uspA
yhjD
yhjK
yhjU
dppF
dppA
yhjW
bisC
tkrA
yiaJ
selA
yibH
lldR
yibK
cysE
gpsA
yibN
yibO
waaA
coaD
trmH
nlpA
ade
ilvN
gyrB
yidC
yieH
glmS
glmU
atpH
atpF
asnA
rbsB
yifE
ilvG
ilvE
ilvD
rhlB
wecB
wecC
rffH
wecE
cyaA
ubiE
ubiD
yihD
polA
engB
yihI
fdhD
tpiA
glpK
rpmE
metB
yijP
argE
trmA
btuB
murB
coaA
nusG
rpoC
hemE
purD
purH
metH
yjbD
pgi
ubiC
yjbN
dnaB
ssb
gltP
fumB
lysU
frdA
yjeA
hfq
hflK
rpsF
rplI
ytfN
mpl
pmbA
mgtA
pyrB
yjgL
valS
pepA
iadA
hsdM
hsdR
hpaE
yjjA
rsmC
yjjG
osmY
serB
sms
nadR
yjjK
dapB
ksgA
mraW
gcd
fhuA
fhuC
rcsF
pepD
purK
fepC
ybdB
artP
pncB
yccW
ycdO
ycdW
grxB
flgC
tmk
mltE
dcp
cfa
sufD
sufC
yebY
eda
edd
aspS
amn
pta
glyA
tyrA
mltB
ygfZ
exbD
rpmA
rng
rpoA
slyD
trpS
yhgF
avtA
yibL
rpoZ
yigB
yigL
alr
yjeI
yjgF
fecE
yjjU
deoC
