thrB
thrC
talB
carA
folA
ksgA
imp
hepA
leuD
leuC
leuB
leuA
yacG
speD
cueO
panD
folK
dksA
fhuA
pfs
degP
cdaR
glnD
tsf
pyrH
frr
yaeT
hlpA
lpxD
accA
rof
proS
rcsF
metN
ykfE
gmhA
dinJ
yahO
lacI
proC
secF
ispA
thiJ
apbA
yajQ
cyoB
yajG
bolA
tig
clpP
clpX
hupB
ybaE
ybaY
acrA
kefA
apt
ybaB
ushA
ybaK
ybbN
purE
ompT
entA
ybdQ
rlpA
ybeL
gltI
lnt
nagD
glnS
fur
fldA
ybfF
sucA
sucD
tolB
pal
ybgF
ybgS
galM
galE
ybhB
bioB
bioD
ybiC
glnP
dps
ompX
ybiS
rimO
dacC

potF
artJ
artI
ybjP
infA
trxB
lolA
pflA
aroA
ihfB
ompF
pyrD
ymbA
ompA
mgsA
torA
yccJ
ymdB
mdoG
msyB
solA
pyrC
mviM
flgN
flgD
flgG
flgK
rne
yceF
yceD
fabH
fabD
acpP
fabF
ycfH
ycfF
ycfW
potD
ycfD
ycgM
fadR
ycgB
prsA
ychN
purU
galU
hns
oppA
yciD
trpB
yciO
sohB
acnA
pyrF
rnb
ycjG
ycjI
ydbK
hslJ
ldhA
ydcL
sfcA
ynfD
pntA
rstA
fumC
ydgA
tyrS
slyB
sodC
rnt
ynhG
ydiJ
ihfA
pheT
pfkB
ydjA
gapA
yeaD
yoaB
cspC
kdgR
yebF
yebG
purT
torZ
cutC
araF
yedY
yeeX
sbmC
yeeD
hisH
wzzB
galF
wzc
baeR
bglX
ubiG
nrdB
yfaY
yfbH
pmrD
nuoH
nuoF
nuoE
yfbR
yfbT
yfcD
yfcE
hisJ
argT
usg
fabB
aroC
vacJ
dsdA
zipA
cysM
cysP
nlpB
gcvR
upp
purM
purN
guaB
yfgL
yfgM
sseA
pepB
fdx
iscU
iscS
purL
pdxJ
rseA
rpoE
yfiC
yfiF
yfiA
tyrA
yfiL
rimM
grpE
smpA
yfjF
ygaU
stpA
emrR
recA
ygaD
gutQ
rpoS
ispD
cysI
eno
pyrG
ygdK
lysA
dsbC
fldB
bglA
gcvP
rpiA
tktA
yggG
speB
yqgE
flu
glcG
parC
mdaB
tolC
yqjG
tdcE
garR
yraL
yraM
deaD
rpsO
nusA
argG
dacB
ispB
murA
yrbC
yrbH
yrbI
yhbG
nanR
degQ
degS
argR
rng
accB
yhdW
aroE
yrdD
fmt
rrmB
rpsD
rpsE
rplE
rplX
rplN
rplV
bfr
tufA
fusA
rpsL
yheL
fkpA
slyX
argD
ppiA
trpS
rpe
aroB
hslO
ompR
bioH
asd
livK
livJ
sirA
yhiR
slp
dppA
yiaD
yiaF
mtlA
yibL
cysE
gpsA
yibN
yibO
dut
rpoZ
ilvB
gyrB
yidC
pstS
glmS
atpC
atpH
atpF
yieN
rbsB
rbsK
yifE
ilvE
ilvD
ppiC
wecC
hemX
ysgA
engB
yihI
glnA
tpiA
yiiT
yiiU
metJ
yijP
argE
argB
argH
trmA
btuB
nusG
rplA
rplJ
rpoC
hemE
hupA
purH
metH
malE
phnB
fxsA
groEL
blc
rnr
rpsF
rplI
ytfQ
mpl
argI
valS
pepA
yjhT
uxuB
iadA
hsdM
rsmC
osmY
serB
yjjK
creA
murC
ftsA
aceF
dnaE
proB
yajC
ybhE
yliB
ycdO
ycdW
ycgL
treA
yciT
sufS
sufC
pta
tktB
glyA
yggN
ygiW
exuR
fic
dfp
metE
murB
fecB
fecA
