thrB
thrC
yaaA
talB
mogA
dnaJ
insA-1
rpsT
ribF
ispH
carA
pdxA
imp
djlA
hepA
leuD
leuC
leuB
leuA
ilvI
fruR
murF
murG
murC
ftsA
yacG
yacF
coaE
pdhR
acnB
speD
cueO
panC
panB
pcnB
dksA
sfsA
hemL
yadR
pfs
degP
cdaR
tsf
pyrH
yaeL
hlpA
lpxD
fabZ
lpxA
lpxB
rnhB
dnaE
tilS
rof
yaeQ
metN
gloB
yafV
ykfE
gmhA
phoE
proB
yagU
yahJ
yahO
yaiL
tauA
hemB
ampH
ddl
proC
yaiE
phoB
tgt
yajD
nrdR
ribD
nusB
dxs
ispA
thiJ
apbA
yajQ
cyoA
clpP
ppiD
ybaX
acrA
kefA
recR
gsk
ushA
ybaQ
ybbN
purE
cysS
ybcU
ompT
entD
fepB
entA
ybdH
dsbG
rnk
rna
cspE
lipA
dacA
rlpA
mrdA
ybeB
nadD
ybeL
lnt
ybeX
yleA
nagD
nagA
glnS
fur
fldA
ybfF
ybgL
gltA
sdhA
ybgF
nadA
galM
galK
galE
modF
modA
ybhA
ybhE
ybhC
bioB
bioF
bioD
moaC
ybhG
rhlE
ybiC
ybiN
dps
ompX
ybiS
rimO
dacC
deoR

nfsA
potG
rumB
artQ
artI
ybjP
poxB
ybjX
macA
trxB
lrp
ftsK
ycaJ
pflA
ycaO
aroA
msbA
ycaR
mukB
ycbL
ompF
pyrD
ycbX
rlmL
uup
ymbA
ycbZ
cspG
gnsA
cbpA
agp
yccJ
wrbA
putP
ycdX
ymdB
mdoG
htrB
yceA
yceI
solA
pyrC
yceH
mviM
flgM
flgB
flgD
flgE
flgF
flgH
flgI
flgJ
flgK
yceF
yceD
rpmF
fabH
fabD
acpP
fabF
holB
ycfH
ycfP
lolD
ycfW
ycfD
phoQ
phoP
ycfC
ycgE
minC
ycgN
fadR
dhaM
dhaL
dhaK
prsA
hemA
ychN
narX
purU
galU
hns
tdk
oppA
oppF
yciU
kch
yciA
trpB
trpD
trpE
yciO
yciK
sohB
topA
acnA
pyrF
yciT
rnb
sapD
ycjK
ycjX
ycjG
ycjY
mppA
ydaA
fnr
ydaO
ompN
ydbK
hslJ
ldhA
ydcF
aldA
gapC
ydcI
ydcL
yncA
yncD
sfcA
yneH
yneI
ydfH
ynfD
ynfI
ynfJ
ydgI
ydgB
rstA
rstB
fumC
manA
ydgA
add
ydgJ
rnfB
rnfG
nth
gst
pdxY
anmK
slyB
ydhF
nemA
rnt
ydhD
sodB
ribC
lpp
ynhG
ydiJ
pheT
rplT
infC
pfkB
yniA
yniB
yniC
ydjQ
astC
nudG
selD
sppA
ansA
yeaC
yeaA
gapA
yeaD
rnd
fadD
yeaZ
yoaB
yoaC
pabB
kdgR
htpX
yebT
yebU
yebV
exoX
yebF
yebG
yebK
ruvA
yecP
cutC
flhC
ftn
yedY
erfK
yeeX
sbmC
yeeD
hisC
hisH
hisI
wzzB
manB
wbbD
wbbC
galF
cpsG
wcaA
wzc
asmA
udk
baeR
yegQ
thiD
thiM
mrp
bglX
dld
mglB
yeiG
lysP
nfo
fruB
yeiU
spr
yejG
rsuA
yejH
narP
ccmH
napA
mqo
ubiG
nrdB
glpQ
yfaY
yfbH
pmrD
elaC
nuoL
nuoI
nuoG
nuoF
nuoE
nuoC
lrhA
yfbR
yfbT
ackA
yfcD
yfcE
argT
dedD
folC
truA
usg
fabB
yfcM
mepA
aroC
yfcN
sixA
fadI
fadL
vacJ
dsdA
yfdE
ligA
zipA
cysM
cysA
ucpA
murQ
yfeX
ypeA
amiA
talA
tktB
yffH
dapE
ypfI
nlpB
gcvR
yfgC
hda
upp
purM
purN
guaB
yfgJ
engA
yfgL
yfgM
ispG
yfhM
pepB
yfhJ
fdx
hscA
iscU
iscS
hmpA
yfhK
purL
pdxJ
era
rseA
yfiC
yfiD
yfiF
trxC
yfiP
pssA
rluD
rplS
rimM
rpsP
grpE
smpA
yfjF
yfjG
gabD
gabT
stpA
proX
emrR
gshA
csrA
alaS
ygaD
srlB
gutQ
hypB
mutS
surE
ispD
cysI
ygcF
eno
rumA
barA
gudD
yqcA
syd
ygdH
xni
csdA
amiC
argA
ptr
lysA
yqeF
idi
prfB
fldB
bglA
gcvP
ygfB
rpiA
iciA
fbaA
yggG
speB
yggJ
gshB
yqgE
yggS
yggV
flu
glcB
glcG
glcE
yqhA
ygiQ
parC
ygiT
mdaB
nudF
tolC
yqiC
ygiM
cca
ygjD
rpsU
dnaG
ygjO
ygjR
uxaA
exuR
yqjG
agaR
yraL
yraM
yhbS
pnp
rbfA
argG
glmM
folP
dacB
rplU
ispB
murA
yrbB
yrbC
yrbD
yrbF
yrbH
yrbI
yhbG
rpoN
yhbJ
yrbL
yhbL
gltD
nanR
sspA
yhcB
degQ
degS
mdh
argR
tldD
yhdE
mreC
accB
fis
yhdW
aroE
yrdD
fmt
rrmB
rplQ
rpsD
rpsK
rplO
rpsE
rplR
rpsN
rplX
rplC
rpsJ
bfr
tufA
slyX
yhfA
crp
argD
cysG
aroB
mrcA
nudE
yrfG
hslO
pckA
ompR
feoB
bioH
gntT
glgC
asd
gntR
ugpB
livK
livJ
ftsY
rsmD
zntA
sirA
uspA
yhiQ
gor
arsC
yhjD
kdgK
yhjK
yhjN
yhjU
dppF
dppD
dppA
yhjW
bisC
tkrA
yiaJ
selA
yibH
mtlA
lldR
yibK
cysE
gpsA
yibN
yibO
yibQ
tdh
waaA
coaD
mutM
dfp
trmH
yicH
nlpA
ade
ilvN
ilvB
ibpB
yidR
gyrB
dnaA
rpmH
yidC
trmE
yieH
phoU
pstS
glmS
glmU
atpC
atpH
atpF
atpB
asnA
rbsD
rbsB
rbsK
hdfR
yifE
ilvG
ilvE
ilvD
rep
rhlB
wecB
wecC
rffH
wecE
hemX
cyaA
ysgA
udp
ubiE
tatA
tatB
ubiD
fadA
fadB
pepQ
yihD
yihE
polA
engB
yihI
hemN
yihX
fdhD
cpxP
tpiA
glpK
cytR
rpmE
metB
yijP
argE
argC
argH
udhA
trmA
btuB
murB
coaA
nusG
rplK
rpoC
rsd
nudC
hemE
purD
purH
aceB
aceA
metH
yjbD
pgi
ubiC
plsB
yjbN
dnaB
ssb
acs
gltP
yjcO
proP
fumB
lysU
fxsA
efp
frdA
yjeA
amiB
mutL
hfq
hflK
rpsF
rplI
ytfL
ytfM
ytfN
mpl
pmbA
mgtA
pyrB
yjgJ
yjgK
yjgL
argI
valS
pepA
yjgQ
yjgR
fecR
uxuA
iadA
mcrB
hsdS
hsdM
hsdR
mrr
hpaE
mdoB
yjjA
dnaT
rsmC
yjjG
osmY
smp
serB
sms
nadR
yjjK
yjjX
dapB
apaH
ksgA
mraW
gcd
fhuA
fhuC
yaeT
rcsF
pepD
betA
tesA
purK
fepC
ybdB
modE
ybiB
yliB
artP
pncB
pepN
pqiB
yccW
ycdO
ycdW
grxB
flgC
tmk
mltE
pqqL
yddB
dcp
cfa
