pdhR
lpxB
dnaE
yaeQ
yafV
phoB
fepB
dsbG
mrdA
ybeX
ybhG
uup
cbpA
agp
yccJ
phoQ
hemA
tdk
yciU
ycjG
ycjY
yncA
yneI
ydgI
yniA
ydjQ
astC
rnd
yebT
yebV
exoX
sbmC
wbbD
wcaA
yeiG
lysP
spr
dsdA
ypeA
yfhK
yfiP
csrA
srlB
ispD
barA
gudD
amiC
ygiQ
ygiT
yqjG
agaR
yrbL
bfr
glgC
gntR
ugpB
arsC
ibpB
rpmH
atpB
hdfR
rep
tatA
yihE
cpxP
cytR
nudC
aceB
mutL
ytfL
yjgK
yjgQ
mrr
yjjX
pqiB
pqqL
yddB
ydiU
fbaB
yfdZ
xseA
rplM
yhiI
waaC
