yaeR
queA
ybaT
ybbO
moaD
potA
dadX
prfA
oppD
ydaL
ydcW
nth
osmE
ynjB
yeaN
yebB
flhD
yegX
glpA
ppx
nlpD
ygdR
yghZ
yghA
truB
nikR
yibK
dgoA
yidB
dnaA
mioC
dapF
tatA
yihW
frvB
pepE
yjeB
