genes
gntK
edd
idnO
rplC
rplW
sufC
tehB
ybjQ
rplV
glpK
yddB
rplM
rpsR
glnQ
tatC
rplU
glpD
stpA
tolQ
yihW
mglB
aldA
sufB
rplX
acs
mqo
yfcB
fucI
rplQ
glcG
sucB
smpA
fepC
yebF
mipA
mglA
ypfJ
abgA
ycjY
lpp
tonB
rplT
kdgR
gcvR
