,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
1062,YP_003044294.1,22.6415092463481,0.465105849842663,0.457448053748316,1.01674025286937,0.30927701139961,0.675360004484863,flgI,ECB_01076,b1080,1,protein,Exp,carbonSource,glucosegluconate
1063,YP_003044295.1,26.5081390601771,0.105390101465871,0.554559161058308,0.190043026725492,0.849275414412299,0.955837189158058,flgJ,ECB_01077,b1081,1,protein,Exp,carbonSource,glucosegluconate
1064,YP_003044296.1,77.3736447226952,0.068514124601063,0.452139655662597,0.151533102091339,0.879555200625939,0.961694501064066,flgK,ECB_01078,b1082,1,protein,Exp,carbonSource,glucosegluconate
1065,YP_003044297.1,58.5040704150946,0.424432588278459,0.45157321214384,0.939897622056608,0.347270077211413,0.710778075142594,flgL,ECB_01079,b1083,1,protein,Exp,carbonSource,glucosegluconate
1066,YP_003044298.1,209.019606755205,0.482636222847695,0.333643219281845,1.4465638591024,0.148019114524738,0.522558131933236,rne,ECB_01080,b1084,1,protein,Exp,carbonSource,glucosegluconate
1067,YP_003044299.1,0.166339336608876,-0.154431645556887,0.36937246769691,-0.41809192363413,0.675879909674807,NA,,ECB_01081,,-1,protein,Exp,carbonSource,glucosegluconate
1068,YP_003044300.1,9.02708556687212,1.12201103507529,0.511604619008938,2.1931213937216,0.0282986340206614,0.267985511383941,rluC,ECB_01082,b1086,1,protein,Exp,carbonSource,glucosegluconate
1069,YP_003044301.1,14.9544789875094,-1.017167993145,0.502717066371793,-2.02334088334439,0.0430380145599331,0.328933396993775,yceF,ECB_01083,b1087,-1,protein,Exp,carbonSource,glucosegluconate
1070,YP_003044302.1,29.6153727752765,-0.164955222992643,0.449833749827431,-0.366702638599092,0.713840838158236,0.911697923274437,yceD,ECB_01084,b1088,-1,protein,Exp,carbonSource,glucosegluconate
1071,YP_003044303.1,96.5181341942573,-0.172312351896561,0.3539501976566,-0.486826545195877,0.6263812570581,0.874080964394654,rpmF,ECB_01085,b1089,-1,protein,Exp,carbonSource,glucosegluconate
