"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR","phase","name","test"
"1","KEGG_PATHWAY","eco01230:Biosynthesis of amino acids",99,7.04626334519573,6.87762762820433e-19,"946551, 948364, 946552, 948409, 946204, 945642, 947939, 948522, 948313, 946179, 948412, 947407, 947927, 948531, 946549, 946877, 946680, 944798, 948278, 946210, 946544, 945527, 945528, 948277, 947498, 948370, 947679, 947724, 947723, 947414, 945034, 947415, 945031, 945032, 944762, 946888, 945768, 948433, 948182, 947313, 948183, 948434, 2847724, 947896, 948258, 945198, 947420, 945803, 945553, 946952, 945605, 947267, 946240, 947262, 948323, 947590, 944748, 946724, 945109, 946516, 946515, 944955, 948455, 948456, 946814, 948126, 945258, 2847759, 945323, 947115, 947084, 945076, 947633, 948774, 947081, 947776, 945519, 946229, 945846, 946531, 948287, 948286, 945068, 947864, 948913, 946230, 947465, 948513, 946425, 946521, 948463, 948464, 946527, 945389, 947022, 944864, 945380, 948793, 948563",708,118,1575,1.86638178684286,7.77171921987089e-17,7.77171921987089e-17,7.80906140181423e-16,"Exp","changed","Kegg"
"2","KEGG_PATHWAY","eco01110:Biosynthesis of secondary metabolites",198,14.0925266903915,1.45111257837717e-17,"948364, 944887, 945642, 946204, 948522, 948362, 948666, 949129, 945017, 947880, 946607, 948667, 948926, 946200, 945153, 945837, 947364, 945939, 948535, 948673, 944895, 944794, 948531, 944798, 948278, 946210, 945528, 948277, 947498, 947496, 947679, 947353, 948545, 945034, 945031, 945032, 945763, 948541, 944762, 948643, 945768, 948102, 947895, 947896, 945611, 948258, 945803, 945553, 948857, 945605, 947267, 946240, 947262, 948320, 948323, 945686, 948027, 946516, 945109, 946515, 948126, 2847759, 947115, 947084, 946278, 947390, 947394, 947633, 947081, 948774, 947776, 945519, 946229, 948503, 948504, 945271, 947761, 946531, 946906, 946230, 948513, 945654, 946234, 945281, 946521, 946794, 946527, 945389, 946624, 947758, 947759, 948899, 946796, 945380, 948793, 946957, 948690, 946551, 946552, 948409, 947939, 2847717, 947532, 946554, 946179, 946858, 948410, 948412, 948497, 947331, 947032, 948418, 947407, 947927, 946680, 946549, 946877, 946682, 946544, 948307, 946973, 946165, 947932, 946975, 947724, 947723, 947414, 946747, 946741, 947415, 944943, 946572, 946888, 947059, 948431, 948433, 948182, 948183, 947313, 947922, 946370, 948434, 946058, 949033, 2847724, 949031, 946892, 944817, 945198, 947420, 946147, 946368, 945695, 946952, 945097, 945312, 945314, 947590, 946720, 944748, 946724, 944958, 944955, 948455, 948456, 945307, 946814, 945323, 944834, 944839, 945076, 946727, 944840, 948446, 946066, 947454, 947457, 946702, 948087, 945848, 945846, 948287, 948286, 946985, 945064, 947864, 945068, 945303, 947465, 945300, 946712, 948463, 948464, 947022, 946991, 947854, 944864, 948563",708,294,1575,1.49818401937046,1.6397572135662e-15,8.19878606783101e-16,1.6476360509868e-14,"Exp","changed","Kegg"
"3","KEGG_PATHWAY","eco01130:Biosynthesis of antibiotics",134,9.53736654804271,2.07068026581281e-12,"946957, 948364, 946551, 948409, 947939, 2847717, 948666, 948667, 945154, 946200, 945153, 946554, 946179, 945837, 946858, 948412, 947032, 947407, 947927, 948535, 944895, 944794, 948531, 946680, 946877, 948278, 945730, 946210, 945527, 948277, 945528, 946973, 947679, 947353, 946975, 947724, 947723, 947414, 944943, 945034, 947415, 945031, 945032, 946572, 948246, 946888, 944762, 948241, 948433, 948182, 948183, 947313, 946370, 947217, 948434, 947219, 948102, 947895, 947896, 2847724, 945611, 949031, 947420, 945803, 947692, 946147, 945553, 946368, 945695, 945097, 946952, 945605, 947267, 945312, 945314, 947262, 948320, 947590, 944748, 946724, 944955, 948455, 948456, 945307, 946814, 945258, 2847759, 945323, 944834, 947115, 947084, 947390, 945129, 947394, 946727, 947632, 947633, 947081, 948774, 947776, 946066, 947457, 946229, 946702, 948503, 948087, 948504, 947761, 945271, 948287, 948286, 945064, 947864, 945068, 948913, 946230, 945303, 945300, 946712, 946234, 946425, 946794, 948463, 948464, 946527, 947022, 947854, 946991, 944864, 947758, 946796, 945380, 948563, 948793",708,195,1575,1.52868318122555,2.33986496844807e-10,7.7995498948269e-11,2.35110819701845e-09,"Exp","changed","Kegg"
"4","KEGG_PATHWAY","eco01100:Metabolic pathways",376,26.7615658362989,1.56268363537419e-10,"948364, 944888, 945012, 944887, 946204, 945642, 948522, 945645, 948362, 944882, 944881, 948666, 949129, 945017, 947880, 948667, 946607, 944789, 945154, 945539, 948926, 945013, 946200, 945153, 945217, 945542, 946612, 945837, 948869, 945351, 946003, 945540, 945444, 947366, 945939, 945358, 948376, 944790, 948535, 944895, 948673, 948372, 944794, 948531, 946406, 948278, 944798, 945730, 946210, 945527, 948277, 945528, 947498, 945535, 947496, 945222, 948370, 947679, 946209, 947353, 948545, 948247, 945034, 945134, 946806, 945031, 945032, 948243, 948244, 948245, 945763, 948246, 947285, 948541, 948643, 945766, 944762, 948241, 948242, 945768, 945568, 945615, 948102, 947895, 947896, 945611, 945041, 945146, 948258, 944775, 948254, 948252, 948253, 945803, 945553, 945748, 947692, 948857, 944768, 947270, 946802, 947794, 945605, 946261, 945787, 947267, 946260, 946240, 947262, 945785, 948320, 948323, 945113, 945686, 947121, 948027, 945109, 946516, 946515, 948767, 948121, 948763, 946925, 948126, 946924, 945258, 2847759, 945394, 947117, 947116, 947115, 947253, 948638, 947084, 946255, 946116, 946278, 947390, 945129, 947394, 948135, 947632, 947633, 948774, 947081, 947776, 946648, 946915, 948037, 946646, 945519, 946628, 946229, 948503, 948504, 945663, 947761, 945271, 946531, 945370, 946906, 946785, 948913, 947230, 946230, 945006, 947231, 948513, 946518, 945654, 948356, 948150, 947239, 945281, 946794, 946521, 945387, 946527, 945389, 948791, 946799, 945384, 947758, 946624, 947759, 945514, 946796, 948899, 945380, 948793, 948607, 946551, 948690, 946957, 948409, 946552, 947939, 2847717, 948695, 946768, 947532, 948163, 946554, 947334, 948160, 948313, 946858, 946179, 944919, 947039, 948412, 946759, 948492, 948494, 948497, 947331, 948418, 947032, 947407, 946775, 947927, 946778, 946877, 946549, 946680, 946682, 946544, 948307, 946973, 946165, 948488, 946162, 948487, 947932, 946975, 947724, 947723, 947414, 947726, 946746, 947413, 946747, 944943, 947415, 946741, 949047, 946677, 949048, 946571, 946572, 946888, 948431, 947059, 948433, 948182, 947313, 948183, 947922, 946370, 947923, 947217, 948434, 946738, 946058, 946153, 947219, 947719, 949040, 947715, 949033, 2847724, 949031, 947907, 946892, 946753, 948053, 946663, 946946, 949035, 946665, 946947, 944817, 944818, 945198, 947420, 944813, 946367, 946147, 946368, 945695, 947221, 945097, 946952, 946144, 945290, 945310, 945312, 947432, 945314, 946597, 945080, 947590, 946720, 944748, 947703, 946724, 946719, 944958, 944955, 948455, 946459, 948456, 948457, 945307, 946814, 945870, 945323, 944834, 944839, 946732, 947580, 947583, 947445, 945076, 945882, 946727, 948584, 948446, 944840, 947004, 946066, 947454, 947457, 946702, 945848, 948087, 946979, 948088, 945846, 944984, 948287, 948286, 948470, 946332, 945064, 946985, 947864, 946334, 945068, 948479, 945303, 948714, 947465, 945455, 945300, 945451, 948987, 946712, 944996, 947947, 946425, 948463, 948464, 947022, 946993, 946186, 946321, 947854, 946991, 944864, 944865, 949134, 946085, 948564, 948467, 948563",708,697,1575,1.20005836150086,1.76583213606918e-08,4.41458036792852e-09,1.7743168045925e-07,"Exp","changed","Kegg"
"5","KEGG_PATHWAY","eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis",21,1.49466192170819,1.15520973335337e-06,"946551, 947927, 947115, 945519, 946204, 947084, 945031, 946229, 946210, 945846, 946200, 945528, 945768, 945109, 945553, 947081, 947776, 946814, 2847759, 945605, 948563",708,21,1575,2.22457627118644,0.000130530255449401,2.61074142484663e-05,0.00131165138255174,"Exp","changed","Kegg"
"6","GOTERM_MF_ALL","GO:0005488~binding",982,69.8932384341637,1.2119908480241e-23,"945012, 948660, 948661, 948666, 948261, 949129, 945017, 948263, 945842, 948667, 948264, 945013, 945218, 945217, 948864, 948865, 948867, 945837, 945212, 948260, 945211, 945022, 948675, 949113, 949115, 949114, 949116, 947298, 948278, 947294, 945027, 948277, 947498, 945829, 945226, 947497, 948874, 945222, 945824, 945225, 945827, 945826, 945220, 948872, 947499, 948640, 945034, 945031, 945032, 948243, 948244, 948245, 947285, 948246, 947286, 947287, 948643, 948241, 948645, 948242, 947481, 945233, 945231, 948652, 948650, 945041, 945044, 948258, 948259, 947273, 945047, 947271, 947272, 948253, 947275, 945803, 948857, 947476, 945807, 948855, 948853, 945241, 947267, 947261, 947262, 948226, 948027, 948618, 945258, 948632, 947253, 948638, 948637, 948232, 948237, 948038, 945268, 948200, 948606, 948600, 947244, 947249, 946385, 945271, 945272, 948884, 948007, 945279, 945278, 948886, 945003, 946399, 948211, 945004, 945006, 947231, 946392, 946393, 946395, 947239, 948214, 945281, 948892, 948016, 948899, 948010, 948609, 948897, 948607, 946858, 946179, 946175, 946177, 946172, 948062, 948079, 946879, 946877, 946873, 946869, 946164, 948070, 946162, 948044, 946880, 946883, 946885, 946888, 946889, 946159, 948040, 946151, 946153, 946156, 946892, 948053, 946141, 946144, 948819, 944753, 944750, 946814, 946815, 948828, 944744, 946841, 946844, 948089, 948087, 948088, 948084, 948289, 948287, 948286, 948080, 948285, 946199, 948284, 946853, 946856, 948290, 948292, 948805, 946189, 946186, 948297, 948296, 949134, 946848, 949133, 949130, 945641, 945642, 946204, 945645, 944785, 946605, 946607, 944789, 946200, 944786, 944779, 946612, 946614, 945440, 945442, 946004, 946006, 946007, 946009, 945632, 945429, 945630, 946212, 944790, 945634, 944794, 946401, 944798, 946406, 944797, 946210, 946600, 945432, 946209, 945431, 945435, 946806, 944762, 944761, 944759, 944757, 946810, 945424, 945427, 946812, 945420, 945615, 945618, 945611, 947992, 945406, 944775, 944778, 947995, 944774, 944768, 944769, 947798, 947793, 946802, 947792, 945609, 947795, 945413, 946800, 947794, 945605, 947791, 946240, 945681, 945683, 945682, 947780, 947782, 946653, 946656, 946659, 946639, 946254, 946255, 946252, 945670, 946643, 947775, 947776, 946646, 946222, 946628, 946227, 946229, 945669, 945663, 946223, 946225, 947761, 946230, 947749, 945657, 945656, 945654, 946234, 945651, 945648, 946624, 947758, 946623, 947753, 947744, 947939, 947531, 946690, 947532, 947334, 946493, 948313, 948314, 948315, 947331, 947928, 947927, 947926, 947736, 947929, 946680, 945176, 946684, 948307, 947930, 946487, 947727, 947728, 947724, 947723, 947720, 946674, 947721, 947514, 947512, 947316, 947318, 947313, 947314, 947315, 947922, 947310, 945895, 946667, 947715, 947714, 947907, 946663, 947906, 946665, 947904, 945197, 945198, 945193, 947521, 945190, 947323, 945697, 947913, 947320, 947911, 947708, 945690, 945489, 945480, 947701, 945482, 945483, 945872, 947987, 946459, 947989, 948596, 946452, 945870, 948593, 947981, 945476, 947582, 947969, 947580, 945472, 947583, 947584, 945887, 947978, 948588, 948584, 948585, 947970, 945880, 945468, 947554, 945465, 947552, 945846, 948579, 945854, 947968, 947967, 947961, 946430, 948570, 948571, 947567, 945454, 945455, 947565, 945451, 945452, 945857, 946418, 946425, 945864, 946427, 945861, 947953, 945862, 948564, 948563, 945158, 947162, 947165, 948360, 948522, 948362, 948524, 948363, 945154, 948368, 945153, 947367, 947369, 945351, 947360, 948724, 948726, 947364, 948720, 948721, 947366, 947160, 945939, 948723, 945358, 947152, 948538, 948537, 947151, 948376, 948535, 948374, 945931, 948372, 948531, 947159, 948919, 945164, 948916, 945166, 948370, 945366, 948735, 945368, 947353, 948544, 945964, 947104, 948548, 947103, 945134, 948388, 947105, 948389, 947102, 947101, 948541, 948958, 947385, 947181, 948101, 947384, 945333, 948748, 947383, 948950, 948380, 948102, 947178, 948393, 948555, 947177, 948399, 945146, 947175, 945950, 948559, 948939, 948116, 948752, 948750, 948756, 947170, 947372, 945343, 945113, 946267, 948323, 945112, 948322, 947122, 947121, 948123, 945109, 948124, 948767, 948121, 948763, 945394, 947117, 947116, 947115, 948335, 946278, 945129, 947394, 948778, 948132, 947396, 948774, 948139, 948347, 946288, 947148, 948502, 948504, 948505, 948506, 946783, 949008, 945378, 949000, 946789, 948910, 945372, 945370, 948785, 946785, 948913, 948357, 946299, 947139, 946292, 945108, 948356, 948150, 947130, 945104, 948353, 946794, 945908, 945387, 945389, 948791, 945384, 946290, 946796, 945909, 945380, 948794, 948793, 946797, 945382, 946957, 944809, 946768, 946769, 948169, 944807, 944805, 948163, 948162, 948160, 946032, 946035, 946034, 946759, 946964, 946775, 946968, 946969, 949011, 946778, 948178, 946771, 949018, 946971, 946977, 946976, 946975, 946939, 946744, 946746, 946747, 949047, 946741, 944823, 944833, 946055, 946056, 948182, 948183, 946738, 946058, 946941, 949040, 946755, 946753, 946948, 949038, 949035, 946946, 946947, 944817, 948195, 944818, 944812, 944813, 944821, 946952, 945310, 945312, 945314, 948979, 949068, 947590, 948977, 946720, 947596, 946723, 949064, 946724, 946719, 944850, 945307, 946076, 945323, 944834, 944839, 945328, 945325, 946732, 946731, 949058, 948963, 949054, 949051, 949052, 946064, 945319, 944840, 944842, 946066, 948990, 944869, 948703, 946702, 946979, 946989, 946985, 946981, 948710, 945306, 945303, 945301, 948714, 948981, 945302, 944856, 945300, 948982, 948987, 949076, 946712, 948986, 946710, 946999, 946995, 949071, 949072, 946991, 944864, 944865, 944866, 944860, 946084, 944888, 944887, 944886, 944882, 944881, 945743, 947882, 947880, 945539, 945740, 945741, 949095, 947685, 947684, 947682, 945542, 945540, 947688, 947686, 944896, 947874, 944895, 944894, 944891, 947872, 945730, 945527, 947672, 945536, 945535, 947674, 945534, 945533, 947679, 945763, 945764, 945768, 945564, 945563, 945569, 947895, 947896, 945549, 947890, 947894, 945553, 947692, 945748, 947694, 947693, 947696, 947695, 947697, 945551, 945787, 947077, 945782, 946515, 945504, 946925, 2847758, 2847759, 945500, 947084, 945775, 946115, 946116, 945771, 947632, 947633, 947081, 947630, 946916, 946915, 946914, 945769, 945517, 947097, 947096, 946129, 946122, 946531, 947665, 946904, 945523, 946906, 947093, 947660, 945508, 944902, 945506, 945795, 946135, 946136, 945509, 946518, 946132, 947655, 947657, 946527, 2847768, 945514, 946551, 948690, 946552, 948409, 2847717, 948695, 948490, 948698, 947602, 946554, 947800, 947801, 947802, 946359, 947803, 947037, 944919, 948412, 948492, 947033, 947036, 948414, 948494, 948499, 947032, 948418, 2847707, 2847709, 947401, 948689, 946549, 948688, 946345, 946539, 948400, 948484, 948403, 948483, 948404, 947206, 948401, 948488, 948487, 944922, 947203, 948485, 947040, 947414, 947413, 947415, 944943, 946571, 946572, 947050, 947621, 947816, 947818, 947817, 947819, 947410, 948430, 948431, 946379, 947820, 948433, 947210, 947825, 947214, 947051, 946371, 947054, 946370, 947053, 947217, 948434, 947055, 948435, 947219, 946374, 946373, 947425, 945292, 2847725, 2847724, 947423, 945293, 945295, 944953, 945092, 947807, 947806, 946566, 946567, 947804, 947420, 947809, 947808, 946367, 947810, 946368, 947813, 947814, 947811, 947221, 947812, 948429, 947064, 948427, 947062, 948428, 945097, 948425, 945099, 945290, 947066, 947430, 947432, 947837, 945580, 947838, 946597, 947437, 945080, 945081, 946592, 945089, 945088, 945085, 944958, 948453, 944955, 945083, 945082, 948455, 948456, 947845, 948457, 946318, 946315, 947847, 947846, 945970, 945571, 947828, 946584, 947445, 944971, 947002, 945076, 948444, 946305, 945981, 947004, 947859, 947450, 947454, 944983, 947457, 944987, 944986, 945063, 948477, 948470, 947012, 945064, 945995, 947016, 945069, 945993, 947865, 947864, 947019, 946339, 947867, 948479, 946337, 947868, 947461, 945591, 944990, 947466, 944996, 1450249, 948464, 945054, 947850, 948462, 947022, 946322, 948468",1212,2262,3186,1.14120072484702,1.77799057405136e-20,1.77799057405136e-20,2.00834809335637e-20,"Exp","changed","Mf"
"7","GOTERM_MF_ALL","GO:0005515~protein binding",465,33.0960854092527,7.34126286466055e-21,"945012, 947165, 948360, 948363, 948261, 948666, 948264, 948667, 945154, 945218, 948864, 945217, 945837, 945212, 945211, 948726, 947364, 948721, 947160, 948723, 945022, 948538, 948537, 949113, 948535, 948374, 949115, 948372, 948278, 945164, 947294, 945829, 945226, 948874, 945824, 945225, 948370, 945220, 947499, 948548, 945032, 947105, 948243, 948244, 948245, 948246, 947101, 947285, 948541, 947286, 948643, 948241, 948242, 947385, 947181, 945231, 948748, 945333, 948950, 947178, 948393, 945041, 948555, 947175, 945950, 948259, 948559, 948939, 947271, 947272, 947275, 945807, 948752, 947170, 948323, 946267, 945113, 945112, 947122, 947121, 948027, 948123, 948124, 948767, 948618, 948763, 945258, 945394, 947253, 946278, 947394, 947396, 945268, 948347, 948200, 948606, 947148, 946783, 945272, 948884, 945378, 948007, 945278, 945370, 946399, 945003, 948211, 945004, 947139, 946392, 946393, 945108, 947130, 947239, 948214, 948353, 945281, 946794, 945389, 946796, 945909, 945382, 944809, 948169, 944807, 944805, 948163, 948160, 946032, 946179, 946035, 946034, 946759, 946175, 946177, 946172, 946964, 948079, 946778, 946879, 946877, 946771, 946869, 946971, 946162, 946977, 946744, 946746, 946747, 946880, 944823, 946056, 948182, 948183, 946151, 946153, 946941, 946892, 949038, 944818, 944812, 944821, 946952, 946144, 945312, 945314, 948979, 947590, 944753, 946719, 944750, 945307, 946814, 946815, 945323, 944834, 945328, 945325, 946732, 949054, 949051, 944744, 946064, 945319, 944840, 946841, 948703, 946979, 948289, 948080, 948285, 946199, 946985, 946981, 946853, 948710, 945306, 945303, 945301, 945302, 945300, 948290, 948292, 948987, 949076, 948986, 946710, 946999, 946995, 948297, 946186, 946991, 944864, 944866, 949133, 944888, 944887, 945641, 944886, 945642, 945645, 944882, 946605, 946607, 944789, 945539, 945740, 945741, 944786, 949095, 947684, 947682, 946614, 945440, 946009, 944896, 945429, 944790, 947874, 944895, 944894, 945634, 944794, 946401, 944891, 947872, 946210, 947672, 947674, 945431, 945763, 945764, 944762, 945768, 945564, 945563, 945427, 945420, 945615, 947896, 945611, 944775, 945549, 944778, 947995, 944774, 945553, 945748, 944768, 947694, 947693, 947696, 947798, 947793, 946802, 947697, 947795, 945609, 945413, 947794, 945605, 947077, 945681, 945782, 947780, 2847758, 945500, 947084, 946255, 946116, 946252, 945771, 946643, 945769, 946646, 945517, 947097, 946222, 946129, 946628, 946227, 946229, 946223, 946122, 946225, 947761, 947093, 945508, 945506, 946135, 946230, 945657, 945654, 946234, 946132, 945651, 947655, 946527, 947657, 945648, 947758, 946623, 945514, 947753, 946551, 946552, 948409, 948695, 947531, 946690, 948698, 946554, 947334, 946359, 948314, 944919, 948412, 948494, 948499, 947927, 947926, 948689, 946684, 948307, 946345, 946539, 948400, 947930, 948484, 946487, 948483, 948404, 947206, 947727, 948401, 947728, 948488, 944922, 948487, 948485, 947724, 947723, 947720, 947415, 946571, 947721, 947050, 947816, 947514, 947818, 947817, 947819, 948430, 947316, 948431, 947820, 947210, 947313, 947314, 946371, 946370, 947054, 947053, 947217, 947055, 947219, 946667, 947907, 945293, 946663, 946665, 945193, 947809, 947521, 946367, 945190, 946368, 947813, 945697, 947221, 947812, 948429, 948427, 948428, 945097, 947708, 945099, 945290, 947430, 945580, 947838, 945081, 945482, 945483, 945085, 944958, 945083, 944955, 945082, 947845, 947846, 945870, 945970, 945571, 947969, 947580, 946584, 945076, 947002, 945887, 948588, 947970, 947004, 945880, 947859, 947450, 947454, 945063, 947968, 948477, 945064, 945995, 947016, 948570, 945993, 945069, 947865, 947864, 946339, 947867, 945591, 947567, 945454, 947565, 947466, 945452, 944996, 946418, 1450249, 945864, 945054, 947850, 947022, 946322, 948563",1212,916,3186,1.33444485278222,1.0769632622457e-17,5.38481631122851e-18,1.21649526488634e-17,"Exp","changed","Mf"
"8","GOTERM_MF_ALL","GO:0036094~small molecule binding",372,26.4768683274021,8.64226328324183e-18,"948360, 948522, 945645, 944881, 944785, 945743, 949129, 947880, 945842, 948264, 948667, 946200, 945741, 944786, 945153, 945218, 948864, 947684, 944779, 947682, 945542, 946612, 948260, 946614, 945440, 946007, 945358, 947152, 944896, 946212, 948537, 947151, 944790, 944895, 948372, 946401, 948531, 949116, 947872, 947159, 948919, 944798, 944797, 945164, 947294, 945027, 947672, 947498, 947497, 946600, 945535, 947674, 945222, 948370, 947679, 946209, 948735, 945368, 945431, 947353, 945435, 947499, 945964, 945034, 946806, 945031, 947105, 948243, 948244, 948245, 947102, 945763, 945764, 947286, 947287, 944762, 944761, 948242, 948645, 947481, 945233, 948958, 945569, 946810, 945427, 947181, 948101, 945231, 947384, 945611, 948555, 948399, 945146, 947175, 948258, 945044, 948559, 948939, 944775, 945549, 944778, 947272, 947894, 945803, 945748, 947476, 947694, 948855, 948752, 947693, 947170, 945413, 946800, 947372, 947077, 945681, 945683, 948322, 946515, 948121, 946653, 945504, 946925, 945258, 946656, 2847759, 945394, 946659, 947116, 948632, 947115, 946116, 945670, 945129, 948778, 947632, 947396, 947633, 946643, 947776, 945769, 948347, 947097, 946222, 947148, 946628, 947244, 946227, 947249, 946223, 945663, 948504, 948505, 948506, 946385, 947761, 946531, 947665, 946789, 946904, 948886, 946906, 948785, 946785, 947660, 945506, 946230, 948211, 945795, 947231, 946518, 946395, 948150, 947239, 946132, 945281, 946527, 945387, 945389, 947758, 946624, 946796, 948899, 948010, 945909, 948609, 948897, 948793, 946797, 945382, 948690, 946957, 947939, 948695, 946768, 944805, 948163, 948162, 947334, 946858, 946179, 944919, 948412, 946759, 947033, 948414, 947036, 947331, 946964, 947032, 947928, 946775, 2847707, 947927, 946968, 2847709, 946969, 948079, 949011, 946549, 948688, 946680, 946771, 946487, 947727, 947206, 946164, 946971, 948488, 946162, 946977, 946975, 946939, 946744, 947414, 946746, 947413, 948044, 946741, 949047, 946571, 946885, 947819, 946889, 947512, 948430, 944833, 947318, 948433, 948182, 947315, 947825, 946371, 947051, 946370, 947310, 947217, 946153, 947055, 946374, 947219, 946156, 949040, 2847725, 947907, 945293, 946753, 948053, 946948, 946663, 945092, 946946, 946947, 945197, 948195, 944818, 946566, 946567, 947420, 944813, 946368, 944821, 947323, 947221, 947320, 945097, 946144, 945099, 945690, 945310, 945489, 947430, 945312, 945314, 947838, 946597, 947437, 948979, 947590, 948977, 946720, 946723, 949064, 945483, 948819, 945088, 945872, 944753, 945085, 944958, 947987, 945083, 948455, 947989, 946459, 944750, 948596, 947847, 946315, 946814, 946452, 948593, 945476, 947582, 946731, 946584, 949054, 947445, 949052, 948444, 947978, 946305, 946064, 946066, 948990, 947450, 946844, 944983, 948089, 947552, 946702, 944987, 946979, 945063, 947968, 947967, 946989, 948286, 948470, 948080, 947961, 946985, 947016, 947867, 948479, 947868, 948710, 945303, 945455, 948290, 948292, 945451, 949076, 945452, 945857, 946425, 948464, 947953, 946189, 948297, 949071, 944865",1212,718,3186,1.36195151548581,1.26782002365158e-14,4.22606674550526e-15,1.43207954214167e-14,"Exp","changed","Mf"
"9","GOTERM_MF_ALL","GO:1901265~nucleoside phosphate binding",354,25.1957295373665,4.247072145252e-17,"948360, 945645, 944881, 944785, 945743, 949129, 947880, 948264, 948667, 945741, 946200, 944786, 945153, 945218, 948864, 947684, 944779, 947682, 945542, 946612, 948260, 946614, 945440, 946007, 945358, 944896, 946212, 948537, 947151, 944790, 944895, 948372, 946401, 948531, 949116, 947872, 947159, 948919, 944798, 944797, 945164, 947294, 945027, 947672, 947498, 947497, 946600, 945535, 947674, 948370, 947679, 946209, 948735, 945368, 945431, 947353, 945435, 947499, 945964, 945034, 946806, 945031, 947105, 948243, 948244, 948245, 947102, 945763, 945764, 947286, 944762, 947287, 944761, 948242, 948645, 947481, 945233, 948958, 945569, 946810, 945427, 947181, 948101, 945231, 945611, 948555, 948399, 945146, 947175, 948258, 945044, 948559, 948939, 944775, 945549, 944778, 947272, 947894, 945803, 945748, 947476, 947694, 948855, 948752, 947170, 945413, 946800, 947372, 947077, 945681, 945683, 948322, 946515, 948121, 946653, 945504, 945258, 946656, 2847759, 945394, 946659, 947116, 948632, 947115, 946116, 945670, 945129, 948778, 947632, 947396, 947633, 946643, 947776, 945769, 948347, 947097, 946222, 947148, 946628, 947244, 946227, 947249, 946223, 948504, 945663, 948505, 948506, 946385, 947761, 946531, 947665, 946789, 948886, 946906, 948785, 946785, 947660, 945506, 946230, 948211, 945795, 947231, 946395, 948150, 947239, 946132, 945281, 946527, 945387, 945389, 946624, 946796, 948899, 948010, 945909, 948609, 948897, 948793, 946797, 945382, 948690, 946957, 947939, 948695, 946768, 948163, 948162, 947334, 946858, 946179, 944919, 948412, 946759, 947033, 948414, 947036, 947331, 946964, 947032, 947928, 946775, 2847707, 947927, 946968, 2847709, 946969, 948079, 949011, 946549, 948688, 946680, 946771, 946487, 947727, 947206, 946164, 946971, 946162, 946977, 946975, 946939, 946744, 947414, 946746, 947413, 948044, 946741, 949047, 946571, 946885, 947819, 946889, 947512, 948430, 944833, 947318, 948433, 948182, 947315, 947825, 946371, 947051, 946370, 947310, 947217, 946153, 947055, 946374, 947219, 946156, 949040, 2847725, 945293, 946753, 948053, 946948, 945092, 946946, 946947, 945197, 948195, 944818, 946566, 946567, 944813, 946368, 944821, 947323, 947221, 947320, 945097, 946144, 945099, 945690, 945310, 945489, 947430, 945312, 945314, 947838, 946597, 947437, 948979, 947590, 948977, 946723, 949064, 945483, 948819, 945088, 945872, 944753, 945085, 944958, 947987, 945083, 948455, 947989, 946459, 944750, 948596, 947847, 946315, 946814, 946452, 948593, 945476, 947582, 946731, 946584, 949054, 947445, 949052, 948444, 947978, 946305, 946064, 946066, 948990, 947450, 946844, 944983, 948089, 947552, 946702, 944987, 946979, 945063, 947968, 947967, 946989, 948286, 948470, 948080, 947961, 946985, 947016, 947867, 948479, 947868, 948710, 948290, 948292, 945451, 949076, 945452, 945857, 946425, 948464, 947953, 946189, 948297, 949071, 944865",1212,681,3186,1.36646748375278,6.23045483708468e-14,1.55761370927117e-14,7.03767628210192e-14,"Exp","changed","Mf"
